0: [[24], [6, 3, 1, 13], [10, 14, 2], [4, 22, 5], [11, 7, 16], [17, 12, 19, 8, 9, 20, 15, 18], [23, 21]]
25: [[15, 18], [24, 13, 1, 6], [3, 10], [14, 5], [4, 22], [11, 2, 7, 16, 17], [12, 19, 8, 9, 20], [23, 21]]
26: [[18, 15], [24, 13], [3, 6], [10, 14], [5, 4], [22, 11, 2, 1], [7, 16, 17, 12, 19, 8, 9, 20], [23, 21]]
27: [[15, 18], [24, 13], [1, 6], [3, 10, 14], [5, 4], [22, 11, 2, 7, 16], [17, 12, 19, 8, 9, 20], [23, 21]]
28: [[24, 1], [6, 3, 13], [10, 14], [5, 4, 22], [11, 2], [7, 16, 17, 12, 18], [19, 8, 9, 20, 15], [23, 21]]
29: [[15, 18], [24, 13], [1, 6, 3, 10], [14, 5], [4, 22], [11, 2, 7, 16, 17], [12, 19, 8, 9, 20], [23, 21]]
30: [[15, 18], [24, 13], [1, 6, 3, 10], [14, 5], [4, 22], [11, 2, 7, 16, 17], [12, 19, 8, 9, 20], [23, 21]]
31: [[24, 13], [6, 3], [10, 14], [5, 4, 22, 11, 2, 1], [7, 16], [17, 12, 19, 8, 9, 20, 15, 18], [23, 21]]
32: [[24], [1, 6, 13], [3, 10], [14, 5, 4], [22, 11, 2, 7, 16, 17, 12, 18], [19, 8, 9, 20, 15], [23, 21]]
33: [[24, 13, 6], [3, 10, 14, 5], [4, 22], [11, 2], [7, 16, 17, 12, 18], [19, 8, 15], [9, 20, 1], [23, 21]]
34: [[15, 18], [24, 13, 1, 6, 3], [10, 14], [5, 4], [22, 11], [2, 7, 16, 17], [12, 19, 8, 9, 20], [23, 21]]
35: [[15, 18], [24, 13, 1], [6, 3], [10, 14], [5, 4], [22, 11], [2, 7, 16, 17, 12, 19, 8, 9, 20], [23, 21]]
36: [[15, 18], [24, 13, 1, 6], [3, 10, 14], [5, 4], [22, 11], [2, 7, 16], [17, 12, 19, 8, 9, 20], [23, 21]]
37: [[15, 18], [24, 13, 1], [6, 3], [10, 14], [5, 4, 22, 11], [2, 7], [16, 17, 12, 19, 8, 9, 20], [23, 21]]
38: [[15, 18], [24, 13, 1], [6, 3], [10, 14], [5, 4, 22, 11], [2, 7], [16, 17, 12, 19, 8, 9, 20], [23, 21]]
39: [[15, 18, 24, 13], [1, 6], [3, 10], [14, 5], [4, 22], [11, 2, 7, 16], [17, 12, 19, 8, 9, 20], [23, 21]]
40: [[24, 13, 6], [3, 10, 14, 5, 4, 22], [11, 2], [7, 16], [17, 12, 18], [19, 8, 15], [9, 20, 1], [23, 21]]
41: [[15, 18], [24, 13, 1, 6], [3, 10], [14, 5, 4], [22, 11], [2, 7, 16], [17, 12, 19, 8, 9, 20], [23, 21]]
42: [[24, 13, 6, 3], [10, 14, 5, 4], [22, 11], [2, 7, 16], [17, 12, 18], [19, 8, 15], [9, 20, 1], [23, 21]]
43: [[15, 18], [24, 13], [1, 6, 3], [10, 14], [5, 4, 22, 11], [2, 7], [16, 17, 12, 19, 8, 9, 20], [23, 21]]
44: [[24], [1, 6, 3, 10, 14, 13], [5, 4], [22, 11], [2, 7, 16], [17, 12, 15, 18], [19, 8, 9, 20], [23, 21]]
45: [[18, 24, 13, 15], [3, 10, 14, 6], [5, 4], [22, 11], [2, 7], [16, 17, 12, 19, 8, 9, 20, 1], [23, 21]]
46: [[15, 18], [24, 13, 1], [6, 3], [10, 14, 5], [4, 22, 11], [2, 7], [16, 17, 12, 19, 8, 9, 20], [23, 21]]
47: [[24, 13], [6], [3, 10, 14], [5, 4, 22, 11], [2, 7], [16, 17, 18], [12, 19, 8, 9, 20, 15, 1], [23, 21]]
48: [[24, 13], [6], [3, 10], [14, 5, 4], [22, 11], [2, 7, 16, 17, 18], [12, 19, 8, 9, 20, 15, 1], [23, 21]]
49: [[24, 1], [6, 3, 10, 14, 5], [4, 22, 11, 2], [7, 16], [17, 12, 18], [19, 8, 15, 13], [9, 20], [23, 21]]
