0: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
15: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
16: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
17: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
18: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
19: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
20: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
21: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
22: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
23: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
24: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
25: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
26: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
27: [[1, 18, 22], [13, 5, 10], [4, 8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
28: [[1, 18, 22], [13, 5, 10], [4, 8, 29], [12, 11, 9, 17], [6, 15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
29: [[1, 18, 22], [13, 5, 10], [4, 8, 29], [12, 11, 9, 17], [6, 15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
30: [[1, 18, 22], [13, 5, 10], [4, 8, 29], [11, 9, 17, 12], [6, 15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
31: [[1, 18, 22], [13, 5, 10], [4, 8, 29], [11, 9, 17, 12], [6, 15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
32: [[1, 18, 22], [13, 5, 10], [4, 8, 29], [12, 11, 9, 17], [6, 15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
33: [[1, 18, 22], [13, 5, 10], [4, 8, 29], [12, 11, 9, 17], [6, 15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
34: [[1, 18, 22], [13, 5, 10], [4, 8, 29], [12, 11, 9, 17], [6, 15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
35: [[1, 18, 22], [13, 5, 10], [4, 8, 29], [11, 9, 17, 12], [6, 15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
36: [[1, 18, 22], [13, 5, 10], [4, 8, 29], [11, 9, 17, 12], [6, 15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
37: [[1, 18, 22], [13, 5, 10], [4, 8, 29], [12, 11, 9, 17], [6, 15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
38: [[1, 18, 22], [13, 5, 10, 4], [8, 29, 12, 11], [9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
39: [[1, 18, 22], [13, 5, 10, 4], [8, 29, 12, 11], [9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
40: [[1, 18, 22], [13, 5, 10, 4], [8, 29, 12, 11], [9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
41: [[1, 18, 22], [13, 5, 4, 10], [8, 29, 11, 12], [9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
42: [[1, 18, 22], [13, 5, 10, 4], [8, 29, 12, 11], [9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
43: [[1, 18, 22], [13, 5, 10, 4], [8, 29, 12, 11], [9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
44: [[1, 18, 22], [13, 5, 10, 4], [8, 29, 12, 11], [9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
45: [[1, 18, 22, 13], [5, 10, 4], [8, 29, 12], [11, 9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
46: [[1, 18, 22], [13, 5, 10], [4, 8, 29], [12, 11, 9], [17, 6, 15, 7], [14, 2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
47: [[1, 18, 22], [13, 5, 10], [4, 8, 29], [12, 11, 9], [17, 6, 15, 7], [14, 2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
48: [[1, 18, 22], [13, 5, 10], [4, 8, 29], [12, 11, 9], [17, 6, 15, 7], [14, 2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
49: [[1, 18, 22], [13, 5, 10], [4, 8, 29], [12, 11, 9], [17, 6, 15, 7], [14, 2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
50: [[1, 18, 22, 13], [5, 10, 4, 8], [29, 12, 11], [9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
51: [[1, 18, 22, 13], [5, 4, 10, 8], [29, 11, 12], [9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
52: [[1, 18, 22, 13], [5, 10, 4, 8], [29, 12, 11], [9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
53: [[1, 18, 22, 13], [5, 10, 4, 8], [29, 12, 11], [9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
54: [[1, 18, 22, 13], [5, 10, 4, 8], [29, 12, 11], [9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
55: [[1, 18, 22, 13], [5, 10, 4, 8], [29, 12, 11], [9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
56: [[1, 18, 22, 13], [5, 10, 4, 8], [29, 12, 11], [9, 17, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
57: [[1, 18, 22, 13], [5, 10, 4], [8, 29, 12], [11, 9, 17], [6, 15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
58: [[1, 18, 22], [13, 5, 10, 4], [8, 29, 11], [9, 17, 12, 6], [15, 7, 14], [2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
59: [[1, 18, 22], [13, 5, 10, 4], [8, 29, 12], [11, 9, 17], [6, 15, 7], [14, 2, 19, 16], [20, 25, 3], [28, 23, 24], [27, 26, 21]]
