0: [[6, 5, 25], [3, 1, 19, 2], [8, 4, 11, 15, 9, 13, 18, 17], [7, 23, 16, 20, 22, 10, 14, 12], [28, 24, 29], [21, 27, 26]]
23: [[6, 5, 25, 3, 1, 19, 2], [8, 4, 11, 15, 12], [13, 9, 10], [7, 18, 17, 14], [16, 20, 23, 21, 24, 28, 22], [27, 26, 29]]
24: [[6, 5, 25, 3], [1, 19, 2, 8, 4, 11, 9, 15], [7, 18, 13, 17, 16, 10, 12, 14], [20, 28], [24, 21, 23, 22], [27, 26, 29]]
25: [[6, 5, 25], [3, 1, 19, 2, 8, 4, 11, 9], [15, 13, 7, 16, 24, 10, 12], [18, 20, 26, 17, 14], [23, 21, 22], [28, 27, 29]]
26: [[6, 5, 25], [3, 1, 19, 2, 8, 4, 13, 7], [15, 11, 17, 18, 20, 10, 12, 14], [9, 16, 26, 22], [21, 28, 23], [27, 24, 29]]
27: [[6, 5, 25, 3, 1, 19, 2, 8], [4, 15, 9], [7, 11, 17, 24, 13, 20, 10, 12], [18, 21, 14], [16, 28, 23, 22], [26, 27, 29]]
28: [[6, 5, 25], [3, 1, 19, 2, 8, 4, 11, 9], [15, 7, 17, 13, 20, 10, 12, 14], [18, 16, 26, 22], [21, 28, 23], [27, 24, 29]]
29: [[6, 5, 25], [3, 1, 19, 2, 8], [4, 11, 9, 15, 7, 20, 27], [26, 13, 12, 14], [29, 24, 18, 16, 17, 22, 10], [21, 23, 28]]
30: [[6, 5, 25], [3, 1, 19, 2, 8, 4, 11], [9, 15, 7, 18, 13, 10, 12, 14], [16, 20, 17, 28, 22], [29, 21, 24], [26, 27, 23]]
31: [[6, 5, 25, 3], [1, 19, 2, 8, 4, 11, 9, 15], [13, 7, 17, 20, 21, 10, 12, 14], [16, 18, 28], [24, 23, 22], [26, 27, 29]]
32: [[6, 5, 25, 3, 1, 19, 2, 8], [4, 11, 15], [7, 9, 17, 20, 13, 23, 28, 16, 18, 10, 12], [22, 21, 24, 14], [27, 26, 29]]
33: [[6, 5, 25, 3, 1, 19, 2, 8, 4, 11, 13, 12], [7, 9, 17], [20, 15, 16, 29, 18, 21, 10, 14], [22, 24, 23], [27, 28, 26]]
34: [[6, 5, 25, 3, 1, 19, 2, 8], [4, 11, 9, 15, 21], [7, 10, 14], [13, 24, 16, 12], [17, 18, 20, 28, 23, 22], [26, 27, 29]]
35: [[6, 5, 25, 3], [1, 19, 2, 8, 4, 11, 13, 9], [7, 17, 15, 10, 12, 14], [18, 23, 16, 20, 22], [29, 24, 21], [27, 26, 28]]
36: [[6, 5, 25], [3, 1, 19], [2, 8, 4, 11, 13, 7, 9, 28], [17, 15, 20, 18, 23, 22, 10, 12, 14], [16, 21, 24, 27], [26, 29]]
37: [[6, 5], [25, 3, 1, 19, 2, 8, 4, 11], [9, 15, 13, 7, 16, 12], [20, 22, 10], [18, 21, 17, 24, 23, 26, 14], [27, 29, 28]]
38: [[6, 5, 25, 3], [1, 19, 2], [8, 4, 15, 7, 13, 9, 11, 14], [20, 26, 10], [17, 16, 18, 28, 21, 23, 22, 12], [24, 27, 29]]
39: [[6, 5, 25], [3, 1, 19, 2, 8, 4, 11, 7, 12], [15, 9, 20, 22, 10], [13, 16, 17, 21, 18, 14], [23, 24, 26], [27, 28, 29]]
40: [[6, 5], [25, 3, 1, 19, 2, 8, 4], [11, 15, 9, 7, 12], [17, 16, 24, 18, 28, 22, 10, 14], [13, 20, 21, 26], [23, 29, 27]]
41: [[6, 5, 25, 3], [1, 19, 2, 8, 4, 11, 9, 15], [18, 13, 7, 24, 17, 10, 14, 12], [16, 26, 22], [21, 28, 23], [27, 20, 29]]
42: [[6, 5, 25, 3], [1, 19, 2, 8, 4, 11, 9, 15], [7, 13, 28, 18, 20, 22, 10, 12], [17, 16, 21], [23, 27], [26, 24, 29, 14]]
43: [[6, 5, 25, 3, 1, 19, 2, 8], [4, 11, 13], [7, 20, 28, 9, 15, 10, 14], [16, 17, 21], [18, 23, 24, 22, 12], [27, 26, 29]]
44: [[6, 5, 25, 3], [1, 19], [2, 8, 4, 15, 9, 11, 17, 14], [7, 26, 24, 13, 10], [16, 18, 20, 21, 23, 22, 12], [27, 28, 29]]
45: [[6, 5, 25, 3, 1, 19, 2, 8], [4, 11, 13, 7, 9, 10, 12], [28], [17, 15], [21, 24, 26, 16, 20, 29, 14], [18, 27, 23, 22]]
46: [[6, 5, 25, 3, 1, 19, 2, 8], [4, 11, 13, 15, 9, 7, 10, 12], [18, 17, 16], [21, 20, 22, 14], [23, 29, 27], [28, 24, 26]]
47: [[6, 5, 25, 3, 1, 19, 2], [8, 4, 11, 15, 12], [13, 18], [7, 20, 9, 22, 10], [17, 16, 21, 23, 28, 26, 14], [24, 27, 29]]
48: [[6, 5, 25, 3, 1, 19, 2], [8, 4, 15, 9, 11, 12], [7, 18, 13, 24, 16, 22, 10, 14], [17, 20], [21, 23, 26], [27, 28, 29]]
49: [[6, 5, 25, 3, 1, 19, 2, 8, 4, 12], [11, 15], [13], [17, 21, 7, 9, 20, 16, 22, 10], [23, 18, 24, 26, 14], [28, 27, 29]]
50: [[6, 5, 25, 3, 1, 19, 2, 8], [4, 11, 9, 15, 28, 13, 7, 18, 10], [17], [20, 16, 21, 12], [23, 27, 22], [24, 26, 29, 14]]
51: [[6, 5, 25, 3, 1, 19, 2, 8], [4, 13, 7, 15, 9, 11, 18, 26, 14], [21, 16, 17, 10, 12], [20, 28, 23, 22], [24, 27, 29]]
52: [[6, 5, 25, 3, 1, 19, 2], [8, 4, 11, 12], [9, 15, 7, 28, 21, 26, 14], [18, 20, 16, 22, 10], [13, 17, 24], [23, 27, 29]]
53: [[6, 5, 25, 3, 1, 19, 2, 8], [4, 11, 7, 9, 13, 26, 15, 16, 14], [18, 20, 24, 10, 12], [28, 17, 21], [27, 23, 29, 22]]
54: [[6, 5, 25, 3, 1, 19, 2, 8, 4, 12], [11, 13, 10], [7, 9, 18], [20, 15, 23, 17, 24, 21, 16, 22, 27, 14], [26, 28, 29]]
55: [[6, 5, 25, 3, 1, 19, 2, 8, 4, 11, 9, 12], [15, 7, 16], [28, 22, 10], [17, 20, 18, 13, 21, 26, 27, 14], [29, 24, 23]]
56: [[6, 5, 25, 3], [1, 19, 2, 8, 4, 11, 13, 12], [7, 9, 28, 26, 18, 10, 14], [15, 23, 16, 20, 22], [17, 21], [27, 24, 29]]
57: [[6, 5, 25, 3, 1, 19, 2, 8, 4, 11, 12], [15, 7, 10, 9], [21, 13, 14], [22, 18, 26, 28, 16, 20, 17, 23], [27, 24, 29]]
58: [[6, 5, 25, 3, 1, 19, 2], [8, 4, 11, 9, 14, 12], [29, 7], [13, 17, 15, 20], [18, 28, 21, 27, 23, 22, 10], [26, 24, 16]]
59: [[6, 5, 25, 3, 1, 19, 2, 8, 4], [11, 7, 10], [9, 23, 12], [13, 18, 26, 22, 14, 15, 24, 21, 29, 20, 16], [27, 17, 28]]
