0: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
32: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
33: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
34: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
35: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
36: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
37: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
38: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
39: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
40: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
41: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
42: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
43: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
44: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
45: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
46: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
47: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
48: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
49: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
50: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
51: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
52: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
53: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
54: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
55: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
56: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
57: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
58: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
59: [[19, 7, 2], [1, 4, 3, 5, 6, 20, 11, 12, 15, 25, 8, 14], [9, 17, 18, 10, 13, 16, 22, 23, 24, 28], [27, 26, 21], [29]]
