0: [[22, 3, 5, 16], [1, 2], [12, 7, 14, 4, 10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
19: [[22, 3], [5, 16], [1, 2], [12, 7, 14, 4, 10, 11, 6], [9, 8], [13, 15, 18], [17, 19, 20], [23, 21, 24]]
20: [[22, 3], [5, 16], [1, 2], [12, 7, 14, 4, 10, 11, 6], [9, 8], [13, 15, 18], [17, 19, 20], [23, 21, 24]]
21: [[22, 3], [5, 16], [1, 2], [12, 7, 14, 4], [10, 11], [6, 9, 8, 13, 15, 18], [17, 19, 20], [23, 21, 24]]
22: [[22, 3, 5, 16], [1, 2], [12, 7], [14, 4], [10, 11, 6, 9], [8, 13, 15, 18, 17], [19, 20], [23, 21, 24]]
23: [[22, 3], [5, 16], [1, 2], [12, 7, 14, 4], [10, 11], [6, 9, 8, 13, 15, 18], [17, 19, 20], [23, 21, 24]]
24: [[22, 3], [5, 16, 1, 2, 12, 7], [14, 4], [10, 11, 6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
25: [[22, 3], [5, 16, 1, 2, 12, 7], [14, 4], [10, 11, 6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
26: [[22, 3], [5, 16, 1, 2, 12], [7, 14], [4, 10], [11, 6], [9, 8, 13, 15], [18, 17, 19, 20], [23, 21, 24]]
27: [[22, 3, 5, 16], [1, 2, 12, 7], [14, 4], [10, 11], [6, 9], [8, 13, 15, 18, 17], [19, 20], [23, 21, 24]]
28: [[22, 3], [5, 16], [1, 2], [12, 7, 14], [4, 10, 11, 6], [9, 8, 13, 15, 18, 17], [19, 20], [23, 21, 24]]
29: [[22, 3], [5, 16], [1, 2, 12, 7], [14, 4, 10, 11, 6, 9], [8, 13], [15, 18], [17, 19, 20], [23, 21, 24]]
30: [[22, 3], [5, 16, 1, 2, 12], [7, 14, 4, 10], [11, 6], [9, 8], [13, 15], [18, 17, 19, 20], [23, 21, 24]]
31: [[22, 3, 5, 16, 1, 2, 12], [7, 14], [4, 10], [11, 6], [9, 8], [13, 15, 18, 17], [19, 20], [23, 21, 24]]
32: [[22, 3], [5, 16, 1, 2, 12], [7, 14, 4, 10], [11, 6], [9, 8], [13, 15, 18, 17], [19, 20], [23, 21, 24]]
33: [[22, 3], [5, 16], [1, 2], [12, 7, 14], [4, 10, 11], [6, 9, 8, 13, 15, 18, 17], [19, 20], [23, 21, 24]]
34: [[22, 3], [5, 16], [1, 2], [12, 7], [14, 4, 10, 11, 6], [9, 8], [13, 15, 18, 17, 19, 20], [23, 21, 24]]
35: [[22, 3], [5, 16, 1, 2], [12, 7], [14, 4], [10, 11, 6, 9], [8, 13, 15, 18, 17], [19, 20], [23, 21, 24]]
36: [[22, 3], [5, 16, 1, 2, 12], [7, 14], [4, 10], [11, 6, 9, 8], [13, 15, 18, 17], [19, 20], [23, 21, 24]]
37: [[22, 3, 5, 16, 1, 2], [12, 7], [14, 4, 10, 11, 6], [9, 8], [13, 15], [18, 17], [19, 20], [23, 21, 24]]
38: [[22, 3, 5, 16, 1, 2, 12], [7, 14], [4, 10, 11, 6], [9, 8], [13, 15], [18, 17], [19, 20], [23, 21, 24]]
39: [[22, 3, 5, 16, 1], [2, 12], [7, 14, 4, 10, 11, 6], [9, 8], [13, 15], [18, 17], [19, 20], [23, 21, 24]]
40: [[22, 3], [5, 16, 1, 2, 12, 7], [14, 4], [10, 11, 6], [9, 8], [13, 15], [18, 17, 19, 20], [23, 21, 24]]
41: [[22, 3], [5, 16], [1, 2, 12, 7], [14, 4], [10, 11, 6, 9], [8, 13, 15, 18, 17], [19, 20], [23, 21, 24]]
42: [[22, 3, 5, 16], [1, 2], [12, 7, 14, 4, 10, 11], [6, 9], [8, 13], [15, 18], [17, 19, 20, 23], [21, 24]]
43: [[22, 3, 5], [16, 1], [2, 12], [7, 14], [4, 10], [11, 6, 9, 8], [13, 15, 18, 17, 19, 20], [23, 21, 24]]
44: [[22, 3, 5], [16, 1, 2, 12], [7, 14], [4, 10, 11, 6, 9, 8], [13, 15], [18, 17], [19, 20], [23, 21, 24]]
45: [[22, 3, 5], [16, 1, 2], [12, 7], [14, 4, 10, 11, 6, 9], [8, 13], [15, 18], [17, 19], [20, 23, 21, 24]]
46: [[22, 3], [5, 16, 1, 2, 12, 7], [14, 4], [10, 11], [6, 9], [8, 13], [15, 18, 17, 19], [20, 23, 21, 24]]
47: [[22, 3], [5, 16], [1, 2], [12, 7, 14, 4, 10], [11, 6, 9, 8, 13, 15], [18, 17], [19, 20, 23], [21, 24]]
48: [[22, 3], [5, 16, 1], [2, 12, 7, 14, 4], [10, 11], [6, 9, 8, 13, 15, 18], [17, 19], [20, 23], [21, 24]]
49: [[22, 3], [5, 16], [1, 2, 12, 7, 14, 4, 10], [11, 6], [9, 8, 13, 15], [18, 17], [19, 20, 23], [21, 24]]
