0: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
25: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
26: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
27: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
28: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
29: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
30: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
31: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
32: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
33: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
34: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
35: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
36: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
37: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
38: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
39: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
40: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
41: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
42: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
43: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
44: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
45: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
46: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
47: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
48: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
49: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
50: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
51: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
52: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
53: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
54: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
55: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
56: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [12], [3, 11, 20], [6, 5, 25, 22], [7, 23, 14], [21, 26, 27], [29, 10, 13]]
57: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [3, 11, 20, 12], [6, 5, 25], [7, 23, 22], [21, 26, 27, 14], [29, 13], [10]]
58: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [3, 11, 20, 12], [6, 5, 25], [7, 23, 22], [21, 26, 27, 14], [29, 13], [10]]
59: [[15, 4, 8], [2, 18, 24, 28], [19, 1, 9], [17, 16], [3, 11, 20, 12], [6, 5, 25], [7, 23, 22], [21, 26, 27, 14], [29, 13], [10]]
