0: [[20], [38], [3, 4], [65], [6, 9, 1, 2, 5, 16, 12, 13, 22], [29, 15, 14], [26, 80], [17, 31], [24, 23], [7], [18, 19], [27, 21, 34], [25, 28], [63, 33], [52, 48], [49], [30, 55], [47], [32, 45, 44, 39, 8, 10], [36, 40, 35, 37, 46], [41, 60], [58], [50, 53], [42, 54], [56, 61], [57], [51], [59], [64, 62, 77, 11, 43], [71, 70, 68], [72, 66, 76], [73, 67], [69, 78], [74, 75], [79, 82, 81], [85, 83], [84, 86, 87], [88]]
11: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 50, 48, 51, 49, 52, 54, 55, 63, 57, 56, 60, 61, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
12: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 43, 47, 45, 60, 52, 48, 51, 49, 46, 50, 55, 63, 54, 56, 61, 57, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
13: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 30, 18, 6, 17, 11, 20, 16, 21, 39, 53, 59, 31, 44, 8, 10], [26, 14, 15, 24, 19, 58, 27, 29, 35, 32, 38, 37, 43, 41, 40, 42, 47, 45, 46, 52, 49, 50, 54, 48, 55, 61, 63, 51, 57, 62, 60, 56, 70, 64, 68, 23], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
14: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 62, 48, 51, 55, 49, 54, 63, 61, 52, 50, 57, 56, 60, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
15: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 43, 41, 40, 42, 47, 45, 62, 46, 48, 51, 55, 52, 50, 49, 57, 60, 61, 54, 56, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
16: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 43, 40, 41, 47, 45, 60, 54, 48, 49, 50, 62, 52, 55, 63, 46, 56, 51, 57, 61, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
17: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 51, 48, 50, 49, 52, 54, 55, 61, 60, 57, 56, 62, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
18: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 45, 47, 43, 54, 50, 48, 51, 46, 52, 55, 61, 63, 49, 56, 57, 60, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
19: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 46, 41, 40, 43, 47, 42, 45, 50, 48, 51, 49, 52, 54, 63, 55, 60, 56, 57, 61, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
20: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 20, 16, 21, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 46, 47, 43, 45, 52, 48, 51, 49, 50, 54, 55, 63, 60, 56, 57, 61, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
21: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 46, 45, 50, 48, 51, 52, 49, 62, 54, 55, 57, 60, 56, 63, 61, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
22: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 20, 16, 21, 39, 53, 59, 31, 44], [26, 14, 15, 24, 19, 23, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 47, 43, 46, 45, 50, 48, 51, 49, 52, 54, 55, 60, 56, 57, 61, 62, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
23: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 30, 18, 6, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44, 8, 10], [24, 14, 15, 26, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 52, 49, 51, 48, 54, 50, 55, 57, 62, 56, 61, 60, 63, 70, 64, 68, 23], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
24: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 46, 47, 45, 43, 52, 48, 51, 49, 50, 54, 55, 60, 57, 61, 56, 62, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
25: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 50, 49, 48, 52, 54, 51, 55, 57, 60, 56, 61, 62, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
26: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 20, 16, 21, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 41, 42, 40, 43, 46, 45, 47, 54, 48, 49, 57, 51, 50, 63, 52, 61, 56, 62, 60, 55, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
27: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 50, 52, 48, 51, 49, 55, 54, 62, 57, 56, 61, 60, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
28: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 19, 23, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 45, 47, 46, 54, 48, 51, 55, 49, 50, 56, 60, 61, 52, 57, 63, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
29: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 20, 16, 21, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 29, 57, 35, 32, 38, 37, 42, 41, 40, 47, 27, 43, 45, 52, 48, 50, 46, 61, 54, 49, 60, 51, 55, 56, 62, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
30: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 50, 54, 48, 51, 46, 56, 49, 55, 57, 52, 62, 60, 61, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
31: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 46, 45, 52, 48, 50, 57, 49, 54, 51, 62, 61, 55, 56, 60, 63, 68, 64, 70], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
32: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 43, 40, 41, 47, 45, 46, 54, 48, 51, 49, 50, 52, 63, 55, 57, 56, 60, 61, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
33: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 47, 45, 46, 43, 52, 48, 51, 54, 50, 57, 49, 63, 55, 56, 61, 60, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
34: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 46, 47, 45, 43, 54, 48, 51, 49, 50, 52, 62, 55, 56, 57, 60, 61, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
35: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 52, 48, 51, 49, 50, 54, 55, 61, 56, 57, 60, 62, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
36: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 43, 47, 45, 46, 52, 48, 51, 50, 54, 49, 55, 63, 56, 61, 57, 60, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
37: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 52, 48, 51, 49, 54, 50, 61, 55, 56, 57, 60, 63, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
38: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 20, 16, 21, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 40, 41, 43, 47, 45, 46, 52, 49, 51, 57, 48, 54, 50, 61, 55, 56, 60, 62, 63, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
39: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 52, 49, 51, 48, 54, 50, 57, 61, 56, 55, 60, 62, 63, 68, 64, 70], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
40: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 47, 43, 46, 45, 52, 48, 51, 50, 54, 49, 57, 55, 60, 56, 62, 63, 61, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
41: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 46, 45, 60, 48, 51, 50, 49, 52, 61, 54, 57, 56, 55, 63, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
42: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 47, 43, 45, 46, 50, 52, 51, 49, 48, 54, 55, 62, 60, 56, 57, 63, 61, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
43: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 60, 54, 48, 49, 51, 46, 52, 55, 63, 50, 56, 57, 62, 61, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
44: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 42, 37, 38, 41, 40, 43, 47, 45, 46, 54, 48, 50, 51, 52, 49, 55, 61, 56, 60, 57, 63, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
45: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 45, 47, 46, 43, 50, 48, 51, 49, 60, 52, 55, 54, 56, 61, 63, 57, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
46: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 60, 50, 52, 46, 51, 48, 49, 55, 63, 57, 56, 54, 61, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
47: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 47, 43, 45, 46, 54, 48, 51, 49, 50, 60, 55, 62, 52, 56, 57, 63, 61, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
48: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 43, 41, 40, 42, 47, 45, 60, 50, 48, 51, 46, 57, 49, 63, 61, 52, 55, 54, 56, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
49: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [26, 14, 15, 24, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 46, 45, 52, 48, 55, 49, 50, 54, 51, 57, 60, 63, 56, 61, 62, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
50: [[22, 36, 3, 4, 2, 12, 1, 25, 13, 28], [7, 5, 34, 33, 9, 10, 30, 18, 6, 8, 17, 11, 21, 16, 20, 39, 53, 59, 31, 44], [24, 14, 15, 26, 23, 19, 58, 27, 29, 35, 32, 38, 37, 42, 41, 40, 43, 47, 45, 46, 52, 48, 50, 54, 49, 55, 63, 51, 56, 57, 60, 62, 61, 70, 64, 68], [78, 67, 66, 65, 72, 77, 71, 73, 69, 75, 74, 84, 79, 76, 82, 80, 83, 87, 86, 85, 81, 88]]
