0: [[8], [3, 30, 51, 58], [59, 37, 29], [41, 16, 54, 43], [22, 40], [55], [20, 1, 19, 26, 31, 47], [5, 27, 11], [7], [15, 6, 10], [38, 44], [23, 18], [35, 28, 46, 2], [32, 17], [56, 39], [52], [36, 9, 24, 45, 12], [42], [14, 13, 21], [48, 49], [53], [57, 33, 34], [60], [4, 25, 50]]
11: [[7, 35, 2, 27], [1, 3, 12, 14, 13, 10, 4, 8, 11, 5, 29, 15, 6, 22, 24, 30, 21, 31, 9, 23], [16, 25, 17, 28, 26, 18, 19, 20, 37, 36, 39, 34, 40, 38, 47, 46, 32, 45, 33, 41, 42], [43, 49, 48, 50, 51, 44, 53, 52, 55, 54, 56, 58, 59, 57, 60]]
12: [[7, 35, 2, 27], [1, 11, 4, 13, 3, 14, 9, 12, 5, 10, 8, 15, 16, 20, 17, 19, 18, 28, 21, 24, 25, 26, 23, 6], [29, 22, 30, 31, 36, 32, 33, 34, 47, 37, 41, 45, 38, 46, 42, 40, 39], [44, 43, 60, 53, 55, 49, 48, 52, 50, 54, 56, 57, 58, 51, 59]]
13: [[7, 35, 2, 27], [1, 11, 4, 9, 12, 8, 3, 31, 13, 15, 5, 19, 20, 14, 22, 10, 21, 6], [17, 16, 18, 25, 23, 24, 26, 29, 28, 30, 32, 36, 39, 34, 46, 44, 47, 33, 41, 42, 37, 38, 40], [45, 43, 48, 53, 49, 51, 54, 55, 50, 52, 58, 57, 56, 59, 60]]
14: [[7, 35, 2], [27, 3, 5, 14, 1, 9, 4, 6, 13, 10, 12, 24, 8, 20, 30, 15, 11, 21, 19, 18, 22, 16, 28, 23], [29, 26, 17, 25, 31, 34, 38, 33, 36, 47, 37, 32, 46, 39, 40, 41, 43, 42], [45, 44, 52, 49, 50, 48, 53, 54, 57, 55, 58, 51, 56, 59, 60]]
15: [[7, 35, 2, 19], [1, 3, 4, 5, 12, 6, 24, 11, 14, 8, 10, 17, 13, 9, 20, 16, 21, 29, 27], [15, 18, 26, 23, 25, 28, 30, 22, 31, 33, 36, 37, 41, 46, 32, 34, 38, 39, 40, 42, 44, 45], [43, 56, 58, 48, 53, 60, 47, 51, 54, 49, 50, 52, 55, 59, 57]]
16: [[7, 35, 2, 27], [3, 4, 5, 8, 10, 14, 12, 6, 9, 17, 24, 13, 1, 11, 16, 21, 15, 20, 29, 22], [18, 19, 23, 26, 28, 30, 25, 31, 32, 36, 33, 37, 42, 41, 47, 34, 46, 43, 38, 39, 40], [45, 44, 48, 49, 50, 52, 51, 55, 56, 53, 54, 57, 59, 58, 60]]
17: [[7, 35, 2, 27], [3, 4, 5, 8, 10, 14, 12, 6, 9, 17, 24, 13, 1, 11, 16, 21, 15, 20, 29, 22], [18, 19, 23, 26, 28, 30, 25, 31, 32, 36, 33, 37, 42, 41, 47, 34, 46, 43, 38, 39, 40], [45, 44, 48, 49, 50, 52, 51, 55, 56, 53, 54, 57, 59, 58, 60]]
18: [[7, 35, 2, 27], [3, 4, 5, 8, 10, 14, 12, 6, 9, 17, 24, 13, 1, 11, 16, 21, 15, 20, 29, 22], [18, 19, 23, 26, 28, 30, 25, 31, 32, 36, 33, 37, 42, 41, 47, 34, 46, 43, 38, 39, 40], [45, 44, 48, 49, 50, 52, 51, 55, 56, 53, 54, 57, 59, 58, 60]]
19: [[7, 35, 2, 27], [1, 3, 4, 5, 6, 14, 10, 11, 9, 13, 24, 12, 8, 16, 29, 30, 15], [21, 17, 18, 19, 20, 23, 22, 25, 26, 28, 31, 32, 37, 33, 34, 38, 36, 39, 40, 41, 46, 43, 45, 44], [47, 48, 54, 42, 49, 55, 50, 51, 59, 52, 56, 53, 57, 58, 60]]
20: [[7, 35, 2, 27], [1, 4, 3, 5, 12, 9, 13, 14, 10, 11, 8, 24, 15, 20, 19, 16, 6, 29, 18, 17, 21, 25, 28, 23], [22, 26, 31, 30, 32, 36, 33, 37, 46, 38, 47, 34, 40, 39, 41, 44, 42], [45, 43, 56, 49, 50, 55, 51, 53, 52, 48, 58, 54, 57, 60, 59]]
21: [[7, 35, 2], [27, 1, 3, 4, 12, 8, 15, 5, 11, 10, 9, 30, 14, 13, 31, 16, 20, 22, 17, 19, 21, 23, 6, 18, 24], [25, 26, 28, 29, 32, 36, 33, 38, 47, 37, 39, 34, 42, 44, 40, 41, 43], [45, 46, 50, 51, 49, 48, 54, 52, 53, 55, 59, 56, 57, 58, 60]]
22: [[7, 35, 2], [27, 1, 3, 10, 5, 13, 17, 14, 4, 12, 9, 8, 11, 21, 20, 16, 6], [23, 19, 28, 18, 24, 30, 26, 22, 29, 31, 25, 15, 32, 36, 33, 34, 59, 37, 39, 38, 40, 41, 44, 42, 43], [45, 46, 60, 47, 49, 48, 52, 50, 51, 56, 53, 55, 58, 54, 57]]
23: [[7, 35, 2, 27], [3, 4, 5, 8, 10, 14, 12, 6, 9, 18, 24, 13, 1, 11, 16, 21, 15, 20, 29, 22], [17, 23, 19, 26, 28, 31, 25, 30, 34, 36, 37, 32, 42, 33, 44, 38, 39, 47, 41, 43, 40], [45, 46, 48, 49, 50, 53, 51, 54, 56, 52, 55, 57, 59, 58, 60]]
24: [[7, 35, 2, 27], [3, 6, 4, 1, 13, 8, 14, 5, 9, 15, 29, 11, 16, 12, 24, 21, 17, 20, 23, 18, 22, 10, 19, 30], [28, 31, 25, 26, 32, 37, 33, 34, 42, 41, 39, 46, 36, 47, 38, 40, 43], [44, 45, 50, 48, 49, 51, 55, 54, 53, 52, 57, 60, 56, 59, 58]]
25: [[7, 35, 2, 27], [3, 1, 12, 14, 5, 10, 6, 9, 8, 4, 15, 11, 13, 18, 21, 23, 17, 20, 22], [25, 16, 26, 19, 24, 31, 28, 29, 30, 34, 32, 33, 38, 36, 37, 47, 39, 43, 44, 40, 46, 41], [45, 42, 51, 55, 57, 54, 52, 48, 53, 49, 58, 50, 60, 56, 59]]
26: [[7, 35, 2, 27], [1, 3, 4, 5, 12, 10, 30, 6, 8, 13, 24, 11, 9, 14, 31, 15, 21, 20, 17, 18], [23, 16, 28, 19, 22, 25, 29, 26, 32, 36, 33, 34, 38, 37, 45, 51, 42, 44, 41, 43, 47], [40, 46, 39, 53, 48, 50, 49, 54, 55, 52, 58, 57, 59, 56, 60]]
27: [[7, 35, 2, 19], [5, 4, 8, 15, 24, 17, 14, 11, 27, 3, 31, 6, 22, 10, 1, 9, 12], [13, 21, 16, 18, 23, 20, 28, 25, 30, 29, 26, 32, 36, 39, 46, 33, 34, 44, 37, 42, 38, 45, 40, 41], [43, 47, 59, 56, 49, 54, 52, 51, 53, 55, 48, 50, 57, 58, 60]]
28: [[7, 35, 2, 27], [1, 3, 4, 14, 12, 28, 8, 11, 9, 5, 13, 17, 18, 19, 16, 15, 10, 21, 6], [22, 24, 26, 25, 30, 20, 23, 29, 58, 36, 38, 34, 39, 37, 33, 31, 41, 42, 40, 32, 44, 49], [60, 43, 56, 45, 46, 54, 48, 55, 47, 50, 51, 59, 52, 57, 53]]
29: [[7, 35, 2, 27], [3, 1, 4, 5, 12, 6, 13, 11, 8, 9, 24, 15, 16, 22, 18, 10, 19, 14, 21, 17, 25, 26, 23, 20], [28, 31, 29, 30, 38, 36, 32, 33, 43, 37, 47, 45, 39, 34, 44, 40, 41], [42, 60, 48, 53, 54, 46, 50, 49, 52, 55, 56, 51, 58, 59, 57]]
30: [[7, 35, 2], [27, 1, 3, 4, 13, 5, 10, 6, 8, 11, 9, 28, 12, 15, 14, 29, 30, 18], [23, 31, 21, 24, 16, 17, 20, 19, 22, 25, 26, 33, 38, 32, 34, 40, 39, 45, 37, 36, 41, 42, 43, 44], [46, 47, 48, 54, 49, 51, 50, 52, 55, 53, 57, 56, 59, 58, 60]]
31: [[7, 35, 2, 27], [1, 3, 4, 15, 12, 20, 29, 10, 5, 6, 26, 8, 14, 9, 19, 11, 23, 21, 13, 16, 31, 17, 18, 22], [24, 25, 30, 28, 36, 38, 33, 34, 40, 41, 32, 39, 46, 47, 37, 43, 45], [42, 44, 48, 49, 50, 54, 53, 51, 52, 55, 57, 59, 56, 58, 60]]
32: [[7, 35, 2, 27], [3, 1, 4, 15, 9, 5, 24, 8, 12, 11, 31, 6, 10, 13, 14, 17, 19], [16, 20, 23, 25, 26, 18, 22, 28, 30, 21, 29, 32, 37, 33, 42, 46, 36, 40, 39, 34, 44, 38, 45, 47], [41, 43, 51, 52, 49, 50, 55, 54, 48, 53, 56, 57, 58, 59, 60]]
33: [[7, 35, 2, 27], [1, 11, 4, 8, 14, 3, 20, 6, 15, 9, 24, 13, 5, 10, 12, 16, 26, 23], [17, 21, 18, 22, 19, 25, 29, 28, 31, 30, 32, 36, 34, 33, 37, 45, 47, 38, 46, 42, 41, 40, 39], [43, 44, 52, 49, 48, 55, 50, 54, 51, 53, 58, 57, 59, 56, 60]]
34: [[7, 35, 2, 27], [3, 6, 5, 14, 15, 1, 28, 13, 4, 8, 30, 19, 9, 10, 16, 11, 12], [17, 18, 22, 21, 23, 24, 20, 25, 26, 29, 31, 32, 37, 36, 33, 43, 38, 46, 34, 40, 42, 44, 39, 41], [45, 47, 48, 57, 51, 52, 53, 55, 50, 49, 56, 54, 58, 59, 60]]
35: [[7, 35, 2], [27, 3, 5, 4, 9, 15, 8, 30, 6, 11, 10, 12, 13, 21, 14, 1, 22], [20, 18, 17, 16, 28, 23, 19, 26, 25, 24, 31, 29, 33, 52, 32, 34, 47, 39, 37, 36, 42, 44, 38, 46, 45], [40, 41, 56, 43, 49, 50, 51, 58, 48, 53, 54, 55, 57, 59, 60]]
36: [[7, 35, 2, 27], [3, 1, 8, 9, 13, 4, 5, 11, 10, 12, 24, 14, 16, 18, 6, 15, 17, 19, 20], [22, 21, 28, 23, 29, 26, 31, 25, 30, 34, 36, 32, 33, 39, 37, 47, 46, 38, 42, 45, 40, 41], [43, 44, 56, 49, 54, 55, 50, 52, 53, 57, 48, 51, 58, 59, 60]]
37: [[7, 35, 2, 27], [3, 1, 8, 9, 13, 4, 5, 11, 10, 12, 24, 14, 16, 18, 6, 15, 17, 19, 20], [22, 21, 28, 23, 29, 26, 31, 25, 30, 34, 36, 32, 33, 39, 37, 47, 46, 38, 42, 45, 40, 41], [43, 44, 56, 49, 54, 55, 50, 52, 53, 57, 48, 51, 58, 59, 60]]
38: [[7, 35, 2, 27], [3, 1, 8, 9, 15, 4, 5, 14, 6, 10, 24, 11, 20, 18, 12, 13, 17, 23, 16], [22, 19, 28, 21, 29, 30, 25, 26, 31, 32, 36, 33, 37, 39, 47, 34, 46, 38, 42, 45, 40, 41], [43, 44, 56, 49, 55, 50, 48, 52, 53, 51, 54, 58, 59, 57, 60]]
39: [[7, 35, 2, 27], [3, 1, 13, 4, 5, 8, 29, 15, 12, 6, 14, 9, 28, 10, 11, 16, 17, 20, 19, 24, 22], [23, 25, 26, 31, 18, 21, 30, 32, 36, 33, 46, 34, 45, 39, 40, 43, 38, 37, 41, 42], [44, 47, 59, 51, 49, 54, 55, 52, 48, 58, 50, 53, 60, 56, 57]]
40: [[7, 35, 2, 27], [1, 11, 4, 9, 6, 5, 15, 10, 20, 3, 12, 18, 13, 22, 24, 14, 8, 30, 17], [16, 31, 26, 21, 23, 19, 29, 25, 28, 32, 36, 33, 34, 38, 45, 47, 39, 41, 42, 40, 44, 37], [46, 48, 43, 49, 54, 53, 51, 52, 50, 55, 56, 58, 59, 57, 60]]
41: [[7, 35, 2, 27], [3, 1, 4, 6, 11, 10, 14, 9, 8, 15, 30, 12, 13, 17, 5, 20, 16, 18, 23, 19, 21], [22, 24, 25, 26, 28, 29, 31, 38, 32, 33, 36, 34, 39, 42, 45, 47, 43, 40, 41, 44], [46, 49, 52, 53, 37, 51, 50, 55, 54, 59, 56, 48, 58, 57, 60]]
42: [[7, 35, 2, 27, 3, 1, 12, 4, 6, 21, 14, 10, 13, 8, 11, 30, 16, 15, 5], [9, 31, 20, 19], [18, 23, 17, 25, 24, 22, 29, 26, 28, 32, 36, 33, 34, 37, 40, 38, 42, 43, 39, 45, 44, 47], [41, 46, 60, 48, 49, 51, 52, 50, 59, 54, 56, 53, 55, 57, 58]]
43: [[7, 35, 2, 27, 3, 5, 8, 1, 15, 4, 12, 11, 24, 22, 20, 18, 9, 10, 6], [13, 17, 14, 16, 21], [19, 23, 25, 29, 26, 31, 28, 30, 33, 36, 32, 37, 39, 38, 47, 34, 45, 42, 44, 40, 41], [43, 46, 56, 49, 50, 55, 48, 54, 53, 52, 57, 51, 58, 59, 60]]
44: [[7, 35, 2, 27], [1, 11, 4, 9, 12, 10, 22, 14, 6, 8, 25, 13, 3, 5, 17, 16, 15, 20], [21, 30, 18, 23, 19, 24, 26, 28, 29, 31, 32, 37, 33, 34, 38, 44, 47, 39, 40, 42, 41, 36, 43], [45, 46, 52, 49, 48, 54, 50, 55, 51, 53, 58, 57, 59, 56, 60]]
45: [[7, 35, 2, 27, 3, 1, 12, 15, 6, 11, 26, 4, 9, 5, 30, 8, 10, 17, 21, 13, 16, 20, 14, 18], [23, 22, 19, 31], [24, 28, 29, 25, 32, 36, 33, 34, 46, 37, 38, 40, 42, 44, 47, 43, 39], [45, 41, 51, 52, 49, 50, 54, 48, 53, 55, 60, 56, 58, 59, 57]]
46: [[7, 35, 2, 27, 3, 1, 5, 4, 14, 10, 30, 6, 9, 8, 12, 11, 29, 13, 16, 15, 17, 18, 21], [19, 20, 23, 22, 26, 25, 24, 28, 31, 33, 36, 32, 38, 46, 37, 34, 43, 39], [40, 41, 42, 45], [47, 57, 44, 55, 49, 54, 48, 52, 51, 56, 50, 53, 58, 59, 60]]
47: [[7, 35, 2, 27, 3, 6, 12, 5, 1, 9, 8, 11, 29, 10, 13, 26, 23, 14, 4, 21, 17, 16], [15, 18, 30, 19, 20, 24, 25, 28, 22, 31, 32, 36, 33, 46, 39, 42, 40, 34, 37], [38, 43, 44, 45], [41, 47, 49, 57, 50, 48, 53, 51, 55, 52, 56, 54, 58, 59, 60]]
48: [[7, 35, 2, 27, 3, 6, 12, 5, 13, 1, 14, 4, 9, 8, 24, 15, 11, 10, 19, 17, 21, 20], [22, 23, 18, 16], [30, 26, 28, 29, 25, 31, 32, 36, 37, 33, 46, 34, 47, 38, 40, 39, 44, 42, 41], [45, 43, 51, 49, 48, 55, 50, 54, 52, 53, 59, 56, 57, 58, 60]]
49: [[7, 35, 2, 27], [1, 3, 4, 5, 15, 14, 10, 6, 8, 9, 28, 11, 25, 12, 17, 13, 20, 23, 16, 18], [19, 21, 26, 30, 29, 22, 24, 31, 32, 36, 33, 38, 37, 44, 47, 34, 40, 42, 41, 43, 45], [56, 53, 46, 39, 49, 48, 51, 52, 55, 50, 54, 57, 59, 58, 60]]
50: [[7, 35, 2, 27], [1, 3, 12, 5, 6, 4, 15, 14, 9, 8, 18, 11, 10, 13, 25, 19, 16, 31, 17], [21, 24, 28, 23, 22, 20, 30, 29, 26, 33, 36, 38, 32, 37, 39, 43, 41, 46, 42, 44, 34, 45], [47, 49, 40, 50, 48, 55, 51, 53, 54, 59, 60, 56, 52, 58, 57]]
51: [[7, 35, 2, 27], [3, 4, 5, 8, 10, 14, 12, 6, 9, 17, 24, 13, 1, 11, 29, 16, 15, 20, 25, 23], [19, 18, 21, 26, 28, 31, 22, 30, 60, 36, 33, 37, 34, 39, 46, 38, 40, 43, 42, 47, 41], [45, 44, 48, 49, 50, 52, 32, 55, 57, 53, 51, 54, 59, 58, 56]]
52: [[3, 35, 2, 27, 1, 7, 4, 5, 8, 9, 6, 29, 12, 20, 11, 10, 14, 31, 13, 30, 21, 15], [16, 17, 22, 18, 25, 24, 51, 23, 19, 26, 34, 38, 41, 28, 32, 37, 40, 43, 36], [33, 42, 46, 45], [44, 47, 50, 52, 48, 55, 49, 54, 57, 39, 53, 56, 59, 60, 58]]
53: [[7, 35, 2, 27, 1, 6, 4, 5, 13, 3, 8, 9, 14, 10, 12, 24, 11, 21, 18, 15], [22, 23, 29, 19, 16, 20, 17, 25, 30, 28, 26, 31, 32, 36, 33, 37, 46, 38, 47, 34, 42], [39, 40, 41, 43], [44, 45, 56, 48, 50, 54, 51, 53, 52, 49, 55, 57, 58, 60, 59]]
54: [[7, 35, 2, 27], [3, 1, 4, 13, 10, 15, 28, 6, 11, 5, 8, 9, 14, 12, 17, 20, 16, 18], [23, 26, 24, 19, 21, 22, 29, 31, 25, 30, 33, 53, 36, 34, 32, 37, 39, 43, 47, 44, 45, 42, 41], [38, 40, 51, 46, 49, 55, 52, 50, 48, 54, 58, 57, 56, 59, 60]]
55: [[7, 35, 2, 27, 1, 3, 4, 5, 6, 12, 28, 11, 15, 10, 14, 8, 9], [13, 19, 18, 24, 29, 20, 22, 16, 23, 21, 17, 25, 26, 30, 31, 33, 32, 39, 44, 34, 41, 36, 37, 46], [38, 45, 42, 40], [47, 43, 50, 49, 53, 54, 48, 52, 55, 51, 56, 60, 57, 59, 58]]
56: [[7, 35, 2, 27, 1, 3, 5, 4, 13, 11, 30, 6, 8, 14, 12, 9, 21], [10, 15, 26], [16, 20, 25, 18, 23, 17, 19, 29, 22, 24, 28, 31, 32, 36, 33, 46, 43, 38, 44, 50, 34, 37, 45, 39, 40], [57, 53, 41, 42, 49, 48, 47, 54, 55, 60, 51, 52, 58, 59, 56]]
57: [[7, 35, 2, 27, 3, 1, 12, 4, 10, 6, 14, 5, 8, 15, 30, 9, 11, 13, 16, 31], [17, 18, 21, 23], [19, 22, 24, 20, 29, 28, 25, 26, 38, 36, 32, 34, 33, 37, 39, 45, 42, 41, 40, 43, 44], [46, 47, 48, 49, 54, 51, 50, 53, 52, 55, 56, 59, 58, 57, 60]]
58: [[7, 35, 2, 27, 3, 5, 4, 9, 13, 10, 14, 6, 24, 8, 11, 26, 25, 12, 15, 20, 1], [16, 17, 18, 21, 19, 23, 28, 30, 22, 29, 31, 34, 37, 33, 32, 42, 39, 36, 38, 45], [40, 47, 46, 43], [44, 41, 54, 49, 48, 53, 55, 50, 56, 57, 51, 52, 59, 58, 60]]
59: [[7, 35, 2, 27, 3, 14, 4, 5, 8, 31, 9, 1, 28, 11, 12, 15, 10, 6], [13, 17, 29, 16, 18, 19, 23, 26, 20, 24, 22, 25, 30, 32, 36, 33, 34, 37, 41, 45, 42, 39, 21], [40, 46, 43, 44], [38, 47, 59, 52, 49, 54, 51, 55, 50, 53, 56, 48, 57, 58, 60]]
60: [[7, 35, 2, 27, 1, 3, 4, 15, 13, 23, 8, 14, 5, 25, 10, 6, 18, 9, 11, 12, 16, 19, 21, 17], [22, 24, 26, 30, 20, 29, 28, 31, 32, 36, 33, 38, 44, 41, 47, 34, 37], [39, 42, 43, 40], [45, 60, 56, 52, 49, 46, 54, 55, 48, 50, 53, 57, 59, 58, 51]]
61: [[7, 35, 2, 19, 1, 3, 4, 13, 12, 6, 10, 5, 11, 8, 24, 27, 15, 9, 28, 20, 25, 26, 30], [29, 18, 14, 17, 16, 21, 22, 23, 31, 33, 36, 34, 43, 46, 32, 42, 38, 37], [45, 39, 44, 40], [41, 47, 58, 48, 53, 49, 59, 50, 54, 52, 55, 56, 51, 57, 60]]
62: [[7, 35, 2, 27, 1, 3, 4, 5, 6, 8, 21, 10, 11, 9, 30, 12, 28], [13, 25, 15, 16], [14, 20, 17, 19, 18, 29, 26, 22, 31, 23, 24, 32, 34, 33, 38, 40, 36, 45, 39, 43, 46, 41, 37, 44], [42, 47, 53, 51, 49, 55, 48, 50, 52, 54, 56, 57, 59, 58, 60]]
63: [[7, 35, 2, 27, 1, 11, 4, 5, 14, 8, 30, 6, 12, 9, 10, 31, 3, 13, 17, 18, 15, 22, 21], [23, 16, 20, 19, 24, 26, 28, 29, 25, 32, 36, 33, 34, 38, 44, 47, 37, 39], [40, 41, 42, 43], [45, 46, 48, 49, 52, 54, 50, 53, 51, 55, 57, 59, 58, 56, 60]]
64: [[7, 35, 2, 27, 1, 3, 4, 13, 5, 10, 6, 8, 9, 11, 28, 14, 15, 12], [21, 17, 18], [31, 23, 22, 16, 24, 26, 29, 19, 20, 25, 30, 33, 36, 32, 34, 40, 39, 45, 37, 38, 43, 42, 41, 44], [46, 51, 48, 54, 49, 47, 50, 52, 53, 55, 57, 56, 59, 58, 60]]
65: [[7, 35, 2, 27, 3, 14, 4, 5, 8, 1, 30, 6, 9, 10, 28, 15, 11, 12, 24], [17, 19, 16, 21], [23, 18, 13, 20, 22, 29, 31, 25, 26, 32, 36, 38, 33, 34, 41, 45, 46, 39, 37, 44, 43, 40], [42, 47, 51, 48, 49, 54, 53, 55, 50, 52, 57, 56, 58, 59, 60]]
66: [[7, 35, 26, 1, 3, 2, 13, 11, 12, 4, 9, 5, 8, 10, 25, 6, 14, 30, 20, 15, 21, 19], [23, 16, 27, 28, 22, 24, 17, 18, 29, 31, 32, 34, 33, 36, 39, 37, 47, 46, 38], [42, 41, 40, 44], [43, 45, 48, 52, 54, 51, 50, 55, 49, 53, 58, 56, 59, 60, 57]]
67: [[7, 35, 2, 27, 1, 3, 4, 15, 5, 10, 11, 12, 13, 9, 26, 8, 14, 19, 6, 16, 18, 21, 22, 17], [25, 29, 20, 24, 23, 28, 30, 31, 32, 36, 33, 34, 47, 37, 41, 46, 38], [39, 40, 42, 43], [45, 60, 44, 50, 49, 51, 52, 55, 48, 54, 53, 57, 56, 58, 59]]
68: [[7, 35, 2, 27, 1, 11, 4, 6, 9, 3, 20, 5, 13, 8, 10, 12, 16, 14, 21, 15, 19, 17, 18], [31, 26, 30, 22, 24, 29, 23, 28, 25, 32, 38, 36, 34, 37, 33, 45, 46, 39], [44, 42, 40, 47], [41, 43, 48, 52, 49, 50, 54, 55, 51, 53, 58, 56, 59, 57, 60]]
69: [[7, 35, 2, 27, 1, 6, 4, 5, 13, 10, 3, 9, 8, 14, 26, 11, 12, 15, 20, 16, 17, 21], [24, 19, 23, 18, 22, 28, 25, 29, 31, 30, 32, 36, 33, 34, 42, 37, 45, 39, 41], [38, 43, 46, 44], [40, 57, 47, 48, 50, 52, 49, 54, 51, 53, 55, 58, 59, 56, 60]]
70: [[7, 35, 2, 27, 1, 3, 4, 5, 8, 13, 15, 6, 9, 10, 12, 11, 21], [23, 16, 14], [20, 25, 17, 18, 19, 22, 26, 30, 24, 29, 28, 31, 32, 36, 33, 38, 45, 37, 47, 34, 40, 43, 44, 39, 41], [51, 46, 52, 57, 49, 48, 54, 42, 53, 50, 55, 58, 56, 59, 60]]
71: [[7, 35, 2, 27, 1, 3, 4, 15, 14, 8, 25, 11, 9, 30, 13, 28, 17, 5, 16, 12, 21, 6], [19, 20, 18, 29, 26, 22, 23, 24, 31, 36, 38, 34, 39, 41, 33, 42, 37, 43, 10], [46, 32, 44, 40], [60, 47, 53, 57, 45, 55, 48, 54, 49, 50, 51, 59, 52, 56, 58]]
72: [[14, 35, 2, 19], [49, 1, 12, 5, 13, 3, 36, 43, 10, 11, 4, 26, 6, 15, 20, 23, 47, 7, 24], [27, 8, 9, 28, 25, 22, 30, 17, 18, 16, 21, 32, 29, 41, 31, 60, 39, 46, 34, 38, 40, 42], [37, 33, 45, 44, 50, 48, 53, 51, 52, 54, 55, 59, 56, 57, 58]]
73: [[7, 35, 2, 27, 1, 11, 8, 4, 6, 5, 14, 3, 12, 9, 10, 13, 23], [15, 17, 21, 20, 19, 24, 18, 16, 22, 29, 30, 25, 26, 28, 46, 32, 36, 37, 34, 31, 41, 39, 38, 33], [43, 40, 42, 44], [49, 59, 45, 47, 51, 52, 48, 54, 53, 57, 50, 55, 58, 56, 60]]
