0: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4], [19, 15, 16, 28, 11, 23, 27, 12, 24, 18, 10], [30, 13, 17, 31, 26, 21, 6], [33, 29, 37, 25, 44, 53, 32, 34, 36, 38, 39], [41, 42, 46, 45, 47, 40, 43, 48, 51, 22], [49, 52, 54, 56, 55, 50, 59, 57, 58, 60]]
20: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 30, 27, 12, 10, 6], [26, 13, 21, 11, 16, 18, 24, 17, 23, 22, 29], [25, 31, 28, 37, 32, 34, 33, 45, 47, 36, 46, 38], [40, 41, 42, 39, 43, 44, 51, 50, 56], [49, 48, 52, 55, 53, 54, 59, 58, 57, 60]]
21: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4, 19], [15, 6, 27, 11, 10, 13, 16, 12, 21, 17, 18], [26, 28, 31, 22, 23, 25, 24, 29, 30, 33], [32, 34, 45, 37, 46, 36, 39, 44], [38, 41, 42, 40, 47, 43, 51, 56, 54], [49, 52, 48, 55, 53, 50, 58, 59, 57, 60]]
22: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4, 19], [15, 28, 10, 6, 11, 16, 13, 24, 17, 21, 18], [12, 22, 23, 25, 26, 27, 29, 30, 45], [31, 32, 39, 33, 37, 38, 34, 46, 36], [47, 44, 40, 41, 42, 43, 51, 56, 53], [49, 52, 54, 48, 50, 55, 57, 58, 59, 60]]
23: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 22, 27, 10, 11, 12], [6, 29, 17, 13, 21, 24, 18, 23, 16, 30, 26], [25, 28, 31, 33, 32, 34, 36, 37, 38, 43, 47, 44], [42, 41, 39, 40, 45, 46, 51, 56, 58], [49, 52, 48, 55, 53, 50, 54, 57, 59, 60]]
24: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 10, 11, 18], [13, 12, 21, 16, 17, 31, 23, 22, 24, 25, 28], [29, 26, 30, 37, 32, 34, 41, 33, 46, 36, 39, 38], [43, 40, 42, 45, 47, 44, 51, 56, 50], [49, 52, 48, 54, 53, 55, 57, 58, 60, 59]]
25: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 29, 11, 10, 12], [13, 17, 18, 21, 25, 23, 26, 16, 24], [22, 28, 30, 31, 27, 37, 32, 34, 33, 36, 42], [38, 43, 45, 39, 41, 44, 40, 46, 47, 51, 56, 50], [49, 52, 48, 55, 53, 54, 57, 58, 59, 60]]
26: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 11, 10, 12], [30, 13, 17, 16, 22, 23, 24, 18, 28], [21, 26, 29, 25, 31, 33, 32, 34, 36, 37, 38], [39, 41, 45, 40, 43, 42, 46, 44, 47, 51, 56, 58], [49, 52, 48, 55, 53, 54, 57, 50, 59, 60]]
27: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 22, 26, 10, 11, 28, 6, 13, 21], [17, 12, 16, 18, 23, 24, 27, 31, 29], [25, 30, 33, 34, 32, 37, 36, 38, 45], [43, 47, 40, 39, 42, 41, 44, 46, 51, 56, 58], [49, 52, 50, 55, 48, 54, 53, 57, 59, 60]]
28: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 10, 11, 28], [13, 24, 30, 16, 17, 23, 18, 29, 12, 21, 22], [26, 25, 31, 33, 32, 34, 36, 38, 46, 37, 39, 41], [40, 42, 47, 43, 45, 44, 51, 56, 50], [49, 52, 48, 55, 53, 54, 58, 57, 59, 60]]
29: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4], [19, 15, 6, 27, 12, 10, 29, 24, 17], [16, 18, 22, 11, 13, 28, 30, 31, 21, 25, 23, 26], [33, 34, 36, 32, 39, 47, 37, 38, 42], [41, 43, 45, 40, 44, 46, 51, 56, 54], [49, 48, 50, 52, 53, 55, 57, 58, 59, 60]]
30: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4, 19], [15, 30, 11, 28, 17, 13, 12, 16, 10, 21, 6], [23, 24, 25, 22, 26, 29, 27, 31], [37, 32, 34, 33, 36, 40, 38, 39, 44, 18], [42, 41, 45, 47, 43, 46, 51, 56, 48], [49, 54, 50, 55, 53, 59, 52, 58, 57, 60]]
31: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 31, 11, 10, 24], [17, 29, 12, 18, 13, 16, 21, 30, 28, 22, 23], [25, 26, 27, 37, 34, 32, 33, 36, 38], [39, 44, 41, 40, 43, 45, 42, 47, 46, 51, 56, 48], [49, 52, 50, 55, 54, 53, 57, 58, 59, 60]]
32: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 11, 10, 12], [21, 13, 16, 17, 18, 22, 28, 23, 26, 25, 29], [24, 31, 30, 37, 36, 33, 32, 34, 46, 38, 39, 40], [43, 44, 41, 45, 42, 47, 51, 59, 54], [49, 52, 48, 50, 53, 57, 55, 58, 56, 60]]
33: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 26, 10, 11, 28, 29, 12], [13, 16, 23, 18, 24, 21, 17, 25, 22], [31, 27, 30, 37, 32, 42, 33, 39, 34], [45, 36, 38, 40, 41, 47, 43, 44, 46, 51, 56, 50], [49, 52, 48, 54, 60, 53, 57, 55, 59, 58]]
34: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 10, 12, 27, 29, 24, 11, 13], [18, 17, 21, 16, 28, 26, 23, 31, 25, 22, 30], [33, 34, 32, 37, 39, 45, 38, 36, 42], [41, 40, 44, 43, 46, 47, 51, 56, 50], [49, 48, 52, 55, 53, 57, 58, 54, 59, 60]]
35: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 10, 11, 12], [13, 21, 17, 16, 24, 26, 22, 18, 28], [31, 23, 25, 29, 30, 45, 36, 34, 33, 39, 38, 47], [40, 37, 44, 32, 41, 43, 42, 46, 51, 56, 50], [49, 52, 48, 54, 53, 55, 57, 58, 59, 60]]
36: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 31, 10, 12, 28], [21, 29, 11, 16, 13, 17, 18, 22, 23, 25, 27], [24, 26, 30, 33, 38, 32, 37, 36, 34, 45, 40, 44], [42, 39, 43, 46, 41, 47, 51, 56, 48], [49, 52, 50, 55, 54, 53, 57, 59, 58, 60]]
37: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 30, 11, 18, 10, 16, 24, 12], [13, 17, 23, 21, 22, 26, 25, 28, 55, 27, 29], [33, 32, 31, 36, 34, 45, 38, 39, 37], [41, 40, 42, 43, 47, 44, 51, 56, 46], [49, 52, 54, 48, 53, 50, 57, 58, 59, 60]]
38: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4, 19], [15, 6, 30, 11, 10, 12, 16, 13, 18, 17, 21], [22, 24, 23, 31, 26, 27, 29, 25, 28], [37, 32, 34, 33, 38, 47, 42, 41, 36], [40, 43, 44, 39, 45, 46, 51, 48, 54], [49, 52, 50, 55, 53, 59, 58, 56, 57, 60]]
39: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 11, 10, 12], [25, 13, 30, 29, 16, 23, 24, 17, 22, 18, 21], [26, 28, 31, 37, 32, 34, 33, 44, 47], [40, 39, 36, 38, 42, 45, 41, 43, 46, 51, 56, 50], [49, 52, 48, 59, 53, 54, 55, 60, 57, 58]]
40: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 26, 10, 11, 24], [13, 28, 31, 12, 17, 23, 16, 18, 21], [22, 25, 30, 27, 29, 41, 32, 37, 36, 38, 46, 34], [39, 40, 43, 33, 45, 47, 42, 58, 51, 44, 54], [49, 52, 60, 55, 53, 50, 56, 48, 59, 57]]
41: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4, 19], [15, 6, 27, 10, 11, 18, 13, 12, 21, 16, 25], [23, 17, 22, 26, 24, 28, 29, 31, 30], [37, 36, 34, 40, 38, 42, 32, 45, 33], [39, 41, 47, 44, 43, 46, 51, 56, 50], [49, 52, 48, 55, 53, 54, 60, 59, 57, 58]]
42: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 25, 10, 11, 12], [13, 16, 22, 17, 18, 26, 23, 24, 28], [21, 29, 27, 30, 31, 33, 32, 39, 38, 40, 34, 46], [43, 36, 37, 41, 45, 47, 42, 44, 51, 56, 50], [49, 52, 48, 55, 53, 58, 57, 54, 59, 60]]
43: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4], [19, 15, 6, 10, 11, 12, 24, 25, 18], [27, 21, 23, 31, 13, 17, 16, 30, 26], [28, 22, 36, 33, 32, 38, 37, 29, 45], [42, 40, 39, 34, 46, 47, 41, 44, 43, 51, 56, 48], [49, 52, 50, 55, 53, 54, 59, 57, 58, 60]]
44: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4], [19, 15, 10, 30, 11, 12, 29, 16, 13, 18, 17, 22], [21, 24, 25, 23, 26, 31, 27, 28, 6], [37, 34, 32, 33, 36, 47, 38, 46, 45], [40, 39, 41, 42, 44, 43, 51, 56, 50], [49, 52, 53, 55, 60, 54, 58, 48, 57, 59]]
45: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 10, 11, 12, 13, 28, 21], [17, 16, 24, 26, 23, 18, 22, 25, 31, 30, 29], [33, 32, 34, 44, 37, 38, 39, 47, 36], [40, 41, 42, 43, 45, 46, 51, 56, 50], [49, 52, 48, 54, 53, 55, 58, 57, 59, 60]]
46: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 22, 27, 11, 6, 28], [10, 13, 12, 17, 25, 18, 16, 31, 21, 23, 24], [30, 26, 29, 33, 32, 34, 38, 37, 47, 39, 40, 44], [42, 43, 41, 45, 46, 54, 51, 56, 36], [49, 52, 48, 55, 53, 50, 57, 58, 59, 60]]
47: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 30, 27, 6, 11, 12, 29, 10], [17, 16, 18, 13, 21, 22, 23, 24, 25], [26, 31, 28, 45, 32, 34, 36, 33, 47], [38, 39, 37, 44, 40, 46, 43, 42, 52, 51, 56, 41], [49, 48, 54, 50, 53, 55, 57, 59, 58, 60]]
48: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4], [19, 15, 6, 27, 10, 11, 12, 26, 13], [21, 16, 17, 23, 24, 18, 28, 22, 31], [29, 25, 30, 33, 32, 34, 36, 37, 39], [43, 41, 45, 40, 44, 42, 38, 46, 47, 51, 56, 58], [49, 52, 48, 55, 53, 50, 57, 54, 59, 60]]
49: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 22, 26, 11, 10, 12, 28, 13, 24], [27, 6, 18, 16, 21, 17, 31, 23, 29], [30, 25, 37, 32, 34, 33, 36, 46, 39], [38, 45, 40, 41, 42, 43, 44, 47, 51, 48, 58], [49, 52, 50, 55, 56, 54, 53, 57, 59, 60]]
50: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4, 19], [15, 6, 10, 11, 13, 22, 24, 12, 21, 17, 27], [16, 23, 26, 25, 18, 28, 31, 30, 29], [37, 34, 36, 32, 33, 47, 41, 46, 44], [38, 43, 40, 39, 42, 45, 51, 58, 48], [49, 52, 50, 53, 54, 55, 59, 56, 57, 60]]
51: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 26, 10, 11, 12, 13, 18, 21], [25, 17, 28, 27, 23, 16, 22, 24, 30, 31, 29], [45, 32, 34, 44, 33, 38, 37, 47, 36], [39, 41, 42, 40, 43, 46, 51, 56, 50], [49, 54, 48, 52, 53, 55, 58, 57, 59, 60]]
52: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4, 19], [15, 22, 27, 10, 6, 24, 11, 13, 21, 17, 29], [26, 16, 31, 12, 30, 18, 25, 23, 28], [33, 32, 34, 39, 37, 47, 38, 42, 36], [40, 43, 44, 45, 41, 55, 51, 56, 46], [49, 52, 48, 50, 53, 54, 57, 58, 59, 60]]
53: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 18, 10, 11, 6, 12], [16, 13, 17, 23, 27, 25, 21, 26, 24], [22, 28, 29, 31, 30, 32, 37, 34, 39, 45, 36, 38], [46, 41, 43, 33, 40, 42, 44, 58, 59, 56, 50], [49, 48, 47, 55, 53, 54, 51, 57, 52, 60]]
54: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 26, 11, 29], [13, 12, 10, 22, 16, 18, 23, 17, 21], [24, 28, 31, 25, 30, 33, 34, 37, 36, 32, 45, 38], [39, 40, 42, 46, 41, 44, 43, 47, 51, 58, 50], [49, 52, 48, 54, 53, 55, 56, 57, 59, 60]]
55: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 26, 10, 11, 28], [29, 12, 21, 17, 13, 16, 18, 23, 22, 24, 25, 31], [27, 30, 33, 38, 32, 36, 37, 34, 41, 43, 39], [46, 44, 40, 47, 45, 42, 51, 56, 50], [49, 52, 48, 55, 53, 54, 58, 57, 59, 60]]
56: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4, 19], [15, 26, 11, 12, 29, 22, 17, 13, 10, 21, 6], [16, 24, 23, 25, 27, 28, 31, 30, 18], [44, 36, 34, 33, 32, 38, 37, 40, 42], [39, 43, 41, 45, 47, 46, 51, 56, 48], [49, 52, 50, 53, 55, 54, 57, 58, 59, 60]]
57: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4, 19], [15, 6, 26, 11, 10, 12, 13, 21, 22], [29, 17, 28, 18, 23, 16, 24, 25, 30, 27, 31], [33, 32, 34, 44, 36, 38, 37, 47, 45], [42, 39, 46, 40, 41, 43, 51, 48, 56], [49, 54, 50, 53, 52, 55, 58, 57, 59, 60]]
58: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4], [19, 15, 22, 25, 11, 6, 27, 28, 12, 10, 24], [13, 29, 16, 31, 18, 23, 21], [26, 30, 33, 17, 44, 32, 34, 37, 36, 38, 39], [40, 42, 41, 45, 47, 46, 43, 48, 59, 50], [49, 52, 51, 55, 53, 54, 57, 56, 58, 60]]
59: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 26, 11, 10, 12, 29, 13], [23, 21, 17, 16, 24, 18, 22, 25, 27, 31, 28, 30], [33, 32, 37, 36, 40, 34, 41, 43, 39], [38, 44, 45, 46, 42, 47, 51, 58, 50], [49, 52, 48, 55, 53, 54, 59, 56, 57, 60]]
60: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 24, 11, 13, 6], [12, 25, 22, 17, 16, 23, 28, 26, 31, 18, 10, 21], [30, 27, 29, 37, 32, 34, 33, 36, 47, 38, 43, 45], [44, 40, 42, 46, 41, 39, 51, 56, 50], [49, 52, 48, 55, 53, 59, 58, 60, 57, 54]]
61: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 26, 11, 12, 29], [10, 13, 17, 16, 28, 22, 18, 21, 23, 24, 25, 31], [27, 30, 33, 38, 34, 37, 32, 46, 39, 36, 40], [47, 43, 42, 41, 44, 45, 51, 48, 56], [49, 52, 50, 55, 53, 54, 58, 60, 59, 57]]
62: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 10, 11, 24], [29, 13, 26, 16, 17, 23, 22, 12, 18, 25, 30, 21], [28, 31, 37, 32, 34, 33, 36, 38, 39], [42, 46, 44, 40, 47, 43, 45, 41, 51, 56, 50], [49, 52, 48, 55, 53, 54, 57, 59, 58, 60]]
63: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 26, 10, 11, 24], [13, 29, 12, 16, 17, 31, 18, 21, 22], [27, 23, 25, 30, 28, 33, 36, 34, 32, 46, 37, 42], [38, 39, 41, 44, 43, 47, 45, 40, 51, 56, 50], [49, 52, 48, 55, 53, 54, 58, 57, 59, 60]]
64: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 11, 12, 10, 29, 13], [22, 17, 16, 18, 25, 21, 30, 23, 24], [26, 28, 31, 37, 32, 34, 33, 36, 47], [42, 38, 45, 40, 39, 44, 41, 46, 43, 51, 56, 50], [49, 52, 48, 54, 53, 55, 59, 58, 57, 60]]
65: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 26, 11, 12, 10], [17, 29, 25, 21, 16, 23, 13, 18, 30, 31, 22], [24, 27, 28, 41, 32, 33, 37, 34, 43, 39, 38, 45], [40, 36, 46, 42, 44, 54, 51, 56, 52], [49, 47, 48, 55, 53, 50, 59, 58, 57, 60]]
66: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 27, 11, 12, 24, 6], [25, 18, 16, 21, 26, 22, 31, 23, 10, 13], [28, 29, 17, 30, 33, 32, 34, 38, 36, 47], [40, 37, 39, 42, 44, 43, 41, 46, 45, 51, 56, 52], [49, 50, 48, 55, 53, 54, 57, 60, 59, 58]]
67: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 26, 11, 10, 13], [29, 28, 16, 22, 17, 18, 12, 23, 27, 21, 24], [25, 31, 30, 33, 32, 37, 36, 34, 43, 39, 38, 45], [40, 42, 47, 44, 46, 41, 51, 56, 50], [49, 52, 48, 55, 53, 54, 57, 58, 59, 60]]
68: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 11, 10, 13], [29, 28, 21, 18, 12, 16, 26, 30, 22, 24, 23], [17, 31, 25, 33, 32, 34, 39, 36, 46, 37, 38, 40], [42, 41, 43, 45, 44, 47, 51, 56, 50], [49, 52, 48, 54, 53, 55, 59, 58, 57, 60]]
69: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4], [19, 15, 6, 26, 10, 11, 24, 13, 12], [28, 21, 16, 18, 30, 22, 29, 17, 23], [31, 27, 25, 37, 32, 34, 41, 33, 38], [36, 40, 42, 44, 39, 45, 43, 46, 47, 51, 56, 50], [49, 52, 58, 55, 53, 60, 57, 48, 59, 54]]
70: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 26, 11, 10, 28, 12, 13], [29, 17, 22, 16, 18, 21, 23, 25, 30], [24, 31, 41, 34, 37, 32, 36, 39, 42, 33, 40], [38, 43, 45, 47, 46, 58, 51, 56, 50], [49, 52, 44, 55, 53, 48, 54, 59, 57, 60]]
71: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 10, 11, 28], [13, 29, 21, 18, 24, 12, 30, 16, 26, 17, 25, 31], [23, 22, 33, 32, 34, 36, 37, 45, 38, 39, 44], [42, 40, 47, 43, 41, 46, 51, 56, 52], [49, 48, 50, 55, 53, 59, 58, 54, 57, 60]]
72: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4], [19, 15, 6, 27, 10, 29, 12, 13, 18, 11, 21, 16], [31, 22, 23, 24, 26, 25, 30, 17], [28, 41, 32, 38, 33, 37, 47, 44, 45, 34], [43, 36, 39, 40, 46, 42, 51, 56, 50], [49, 52, 48, 53, 55, 54, 59, 58, 57, 60]]
73: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 30, 10, 31, 26], [16, 29, 11, 13, 22, 21, 24, 18, 12, 17, 23, 51], [27, 25, 33, 36, 39, 32, 34, 44, 28], [37, 38, 40, 45, 41, 59, 47, 56, 42, 43, 46], [49, 52, 54, 48, 55, 50, 57, 53, 58, 60]]
