0: [[11, 20, 12, 5, 2], [29, 3], [1, 4, 7, 9], [22, 6, 8, 37, 14], [13, 15, 19], [10, 17, 18], [16, 23], [21, 27, 24], [25, 26, 28], [31, 30, 32, 33, 34], [35, 36]]
44: [[11, 20, 12, 5], [2, 29, 3, 1], [4, 7], [9, 22, 6, 8, 37, 14, 13, 15, 19, 10, 17, 18, 16, 23, 21, 27, 24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
45: [[11, 20, 12], [5, 2], [29, 3], [1, 4], [7, 9, 22], [6, 8, 37, 14], [13, 15, 19, 10], [17, 18, 16], [23, 21, 27, 24], [25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
46: [[11, 20, 12], [5, 2], [29, 3, 1], [4, 7, 9], [22, 6, 8], [37, 14, 13], [15, 19, 10], [17, 18, 16], [23, 21, 27], [24, 25, 26], [28, 31], [30, 32], [33, 34, 35, 36]]
47: [[11, 20, 12], [5, 2], [29, 3], [1, 4, 7], [9, 22, 6], [8, 37, 14], [13, 15], [19, 10, 17], [18, 16, 23], [21, 27, 24], [25, 26], [28, 31, 30, 32], [33, 34, 35, 36]]
48: [[11, 20, 12], [5, 2], [29, 3, 1], [4, 7, 9], [22, 6, 8], [37, 14, 13], [15, 19, 10], [17, 18, 16], [23, 21], [27, 24, 25], [26, 28], [31, 30, 32, 33, 34, 35, 36]]
49: [[11, 20, 12], [5, 2], [29, 3], [1, 4, 7], [9, 22, 6], [8, 37, 14], [13, 15, 19], [10, 17], [18, 16, 23], [21, 27, 24], [25, 26], [28, 31, 30], [32, 33], [34, 35, 36]]
50: [[11, 20, 12], [5, 2, 29], [3, 1], [4, 7, 9, 22], [6, 8, 37, 14], [13, 15, 19, 10, 17], [18, 16, 23], [21, 27, 24, 25], [26, 28, 31, 30], [32, 33], [34, 35, 36]]
51: [[11, 20], [12, 5], [2, 29], [3, 1, 4], [7, 9], [22, 6], [8, 37, 14], [13, 15, 19], [10, 17], [18, 16, 23], [21, 27, 24], [25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
52: [[11, 20, 12], [5, 2, 29], [3, 1], [4, 7, 9], [22, 6, 8], [37, 14, 13], [15, 19, 10], [17, 18], [16, 23, 21], [27, 24, 25], [26, 28, 31], [30, 32, 33, 34], [35, 36]]
53: [[11, 20, 12], [5, 2], [29, 3], [1, 4, 7], [9, 22, 6], [8, 37, 14], [13, 15, 19], [10, 17], [18, 16, 23], [21, 27, 24, 25, 26], [28, 31], [30, 32, 33, 34, 35, 36]]
54: [[11, 20, 12], [5, 2, 29, 3], [1, 4, 7, 9, 22, 6, 8, 37, 14, 13, 15], [19, 10, 17, 18, 16, 23, 21, 27, 24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
55: [[11, 20], [12, 5], [2, 29, 3], [1, 4], [7, 9, 22], [6, 8], [37, 14, 13], [15, 19], [10, 17, 18, 16], [23, 21, 27], [24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
56: [[11, 20, 12], [5, 2, 29], [3, 1, 4], [7, 9], [22, 6, 8, 37], [14, 13, 15, 19], [10, 17, 18], [16, 23, 21], [27, 24, 25, 26], [28, 31, 30], [32, 33, 34], [35, 36]]
57: [[11, 20, 12], [5, 2], [29, 3, 1], [4, 7, 9], [22, 6], [8, 37], [14, 13, 15, 19], [10, 17, 18, 16, 23, 21, 27, 24, 25, 26, 28, 31, 30, 32], [33, 34, 35, 36]]
58: [[11, 20], [12, 5], [2, 29, 3], [1, 4, 7], [9, 22], [6, 8, 37], [14, 13, 15], [19, 10, 17], [18, 16, 23], [21, 27], [24, 25, 26], [28, 31], [30, 32, 33], [34, 35, 36]]
59: [[11, 20, 12], [5, 2, 29, 3, 1, 4, 7, 9, 22, 6, 8, 37, 14, 13, 15, 19, 10, 17, 18, 16, 23, 21, 27], [24, 25], [26, 28, 31, 30, 32, 33, 34, 35, 36]]
60: [[11, 20], [12, 5], [2, 29, 3], [1, 4], [7, 9, 22], [6, 8, 37], [14, 13, 15], [19, 10], [17, 18, 16, 23], [21, 27, 24, 25], [26, 28, 31, 30], [32, 33], [34, 35, 36]]
61: [[11, 20], [12, 5], [2, 29], [3, 1, 4], [7, 9], [22, 6, 8], [37], [14, 13, 15, 19, 10, 17, 18, 16, 23, 21, 27, 24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
62: [[11, 20, 12], [5, 2, 29], [3, 1, 4], [7, 9, 22], [6, 8, 37], [14, 13], [15, 19, 10], [17, 18], [16, 23], [21, 27, 24], [25, 26], [28, 31, 30], [32, 33], [34, 35, 36]]
63: [[11, 20, 12], [5, 2, 29], [3, 1, 4], [7, 9, 22], [6, 8], [37, 14, 13], [15, 19, 10], [17, 18, 16], [23, 21, 27], [24, 25, 26], [28, 31, 30, 32], [33, 34, 35, 36]]
64: [[11, 20, 12], [5, 2, 29, 3], [1, 4, 7, 9], [22, 6], [8, 37, 14, 13, 15, 19, 10, 17, 18, 16, 23, 21, 27, 24, 25, 26, 28, 31, 30], [32, 33, 34, 35, 36]]
65: [[11, 20], [12, 5], [2, 29], [3, 1, 4], [7, 9, 22], [6, 8], [37, 14, 13], [15, 19, 10], [17, 18], [16, 23], [21, 27, 24], [25, 26], [28, 31, 30], [32, 33], [34, 35, 36]]
66: [[11, 20], [12, 5], [2, 29, 3], [1, 4], [7, 9, 22, 6], [8, 37, 14], [13, 15, 19, 10], [17, 18, 16], [23, 21], [27, 24, 25, 26], [28, 31, 30, 32], [33, 34], [35, 36]]
67: [[11, 20, 12], [5, 2, 29], [3, 1, 4], [7, 9, 22], [6, 8, 37], [14, 13, 15], [19, 10], [17, 18, 16], [23, 21, 27, 24], [25, 26, 28, 31, 30], [32, 33, 34], [35, 36]]
68: [[11, 20, 12], [5, 2, 29], [3, 1, 4], [7, 9, 22], [6, 8, 37], [14, 13, 15], [19, 10], [17, 18], [16, 23, 21, 27, 24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
69: [[11, 20], [12, 5, 2, 29], [3, 1], [4, 7, 9, 22], [6, 8], [37, 14, 13], [15, 19, 10], [17, 18, 16, 23], [21, 27], [24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
70: [[11, 20, 12], [5, 2, 29], [3, 1], [4, 7, 9, 22], [6, 8, 37, 14], [13, 15, 19, 10, 17], [18, 16, 23, 21], [27, 24, 25, 26], [28, 31, 30], [32, 33, 34], [35, 36]]
71: [[11, 20, 12], [5, 2, 29], [3, 1, 4, 7, 9, 22, 6, 8, 37, 14, 13, 15, 19, 10, 17, 18, 16, 23, 21, 27, 24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
72: [[11, 20], [12, 5, 2, 29], [3, 1, 4, 7], [9, 22, 6], [8, 37, 14, 13], [15, 19, 10, 17, 18, 16, 23, 21, 27, 24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
73: [[11, 20], [12, 5, 2, 29], [3, 1, 4, 7], [9, 22, 6, 8], [37, 14, 13, 15], [19, 10, 17], [18, 16, 23], [21, 27, 24, 25], [26, 28, 31, 30], [32, 33], [34, 35, 36]]
