0: [[37, 7], [18, 33], [4, 3], [8, 9], [32, 2, 1, 5, 6, 31, 11, 24, 12, 22], [14, 15], [20, 17, 30, 19, 16, 25, 26, 21, 56, 62, 51], [27, 47, 46, 35, 63, 34, 28], [29, 36, 13, 23], [42, 38], [43, 60, 40, 41, 55, 48], [59, 52, 58, 53, 44, 39, 49, 45, 50, 54, 57, 10], [61, 68], [65, 64, 75, 67, 70, 66], [69, 73, 76, 77, 74, 78], [72, 71, 79, 80, 81, 86, 88, 82, 83, 85, 87, 84]]
11: [[37, 7], [18, 33], [4, 3], [8, 9], [32], [6, 1, 2, 11, 28, 5, 13, 12, 29, 16, 22, 20, 17, 26], [19, 23, 14, 52, 27, 25, 54, 30, 24, 15, 59, 10, 63, 38, 31, 21, 57, 34, 35, 43, 36, 41, 42, 45, 39, 44, 40, 58, 47, 50, 46, 49, 53, 51, 55], [48, 56], [62, 60], [61, 70, 65, 64, 68, 67, 66, 71, 69, 72, 77, 73, 75, 74, 76, 78, 83, 80, 88, 79, 87], [82, 81, 84, 86, 85]]
12: [[37, 7], [18, 33], [4, 3], [8, 9], [32], [6, 1, 2, 11, 28, 5, 13, 12, 29, 16, 22, 20, 17, 26], [19, 23, 14, 52, 27, 25, 54, 30, 24, 15, 59, 10, 63, 38, 31, 21, 57, 34, 35, 43, 36, 41, 42, 45, 39, 44, 40, 58, 47, 50, 46, 49, 53, 51, 55], [48, 56], [62, 60], [61, 70, 65, 64, 68, 67, 66, 71, 69, 72, 77, 73, 75, 74, 76, 78, 83, 80, 88, 79, 87], [82, 81, 84, 86, 85]]
13: [[37, 7], [18, 33], [4, 3], [8, 9], [5, 2], [1, 13, 6, 15, 11, 24, 12, 22, 27, 10, 28, 17], [30, 19, 16, 60, 26, 21, 25, 62, 51, 14, 47, 20, 54, 63, 34, 23, 61, 36, 41, 31, 46, 38, 43, 44, 32, 29, 39, 40, 59, 52, 42, 53, 45, 50, 49, 55, 48, 56, 57, 35, 58, 68, 65, 64, 78, 67, 70, 66, 69, 73, 76, 72, 74, 79, 75, 71, 77, 80, 81, 86, 88, 82, 87, 84, 83, 85]]
14: [[37, 7], [18, 33], [4, 3], [8, 9, 5, 2, 1, 6], [14, 26, 10, 15, 13, 20, 11, 57, 22, 17, 28, 12, 23, 16, 27, 19, 21, 24, 25, 31, 29], [46, 49, 38, 30, 40, 55], [35, 62, 41, 32, 34, 36, 43, 47], [39, 42, 44], [45, 50, 51, 52, 53, 58, 54, 48, 56], [59, 61, 60], [63, 68, 65, 64, 70, 66, 67, 69, 71], [78, 72, 75, 74, 76, 77, 73, 79, 82, 80, 84, 87, 83, 86, 85, 81, 88]]
15: [[37, 7], [18, 33, 4, 3, 8], [11, 1], [2, 5, 9, 14, 31, 29, 15, 6, 17], [19, 21], [48, 16, 27, 23], [61], [20, 52, 24, 47, 62, 12, 13, 22], [26, 60, 34, 28, 25, 55, 40, 41, 30, 44, 32, 36], [42, 43, 39, 49, 50, 54, 51, 35, 56, 38, 45, 46, 53, 57, 58, 63, 80, 70, 65, 59, 67, 64, 68, 66, 74, 77, 75, 73, 78, 79, 69, 71, 72, 82, 76, 84, 83, 81, 87, 85, 86, 88, 10]]
16: [[37, 7], [18, 33], [4, 3], [8, 11, 1], [10, 6], [5, 12], [31, 2, 26, 9, 14, 13, 28, 16, 29, 20, 19, 15, 25, 17, 56, 22, 21, 50, 23, 24, 27, 58, 59, 30], [52, 60, 53, 54, 38, 46, 36, 41, 32, 34, 35, 47, 44, 39, 40, 42, 55, 43, 45, 49, 51, 48, 57, 62, 61], [63, 76], [65, 64, 67, 66, 68, 69, 71, 70, 74, 77], [75, 73, 72, 79, 78, 88], [85, 81, 80, 83, 84, 87, 82, 86]]
17: [[37, 7], [18, 33], [4, 3], [8, 9], [1, 2], [6, 5, 14, 20, 19, 15], [10, 30, 13, 23, 11, 16, 24, 26, 12, 31, 28, 17], [21, 22], [25, 27, 62, 52, 38, 29, 48, 39, 49, 34, 32, 44, 43, 35], [45, 36, 40], [47, 41, 46, 53, 42, 56], [63, 50, 51, 54, 55, 57, 60, 58, 59], [61, 68, 64, 65, 71, 67, 66, 70, 76, 74, 79, 73, 72, 69, 75, 77, 78, 82, 80, 81, 87, 83, 86, 85, 84, 88]]
18: [[37, 7], [18, 33], [4, 3], [8, 9], [32], [6, 5, 1, 13, 2, 10, 12, 28, 21, 17, 22, 14, 11, 15], [16, 23, 31, 20, 19, 25, 55, 30, 24, 27, 43, 26, 60, 29, 44, 52], [35, 38], [47, 39], [36, 41], [42, 45, 50, 40, 34], [59, 53, 48, 46, 49, 54, 51, 63, 58, 56, 61, 57, 62, 70, 64, 65, 68, 67, 71, 78, 66, 72, 77, 73, 74, 69], [76, 79, 81, 80, 88, 87, 86, 82, 83, 85, 84, 75]]
19: [[37, 7], [18, 33], [4, 3], [8], [9, 32], [2, 5, 6, 10, 13, 1, 12, 30], [14, 25, 24, 11, 15, 16, 22, 19, 31, 23, 26], [17, 48], [63, 27, 20, 28, 53, 29], [35, 44, 47, 34, 39, 36, 42, 38, 21, 43, 40, 60, 41, 45, 55, 46, 49, 58, 54, 61, 50, 52, 57, 51, 59, 56, 62, 69, 65, 64, 73, 66, 71, 67, 68, 70, 75, 72, 76], [74, 77], [79, 78, 88], [84, 83, 82, 80, 86, 85, 87, 81]]
20: [[37, 7], [18, 33, 4, 3], [8, 9], [1, 6, 2, 5, 14, 10], [13, 11, 12, 15, 23, 17, 20, 22], [29, 16, 21], [24, 26, 25, 30, 27, 28, 31, 49, 19], [50, 43, 36], [40, 62, 35, 45, 34, 42, 44, 46, 39, 41, 32, 59, 47, 51, 38, 53, 48, 52, 60, 56, 54, 55, 57, 58, 61, 63, 66, 64, 72, 71, 74, 67], [65, 69, 68, 70, 75, 77, 73, 78, 76, 79, 86, 80, 82, 85, 84, 81, 87, 83, 88]]
21: [[37, 7], [18, 33], [4, 3, 8], [9, 1, 2, 12, 22, 5, 6, 30, 11], [15, 14, 16, 25, 21, 20, 23, 13, 17, 50, 28, 19, 26, 61, 24, 27, 39, 51, 29, 49, 10, 63, 34, 31, 35, 46, 38, 32, 42, 41, 44, 36, 40, 54, 43, 45, 47, 48, 52, 55, 53, 60, 56, 57, 58, 59, 62, 70, 64, 66, 65, 67, 71, 68, 69, 72, 77, 75, 78, 79, 73, 74, 76, 82, 81, 80, 83, 84, 85, 86, 87, 88]]
22: [[37, 7], [18, 33], [4, 3, 8], [9, 1, 2, 12, 22, 5, 6, 30, 11], [15, 14, 16, 25, 21, 20, 23, 13, 17, 50, 28, 19, 26, 61, 24, 27, 39, 51, 29, 49, 10, 63, 34, 31, 35, 46, 38, 32, 42, 41, 44, 36, 40, 54, 43, 45, 47, 48, 52, 55, 53, 60, 56, 57, 58, 59, 62, 70, 64, 66, 65, 67, 71, 68, 69, 72, 77, 75, 78, 79, 73, 74, 76, 82, 81, 80, 83, 84, 85, 86, 87, 88]]
23: [[37, 7], [18, 33], [4, 3], [8, 11, 1, 2, 6, 12], [5, 15, 9, 10, 14, 25, 13, 22, 21, 28, 24, 17], [19, 27, 29, 49, 16, 30, 26, 20, 60, 57, 54, 23, 52, 55, 36, 31, 43, 32, 35, 38], [48, 34, 46, 61, 40, 42, 63, 58, 39, 41, 44, 47, 45, 56, 50, 51, 62, 59, 53, 70, 64, 66, 68, 65, 79, 71, 69, 76, 67, 75, 77, 73, 72, 74, 78, 81, 84, 80, 83, 87, 82, 85, 86, 88]]
24: [[37, 7], [18, 33], [4, 3], [8, 9, 1, 6, 2, 12], [31, 10], [17, 5, 22, 24, 28, 13, 23, 19, 15, 16, 11, 55, 20], [21, 14, 25, 48, 27, 53, 58, 29, 35, 40, 36, 30, 32, 49, 41, 47, 43, 34, 38, 46, 39, 60, 42, 44, 45, 61, 52, 54, 50, 57, 51, 62, 56, 59, 63, 66, 76, 64, 26, 77, 67, 71, 72, 69, 68, 65, 80, 79, 73, 70, 74], [75, 82, 81, 78, 84, 87, 83, 86, 85, 88]]
25: [[37, 7], [18, 33], [4, 3], [8, 13, 34, 1, 14, 6, 9, 26, 5, 25, 30, 12], [27, 10], [17, 15, 20, 19, 21, 16], [22, 23, 29, 28, 24, 31], [59, 38, 39, 54, 44, 11, 35, 40, 32, 45, 41, 46], [36, 60, 42, 62, 48, 43, 47, 51, 49, 55, 50, 53, 52, 56, 61, 63, 58, 57, 69, 64, 66, 65, 75, 67, 70, 73, 77, 72, 68, 74, 78, 76, 79, 71, 80, 84, 87, 82, 85, 81, 2, 83, 86, 88]]
26: [[37, 7], [18, 33], [4, 3], [8, 9, 5, 2, 1, 11, 15, 10, 23], [13, 6, 29, 12, 30, 22, 20], [16, 17, 24, 31, 14, 19, 27], [25, 21, 26, 28, 36, 56, 60, 38, 40, 42, 43, 34, 61, 35, 39, 32, 47, 41, 46, 57, 44, 45, 52, 48, 54, 50, 49, 51, 53, 55, 58, 63, 59, 62, 68, 65, 64, 79, 66, 67, 73, 69, 70, 71, 75, 76, 72, 77, 74, 78, 82, 80, 85, 86, 81, 87, 83, 84, 88]]
27: [[37, 7], [18, 33, 4, 3, 8, 9], [6, 2], [5, 12, 11], [19, 26], [14, 1, 20], [29, 28, 23, 13, 15], [17, 24, 30, 10, 54, 25, 27, 21, 31, 59, 42, 61, 16, 22, 32, 38, 39, 35, 36, 40], [43, 46, 34, 47, 41, 45, 44, 56, 50, 60, 53, 62, 52, 48, 49], [51, 55, 57, 58, 63, 70, 64, 65, 68, 66, 67, 75, 71, 69, 72, 78, 76, 73, 74, 79, 77, 80, 81, 82, 86, 83, 84, 87, 85, 88]]
28: [[37, 7], [18, 33], [4, 3], [8, 11, 1, 2, 5, 12], [6, 15, 9, 14, 10], [13, 17, 39, 21], [22, 25, 19, 31, 16, 20, 23, 24, 26, 27, 28, 59, 58, 36, 29, 60, 57, 30, 38, 32, 45, 50, 34, 43, 35, 42, 40, 41, 47, 44, 46, 48, 51, 53, 54, 55, 56, 52, 62, 61], [63, 65, 68, 64, 49, 79, 66, 71, 70, 69, 78, 67, 72, 73, 74, 77, 75, 76, 80, 82, 87, 81, 83, 84, 85, 86, 88]]
29: [[37, 7], [18, 33], [4, 3], [8, 11], [5, 2, 1, 13, 15, 31, 9, 12, 6, 14], [21, 62, 23, 17, 10, 25, 58, 16, 19, 20, 22, 29, 26, 24, 27, 28, 30, 60, 34, 38, 40, 35, 32, 39, 50, 36, 56, 46, 42, 43], [45, 57, 55, 54, 41, 47, 48, 49, 53, 51, 61, 52, 59, 63, 44, 70, 80, 66, 64, 71, 77, 65, 76, 67, 75, 73, 79, 69, 74, 68, 72, 78, 84, 82, 83, 85, 81, 87, 86, 88]]
30: [[37, 7], [18, 33], [4, 3], [8, 9, 32, 1], [14, 2, 6, 5, 30, 11], [21, 26, 24, 29, 10, 12, 20, 31, 16, 13, 15, 19, 17, 61, 39, 22, 25, 27, 58, 52, 28, 59, 40, 49, 44, 34, 35, 36, 38, 23, 41, 43, 42, 45, 48, 47, 51, 46, 53, 55, 57, 50, 54, 60, 62, 63, 56, 68, 66, 65, 75, 64, 70, 69, 79, 67, 73, 72, 71, 74, 76, 78, 77, 80, 81, 83, 82, 85, 84, 86, 87, 88]]
31: [[37, 7], [18, 33], [4, 3], [8, 9, 32, 2, 1, 5, 11, 12, 13], [6, 20, 17, 10, 30, 22, 19, 14, 15, 25, 16, 26, 51, 23, 21, 27, 24, 28], [31, 29], [52, 36], [63, 35, 50, 34], [38, 39], [42, 41, 43, 60], [40, 47, 49, 46, 56, 44, 58, 45, 61, 48, 54, 55], [53, 59, 62, 57, 68, 66, 64, 71, 65, 73, 67, 69, 78, 70, 72, 76, 74], [75, 77, 79, 80, 84, 85, 81, 83, 86, 82, 87, 88]]
32: [[37, 7], [18, 33], [4, 3], [8, 9, 2, 1, 10, 5, 6, 11, 31, 13, 26, 25, 16, 12, 14, 19, 23, 15, 17, 20, 21, 50], [52, 29, 22, 24], [27, 59, 34, 56, 62, 30], [32, 44, 28, 61, 35, 42, 46, 38, 43, 57, 39, 36, 40, 41, 47, 53, 45, 49, 51, 54, 48, 58, 60, 55, 63, 68, 66, 64, 75, 67, 69, 74, 65, 71, 72, 70, 76, 73, 77, 79, 78, 80, 85, 83, 81, 84, 82, 86, 87, 88]]
33: [[37, 7], [18, 33, 4, 3, 8, 9], [1, 2, 12, 14, 5], [10, 26], [11, 15], [13, 6, 25, 21, 20, 23, 16, 17, 48, 24], [19, 49, 53, 22, 59, 52, 50, 29, 63, 27, 42, 28], [30, 43], [31, 44, 32], [34, 35, 39, 61, 40, 41, 47, 46, 45, 36], [60, 38, 51, 54, 56, 55, 57, 58, 62], [70, 64, 66, 65, 67, 69, 68, 71, 72, 77, 75, 78, 76, 73, 74, 79, 82, 86, 80, 83, 84, 81, 85, 87, 88]]
34: [[37, 7], [18, 33], [4, 3], [8, 9], [32, 6], [1, 2, 15, 13, 11, 10, 5, 29], [12, 25, 24, 17, 16, 20, 19, 22, 60, 14], [21, 53, 62, 52, 23, 26, 31, 59, 39, 54, 27, 34, 43, 47, 38, 28, 30, 41, 36, 42, 40, 46, 56, 44, 55, 35, 45, 50, 51, 49, 57, 63, 48, 58, 61, 68, 65, 64], [74, 66, 71, 69, 70, 67, 77, 72, 73, 75, 76, 78, 82, 88, 79, 83, 87, 80, 84, 85, 86, 81]]
35: [[37, 7], [18, 33], [4, 3], [8, 9], [1, 2, 6, 5, 10, 22, 20, 14, 31, 13, 11, 12], [17, 15], [21, 25], [24, 28], [52, 16, 26, 19, 27, 23, 29, 51, 30, 60, 34, 61, 32, 39, 36, 43, 35, 46, 40, 57, 41, 38, 45, 42, 44, 50, 49, 55, 54, 56, 48, 59, 53, 47, 58, 62, 63, 68, 65, 64, 77, 66, 67], [69, 71, 70, 74, 72, 76, 75, 73, 78, 79, 82, 80, 83, 86, 84, 88, 85, 87, 81]]
36: [[37, 7], [18, 33], [4, 3], [8], [9, 34], [1, 6, 2, 14, 13, 5, 12, 22, 10, 25], [24, 11, 15, 16, 17, 19, 31, 54, 50, 21, 58, 23, 57, 20, 30, 59], [36, 32, 45, 61, 26, 27, 38, 46, 29, 28, 43, 40, 35, 41, 42, 39], [44, 51, 49, 47, 48, 52, 60, 56, 53, 55, 63, 62, 73, 65, 64, 67, 66, 68, 71, 69], [70, 74, 76, 72, 75, 77, 79, 78, 88], [84, 83, 82, 80, 86, 85, 87, 81]]
37: [[37, 7], [18, 33], [4, 3, 8, 9, 32, 2, 6], [1, 14, 22, 5, 10, 13, 11], [12, 16, 19, 23, 21, 25, 24, 20, 17, 52], [58, 49, 27, 26, 28, 29, 30, 31, 34], [15, 35], [39, 42, 36], [38, 46, 43, 41, 40, 44], [47, 45, 53, 54, 55, 56], [50, 51], [57, 61, 48, 62, 59, 60], [63, 72], [65, 66, 69, 64, 71, 70], [75, 67, 73], [68, 74], [77, 78], [79, 76], [80, 83], [81, 86, 82], [84, 85, 87, 88]]
38: [[37, 7], [18, 33], [4, 3], [8, 9, 1, 10, 5, 2, 6, 12, 13, 11], [15, 14, 16, 19, 22, 20, 23, 25, 24, 26], [21, 49, 60, 43, 29, 17, 27, 42, 51, 30, 31, 56, 63, 28, 35, 38, 41, 46, 44, 34], [39, 40, 45, 36, 47, 57, 32, 50, 54, 53, 48, 59, 52, 58, 61, 55, 62, 68, 81, 65, 64, 66, 67], [74, 71, 77, 76, 73, 69, 70, 72, 75, 78], [79, 80], [82, 85, 86, 83, 87, 84], [88]]
39: [[37, 7], [18, 33], [4, 3], [8, 9, 32, 5, 6, 2], [30, 1], [10, 11], [13, 15, 27, 12, 29, 16, 14, 19, 20, 24], [26, 25, 62, 28, 17, 21], [57, 22, 23], [36, 44, 31], [50, 34, 41, 35, 38, 39, 40, 45, 43, 46, 42, 47, 59, 49, 58, 52, 51, 48, 53, 54, 55, 56, 63, 60], [61, 68, 80, 64, 75, 72, 67, 65, 69, 66, 78, 73, 77, 74, 76, 83, 79, 70, 71, 82, 81, 87, 84, 85, 86, 88]]
40: [[37, 7], [18, 33, 4, 3], [8, 9, 1, 6, 2, 24, 14, 27, 20, 5, 11, 28, 15, 12, 22], [26, 21, 16, 17, 19, 29, 30, 25, 48, 23, 40, 55, 13], [58, 35, 34, 36, 31, 44, 46, 32, 38, 39, 42, 47, 41, 43, 45, 50, 49, 57, 51, 52, 10], [54, 60, 53, 56, 62, 59, 61, 63, 69, 65, 64, 74, 68, 75, 67, 66, 78, 83, 72, 70, 73, 76, 71, 77, 80, 84, 85, 82, 79], [87, 88, 86, 81]]
41: [[37, 7], [18, 33], [4, 3], [8, 11, 1, 2, 5, 12], [14, 31, 29, 6, 9], [15, 17, 54, 23, 20, 25, 16, 30, 24, 21, 19, 60, 26, 42, 22, 59, 58, 38, 28, 27, 13, 34, 35, 32, 45, 50, 36, 40, 44, 46, 43, 41, 49, 62, 39, 52, 47, 56, 48, 55, 51, 53, 57, 63, 61, 64, 68, 65, 70], [66, 71, 74, 75, 69, 78, 67, 72, 73, 79, 77, 88, 76, 81, 82, 86, 80, 83, 84, 87, 85, 10]]
42: [[37, 7], [18, 33], [4, 3], [8, 11], [2, 1, 6, 5, 20, 13, 15, 9, 10, 23, 28, 26], [12, 17, 16, 25], [19, 21, 22, 24, 56, 27, 47, 29, 30, 31, 61, 34, 62, 14, 35, 42, 39, 32, 36, 38, 50, 40, 44, 46, 41, 58, 43, 51, 52, 59, 45, 49, 53, 55, 48, 60, 57, 63, 54, 68, 65, 66, 70, 64], [71, 74, 67, 69, 77, 73, 72, 75, 76, 78, 79, 80, 84, 83, 82, 85, 86, 88, 87, 81]]
43: [[37, 7], [18, 33], [4, 3, 8], [9, 32], [6, 1, 5, 22, 27, 14, 10, 15, 31, 12], [13, 17], [16, 21, 25, 20, 24, 26, 23, 60, 28, 29, 59], [38, 30, 41, 19, 51, 11, 42], [36, 43, 47, 62], [2, 34], [44, 46, 35, 39, 45, 48], [40, 54, 52, 55, 53, 56, 61, 50, 57, 49, 58, 63], [64, 66, 81, 77, 65, 67, 68, 78, 75, 69, 71, 72, 70, 74, 73, 76, 80, 83, 84, 82, 87, 86, 85, 79, 88]]
44: [[37, 7], [18, 33, 4, 3], [8, 9, 1, 6, 2, 24, 30, 11, 12, 5, 10, 15, 17, 14, 31], [28, 13, 19, 16, 49, 20, 21, 23, 57, 25, 40, 55, 45], [26, 35], [27, 56, 29], [41, 34, 38, 32, 39, 42], [44, 36, 43, 46, 51, 50, 52], [53, 58, 22, 47, 48, 59, 60, 54, 62, 61, 63, 69], [65, 64, 74, 72, 75, 67, 66, 68, 70, 76, 71, 73, 77, 78, 79, 80], [81, 85, 82, 83, 84, 86, 87, 88]]
45: [[37, 7], [18, 33], [4, 3], [8, 9, 2, 5, 1, 6, 10, 11, 19, 12, 43, 29, 28], [16, 13, 15, 17, 14, 60, 21, 57, 20, 59, 23, 30, 24, 52, 25, 49, 27, 55, 44, 22, 31, 32, 34, 46, 36, 35, 26, 38, 41, 39, 50, 63, 42, 40, 45, 48, 54, 53, 47, 51, 56, 58, 62, 61, 70, 65, 64, 78, 67, 68, 71, 66, 69, 72, 77, 73, 74, 75, 76, 79, 88, 81, 82, 86, 85, 80, 87, 83, 84]]
46: [[37, 7], [18, 33, 4, 3, 8, 9, 32, 2, 12, 5, 10, 23, 30, 11], [1, 6, 20, 31, 25, 14, 21, 17, 19, 15, 16, 13, 49, 48, 24, 28, 51, 22, 29, 26], [36, 44, 27, 39], [35, 43, 40, 53], [38, 41, 59, 34, 61, 47, 57, 42, 45, 46, 52, 56, 54, 55, 50, 58, 62, 60, 63, 70, 66, 64, 67, 65, 71, 74, 76, 68, 78], [79, 69, 72, 73, 75, 77, 80, 85, 82, 86, 81, 87, 84, 83, 88]]
47: [[37, 7], [18, 33], [4, 3], [8, 9, 5, 2, 1, 6], [14, 11, 10, 13, 12, 21, 28, 26, 24, 15, 22, 17, 52, 23, 56, 16, 51, 50, 19, 30, 20], [31, 25, 27, 29, 46, 54, 32, 55], [34, 35, 47, 38, 41, 43, 39, 45, 42, 44, 36, 40, 48], [53, 58, 59, 63, 60, 49, 57, 62, 61, 72, 66, 64, 79, 67, 65, 71, 69, 68, 75, 77, 76, 70, 73, 74, 78, 82, 80, 83, 86, 81, 87, 85, 88, 84]]
48: [[37, 7], [18, 33], [4, 3], [8, 9, 5, 2, 1, 12, 6, 15, 11, 24, 13, 10], [27, 20, 28, 17, 30, 16, 14, 60, 26, 31, 19, 23, 51, 21, 47, 62, 22, 63, 34, 25, 61, 36, 41, 29, 46, 38, 43, 44, 32, 39, 40, 42, 59, 48, 45, 53, 52, 50, 49, 54, 55, 56, 57, 35, 58, 68, 65, 64, 78, 67, 70, 66, 77, 73, 72, 69, 74, 79, 75, 71, 76, 80, 81, 83, 82, 86, 87, 88, 85, 84]]
49: [[37, 7], [18, 33], [4, 3], [8, 9, 5, 2, 1, 12, 6, 15, 11, 24, 13, 10], [27, 20, 28, 17, 30, 16, 14, 60, 26, 31, 19, 23, 51, 21, 47, 62, 22, 63, 34, 25, 61, 36, 41, 29, 46, 38, 43, 44, 32, 39, 40, 42, 59, 48, 45, 53, 52, 50, 49, 54, 55, 56, 57, 35, 58, 68, 65, 64, 78, 67, 70, 66, 77, 73, 72, 69, 74, 79, 75, 71, 76, 80, 81, 83, 82, 86, 87, 88, 85, 84]]
50: [[37, 7], [18, 33, 4, 3, 8, 9, 1], [2, 6, 12, 13, 5, 10, 11, 14, 21, 15], [22, 17, 28, 26, 16, 20, 19], [29, 49, 23, 30, 24, 25, 56], [51, 62, 52, 54, 45], [38, 42], [27, 32], [41, 35], [58, 36, 44, 63, 40, 31, 61, 60, 48, 34], [43, 39, 53, 46, 57, 47], [50, 55, 59, 70, 64, 66, 69], [67, 65, 68, 71, 76, 72, 77], [75, 74, 73, 78, 79, 81, 80, 84, 83, 85], [82, 86, 87, 88]]
