0: [[19, 6, 4, 12], [20, 3], [1, 2, 15, 8], [25, 5], [7, 11, 10], [9, 17, 13], [29, 18, 14], [16, 23, 22], [28, 24], [21, 26, 27]]
18: [[19, 6], [4, 12], [20, 3], [1, 2, 11], [9, 25, 5, 7, 10, 8, 15, 13, 17, 16, 18, 14, 23, 24, 22], [28, 29, 21, 26], [27]]
19: [[19, 6], [4, 12], [20, 3, 1], [2, 15, 8], [25, 5, 7, 11], [9, 10, 17, 13, 14, 18, 22, 16], [23, 21, 28, 24, 29, 26, 27]]
20: [[19, 6, 4, 12], [20, 3], [1, 2, 15, 8], [25, 5, 7], [10, 9, 11], [13, 14, 16], [18, 21, 24, 17, 28, 23, 29, 22, 26, 27]]
21: [[19, 6, 4, 12], [20, 3], [1, 2], [14, 9], [25, 5, 7], [10, 11], [8, 13, 29], [15, 18], [17, 16, 21], [22, 23, 24], [26, 28, 27]]
22: [[19, 6], [4, 12], [20, 3], [2, 1], [15, 10, 25, 5, 7, 8, 14, 9, 13, 11, 21, 18, 23, 17, 22, 16, 29, 24, 28, 26, 27]]
23: [[19, 6, 4, 12], [20, 3, 1, 2, 11, 9, 25, 5, 7, 8, 10, 15, 13, 24, 17, 18, 14, 22, 16, 21], [23, 28, 29, 26], [27]]
24: [[19, 6], [4, 12], [7, 3, 1, 2], [15, 8], [25, 5], [9, 11, 13], [10, 18], [14, 17, 22, 24], [16, 23, 20, 28, 29, 21, 26, 27]]
25: [[19, 6, 4], [12, 20, 3], [2, 1, 11, 8, 25, 5, 7, 15, 9, 17, 13, 10, 29, 18, 14], [24, 22, 21, 23, 16, 28, 26, 27]]
26: [[19, 6], [4, 12], [7, 3, 1, 2], [15, 8, 25], [5, 13], [11, 9, 10], [17, 16], [28, 18, 14, 24, 22, 20], [23, 29, 21, 26, 27]]
27: [[19, 6], [4, 12, 20], [3, 1, 2, 15, 8, 25, 5, 7, 11, 10], [9, 14, 13, 29, 18, 16, 24, 21, 17, 22, 23, 28, 26, 27]]
28: [[19, 6], [4, 12, 17], [3, 1], [2, 15, 8], [25, 5], [7, 11], [10, 9], [22, 13, 28, 18], [14, 16], [21, 20], [23, 24], [29, 26, 27]]
29: [[19, 6], [4, 12], [20, 3], [1, 2], [15, 8], [25, 5, 7, 11, 10, 9, 28, 13, 14, 22], [21, 16], [18, 17, 23], [24, 29, 26, 27]]
30: [[19, 6], [4, 12], [9, 3, 1, 2], [15, 8], [25, 5], [7, 11, 13], [10, 17], [14, 24, 18, 22], [16, 23, 21, 28, 20, 29, 26, 27]]
31: [[19, 6], [4, 12, 20, 3], [2, 1], [13, 8, 25, 5], [7, 11, 14], [9, 10], [15, 28], [18, 24, 17, 22], [21, 16, 23, 29, 26, 27]]
32: [[19, 6], [4, 12], [17, 3], [1, 2], [15, 8], [25, 5], [7, 11], [10, 9], [22, 13], [14, 18], [20, 16], [21, 28], [23, 24], [29, 26, 27]]
33: [[19, 6, 4], [12, 20, 3], [1, 2], [11, 10], [25, 5, 7, 8, 9], [13, 14, 29], [15, 18, 17, 16, 21, 22, 23, 24, 26, 28, 27]]
34: [[19, 6], [4, 12], [20, 3, 1], [2, 15, 8], [25, 5, 7], [11, 9, 10], [22, 13, 29], [18, 14, 16, 17], [23, 26, 24], [21, 28, 27]]
35: [[19, 6, 4], [12, 20, 3], [1, 2, 15], [8, 25, 13], [7, 11], [10, 9, 18, 5, 29, 16, 14, 22, 21, 17, 23, 28, 24, 26, 27]]
36: [[19, 6], [4, 12], [7, 3, 1, 2], [15, 8], [25, 5], [13, 11, 10], [9, 26], [14, 20], [18, 16], [24, 23, 17, 29, 28], [21, 22, 27]]
37: [[19, 6], [4, 12, 20, 3, 1, 2, 15, 8, 25, 5, 7, 11, 9, 10, 22, 13, 28, 18, 14, 16, 17, 23, 29, 24, 21, 26], [27]]
38: [[19, 6, 4, 12, 20], [5, 1], [3, 2], [8, 25, 9, 7], [11, 10], [13, 14, 17, 15, 18, 16, 21, 28], [23, 22], [24, 29, 26, 27]]
39: [[19, 6], [4, 12], [21, 3], [1, 2, 15, 8], [25, 5, 7, 11, 10, 9, 13, 14, 29, 18, 16, 28, 17, 22, 23, 24, 20, 26, 27]]
40: [[19, 6, 4], [12, 20, 3], [1, 2, 15], [8, 25, 5], [7, 11, 10], [9, 14, 13], [29, 18, 16], [24, 21], [17, 22], [23, 28, 26, 27]]
41: [[19, 6], [4, 12], [21, 3], [1, 2, 15, 8], [25, 5, 7, 11, 10, 9, 13, 14, 29, 18, 16, 28, 17, 22, 23, 24, 20, 26, 27]]
42: [[19, 6], [4, 12, 22, 1], [2, 3, 11, 10], [25, 5, 7, 9, 8, 13, 14, 28, 21, 18, 15, 16, 17, 23, 26, 24, 20], [29, 27]]
43: [[19, 6], [4, 12, 20, 3], [2, 1, 15], [8, 25], [5, 7], [10, 14], [9, 11, 13, 29, 18], [17, 16, 21], [22, 23, 24, 28, 26, 27]]
44: [[19, 6], [4, 12], [20], [3, 1, 2, 15, 8], [25, 5, 7, 11, 10, 9, 18, 13, 29, 26, 16, 17, 22, 14, 28, 23, 21], [24, 27]]
45: [[19, 6], [4, 12], [20, 3], [1, 2, 15], [8, 25, 5, 7], [10, 11, 13], [14, 9], [28, 18], [24, 21], [26, 16, 17, 29], [22, 23, 27]]
46: [[19, 6], [4, 12], [22, 1, 3, 2], [15, 8, 25, 5, 7, 9], [10, 11], [29, 13, 14, 18, 20, 17, 16, 21, 23, 24, 26, 28, 27]]
47: [[19, 6, 4], [20, 14], [1, 2, 3, 11, 8, 25, 5, 7, 12, 9, 13, 10, 28, 29, 16, 23, 15, 17, 18, 22, 21, 24, 26, 27]]
48: [[19, 6], [4, 12], [20, 3], [2, 1], [11, 10], [25, 5, 7, 8, 13, 9, 28, 29], [14, 18, 15], [16, 17, 21, 23], [24, 22, 26, 27]]
49: [[19, 6], [4, 12, 5], [3, 1, 2, 13, 8, 25, 7, 22, 10, 11, 9, 14, 28, 29, 15], [18, 16, 17], [20, 26, 23, 21], [24, 27]]
50: [[19, 6], [4, 12], [20, 3], [1, 2, 11], [10, 25, 5], [7, 9, 14], [8, 28], [13, 21, 26], [15, 16], [17, 18], [23, 24], [22, 29, 27]]
51: [[19, 6, 4], [12, 20], [3, 1], [2, 15], [8, 25, 5, 7, 11, 10, 9], [14, 13, 29], [18, 16, 17, 22, 28, 23, 24, 21, 26, 27]]
52: [[19, 6], [4, 12], [21, 3, 1], [2, 15], [8, 25], [5, 13, 11], [7, 9], [17, 10], [24, 18, 14], [16, 23, 20], [28, 29, 22], [26, 27]]
53: [[19, 6, 4], [12, 22, 1], [3, 2], [15, 8, 25], [5, 7, 10], [13, 17], [9, 24, 29], [18, 11], [16, 14, 20, 23, 28, 21, 26, 27]]
54: [[19, 6], [4, 10], [5, 3, 2], [1, 11], [9, 25, 12, 7, 8, 13, 14, 15, 16, 28, 18, 17, 26, 23, 21, 29, 24, 20, 22, 27]]
55: [[19, 6, 4], [12, 20], [3, 1], [2, 15], [10, 25, 5, 7, 9, 8, 11, 14, 13], [21, 18, 17], [24, 22, 28, 23, 16, 29, 26, 27]]
56: [[19, 6, 4], [12, 5], [3, 1], [2, 15, 8], [25, 14, 7, 11, 10, 9, 13, 21, 29, 18], [16, 24, 22, 17, 20, 23, 28, 26, 27]]
57: [[19, 6], [4], [12, 3, 1], [9, 2, 27], [5, 25, 7], [8, 11, 17], [13, 10, 15], [20, 18], [14, 16, 22], [21, 23, 24], [28, 26, 29]]
58: [[19, 6], [4], [12, 3], [1, 8, 2], [15, 16, 9], [5, 7, 11], [17, 18], [26, 13, 22, 14, 10, 20], [24, 23, 21], [25, 28, 29, 27]]
59: [[19, 6], [4, 20], [2, 3], [8, 15], [25, 1, 24], [7, 11, 9], [18, 13, 10, 29], [21, 12], [14, 16, 5], [17, 22, 23, 28, 26, 27]]
