0: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 10, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
32: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
33: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
34: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 10, 16, 23], [29, 21, 20, 25, 27, 26, 28]]
35: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 16, 14, 23], [29, 21, 20, 27, 25, 26, 28]]
36: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 16, 14, 10, 23], [29, 21, 20, 27, 25, 26, 28]]
37: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
38: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
39: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 16, 10, 23], [29, 21, 20, 27, 25, 26, 28]]
40: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 23, 10, 16], [29, 21, 20, 25, 27, 26, 28]]
41: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 10, 16, 23], [29, 21, 20, 25, 27, 26, 28]]
42: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
43: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
44: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 16, 23, 10, 14], [29, 21, 20, 27, 25, 26, 28]]
45: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
46: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 10, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
47: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 10, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
48: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 10, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
49: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 10, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
50: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 10, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
51: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 10, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
52: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 10, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
53: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 10, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
54: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
55: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 10, 26, 16], [29, 21, 20, 27, 25, 23, 28]]
56: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 10, 14, 23, 16, 25], [29, 21, 20, 27, 24, 26, 28]]
57: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 26, 10, 14, 16, 23], [29, 21, 20, 27, 25, 24, 28]]
58: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 26, 14, 10, 16, 23], [29, 21, 20, 25, 24, 27, 28]]
59: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 26, 23], [29, 21, 20, 27, 25, 16, 28]]
