0: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
17: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 13, 11, 12], [9, 24, 7, 18, 16, 14], [5, 28, 10, 23, 20], [21, 29, 26, 25, 27]]
18: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
19: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 13, 11, 12], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
20: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
21: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
22: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 11, 13, 12], [9, 24, 7, 18, 16, 14], [5, 28, 20, 23, 10], [21, 29, 26, 25, 27]]
23: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
24: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
25: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
26: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11], [13, 9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
27: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11], [13, 9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
28: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11], [13, 9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
29: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11], [13, 9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
30: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11], [13, 9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
31: [[22, 1, 17, 19, 2, 6, 15], [8, 4, 3, 11, 13, 12], [9, 24, 7, 18, 16, 14], [5, 28, 10, 23, 20], [21, 29, 26, 25, 27]]
32: [[22, 1, 17, 19, 2, 6, 15], [8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
33: [[22, 1, 17, 19, 2, 6, 15], [8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
34: [[22, 1, 17, 19, 2, 6, 15], [8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
35: [[22, 1, 17, 19, 2, 6, 15], [8, 4, 3, 11, 13, 12], [9, 24, 7, 18, 16, 14], [5, 28, 23, 20, 10], [21, 29, 26, 25, 27]]
36: [[22, 1, 17, 19, 2, 6, 15], [8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
37: [[22, 1, 17, 19, 2, 6, 15], [8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
38: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 10, 16], [5, 28, 20, 23, 14], [21, 29, 26, 25, 27]]
39: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 11, 13, 12], [9, 24, 7, 18, 16, 28], [5, 10, 20, 23, 14], [21, 29, 26, 25, 27]]
40: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12], [11, 13, 9, 24, 7, 18, 14], [16, 5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
41: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12], [11, 13, 9, 24, 7, 18, 14], [16, 5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
42: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 20, 16], [5, 28, 10, 23, 14], [21, 29, 26, 25, 27]]
43: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 10, 11, 12], [9, 24, 7, 18, 13, 16], [5, 28, 20, 23, 14], [21, 29, 26, 25, 27]]
44: [[22, 1, 17, 19, 2], [6, 15, 8, 4, 3, 12], [11, 13, 9, 24, 7, 18, 14], [16, 5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
45: [[22, 1, 17, 19, 2], [6, 15, 8, 4, 3, 12], [11, 13, 9, 24, 7, 18, 14], [16, 5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
46: [[22, 1, 17, 19, 2], [6, 15, 8, 4, 3, 12], [11, 13, 9, 24, 7, 18], [14, 16, 5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
47: [[22, 1, 17, 19, 2, 6, 15], [8, 4, 3, 10, 11], [12, 9, 24, 7, 18, 13], [14, 5, 28, 16, 20, 23], [21, 29, 26, 25, 27]]
48: [[22, 1, 17, 19, 2], [6, 15, 8, 4, 3, 13], [11, 12, 9, 24, 7, 18, 14], [16, 5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
49: [[22, 1, 17, 19, 2], [6, 15, 8, 4, 3, 13], [11, 12, 9, 24, 7, 18, 14], [16, 5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
50: [[22, 1, 17, 19, 2, 6, 15], [8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 10, 14], [5, 28, 16, 23, 20], [21, 29, 26, 25, 27]]
51: [[22, 1, 17, 19, 2], [6, 15, 8, 4, 3, 11], [13, 12, 9, 24, 7, 18, 10], [16, 5, 28, 20, 14, 23], [21, 29, 26, 25, 27]]
52: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 11, 13, 10], [9, 24, 7, 18, 12, 14], [5, 28, 16, 23, 20], [21, 29, 26, 25, 27]]
53: [[22, 1, 17, 19, 2, 6, 15], [8, 4, 3, 13, 10, 12], [9, 24, 7, 18, 20, 11], [5, 28, 14, 16, 23], [21, 29, 26, 25, 27]]
54: [[22, 1, 17, 19, 2], [6, 15, 8, 4, 3, 10], [11, 13, 9, 24, 7, 18, 12], [14, 5, 28, 16, 23, 20], [21, 29, 26, 25, 27]]
55: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 21, 20], [23, 29, 26, 25, 27]]
56: [[22, 1, 17, 19, 2], [6, 15, 8, 4, 3, 11, 12], [13, 9, 24, 7, 18], [5, 28, 16, 21, 20, 10, 14], [23, 29, 26, 25, 27]]
57: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 10, 11, 13], [9, 24, 7, 18, 14], [16, 5, 28, 20, 21, 12], [23, 29, 26, 25, 27]]
58: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 11, 9, 13], [24, 7, 18, 10, 12, 14], [5, 28, 20, 21, 16], [23, 29, 26, 25, 27]]
59: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 13, 9, 10], [11, 24, 7, 18, 12, 14], [5, 28, 20, 21, 16], [23, 29, 26, 25, 27]]
