0: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
19: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
20: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
21: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
22: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
23: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
24: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
25: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
26: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
27: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
28: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
29: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
30: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
31: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
32: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
33: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
34: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
35: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
36: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
37: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
38: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
39: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
40: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
41: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
42: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
43: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
44: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
45: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
46: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
47: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
48: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
49: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
50: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
51: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
52: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
53: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
54: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
55: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
56: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
57: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
58: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
59: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
