0: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8], [14, 9, 10], [15, 20, 16, 24, 19], [17, 21, 27, 31], [25, 26, 28], [23, 30, 32, 37, 33, 34], [36]]
41: [[35, 29, 1, 22], [2, 7, 3, 4], [11, 13, 5], [12, 6], [18, 8, 14, 9, 10], [15, 20, 16, 24, 19, 17], [21, 27], [31, 25, 26, 28, 23], [30, 32, 37, 33, 34, 36]]
42: [[35, 29, 1, 22], [2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8, 14], [9, 10, 15, 20], [16, 24, 19], [17, 21, 27, 31, 25, 26, 28, 23, 30, 32, 37, 33, 34, 36]]
43: [[35, 29, 1, 22], [2, 7, 3], [4, 11, 13, 5], [12, 6, 18, 8, 14], [9, 10, 15, 20], [16, 24, 19], [17, 21, 27], [31, 25, 26, 28], [23], [30, 32, 37, 33, 34, 36]]
44: [[35, 29, 1, 22, 2], [7, 3, 4, 11], [13, 5, 12], [6, 18, 8, 14], [9, 10, 15, 20], [16, 24, 19, 17], [21, 27, 31], [25, 26, 28, 23, 30, 32, 37, 33], [34, 36]]
45: [[35, 29, 1], [22, 2, 7, 3], [4, 11, 13, 5], [12, 6, 18, 8], [14, 9, 10], [15, 20, 16, 24], [19, 17, 21, 27, 31, 25, 26, 28, 23, 30, 32, 37, 33, 34, 36]]
46: [[35, 29, 1, 22], [2, 7, 3], [4, 11, 13, 5], [12, 6, 18, 8], [14, 9, 10], [15, 20, 16, 24, 19, 17, 21], [27, 31, 25, 26, 28, 23, 30, 32, 37, 33, 34, 36]]
47: [[35, 29, 1], [22, 2, 7], [3, 4, 11, 13], [5, 12, 6, 18], [8, 14, 9], [10, 15, 20, 16], [24, 19, 17, 21], [27, 31, 25, 26, 28], [23, 30, 32], [37, 33, 34, 36]]
48: [[35, 29, 1], [22, 2, 7], [3, 4], [11, 13, 5, 12], [6], [18, 8, 14], [9, 10, 15, 20, 16, 24, 19, 17, 21, 27, 31, 25], [26, 28, 23, 30, 32, 37, 33, 34, 36]]
49: [[35, 29, 1, 22], [2, 7, 3, 4], [11, 13, 5], [12, 6, 18, 8], [14, 9, 10, 15], [20, 16, 24, 19], [17, 21, 27], [31, 25, 26], [28, 23, 30, 32], [37, 33, 34, 36]]
50: [[35, 29, 1], [22, 2, 7, 3], [4, 11, 13], [5, 12, 6], [18, 8], [14, 9, 10], [15, 20, 16], [24, 19], [17, 21, 27, 31, 25, 26, 28, 23, 30, 32, 37, 33, 34, 36]]
51: [[35, 29, 1, 22], [2, 7, 3], [4, 11, 13, 5], [12, 6, 18, 8], [14, 9, 10], [15, 20, 16, 24], [19, 17, 21, 27, 31, 25], [26, 28], [23, 30], [32, 37, 33, 34, 36]]
52: [[35, 29, 1], [22, 2, 7], [3, 4, 11, 13, 5], [12, 6, 18, 8], [14, 9, 10], [15, 20, 16, 24], [19, 17, 21, 27, 31, 25, 26, 28, 23], [30, 32, 37, 33, 34, 36]]
53: [[35, 29, 1], [22, 2, 7], [3, 4, 11, 13], [5, 12, 6, 18], [8, 14, 9, 10], [15, 20, 16, 24, 19], [17, 21, 27, 31, 25, 26, 28, 23], [30, 32, 37, 33, 34, 36]]
54: [[35, 29, 1], [22, 2, 7, 3], [4, 11, 13, 5, 12], [6, 18], [8, 14, 9, 10, 15, 20, 16, 24, 19, 17, 21, 27, 31, 25, 26, 28, 23, 30, 32, 37, 33, 34, 36]]
55: [[35, 29, 1, 22], [2, 7, 3, 4, 11, 13, 5, 12, 6, 18, 8, 14, 9, 10, 15, 20, 16], [24, 19, 17, 21, 27, 31, 25, 26, 28, 23, 30, 32, 37, 33, 34, 36]]
56: [[35, 29, 1, 22], [2, 7, 3], [4, 11, 13, 5, 12], [6, 18, 8, 14], [9, 10, 15], [20, 16, 24, 19, 17, 21], [27], [31, 25, 26, 28, 23, 30, 32, 37, 33, 34, 36]]
57: [[35, 29, 1, 22], [2, 7, 3], [4, 11, 13, 5, 12, 6, 18, 8, 14, 9, 10, 15, 20], [16, 24, 19, 17, 21, 27, 31, 25, 26, 28, 23, 30, 32, 37, 33, 34, 36]]
58: [[35, 29, 1, 22, 2, 7, 3, 4], [11], [13, 5, 12, 6, 18, 8, 14, 9, 10, 15, 20, 16, 24, 19, 17, 21, 27, 31, 25, 26, 28, 23, 30, 32], [37, 33, 34, 36]]
59: [[35, 29, 1, 22, 2, 7, 3, 4, 11, 13, 5, 12, 6, 18, 8], [14, 9, 10, 15], [20, 16, 24, 19, 17, 21, 27, 31, 25, 26, 28, 23, 30, 32], [37, 33, 34, 36]]
60: [[35, 29], [1, 22, 2, 7], [3, 4, 11], [13, 5, 12, 6], [18, 8, 14], [9, 10, 15, 20], [16, 24, 19, 17], [21, 27, 31], [25, 26, 28, 23], [30, 32, 37, 33], [34, 36]]
61: [[35, 29], [1, 22, 2], [7, 3], [4, 11, 13], [5, 12, 6, 18], [8, 14, 9, 10, 15, 20, 16, 24, 19, 17], [21, 27, 31, 25, 26, 28, 23, 30], [32, 37, 33, 34, 36]]
62: [[35, 29, 1], [22, 2, 7], [3, 4, 11], [13, 5, 12, 6], [18, 8, 14, 9], [10, 15, 20, 16], [24, 19], [17, 21, 27, 31, 25], [26, 28, 23, 30], [32, 37, 33, 34, 36]]
63: [[35, 29, 1, 22, 2], [7, 3, 4, 11, 13], [5, 12, 6, 18, 8, 14, 9, 10, 15, 20, 16, 24, 19, 17, 21, 27, 31, 25, 26, 28, 23, 30, 32, 37, 33, 34, 36]]
64: [[35, 29, 1, 22], [2, 7, 3], [4], [11, 13, 5], [12, 6, 18], [8, 14, 9, 10], [15, 20, 16], [24, 19, 17, 21], [27, 31, 25, 26], [28, 23, 30, 32], [37, 33, 34, 36]]
65: [[35, 29, 1], [22, 2, 7, 3], [4, 11, 13], [5, 12, 6], [18, 8, 14, 9], [10, 15, 20, 16], [24, 19, 17, 21], [27, 31, 25, 26], [28, 23, 30, 32], [37, 33, 34, 36]]
66: [[35, 29, 1, 22], [2, 7, 3], [4, 11, 13], [5, 12, 6, 18, 8], [14, 9, 10, 15], [20, 16, 24], [19, 17, 21, 27, 31, 25], [26], [28, 23, 30, 32, 37, 33, 34, 36]]
67: [[35, 29, 1, 22], [2, 7, 3], [4, 11, 13, 5], [12, 6, 18, 8], [14, 9, 10], [15, 20, 16], [24, 19, 17, 21], [27, 31, 25, 26], [28, 23, 30, 32], [37, 33, 34, 36]]
68: [[35, 29, 1, 22], [2, 7, 3], [4, 11], [13, 5, 12, 6, 18], [8, 14, 9], [10, 15, 20], [16, 24, 19, 17, 21], [27, 31, 25, 26], [28, 23, 30, 32, 37, 33, 34, 36]]
69: [[35, 29, 1, 22], [2, 7, 3, 4, 11], [13, 5, 12, 6], [18, 8, 14], [9, 10, 15, 20, 16, 24, 19, 17], [21, 27, 31, 25], [26, 28, 23], [30, 32, 37], [33, 34, 36]]
70: [[35, 29, 1], [22, 2, 7], [3, 4, 11], [13], [5, 12, 6, 18], [8, 14, 9, 10, 15, 20, 16, 24, 19, 17, 21, 27, 31, 25], [26, 28, 23, 30, 32, 37, 33, 34, 36]]
71: [[35, 29, 1], [22], [2, 7, 3, 4], [11, 13, 5, 12, 6, 18, 8, 14, 9, 10, 15, 20, 16, 24], [19, 17, 21, 27, 31, 25, 26, 28, 23, 30, 32, 37, 33, 34, 36]]
72: [[35, 29, 1, 22], [2, 7, 3], [4, 11, 13], [5, 12, 6], [18, 8, 14], [9, 10, 15, 20], [16, 24, 19, 17], [21, 27, 31, 25], [26, 28, 23, 30], [32, 37], [33, 34, 36]]
73: [[35, 29, 1, 22], [2, 7, 3], [4, 11, 13], [5, 12, 6, 18, 8], [14, 9, 10, 15, 20], [16, 24, 19], [17, 21, 27, 31], [25, 26, 28, 23, 30, 32], [37], [33, 34, 36]]
