0: [[35, 7, 2], [1, 3, 4], [13, 5, 6, 21], [8, 9], [14, 24, 12], [11, 28, 16, 15, 10, 18], [22, 23], [19, 17, 27, 20, 25, 31], [26, 40, 45], [32, 29, 30, 37, 33, 47], [38, 44, 43], [34, 36, 42, 39, 41, 52], [46, 55, 51, 53, 54, 58], [50, 48], [59, 56, 60], [49, 57]]
11: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 11, 8, 28], [9, 10, 25, 12, 31, 16, 15, 22, 14, 18, 17, 19, 20, 23, 24, 29, 27, 26, 30, 33, 32, 45, 39, 36, 37, 34, 41, 43, 38, 40, 44, 47, 42, 46, 54, 48, 60, 52, 49, 55, 50, 56, 51, 58, 57, 53, 59]]
12: [[35, 2, 7, 1], [3, 4, 13, 21, 5, 6, 9, 8, 14], [11, 10, 12, 15, 16, 22, 24, 31, 17, 18, 20, 23], [19, 29, 27, 25, 26, 28, 30, 32, 37, 33, 39, 34], [45, 36, 46, 42, 41, 38, 44, 47, 40, 43, 52, 58, 48], [49, 55, 50, 51, 53, 54, 57, 56, 59, 60]]
13: [[35, 2, 7], [1, 3, 4], [13, 21, 9, 5, 14], [16, 11, 12, 27, 8, 23, 10, 29, 18, 20, 22, 15, 19, 17, 24, 30, 25, 31, 26, 28, 33, 32, 37, 45, 34, 38, 39, 40, 41, 42, 44, 6], [43, 46, 47], [51, 52, 48], [36, 50, 49, 54, 55, 53, 58, 57], [59, 60, 56]]
14: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 11], [8, 14], [27, 9, 12, 17, 30, 19, 31, 20, 15, 10, 25, 22, 23, 18, 24, 16, 26, 28, 29, 32, 38, 60, 42, 33, 37, 34, 36, 39, 40, 41, 44, 46, 43, 47, 49, 56, 57, 48, 52, 50, 54, 45, 58, 51, 53, 55, 59]]
15: [[35, 2, 7, 1], [3, 4, 13, 21, 5], [6, 10, 9, 14, 8, 24, 11, 29, 15, 12, 27, 22, 31], [18, 17, 16, 20, 23, 25, 19, 26, 28, 38, 32, 54, 47, 30], [36, 39, 42, 33, 46], [43, 34, 44, 37, 40, 45, 52, 48, 41], [51, 55, 50, 49, 53, 57, 59, 56, 58, 60]]
16: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6], [11, 26, 8, 14, 9, 10, 24, 12, 15, 20, 19], [25, 16, 22, 23, 27, 30, 17, 29, 18, 31, 28], [32, 33, 54, 38, 34, 37, 40, 46, 42, 36, 44, 39], [41, 47, 43, 45, 50, 49], [51, 52, 48, 53, 59, 55, 57, 56, 60, 58]]
17: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6], [11, 10, 12, 15, 8, 9, 16, 14, 17, 23, 19], [27, 18, 22, 26, 28], [24, 20, 29, 30, 31, 25, 32, 37], [54, 42, 52, 33, 40, 44, 39, 34], [36, 38, 41], [45, 43, 49], [57, 56, 46, 47, 50], [48, 51], [58, 55, 53, 59, 60]]
18: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6], [11, 26, 8, 9, 25], [10, 30, 12], [14, 31, 19, 23], [16, 22, 15, 18, 24], [17, 20, 27], [28, 29, 32], [45, 52, 34, 36, 33], [37, 44, 40, 41, 38], [39, 43, 42, 47, 53, 58, 48, 46], [49, 56, 55, 57, 50], [51], [54, 59, 60]]
19: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 22, 9, 6], [11, 8, 10, 30, 24, 12, 29, 17, 16, 23, 14, 19, 15, 18, 26, 20, 27, 25, 28, 31, 32, 46, 45, 34, 38, 48, 36, 41, 40, 33, 37], [39, 42, 58, 43, 52, 47, 44, 50, 55, 54, 51], [53, 59, 49], [57, 60, 56]]
20: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6], [11, 10, 14, 8, 12, 9, 29, 27, 24, 18, 22], [31, 20, 23, 26, 15], [25, 17, 16, 28, 30, 19, 32, 37, 42, 33, 38, 36, 34, 45, 41, 39, 44, 40, 46, 47, 43, 53, 51, 48, 49, 50, 52, 54, 55, 56], [57, 58, 60, 59]]
21: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 14], [24, 8, 12, 9, 26, 11, 6, 15, 20, 10, 18], [16, 17, 23, 19, 22], [25, 28, 27, 31, 30, 29, 32, 45], [34, 42, 36, 33, 38, 37, 47, 39], [40, 44, 41, 46, 51], [52], [43, 56, 54, 48, 50, 53, 49, 59, 55, 57, 58, 60]]
22: [[35, 2, 7, 1], [3, 4, 13, 21, 5, 6], [11, 10, 14, 8, 9, 25, 30, 15, 12, 31, 18], [20, 22, 17, 16, 23, 19], [24, 29, 27, 26], [28, 33, 38], [45, 39, 46, 44], [34, 40, 41], [32, 37, 42, 36, 58, 43], [47, 53, 56], [48, 50, 51, 49, 52, 54, 55, 57, 59, 60]]
23: [[35, 2, 7, 1], [3, 4, 13, 21, 5, 6, 9], [8, 14, 11], [10, 12, 15, 17, 30, 16, 31, 18, 19, 20, 22], [23, 24, 27, 25, 26, 28, 29, 32, 37, 34, 38, 39], [33, 36, 47, 44, 45, 40, 42, 43, 41, 46, 52, 54, 48], [49, 53, 50, 57, 51, 55, 56, 58, 59, 60]]
24: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 9], [10, 14, 8, 15, 11, 12, 16, 20, 19, 18, 22, 17, 23, 27, 29, 26, 30, 24, 25, 28, 53], [32, 46, 31], [33, 44, 34, 39, 40, 37, 42, 38, 47, 41, 59, 43, 36, 48, 45, 50, 49, 54], [56, 51, 58, 52, 55, 60, 57]]
25: [[35, 2, 7, 1], [3, 4, 13, 5, 21], [6, 10, 9, 18, 16, 26, 11, 29, 15, 30, 8, 12, 14], [20, 17, 22, 28, 19, 23, 24, 31, 25, 32, 33, 54, 38, 27], [37, 39, 42, 45, 44, 43, 34, 46, 40, 48, 41, 49, 36, 47, 51, 55, 50, 52, 53, 57, 58], [60, 56, 59]]
26: [[35, 2, 7], [1, 3, 4], [13, 21, 9, 18, 17, 6], [27, 5, 8, 14, 24, 11, 12, 10, 16, 23, 15, 19], [20, 22, 25, 26, 31, 29, 28, 53, 32, 30, 45, 42, 38, 40, 36, 47, 33, 34, 37, 46, 43, 39, 41, 52, 58, 50, 44, 48, 55, 51, 54, 59, 49, 57, 56, 60]]
27: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 9], [8, 30, 10, 27, 11, 12, 31, 14, 24, 16, 22, 19, 23, 17, 15, 18], [20, 25, 26], [28, 39, 32], [38, 37, 29, 33, 49, 42, 34, 41], [36, 43, 45, 44, 46, 47, 53, 48, 40], [57, 55, 54, 58, 51, 50, 52, 59, 60, 56]]
28: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 11, 28, 12, 8, 9], [10, 31, 14, 18, 15, 22, 29, 19, 16, 20, 23, 24, 17, 25, 27, 26, 30, 32, 37, 34, 36, 46, 33, 38, 43, 44, 41, 39, 47, 40, 42, 45, 60, 57, 52, 51, 48, 49, 54, 50, 53, 55, 56, 58, 59]]
29: [[35, 2, 7, 1], [3, 4, 13, 21], [5, 6, 26, 14, 10, 25, 8, 9, 11, 30, 12, 29, 20, 27], [19, 15, 17, 16, 22, 18, 23, 24, 31, 28, 33, 38, 37, 32], [36, 34, 39, 42, 41], [44, 45, 46, 40], [47, 43, 48, 53, 49, 50, 52, 55, 56, 59, 57, 51, 54, 58, 60]]
30: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 11], [10, 14], [27, 8, 9, 12, 30, 17, 23, 22, 19, 18, 15, 26, 20, 24, 52, 16, 29, 28, 25, 32, 38, 60, 34, 31, 37, 40, 36, 39, 41, 33, 44, 43, 42, 47, 49, 48, 56, 46, 50, 51, 54, 45, 57, 55, 53, 58, 59]]
31: [[35, 2, 7, 1], [3, 4, 13, 21], [5, 6, 9, 12, 14, 11, 15, 8, 10, 18, 23, 22, 16, 25], [19, 27, 17, 31, 30, 20, 24, 26, 29, 39, 32, 28, 37, 33], [34, 38, 42, 36, 41], [46, 45, 44], [40, 59, 47, 56, 49, 43, 50, 48, 52, 53, 51, 55, 54, 57, 58, 60]]
32: [[35, 2, 7], [1, 3, 4], [13, 21, 9, 6, 11], [8, 30], [28, 5, 10, 17, 12, 23, 14, 16], [15, 27, 25, 22, 19, 18, 20, 24], [26, 29, 31, 32, 33], [34], [46, 37, 39, 36, 42, 43, 40, 41, 45, 38], [47, 44, 52], [57, 53, 54, 48, 55, 50, 58, 56, 49, 51, 59, 60]]
33: [[35, 2, 7, 1], [3, 4, 13, 21, 5, 6, 11, 8, 14], [10, 12, 28, 31, 9, 15], [16, 27, 25, 17, 22, 23, 18, 29, 19, 24, 30, 20, 26, 32, 36, 37, 38, 39, 33, 34, 46, 42, 40, 41, 45, 43, 49], [44, 52, 58, 47, 48, 55, 50, 56, 51, 53, 57, 54, 59, 60]]
34: [[35, 2, 7], [1, 3, 4, 13, 21, 6], [5, 15, 9, 12, 10, 11], [14, 16, 8, 17], [29, 26, 22, 18, 19, 24, 27, 20, 28, 25], [37, 31, 30, 32, 23, 38, 39, 36, 34, 41, 40, 45], [43, 33, 42, 44, 46], [47, 52], [50, 48, 49, 51, 53, 54, 55, 57, 59, 58, 60, 56]]
35: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 8, 12, 14], [26, 11, 31, 15, 9, 20, 10, 16, 17, 18, 19, 23, 28, 24, 22, 25, 27, 29, 30, 32, 33, 39, 60, 38, 41, 44, 43], [34, 46, 42, 45, 36, 37, 40, 55, 48, 58, 47, 54, 49, 50, 53], [51, 56, 59, 57, 52]]
36: [[35, 2, 7, 1, 3], [4, 13, 21, 11, 5, 12, 6, 31, 14, 24, 30], [8, 9, 22, 10, 19, 15, 17, 16, 18, 23, 20, 25, 26, 27], [58, 28, 48, 33, 42, 38, 29, 32, 40, 44, 34, 39, 46, 47, 41, 60, 36, 37], [49, 51, 52, 50, 53, 54, 59, 55, 56, 43, 45, 57]]
37: [[35, 2, 7], [1, 3, 4, 13, 5, 8, 12, 9, 31, 11, 21, 6], [27, 30, 14], [15, 28, 17, 18, 22, 19, 16, 20, 23, 24, 25, 26, 10], [43, 32, 42, 37, 29, 38, 41, 53, 47, 39, 44, 33, 46, 34, 57, 56, 48, 36, 40, 55, 49, 45, 60, 50, 51, 52, 54, 58, 59]]
38: [[35, 2, 7], [1, 3, 4, 13, 5, 8, 12, 9, 31, 11, 21, 6], [27, 30, 14], [15, 28, 17, 18, 22, 19, 16, 20, 23, 24, 25, 26, 10], [43, 32, 42, 37, 29, 38, 41, 53, 47, 39, 44, 33, 46, 34, 57, 56, 48, 36, 40, 55, 49, 45, 60, 50, 51, 52, 54, 58, 59]]
39: [[35, 2, 7], [1, 3, 4, 13, 21, 5], [6, 11, 26, 14, 10, 9, 8, 28, 12, 22, 23, 18, 15, 16, 17, 19, 20, 24, 25, 27, 30, 29, 31, 32, 45, 34, 46, 39, 33, 37, 36, 40, 42, 44, 38, 49, 47, 43, 51, 58, 53, 48, 52, 50, 55, 41, 54, 56, 57, 59, 60]]
40: [[35, 2, 7], [1, 3], [4, 13, 21, 5, 6, 27, 12, 24, 9], [15, 25, 8, 28, 20, 10, 18, 30, 11, 19, 14, 16, 17, 22, 31, 23, 26, 29, 37, 51, 40, 33, 42, 32, 34, 45, 39, 41, 38, 46, 36, 44, 47, 43, 59, 48, 52, 49, 50, 54, 56, 53, 57, 55, 60, 58]]
41: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6], [8, 9], [10, 25, 11], [12, 14, 31], [28, 15, 18], [22, 19, 16, 17], [20, 23, 24, 29, 27, 26, 30, 32], [38, 45, 33, 44, 34], [40, 41, 39, 36, 37, 46, 47], [42, 43, 48, 52, 56, 50, 55, 49, 51, 53, 54, 59, 57, 58, 60]]
42: [[35, 2, 7], [1, 3, 4], [13, 5, 21, 6], [27, 24, 14, 9, 29, 10], [19, 12, 11], [23, 15, 17, 25, 20], [26, 28, 31, 16, 22, 34], [8, 33, 47, 32, 48, 30, 39, 46, 36, 37, 41, 42, 40, 44, 38, 43, 60, 45, 18], [52, 53, 49, 51, 58, 50, 55], [56, 54, 57, 59]]
43: [[35, 2, 7, 1], [3, 4, 13, 5, 6, 12, 9, 25, 10, 29, 14, 27, 30], [31, 8, 11, 19, 22, 20, 16, 18, 17, 21, 24, 23, 26, 15, 28, 32, 39, 45, 41, 38, 37, 33, 36, 42, 40, 43, 47, 34, 44], [58, 52, 46, 48, 55, 49, 53, 56, 50, 51, 54, 60, 57, 59]]
44: [[35, 2, 7], [1, 3, 4, 13, 21, 5], [6, 25, 9], [14, 10, 11, 17, 15, 16, 19, 30, 8, 24], [18, 31, 22, 20, 23, 28, 26, 27, 29, 38, 33, 12, 37, 41, 36, 44, 34, 32, 39], [40, 43, 45, 46, 47, 42, 52, 54, 51, 48, 55, 59, 50, 53, 58, 49, 57, 56], [60]]
45: [[35, 2, 7], [1, 3, 4], [13, 5, 21], [6, 8, 9, 30], [15, 28], [11, 12, 20, 24, 23, 14, 19, 16, 22, 25, 27, 29, 17, 26, 31, 32, 33, 43, 34, 36, 48, 39, 46, 44, 41, 42, 37, 38, 40, 45, 47, 50, 49, 53, 55, 18, 10], [51, 56, 54, 52, 57, 59, 60], [58]]
46: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6], [27, 10, 12, 15, 9, 8], [14, 30, 20], [26, 19, 11], [16, 23, 18, 22, 24, 17], [25, 31, 29, 28, 32, 45, 38], [34, 39], [37, 44, 36], [41, 42, 33, 46, 43, 54], [47, 53, 58, 49, 40], [52, 48, 55, 56, 50], [51], [57, 59, 60]]
47: [[35, 2, 7, 1, 3], [4], [13, 21, 5], [6, 11, 26, 14, 10, 9, 8, 12, 30], [15, 17, 19, 22, 16, 23, 18, 20, 24, 53, 25, 29, 27, 28, 32, 46, 60, 42, 31, 37, 36, 44, 39, 33, 40, 34, 38, 41, 43, 45, 59, 56, 47, 54, 49, 48, 57, 51, 50, 52, 58, 55]]
48: [[35, 2, 7], [1, 3, 4], [13, 5, 10, 6, 27, 8, 14, 19, 11, 24, 12, 22, 30, 31, 20, 15, 28, 17, 21, 23, 18, 9, 16, 26, 25, 47, 32, 29, 60, 41, 40, 37, 38, 33, 39, 36, 43, 42, 44, 46, 50, 55, 49, 53, 48, 52, 34], [51, 45, 58, 59, 54, 56, 57]]
49: [[35, 2, 7], [1, 3, 4, 13], [5, 6, 11, 12, 14, 8, 9, 10], [18, 28, 15, 20, 22, 23, 16, 17, 19, 24, 21], [25, 26, 27, 29, 30, 31, 48, 36, 34, 32, 38, 33, 37, 46, 41, 39, 42, 44, 40, 43, 45, 52, 56, 50, 55], [47, 58, 53, 54, 49, 51, 60, 57, 59]]
50: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 25], [8, 9, 11, 10, 31, 14, 12], [15, 17, 19], [20, 16, 23, 18, 24], [26, 27, 56, 22, 28, 46, 33], [52, 44, 34, 58, 40, 29, 36, 30, 32, 37, 45], [39, 38, 57, 47, 42], [48, 53, 41, 59, 50, 43, 49], [51, 54, 55, 60]]
51: [[35, 2, 7, 1, 3, 4, 13, 21, 5, 6, 10], [11, 8, 26], [31, 25, 14], [9, 29, 17, 16, 12, 15, 27, 18, 19], [28, 20, 22, 23, 24, 54, 32, 30], [37, 38, 36, 34, 42], [39, 45, 43, 33, 40, 41, 44, 46, 47, 48, 51], [50, 52, 55, 49, 53, 56, 57, 58, 59, 60]]
52: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 8, 9], [30, 11, 12, 19], [26, 31, 14, 10, 18, 20, 15], [16, 17, 29, 22, 25, 23], [24, 27, 28, 32, 38, 43, 39, 44, 33], [34, 37, 45, 36, 47, 40, 41, 60, 42, 46, 49, 48, 50, 55, 51, 52, 53, 57, 54, 56, 58, 59]]
53: [[35, 2, 7, 1], [3, 4, 13], [21, 5, 6], [9, 8, 14, 15, 10], [12, 11, 18, 30, 26, 31, 23, 20, 16, 22, 19, 24, 25, 17, 27, 29, 28, 33, 37, 47, 32, 34, 45, 38, 36, 43, 39, 41, 44, 42, 40, 46, 53, 58, 48, 49, 51, 56, 54, 55, 50], [57, 60, 52, 59]]
54: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 9, 10, 14, 8, 28, 24], [12, 18, 20, 19, 26, 11, 17, 15, 22, 23, 30, 16, 27, 25, 29, 55, 32, 31, 47], [33, 44, 51], [40, 37, 34, 38, 46, 36, 39, 43], [50, 52, 49], [41, 42, 45, 48, 60, 53, 58, 54, 57, 56, 59]]
55: [[35, 2, 7], [1, 3, 4], [13, 21, 6], [5, 14, 8], [24, 10, 27], [12, 9, 15, 23, 11, 18, 22, 16, 19, 25, 17, 20, 26, 31, 30, 28, 29], [32, 34, 46, 33, 38, 36, 37, 40, 39, 41, 45, 42, 44, 43, 47, 52, 50, 48, 49, 53, 54, 58, 55, 51, 59, 56, 60, 57]]
56: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6, 9, 12, 24, 31, 8], [25, 28, 14, 15, 10, 20, 11, 19, 18, 22, 16], [30, 23, 26, 17, 27, 32, 36], [43, 37, 34, 38, 42, 29, 41, 39, 45, 47, 46, 44, 49, 40, 51, 50, 33, 55, 52, 48, 57, 53, 56, 60, 54, 58, 59]]
57: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 15, 10, 22, 12, 6], [9, 8, 11, 14, 24, 16], [18, 29, 17, 19, 30, 31, 28, 25, 20, 27, 26], [23, 32, 33, 34], [38, 54, 39, 40, 46, 36, 41, 47, 44, 45, 58], [43, 48, 42, 37, 52], [51, 49, 53, 50, 55, 57, 56, 59, 60]]
58: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6, 26, 8, 10, 25, 12, 9, 11, 23, 14, 29, 24, 31, 15, 16, 17, 19, 22, 18, 27, 30, 20], [28, 33, 32, 34, 36, 39, 42, 41, 37], [44, 43, 45, 38, 40, 46, 47, 49, 51, 57], [52, 48, 54, 50, 53, 58, 56, 55, 59, 60]]
59: [[35, 2, 7, 1], [3, 4, 13, 21, 5], [6, 10, 8, 12, 9, 24, 27, 23, 15, 11, 16, 20, 31], [18, 17, 14, 19, 25, 26, 30, 28, 29, 54, 33, 36, 34, 22], [32, 55, 46, 39, 40, 41, 37], [38, 44, 42, 45, 60, 50, 43, 47, 48, 51, 49, 53, 56, 58, 57, 52, 59]]
60: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 8], [10, 14, 26, 9, 11], [19, 30, 12], [15, 23, 16], [17, 25, 20, 28, 18, 24, 22, 31, 27, 29, 32, 38, 46, 42, 34, 33, 39, 36, 37, 40, 43, 44, 41, 47, 45, 51, 56, 48, 50, 52, 58, 49, 53, 54, 55, 57, 59], [60]]
61: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6, 25, 14, 24, 30, 8], [11, 10, 12, 18, 15, 20, 9], [23, 22, 16, 17, 26, 31, 19, 27, 28, 42, 32], [46, 34, 29], [33, 37, 38, 45, 43, 36, 39, 40, 44, 41, 56, 55, 58, 49, 47, 52, 48, 57, 53, 51, 54, 50, 60, 59]]
62: [[35, 2, 7], [1, 3, 4, 13, 21], [5, 6, 10, 27, 8, 24], [31, 11, 26, 9, 25, 17, 18, 15, 12, 14, 16, 22, 19, 20, 23, 28, 29, 30, 32, 40, 39, 43, 36, 37, 34, 38, 41, 45, 33, 42, 47, 44, 46, 52, 58, 50, 48, 49, 55, 51, 53, 54, 59], [57, 56, 60]]
63: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 10, 8, 20, 11, 9, 14, 12, 15], [24, 27, 19, 25, 17, 18], [28, 23, 16, 22, 29, 26, 58, 30, 32, 33, 38, 34, 31, 42, 43, 47, 36, 37, 45, 39, 40, 44, 41, 46, 50, 48, 52, 51, 49, 54, 56, 55, 53, 57, 59, 60]]
64: [[35, 2, 7], [1, 3, 4], [13, 21, 5], [6, 27, 10], [14, 11, 9], [8, 30, 12, 16, 26, 18, 15, 19], [20, 17, 22, 24, 23, 25, 31, 29, 28, 32, 33, 36, 34], [45, 37, 38, 44, 46, 43, 42, 41, 40, 39, 47, 57, 50, 48, 52, 49, 53, 54, 51, 55, 56], [60, 58, 59]]
65: [[35, 2, 7, 1, 3], [4, 13, 21, 5, 6], [9, 8, 12, 14, 26, 10, 15, 11, 19], [16, 22, 31, 18, 29, 20, 24, 17, 27, 23], [28, 25, 30, 33, 52, 34, 32, 38, 51, 36, 37, 40, 43, 46, 47, 44, 42, 45, 58, 48, 41, 53, 39, 50, 54, 55, 49, 59, 57, 60, 56]]
66: [[35, 2, 7, 1, 3], [4, 13, 21, 5, 6, 25, 10, 14, 9, 8, 15, 11, 29, 17, 28, 16, 19, 18, 22, 12, 26, 20, 27, 23, 24, 31, 30, 33, 46, 37, 54, 32, 34, 36, 43, 39, 40, 44, 45, 41, 50, 42, 47, 51, 49, 53, 38, 52, 58, 55], [48, 60, 57, 59, 56]]
67: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 22, 8], [6, 14, 10, 26, 11, 24, 12, 30, 19], [15, 16, 18], [23, 27, 31, 25], [17, 29, 28], [20, 36, 32, 38, 45, 9, 40, 37, 39, 33, 41, 43, 42, 47, 34, 46, 44, 55, 48, 53, 49, 50, 51, 52, 54, 58, 59, 60, 56, 57]]
68: [[35, 2, 7, 1, 3, 4, 13], [21, 5, 6, 25, 8], [12, 11, 10], [9, 30, 15, 14], [20, 19, 31, 16, 18], [23, 22, 28], [17, 24, 26], [27, 29, 48, 45, 32], [34, 36, 33, 37, 44], [41, 42, 39, 40, 46, 43, 47, 50], [59, 58, 38, 49, 56], [55], [57, 52, 51], [53, 54, 60]]
69: [[35, 2, 7], [1, 3, 4, 13], [21, 5, 6, 10], [9, 12, 8, 11, 14], [15, 28, 16, 23, 18, 27, 19, 17, 24, 20, 22, 29, 25, 30, 26, 33, 32, 38, 36, 31, 39, 37, 34, 47, 40, 41, 42, 44, 43, 58, 45, 46, 48, 53, 49, 50, 52], [51, 59, 54, 55, 56], [57, 60]]
70: [[35, 7, 3, 1, 2, 4], [13, 5, 6, 10, 9, 8, 14, 24, 17, 11, 30, 26, 12, 21, 18, 23, 22, 27, 16, 19, 20, 25, 31, 28, 29, 60, 32, 15, 46, 34, 33, 39, 37, 40, 36, 41, 44, 43, 38, 42, 45, 47, 49, 51, 48, 54, 59, 50, 56], [52, 53, 55, 57, 58]]
71: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 8, 14, 26, 10], [9, 11], [12, 15, 28, 25, 19, 31, 16, 17, 18, 27, 23], [20, 22, 24, 34], [29, 48, 37], [45, 32, 30, 36], [40, 39, 33], [38, 41, 44, 42, 46, 43], [47, 52, 57], [49, 50, 53, 51, 55, 54, 59, 56, 58, 60]]
72: [[35, 2, 7, 1], [3, 4, 13], [21, 5, 6, 9, 8, 14], [15, 26, 10, 31, 11, 30, 12, 16, 18], [23, 20, 17], [27, 19, 25, 24, 28, 22, 29, 32, 37, 33, 38, 34, 39, 36, 40, 43, 41, 46, 44, 47, 45, 42, 54, 58, 48, 49, 50, 53, 51, 52, 55, 57, 60, 59, 56]]
73: [[35, 2, 7], [1, 3, 4, 13], [21, 5, 6, 9], [14, 26, 10, 15, 8, 28, 24, 30, 27, 11, 12, 23], [16, 17, 20, 25, 18, 19, 31, 22, 29, 36, 33], [43, 32, 38], [42, 52, 45, 39, 37, 41], [40, 44, 46, 47], [54, 49, 56, 50, 34, 51, 48, 55, 59, 53, 58, 57, 60]]
