0: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
15: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
16: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
17: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
18: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
19: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
20: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
21: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
22: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
23: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
24: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
25: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
26: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
27: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
28: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
29: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
30: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
31: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
32: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
33: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
34: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
35: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
36: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
37: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
38: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
39: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
40: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
41: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
42: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
43: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
44: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
45: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
46: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
47: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
48: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
49: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
50: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
51: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
52: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
53: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
54: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
55: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
56: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
57: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
58: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
59: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
