0: [[14, 35, 20, 1, 2], [33, 7, 3, 4], [13, 17, 6, 21], [25, 5, 8, 9, 27, 10, 18], [12, 24], [29, 11, 19, 31, 15, 16, 30], [23, 28, 22, 40, 52, 50, 26], [37, 36, 42, 32, 45, 34, 39], [44, 41, 43, 38, 46], [58, 47, 53, 51], [48, 49, 55, 57], [54, 59, 60, 56]]
11: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 1, 5, 21, 6], [8, 9, 11, 19, 17, 16, 10, 18, 25], [15, 31, 30, 23, 27, 24, 26], [28, 29, 36, 22, 12, 34, 37], [39, 40, 44, 42, 58, 38, 45, 43, 50, 51, 41, 46, 52], [55, 49, 48, 53, 47, 57, 59, 54, 56, 60]]
12: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21], [1, 5, 10, 6, 24, 9, 12, 15, 27, 8, 11, 16], [17, 23, 19, 18, 22, 30, 26, 25, 31], [28, 29, 38, 36, 56, 37, 34, 40, 45, 46, 42, 39, 43, 44, 48], [41, 47, 51, 49, 50, 52, 53, 55, 57, 58, 54, 59, 60]]
13: [[14, 35, 2], [20, 32, 33, 7, 3, 4, 13], [21, 1, 5, 6, 10, 8, 9, 24, 19, 11, 26, 12, 28, 15, 25, 17, 30, 18, 22, 27, 23, 29, 58, 16, 31, 44, 34, 39, 42, 38], [36, 43, 37, 40, 41, 45, 46, 52, 56, 50, 47, 54, 48, 53], [55, 49, 51, 57, 59, 60]]
14: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 21, 1], [17, 25, 6, 10, 9, 22, 28, 12, 5, 19, 8, 15], [16, 27, 26, 23, 18, 11, 30, 24, 29, 31, 42], [34, 38, 37], [36, 39, 40, 43, 45, 41, 44, 47, 56, 46, 53, 50], [48, 55, 49, 54, 60, 52, 51, 58, 59, 57]]
15: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 21, 6, 5, 25], [8, 10, 1, 15, 26, 9], [17, 11, 12, 16, 18, 23, 22], [29, 19, 24, 27, 28, 30], [55, 34, 44], [31, 38, 39, 37, 43, 46], [36, 41, 45, 40, 42, 47, 51, 48], [53, 52, 58, 49, 50, 54, 57, 59, 56, 60]]
16: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 21, 1, 6, 5], [9, 8, 24, 11, 10, 12], [15, 31, 16, 18, 17, 19, 22], [25, 27, 23], [26, 28, 30, 53, 37, 29], [36, 38, 55, 39, 40], [43, 44], [46, 34], [41, 45, 42, 50, 52, 49], [58, 47, 54, 48, 51, 59, 57, 56, 60]]
17: [[14, 35, 2], [20, 32, 33], [7, 3, 4, 13, 17, 1], [21, 5, 6, 8, 9, 12], [11, 18, 15, 28, 29, 27, 16, 10, 19], [22, 30, 23], [25, 24, 36, 31, 38, 55, 42, 34, 44, 41, 37, 58, 39, 40], [47, 45, 57, 46, 52, 48, 26, 54, 50, 53, 43, 51, 49, 59, 56, 60]]
18: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21, 1, 5, 6, 11, 8], [9, 24, 31, 10, 16, 15, 12, 27, 18, 19, 28, 17, 26, 29, 25, 30, 54, 22, 23, 42, 38, 37, 47, 34], [39, 43, 36, 45, 46, 41, 40, 44, 51, 50, 53, 48, 52, 49], [55, 56, 58, 60, 59, 57]]
19: [[14, 35, 2], [20, 32, 33], [7, 3, 4, 13, 1, 21, 6], [12, 5], [8, 9, 15, 26, 11, 29, 16, 17, 10], [25, 19, 23, 22, 24], [30, 28, 58, 27, 36, 45], [31, 39, 34, 37, 42, 43, 44, 40, 38, 41, 47, 46, 48, 18], [49, 51, 53, 52, 50, 55, 54, 59, 57, 56, 60]]
20: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 21, 1, 5, 6, 10], [8, 11, 9, 23, 25, 16, 12], [28, 15, 17, 18, 26, 19, 24, 27, 29, 30, 54, 22, 31, 46, 34, 37, 42, 38, 47, 43, 36, 39, 41, 40], [45, 44, 50, 51, 53, 48, 52, 49, 55, 56, 58, 60, 59, 57]]
21: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 21, 1, 5, 6, 8], [10, 9, 11, 18, 16, 12], [25, 17, 27, 19, 15, 38, 22], [23, 26, 28, 31, 24, 55], [34, 30, 37, 45, 42, 44, 41, 29, 46, 43, 47], [36, 40, 48, 50, 49, 39, 51, 58], [53, 56, 52, 57, 54, 59, 60]]
22: [[14, 35, 2], [20, 32, 33, 7], [3, 4, 13], [21, 6, 1, 5, 8], [11, 9, 10, 15, 12, 19], [17, 29, 16, 18, 31, 22, 23], [24, 26, 27, 25, 30, 55], [34, 28, 45, 40, 38, 39, 44, 36], [42, 43, 41, 37, 46, 47, 50, 58, 51, 53, 56], [49, 48, 60, 54, 59, 52, 57]]
23: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21, 6, 5, 8, 9, 10], [1, 11, 30, 28, 17, 15, 18, 19, 23, 12, 24, 22], [27, 16, 25, 29], [31, 51, 34, 44, 26, 38, 37, 39, 43, 41, 36, 40, 42, 45], [46, 47, 49, 48, 57, 50, 55, 58, 54, 53, 52, 60, 56, 59]]
24: [[14, 35, 2, 20, 32, 33], [7, 3, 4], [13, 21, 1, 17, 10, 5, 9, 6, 26, 30, 8, 12, 19, 18, 11, 16, 24, 25, 23, 22, 34, 28, 29, 27, 31, 38, 15, 54, 36, 37, 43, 40, 39, 41, 45, 46, 44, 42, 47], [57, 50, 49, 55, 52, 48, 53, 56, 51, 59, 58, 60]]
25: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21], [1, 5, 11, 8, 6], [9, 15, 10, 25, 16, 27, 12, 24, 18, 22, 30, 17], [19, 31, 26, 23, 28, 29, 34, 58, 42, 47, 38, 36, 37, 40, 39, 41, 43, 45, 46, 44], [52, 48, 49, 53, 55, 56, 50, 60, 54, 51, 57, 59]]
26: [[14, 35, 2], [20, 32, 33], [7, 5, 4], [13, 21, 1, 3, 6, 10], [8, 26, 9, 11, 12], [24, 15, 25, 19, 16, 17, 18, 23, 22, 28, 27, 30, 31, 57, 34, 29, 45, 49, 53, 59, 36, 40, 46, 44, 37, 43, 38, 50, 41, 42, 47, 48, 39, 52, 54, 51], [55, 56, 60, 58]]
27: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21, 1, 5], [25, 6, 11, 9, 16, 8, 22, 26], [15, 12, 17, 23, 10, 18, 19], [28, 24, 27, 29, 30, 50], [31, 34, 37, 40, 38, 39, 46, 36, 42, 44, 41], [48, 56, 55, 52, 45, 47, 43, 58], [53, 51, 49, 59, 54, 57, 60]]
28: [[14, 35, 2], [20, 32, 33], [7, 5, 4], [13, 21, 1, 3, 6, 10], [9, 8, 27, 16, 11, 12, 25, 19, 18, 15, 17, 22, 30, 23, 26, 28, 29], [24, 51, 42, 46, 37, 39, 31, 34, 40, 57, 36, 41, 45, 55, 58, 43, 50, 44, 38, 47, 49, 53, 54, 52, 56, 60, 48, 59]]
29: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 21, 1, 5, 6, 10], [8, 11, 9, 31, 12, 28, 15, 22, 17], [16, 23, 18], [19, 26, 27, 25, 30, 24, 29, 48, 54, 47, 38, 39, 36, 37], [42, 44, 40, 45, 41, 46, 43, 49, 51, 52], [53, 59, 34, 55, 56, 50, 60, 58, 57]]
30: [[14, 35, 2], [20, 32, 33], [7, 3, 4, 13, 21, 1, 5, 8, 9, 10, 11, 12, 6, 30, 24, 15, 17], [18, 19, 22, 16, 25, 26, 27, 28, 23, 29, 31, 54, 40, 36, 55, 37, 43, 34, 38, 41, 39, 42, 44, 45, 46, 47, 48, 50, 53, 49, 52, 51, 56, 58], [60, 57, 59]]
31: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 21, 1, 5, 9], [6, 11, 10, 30, 8, 15], [12, 31, 24, 16, 23, 17, 18, 28], [19, 25, 22, 26, 40, 51, 39, 29, 37, 27, 38, 36], [43, 47, 52, 42, 45, 41, 44], [46, 48, 34, 58, 49, 50, 53], [55, 57, 59, 54, 56, 60]]
32: [[14, 35, 2], [20, 32, 33], [7, 3, 4, 13, 21], [6, 1, 12, 24, 5, 8, 9, 15, 10, 17, 16, 11, 18, 19, 29, 23], [22, 26, 27, 25, 30, 44, 31, 34, 28, 60, 39, 36, 38, 40, 37, 47, 42, 43, 41, 58, 45, 49, 48, 56, 55, 52, 46], [50, 51, 53, 59, 54, 57]]
33: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21, 1, 5], [6, 9, 12], [24, 11, 8, 26, 10, 17, 15, 27], [18, 16], [19, 23], [28, 22, 30, 25, 31, 38, 37, 36, 45, 29, 34, 46, 40, 41, 42, 39, 43, 44, 58], [47, 50, 48, 53, 49, 54, 51, 52, 57, 55, 59, 56, 60]]
34: [[14, 35, 2], [20, 32, 33, 7, 3], [4, 13, 21, 1, 5, 10, 6], [8, 19, 11, 12, 31, 9, 16, 15, 25, 17, 18, 23, 30, 22, 26, 24, 28, 27, 50, 46, 36, 52, 45, 29, 42, 47, 41, 39, 34, 37, 38, 40, 43, 48, 44, 59, 49, 54, 53, 55, 57, 58, 60, 51, 56]]
35: [[14, 35, 2], [17, 32, 33], [7, 3, 4], [13, 21, 1, 5, 16, 15], [8, 9, 11, 6, 12, 10], [18, 20, 24, 25, 19, 29, 23], [27, 26, 28, 31, 22, 50, 38], [42, 37, 41, 34, 30], [45, 36, 39, 44], [40, 43, 46, 47, 51], [54, 53, 52, 48], [49, 55, 56, 58, 60, 59, 57]]
36: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 5, 1, 10, 9], [6, 11, 8, 30, 24, 27], [12, 31, 16, 15, 17, 18, 21, 22], [19, 26, 25, 28, 46, 29, 23, 34, 37, 39, 38, 36], [43, 47, 41, 42, 45, 44, 54], [56, 48, 40, 50, 53, 51, 52], [55, 57, 49, 58, 59, 60]]
37: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 21, 6, 5, 9, 10, 8], [1, 15, 26, 12, 22], [11, 23, 17, 18, 16, 31, 29, 19, 25, 30, 24, 28, 27, 34, 36, 38, 54, 37, 39, 40], [43, 42, 44, 46, 41, 45, 47, 50, 60, 48, 49, 58, 51, 52, 53, 55, 56, 59, 57]]
38: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21, 1, 6], [5, 9, 8, 10, 24, 18, 22, 11], [15, 28, 12, 16, 25, 27], [19, 23, 26, 17, 31, 58, 50, 38, 29, 36, 40, 30, 43, 39, 42, 37, 41, 45, 34, 46, 51, 54, 44, 47, 59, 48, 53, 57, 56, 49, 55, 52, 60]]
39: [[14, 35, 2, 20, 32, 33], [7, 3, 4, 13, 21, 6, 1, 9, 5, 8], [10, 15, 24, 28, 11, 12, 30, 16, 18, 22, 23, 25, 31, 17, 19, 29, 26, 27, 34, 44, 39, 38, 37, 46, 43, 40, 36, 45, 42, 50, 59, 47, 41, 48, 49, 53, 51, 55, 58, 56, 57], [60, 52, 54]]
40: [[14, 35, 2], [20, 32], [33, 7, 3, 4, 13, 17, 1, 21, 10, 6, 24, 9], [18, 19, 16, 15, 5, 26, 8, 29, 23], [11, 12, 27], [30, 22], [25, 28], [31, 38, 36, 49, 39, 40, 44, 43, 46, 34, 47, 41, 37, 51], [42, 45, 48, 52, 53, 56, 55, 54, 57, 50, 58, 59, 60]]
41: [[14, 35, 2], [20, 32, 33, 7], [3, 4, 13, 21, 1, 5, 10, 6, 8], [11, 28, 9, 12, 25, 15, 18, 31, 16, 17, 26, 22, 23, 19, 24, 30, 27, 54, 38, 42, 29, 37, 36, 39, 41, 34, 44, 43, 45, 60, 40, 46, 47, 51, 52, 48, 49, 50, 53, 55, 56, 58, 57, 59]]
42: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 17, 1, 9, 12, 5, 11, 30, 16, 28, 8, 21, 6], [27, 19, 23, 15, 18, 31, 24, 25, 22, 26, 29, 46, 34, 42, 39, 38, 44, 43, 40, 36, 37, 41, 45, 49, 51, 10], [47, 48, 50, 52, 53, 55, 54, 57, 56, 59, 58, 60]]
43: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21, 5], [1, 9, 6, 8, 19], [10, 28, 12, 24, 17], [18, 11, 15, 16, 23, 26, 22], [25, 27, 29, 30, 54, 34], [36, 60, 31, 37, 39, 38, 41, 42, 46], [44, 45, 43, 47], [52, 50, 40, 48, 49], [57, 51, 53, 58, 59, 55, 56]]
44: [[14, 35, 2], [20, 32, 33], [7, 3, 4, 13, 1, 22, 8, 12, 9, 24, 21, 6], [11, 15, 25, 17, 26, 16, 19, 23, 49, 27, 28, 30, 55, 29, 38, 31, 37, 5, 39, 40, 36, 41, 47, 43, 34, 44, 46, 45, 18, 10], [57, 51, 42, 52, 53, 48, 50], [58, 54, 56, 59, 60]]
45: [[14, 35, 2], [20, 32, 33], [7, 5, 4, 13, 17, 1, 3], [25, 8, 6, 9, 28, 16, 10, 15, 24, 29, 11, 18, 22, 26, 30, 23, 12, 19, 21, 60, 51, 44, 47, 36, 42, 46, 38, 27, 58, 31, 41, 45, 34, 59, 37, 39, 50, 40, 49, 54, 53, 43, 48, 52, 55, 56, 57]]
46: [[14, 35, 2], [20, 32, 33], [7, 3, 4, 13, 21, 6], [5, 9, 8, 10, 1, 11, 12], [24, 15, 27, 17, 16, 23, 18, 19, 25, 22, 26, 31, 28, 57, 51, 58, 36, 29, 39, 37, 38], [42, 40, 46, 41, 43, 30, 44, 34, 55, 48, 49, 52, 60, 45, 47, 50, 53, 54, 56, 59]]
47: [[14, 35, 2, 20, 32, 33], [7, 3, 4], [13, 5, 1], [8, 10, 12, 9, 11, 25, 15, 26, 6, 17, 19, 21], [23, 16, 18], [29, 22, 27, 24, 28, 56, 31, 30, 37], [34, 52, 38, 36, 40], [43, 51, 39, 41], [45, 50, 47, 55, 48, 53, 54, 57, 42, 60, 44, 46, 59, 49, 58]]
48: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21, 1, 5, 6, 10, 12, 8, 11, 9, 18, 24, 15, 16, 19, 17, 27, 22, 23, 29, 26, 25, 28, 30, 42, 45, 39, 36, 46, 31, 34, 40, 47, 37, 50, 49, 38, 41, 43, 58, 44, 51, 48, 52, 54, 53, 56, 59, 60, 57, 55]]
49: [[14, 35, 2, 20, 32, 33, 7, 3, 4], [13, 21, 1], [6, 12, 5, 8, 10, 11, 15, 28, 9, 19, 18, 17, 16, 23], [26, 22, 24, 29, 31, 25, 27, 53, 36, 30, 34, 55, 38, 44, 40, 58], [46, 37, 45, 39, 41, 52, 42], [56, 50, 51, 43, 47, 48, 49, 54, 57, 59, 60]]
50: [[14, 35, 2], [20, 32, 33], [7, 5], [4, 13, 21, 6], [3, 8, 12], [1, 15, 24, 30, 9, 11, 10], [25, 27, 16, 23, 17, 22, 19, 18], [31, 28, 26, 57, 50, 41], [29, 42, 46, 37, 43, 40, 38, 45, 44, 34, 47, 49, 36, 56, 53, 55, 39, 48, 51, 52, 54, 59, 58, 60]]
51: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21, 1], [12, 5, 10, 8, 24, 15, 6, 30, 11, 19, 9, 22], [16, 17, 18, 25, 23, 28, 31, 26, 50, 55, 42], [58, 27, 39], [52, 29, 40, 34, 44, 46, 36, 37, 57, 47, 38, 41], [43, 45, 49, 53, 48, 51, 54, 56, 59, 60]]
52: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21, 6, 1, 9, 5, 8, 10, 11, 12], [24, 15, 17, 27, 16, 23], [18, 19, 25, 31, 26, 22, 28, 56, 55, 58], [36, 29, 39, 37, 38, 42, 40, 46, 45, 43, 30, 59, 34, 41, 48, 49, 53, 44, 47, 60, 51, 57, 50, 52, 54]]
53: [[14, 35, 2], [20, 32, 33, 7, 5, 4, 13], [21, 1, 3, 6], [8, 9, 12, 11, 10, 27, 15, 19, 16], [28, 18, 17, 31, 22, 34, 24, 23, 29, 50, 55, 42, 25, 26, 53, 39], [44, 36, 30], [37, 45, 38, 40, 43, 46], [41, 47, 54, 48, 57, 49, 56, 52, 58, 59, 51, 60]]
54: [[14, 35, 2, 20, 32, 33, 7], [3, 4, 13, 21, 1, 5, 9, 10, 8, 6, 11, 15, 29, 12, 30, 25, 17, 16, 18, 24, 27, 19, 28, 31], [26, 54, 22, 23, 42, 34, 55, 38, 36, 37, 43, 39, 45, 41], [40, 44, 52, 51, 50, 46, 48, 53, 49, 47, 57, 56, 58, 59, 60]]
55: [[14, 35, 2], [20, 32, 33, 7, 3], [4, 13, 21, 1, 5, 8], [6, 16, 11, 10, 12, 27, 15], [9, 24, 17, 19, 29, 25, 18, 30, 22, 23, 28, 37, 59, 44, 46], [26, 31, 39, 36, 34, 40, 53, 41, 42, 43, 45, 60, 47, 56, 38, 48, 54, 55, 50, 52, 49, 57, 51, 58]]
56: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21, 1], [5, 6, 9], [8, 11, 15, 18, 26], [10, 27, 12, 17, 23, 16, 19, 22, 25, 28, 24, 29, 57, 30, 42, 38, 34], [39, 36, 31, 43, 46, 40, 44, 47, 41, 58, 37, 59, 45], [49, 51, 48, 53, 50, 60, 52, 55, 54, 56]]
57: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21, 5], [1, 9, 6, 8, 17, 11], [28, 12, 24, 10, 18], [15, 31, 16, 27, 19, 22, 25], [26, 29, 30, 55, 34, 36], [46, 23], [37, 39, 38, 43], [42, 47, 44, 41, 45, 52], [56, 50, 40], [48, 49, 59, 51, 53, 54, 57, 60, 58]]
58: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21, 6, 1], [8, 5, 11], [10, 29, 12, 9, 17, 16], [24, 25, 18], [22, 23, 19, 26, 27, 30, 28, 51], [37, 40, 36, 34, 31, 38, 39, 46, 15, 42, 47, 45, 43, 41, 44, 60, 48, 56, 49, 53, 50, 55, 52, 54, 57, 58, 59]]
59: [[14, 35, 2], [20, 32, 33, 7], [3, 4, 13, 21], [1, 17, 5, 10, 9, 8, 24, 11], [27, 12, 6, 16, 29, 15, 19, 26, 25, 23, 28, 18, 30, 31, 36], [45, 37], [38, 22, 46, 40, 34, 42, 43, 44, 39, 51, 41], [47, 48, 49, 52, 50, 53, 58, 54, 57, 55, 59, 56, 60]]
60: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21, 1], [5, 11, 8, 9, 10, 15, 18, 12, 16, 26, 6, 31, 19, 28, 17, 22, 23], [24, 29, 27, 25, 30, 36, 39, 44, 38, 45], [34, 43, 46, 40, 41, 42, 47, 48, 60, 51, 56, 52, 37, 58, 57, 50, 53, 49, 54, 55, 59]]
61: [[14, 35, 2, 20], [32, 33, 7, 3, 4, 13], [21, 1, 5, 6, 9, 11, 8], [24, 31, 27, 16, 10, 12, 17, 18, 25, 22, 19, 26, 23, 28, 29, 54, 30, 60, 46, 38, 15, 34, 37, 43, 42, 36, 39, 45], [41, 40, 44, 47, 58, 53, 48, 55, 51, 50, 49, 52, 57, 59, 56]]
62: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 21, 1, 5, 6, 9, 12, 10, 8], [11, 26, 22], [31, 25, 19, 16, 15, 17, 24, 29, 30, 18, 23, 27, 28, 38], [42, 47, 43, 37, 57, 34, 44, 46, 36, 45, 39, 41, 51, 48, 50, 40, 54, 52, 49], [55, 56, 53, 59, 58, 60]]
63: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 21, 1, 16, 5], [8, 11, 9, 28, 18, 6], [12, 25, 10], [17, 19, 15, 24], [23, 22, 26, 29, 31, 27, 55, 34, 30, 37, 44], [36, 39, 38, 42, 40, 41, 43, 52, 57, 49, 50, 58, 46, 45, 47, 53, 51, 60, 59, 56, 48, 54]]
64: [[14, 35, 2], [20, 32, 33], [7, 3, 4, 13, 1, 9, 11, 6, 5, 8], [12, 15, 16, 18, 17, 21, 22, 19, 24, 25, 23, 27, 10], [30, 26, 28, 60], [59, 44, 46, 45, 29, 38, 36, 42, 31, 37, 34, 39], [40, 50, 41, 47, 58, 51, 48, 49, 43, 53, 52, 55, 57, 54, 56]]
65: [[14, 35, 2], [20, 32], [33, 7, 3, 4, 13], [21, 1, 6, 10, 5, 12, 9, 24, 8, 19, 18, 11], [16, 15, 17, 25, 27, 30, 23], [26, 22, 28, 29, 42, 31, 37, 36, 38, 47], [34, 40, 39, 43, 44, 49, 59, 41, 45, 46, 54, 50, 53, 48, 60, 51, 52, 55, 58, 56, 57]]
66: [[14, 35, 2], [20, 32, 33, 7, 3, 4, 13, 21, 6, 1, 9, 5, 8, 10, 11, 12, 24, 15, 17, 27, 16, 23, 18, 19, 25, 31, 26, 22, 28, 56, 55, 58, 36, 29, 39, 37, 38, 42, 40, 46, 45], [43, 30, 59, 34, 41, 48, 49, 53, 44, 47, 60, 51, 57, 50, 52, 54]]
67: [[14, 35, 2], [20, 32, 33, 7, 3, 4, 13, 21, 6, 1, 5, 12], [8, 11, 10, 9, 27, 30, 15, 25, 16, 17, 19, 29, 23, 18, 22, 24, 26, 57, 28, 42, 44, 34, 36, 31, 37, 47, 41, 38, 46, 43, 45, 48, 39, 50, 56, 40, 53, 58, 49, 51, 59, 52, 55, 54, 60]]
68: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 17, 1], [5, 25, 9, 6, 11], [8, 23, 30, 12, 10, 24], [15, 16, 22, 19, 18, 21, 26], [28, 27, 29, 55, 34, 45, 37], [38, 46, 36, 47, 31, 39, 40], [43, 41, 51, 42, 50, 44, 48, 49, 57, 54, 53, 58, 52], [59, 56, 60]]
69: [[14, 35, 2, 20, 32, 33, 7, 3], [4, 13, 21, 1, 5, 6, 10, 8, 24, 11, 26, 9, 31, 19, 12, 15, 16, 17, 25, 29, 18, 28, 22, 30, 37, 27, 38, 39, 23, 34, 53, 49, 40, 41, 45, 42, 36, 44, 47, 46, 48, 58, 43, 51, 52], [50, 57, 54, 55, 59, 56, 60]]
70: [[14, 35, 2, 20, 32, 33, 7, 5, 4], [13, 21, 1, 3, 6, 11, 8, 9, 10, 12, 27, 19, 16, 24], [15, 18, 22, 30, 17, 26, 23, 29, 28, 36, 55, 25, 46, 41, 52, 34, 31, 47, 42, 37, 38, 45, 40, 39, 60, 43, 51, 44, 48, 50, 49, 53, 57, 54, 56, 58, 59]]
71: [[14, 35, 2, 20, 32, 33], [7, 5, 4, 13, 21, 1, 17], [10, 3, 9, 16, 11, 6, 15], [12, 8, 22, 27, 23], [25, 18, 19, 24, 28, 26, 30], [29, 46, 37, 45, 36, 31, 47, 40, 34, 43, 42, 44, 41, 48, 50, 51, 38, 53, 39, 49, 52, 59, 54, 55, 57, 56, 58], [60]]
72: [[14, 35, 2], [20, 32, 33, 7, 3, 4, 13, 21], [1, 5, 9, 11, 10, 12, 8, 16, 24], [26, 27, 31, 6, 19, 18, 15], [30, 23, 17], [22, 28, 56, 25, 51, 36], [29, 34, 37, 46, 42, 44, 38, 45, 43, 39], [57, 40, 41, 47, 49, 53, 58, 52, 48, 55, 59, 50, 60, 54]]
73: [[14, 35, 2, 20, 32, 33, 7, 5, 4], [13, 21, 1, 3, 12, 8, 6, 26, 9, 10], [27, 18, 11, 17, 29, 15], [19, 22, 16, 24, 23, 25, 28, 34, 31, 38, 46, 30, 36, 44, 37, 41, 43, 45, 49, 39, 42, 40, 47, 54, 50, 52, 53, 55, 51, 48, 58, 59, 57, 60, 56]]
