0: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
27: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
28: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
29: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
30: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
31: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
32: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 18, 24, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
33: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [28, 24, 18, 14, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
34: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
35: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 17, 16, 12], [24, 18, 28, 23, 10, 14], [15, 27, 20, 26, 21, 29, 25]]
36: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
37: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 23, 10, 28], [15, 27, 20, 26, 21, 29, 25]]
38: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12], [17, 16, 14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
39: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12], [17, 16, 14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
40: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12], [17, 16, 14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
41: [[9, 7, 1, 22, 19, 2], [6, 5, 3, 4, 8, 11, 13, 12], [17, 16, 14, 18, 24, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
42: [[9, 7, 1, 22, 19, 2], [6, 5, 3, 4, 8, 11, 13, 12], [17, 16, 14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
43: [[9, 7, 1, 22, 19, 2], [6, 5, 3, 4, 8, 11, 13, 12], [17, 16, 14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
44: [[9, 7, 1, 22, 19, 2], [6, 5, 3, 4, 8, 11, 13, 12], [17, 16, 14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
45: [[9, 7, 1, 22, 19, 2], [6, 5, 3, 4, 8, 11, 13, 12], [17, 16, 14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
46: [[9, 7, 1, 22, 19, 2], [6, 5, 3, 4, 8, 11, 13, 12], [17, 16, 14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
47: [[9, 7, 1, 22, 19, 2], [6, 5, 3, 4, 8, 11, 13, 12], [17, 16, 14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
48: [[9, 7, 1, 22, 19, 2], [6, 5, 3, 4, 8, 11, 13, 12], [17, 16, 14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
49: [[9, 7, 1, 22, 19, 2], [6, 5, 3, 4, 8, 11, 13, 12], [17, 16, 14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
50: [[9, 7, 1, 22, 19, 2], [6, 5, 3, 4, 8, 11, 13, 12], [17, 16, 14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
51: [[9, 7, 1, 22, 19, 2], [6, 5, 3, 4, 8, 11, 13, 12], [17, 16, 14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
52: [[9, 7, 1, 22, 19, 2], [6, 5, 3, 4, 8, 11, 13, 12], [17, 16, 14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
53: [[9, 7, 1, 22, 19, 2], [6, 5, 3, 4, 8, 11, 13, 12], [17, 16, 14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
54: [[9, 7, 1, 22, 19, 2], [6, 5, 3, 4, 8, 11, 13, 12], [17, 16, 14, 18, 24, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
55: [[9, 7, 1, 22, 19, 2], [6, 5, 3, 4, 8, 11, 13, 12], [17, 16, 14, 18, 24, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
56: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 20, 10, 23], [15, 27, 28, 26, 21, 29, 25]]
57: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 17, 16, 12], [14, 24, 20, 29, 10, 18], [15, 27, 23, 26, 21, 28, 25]]
58: [[9, 7, 1, 22, 19, 2], [6, 5, 3, 4, 8, 11, 13, 12], [17, 16, 28, 24, 10, 26, 14, 23], [15, 27, 20, 18, 21, 29, 25]]
59: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 17, 12, 16], [18, 26, 24, 29, 10, 14], [15, 27, 20, 23, 21, 28, 25]]
