0: [[5, 16, 4, 3], [1, 2, 9], [14, 6, 7, 8, 10, 11], [12, 13], [15, 18], [19, 17, 22, 20], [23, 21, 24]]
15: [[5, 16, 4, 3], [1, 2], [14, 6, 9], [7, 8], [10, 11, 12], [13, 15], [18, 19, 17], [22, 20], [23, 21, 24]]
16: [[5], [16, 1, 3], [2, 14], [6, 7], [8, 10, 11], [12, 13], [15, 18, 19, 4], [17, 22, 20, 9], [23, 21, 24]]
17: [[5], [16, 1, 4, 3], [2, 14], [6, 7], [8, 10, 11], [12, 13, 15], [18, 19], [17, 22, 20, 9], [23, 21, 24]]
18: [[5], [16, 1, 2, 4], [14, 6, 7], [8, 10, 3], [11, 12], [13, 15], [18, 19], [17, 22, 20, 9], [23, 21, 24]]
19: [[16, 1, 3], [2, 14, 6], [7, 8], [10, 11], [12, 13], [15, 18], [19, 17, 9], [22, 4, 5], [20, 23, 21, 24]]
20: [[5, 16, 4, 3], [1, 2, 14], [6, 7, 8, 9], [10, 11, 12], [13, 15], [18, 19], [17, 22, 20], [23, 21, 24]]
21: [[5, 16, 1, 4], [2, 14], [6, 7], [8, 10, 3], [11, 12], [13, 15, 18, 19], [17, 22, 20, 9], [23, 21, 24]]
22: [[5], [16, 1, 4, 3], [2, 14, 6], [7, 8], [10, 11, 12], [13, 15], [18, 19], [17, 22, 20, 9], [23, 21, 24]]
23: [[5], [16, 1, 4, 3], [2, 14, 6], [7, 8, 10], [11, 12], [13, 15], [18, 19], [17, 22, 20, 9], [23, 21, 24]]
24: [[5, 16, 4], [1, 2, 14], [6, 7], [8, 10, 3], [11, 12], [13, 15], [18, 19], [17, 22, 20, 9], [23, 21, 24]]
25: [[5], [16, 1, 4, 3], [2, 14, 6, 7], [8, 10, 11], [12, 13], [15, 18], [19, 17, 22, 9], [20, 23, 21, 24]]
26: [[5], [16, 1, 4, 3], [2, 14, 6, 7], [8, 10, 11], [12, 13], [15, 18], [19, 17, 22, 9], [20, 23, 21, 24]]
27: [[16, 3], [1, 2], [14, 6], [7, 8], [10, 11], [12, 13, 5], [15, 18, 19, 4], [17, 22, 9], [20, 23, 21, 24]]
28: [[5], [16, 1, 2, 3], [14, 6, 7], [8, 10, 11], [12, 13], [15, 18], [19, 17, 9], [22, 20, 23, 4], [21, 24]]
29: [[5], [16, 1, 2, 3], [14, 6, 7], [8, 10, 11], [12, 13], [15, 18], [19, 17, 9], [22, 20, 23, 4], [21, 24]]
30: [[5, 16], [1, 2], [14, 6, 4, 3], [7, 8, 9], [10, 11], [12, 13, 15], [18, 19, 17, 22], [20, 23, 21, 24]]
31: [[5], [16, 1, 2], [14, 6, 7], [8, 10, 3], [11, 12, 13], [15, 18, 19, 4], [17, 22, 20, 23, 9], [21, 24]]
32: [[5], [16, 1, 2, 3], [14, 6, 4], [7, 8, 9], [10, 11], [12, 13, 15], [18, 19, 17, 22], [20, 23], [21, 24]]
33: [[16, 1, 4, 3], [2, 14], [6, 7, 5], [8, 10], [11, 12, 13], [15, 18], [19, 17, 22, 9], [20, 23], [21, 24]]
34: [[5, 16], [1, 2, 14, 4], [6, 7, 8, 3, 9], [10, 11, 12, 13], [15, 18, 19, 17, 22, 20], [23, 21], [24]]
35: [[5, 16], [1, 2, 14, 4], [6, 7, 8, 3, 9], [10, 11, 12], [13, 15], [18, 19, 17, 22], [20, 23, 21, 24]]
36: [[5, 16, 4], [1, 2, 14], [6, 7, 9], [8, 10, 3], [11, 12], [13, 15, 18, 19, 17], [22, 20, 23], [21, 24]]
37: [[5, 4], [16, 1, 2], [14, 6, 7, 9], [8, 10, 3], [11, 12, 13, 15], [18, 19, 17, 22, 20, 23, 21, 24]]
38: [[9, 5, 16, 4, 3], [1, 2], [14, 6, 7], [8, 10, 11, 12, 13, 15, 18, 19, 17, 22, 20, 23, 21, 24]]
39: [[16, 1, 4, 3], [2, 14], [6, 7], [8, 10], [11, 12], [13, 15], [18, 19], [17, 22, 9, 5], [20, 23, 21, 24]]
40: [[5], [16, 1, 3], [2, 14], [6, 7, 9], [8, 10], [11, 12, 13], [15, 18, 19, 4], [17, 22, 20, 23, 21, 24]]
41: [[5], [16, 1, 4, 3], [2, 14, 6, 9], [7, 8, 10], [11, 12, 13], [15, 18, 19, 17, 22, 20, 23, 21, 24]]
42: [[5, 16, 4], [1, 2, 14], [6, 7, 9], [8, 10, 3], [11, 12, 13], [15, 18, 19, 17, 22, 20, 23, 21, 24]]
43: [[5], [16, 1, 4, 3], [2, 14], [6, 7, 8, 10, 9], [11, 12], [13, 15, 18, 19, 17, 22, 20, 23, 21, 24]]
44: [[4, 3], [9, 5, 16, 1], [2, 14, 6, 7, 8, 10, 11, 12, 13, 15, 18, 19, 17, 22, 20, 23, 21, 24]]
45: [[9, 5], [16, 1], [2, 14, 6, 7, 4, 3], [8, 10, 11, 12, 13, 15, 18, 19, 17, 22, 20, 23, 21, 24]]
46: [[5, 16], [1, 2, 14, 4], [6, 7, 8, 10, 3, 9], [11, 12], [13, 15, 18, 19, 17, 22, 20, 23, 21, 24]]
47: [[9, 5, 16], [1, 2, 14, 4], [6, 7, 8, 10, 11, 12, 13, 15, 18, 19, 17, 22, 20, 23, 21, 24, 3]]
48: [[9, 5, 16], [1, 2, 14, 4], [6, 7, 8, 3], [10, 11, 12, 13, 15, 18, 19, 17, 22, 20, 23, 21, 24]]
49: [[9, 5, 16], [1, 2, 14, 4], [6, 7, 8, 3], [10, 11, 12, 13, 15, 18, 19, 17, 22, 20, 23, 21, 24]]
