0: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
12: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
13: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
14: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
15: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
16: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
17: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
18: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
19: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
20: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
21: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
22: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
23: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
24: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
25: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
26: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
27: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
28: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
29: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
30: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
31: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
32: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
33: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
34: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
35: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
36: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
37: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
38: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
39: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
40: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
41: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
42: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
43: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
44: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
45: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
46: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
47: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
48: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
49: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
50: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
51: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
52: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
53: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
54: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
55: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
56: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
57: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
58: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
59: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
