0: [[35, 2, 7, 22, 1], [13, 5, 11], [3, 4, 9], [10, 14, 6], [8, 12, 19, 29, 15], [17, 16, 20, 23], [18, 21, 24, 27], [25, 26, 28], [31, 30, 32, 33, 34], [37, 36]]
54: [[35, 2], [7, 22], [1, 13, 5], [11, 3, 4], [9, 10, 14], [6, 8, 12], [19, 29, 15], [17, 16, 20], [23, 18, 21], [24, 27, 25], [26, 28, 31], [30, 32, 33], [34, 37, 36]]
55: [[35, 2], [7, 22], [1, 13, 5], [11, 3, 4, 9], [10, 14, 6], [8, 12, 19, 29], [15, 17], [16, 20, 23, 18, 21, 24, 27, 25], [26, 28, 31, 30, 32, 33, 34, 37, 36]]
56: [[35, 2, 7], [22, 1, 13], [5, 11, 3], [4, 9, 10], [14, 6, 8], [12, 19, 29, 15, 17], [16, 20, 23], [18, 21, 24, 27, 25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
57: [[35, 2, 7], [22, 1], [13, 5, 11], [3, 4, 9, 10], [14, 6, 8], [12, 19, 29, 15], [17, 16, 20, 23], [18, 21], [24, 27, 25], [26, 28, 31, 30], [32, 33], [34, 37, 36]]
58: [[35, 2], [7, 22, 1, 13, 5, 11, 3, 4, 9, 10, 14, 6, 8, 12, 19, 29, 15, 17], [16, 20, 23, 18, 21], [24, 27, 25], [26, 28, 31, 30, 32, 33, 34, 37, 36]]
59: [[35, 2, 7], [22, 1], [13, 5, 11], [3, 4, 9, 10], [14, 6, 8], [12, 19, 29], [15, 17, 16], [20, 23], [18, 21, 24], [27, 25, 26], [28, 31, 30], [32, 33, 34], [37, 36]]
60: [[35, 2, 7], [22, 1, 13], [5, 11, 3], [4, 9, 10, 14], [6, 8], [12, 19, 29, 15], [17, 16, 20, 23, 18, 21, 24, 27, 25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
61: [[35, 2], [7], [22, 1, 13], [5, 11, 3], [4, 9, 10, 14], [6, 8, 12], [19, 29, 15], [17, 16, 20], [23, 18, 21], [24, 27, 25], [26, 28, 31], [30, 32, 33, 34], [37, 36]]
62: [[35, 2, 7, 22, 1, 13, 5, 11, 3, 4, 9, 10, 14, 6, 8, 12, 19], [29, 15, 17, 16, 20, 23, 18, 21, 24, 27], [25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
63: [[35, 2, 7], [22, 1], [13, 5, 11], [3, 4, 9], [10, 14], [6, 8, 12], [19, 29], [15, 17, 16, 20], [23, 18, 21], [24, 27, 25], [26, 28, 31, 30], [32, 33, 34, 37, 36]]
64: [[35, 2, 7], [22, 1, 13], [5, 11, 3, 4], [9, 10, 14], [6, 8, 12], [19, 29, 15], [17, 16, 20, 23, 18, 21, 24, 27, 25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
65: [[35, 2], [7, 22, 1], [13, 5, 11, 3], [4, 9, 10, 14], [6, 8, 12, 19], [29, 15, 17], [16, 20, 23], [18, 21], [24, 27, 25, 26], [28, 31, 30], [32, 33, 34], [37, 36]]
66: [[35, 2, 7], [22, 1, 13, 5], [11, 3, 4], [9, 10, 14], [6, 8, 12], [19, 29, 15], [17, 16], [20, 23, 18], [21, 24, 27], [25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
67: [[35, 2, 7], [22, 1, 13, 5], [11, 3], [4, 9, 10, 14, 6, 8, 12, 19], [29, 15, 17, 16, 20, 23, 18, 21, 24, 27, 25, 26], [28, 31, 30, 32, 33, 34, 37, 36]]
68: [[35, 2], [7, 22], [1, 13, 5], [11, 3, 4], [9, 10], [14, 6, 8], [12, 19], [29, 15, 17], [16, 20, 23, 18], [21, 24], [27, 25, 26, 28, 31, 30], [32, 33, 34, 37, 36]]
69: [[35, 2, 7], [22, 1, 13], [5, 11, 3], [4, 9, 10], [14, 6, 8, 12, 19], [29, 15, 17, 16], [20, 23, 18, 21], [24, 27, 25], [26, 28, 31, 30, 32], [33, 34], [37, 36]]
70: [[35, 2, 7], [22, 1, 13, 5], [11, 3, 4, 9], [10, 14, 6], [8, 12, 19, 29], [15, 17, 16], [20, 23, 18, 21], [24, 27, 25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
71: [[35, 2, 7], [22, 1, 13], [5, 11], [3, 4], [9, 10, 14, 6], [8, 12, 19, 29], [15, 17, 16], [20, 23, 18, 21, 24], [27, 25], [26, 28, 31, 30, 32, 33, 34, 37, 36]]
72: [[35, 2], [7, 22], [1, 13, 5], [11, 3, 4], [9, 10], [14, 6, 8], [12, 19, 29], [15, 17, 16, 20], [23, 18, 21], [24, 27, 25], [26, 28, 31, 30], [32, 33], [34, 37, 36]]
73: [[35, 2, 7], [22, 1, 13], [5, 11, 3, 4], [9, 10], [14, 6, 8], [12, 19, 29], [15, 17, 16], [20, 23, 18, 21, 24, 27, 25, 26], [28, 31, 30, 32, 33, 34, 37, 36]]
