0: [[2, 10], [9, 20, 1], [14, 4, 6, 5], [15, 8, 13], [7, 11], [12, 18, 16, 17, 22, 19, 3], [23, 21, 24]]
26: [[2], [1, 9], [20, 13], [14, 4, 5, 6, 15], [8, 7, 10, 19], [11, 12, 18], [16, 17, 22, 3], [23, 21, 24]]
27: [[2], [1, 9], [20, 13], [14, 4, 5, 10, 19], [6, 15], [8, 7, 11], [12, 18], [16, 17, 3], [22, 23, 21, 24]]
28: [[2], [9, 20, 13, 1], [14, 4, 10, 19], [5, 6], [15, 8], [7, 11], [12, 18], [16, 17, 22, 3], [23], [21, 24]]
29: [[2], [1, 9, 20, 13], [14, 4, 5, 10], [6, 15], [8, 7, 11, 12], [18, 16, 3], [17, 22, 23, 19], [21, 24]]
30: [[2, 1], [9, 20], [13, 14, 10], [4, 5], [6, 15, 8, 7], [11, 12, 19], [18, 16, 17, 3], [22, 23], [21, 24]]
31: [[2, 1, 9], [20, 13], [14, 4, 5, 6, 10], [15, 8, 7], [11, 12, 18], [16, 17, 19, 3], [22, 23], [21, 24]]
32: [[2, 3, 10, 19], [1, 9, 20, 13], [14, 4, 5, 6, 15, 8], [7, 11, 12], [18, 16, 17, 22, 23, 21, 24]]
33: [[2], [1, 9, 20, 13], [14, 4, 5, 10, 19], [6, 15], [8, 7], [11, 12], [18, 16, 3], [17, 22, 23, 21, 24]]
34: [[2], [1, 9, 20, 13], [14, 4, 5, 10, 19], [6, 15], [8, 7], [11, 12], [18, 16, 3], [17, 22, 23, 21, 24]]
35: [[2], [1, 9], [20, 13], [14, 4, 10], [5, 6], [15, 8, 7], [11, 12, 18, 16, 3], [17, 22, 23, 19], [21, 24]]
36: [[2, 1], [9, 20], [13, 14], [4, 5, 6, 15], [8, 7, 10, 19], [11, 12], [18, 16, 17, 22, 23, 3], [21, 24]]
37: [[2], [1, 9, 20], [13, 14, 10], [4, 5, 19], [6, 15, 3], [8, 7, 11, 12, 18], [16, 17, 22, 23, 21, 24]]
38: [[2], [1, 9], [20, 13], [14, 4, 10, 19], [5, 6, 3], [15, 8, 7, 11], [12, 18, 16, 17, 22, 23, 21, 24]]
39: [[2], [1, 9, 3], [20, 13], [14, 4, 5, 10, 19], [6, 15, 8], [7, 11, 12], [18, 16, 17, 22, 23, 21, 24]]
40: [[2], [1, 9, 20, 13], [14, 4, 5, 10, 19], [6, 15, 3], [8, 7], [11, 12, 18, 16, 17, 22, 23, 21, 24]]
41: [[2, 19], [1, 9, 3], [20, 13, 14, 10], [4, 5, 6, 15], [8, 7, 11], [12, 18, 16, 17, 22, 23, 21, 24]]
42: [[2], [1, 9, 20, 13, 3], [14, 4, 5, 10, 19], [6, 15, 8, 7], [11, 12, 18, 16, 17, 22, 23, 21, 24]]
43: [[2, 3, 1, 9, 20, 10, 19], [13, 14, 4], [5, 6, 15, 8, 7, 11, 12, 18, 16, 17, 22, 23, 21, 24]]
44: [[2, 3, 1, 9, 20, 10, 19], [13, 14, 4], [5, 6, 15, 8, 7, 11, 12, 18, 16, 17, 22, 23, 21, 24]]
45: [[10, 19, 2, 3], [1, 9], [20, 13, 14], [4, 5, 6, 15], [8, 7, 11, 12, 18, 16, 17, 22, 23, 21, 24]]
46: [[2, 1, 9, 20, 10, 19], [13, 14, 3], [4, 5], [6, 15, 8, 7], [11, 12, 18], [16, 17, 22, 23, 21, 24]]
47: [[10, 19, 2], [3, 1, 9, 20], [13, 14, 4], [5, 6, 15, 8, 7, 11, 12, 18, 16, 17, 22, 23, 21, 24]]
48: [[10, 19, 2], [3, 1], [9, 20, 13], [14, 4, 5, 6, 15, 8, 7, 11], [12, 18, 16, 17, 22, 23, 21, 24]]
49: [[10, 19, 2], [3, 1], [9, 20, 13], [14, 4, 5], [6, 15, 8, 7], [11, 12, 18, 16, 17, 22, 23, 21, 24]]
