0: [[23, 28], [7, 16, 17, 9, 18, 10, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13], [21, 27, 26], [29, 24, 14]]
46: [[23, 28], [7, 16, 17], [9, 18, 10], [22, 2, 1], [19, 6], [5, 25], [4, 8, 12], [11, 3, 20], [15, 13, 21], [27, 26, 29, 24, 14]]
47: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5], [25, 4, 8], [12, 11, 3, 20, 15, 13, 21, 27, 26, 29, 24, 14]]
48: [[23, 28, 7], [16, 17, 9], [18, 10, 22], [2, 1], [19, 6, 5], [25, 4, 8], [12, 11, 3, 20], [15, 13, 21], [27, 26, 29], [24, 14]]
49: [[23, 28, 7], [16, 17, 9], [10, 18], [22, 2, 1], [19, 6, 5], [25, 4, 8, 12, 11, 3, 20, 15, 13], [21, 27, 26, 29, 24, 14]]
50: [[23, 28, 7], [16, 17, 9], [18, 10], [22, 2, 1], [19, 6, 5], [25, 4, 8, 12, 11, 3], [20, 15, 13, 21, 27, 26, 29, 24, 14]]
51: [[23, 28], [7, 16], [17, 9, 18], [10, 2, 22], [1, 19, 6], [5, 25, 4], [8, 12, 11], [3, 20, 15], [13, 21], [27, 26], [29, 24, 14]]
52: [[23, 28, 7], [16, 17, 9], [10, 18, 22, 2, 1, 19], [6, 5, 25, 4, 8, 12, 11, 3, 20, 15, 13, 21, 27, 26, 29, 24, 14]]
53: [[23, 28], [7, 16, 17], [9, 10, 18], [22, 2, 1], [19, 6, 5], [25, 4, 8], [12, 11, 3, 20, 15, 13, 21, 27, 26, 29, 24, 14]]
54: [[23, 28], [7, 16, 17], [9, 18, 10], [22, 2, 1], [19, 6, 5], [25, 4, 8], [12, 11], [3, 20, 15], [13, 21, 27], [26, 29, 24, 14]]
55: [[23, 28], [7, 16, 17], [9, 10, 18], [22, 2, 1], [19, 6], [5, 25, 4], [8, 12, 11], [3, 20, 15, 13, 21, 27, 26, 29, 24, 14]]
56: [[23, 28, 7], [16, 17], [9, 18, 10], [22, 2, 1], [19, 6, 5, 25, 4, 8], [12, 11, 3, 20, 15, 13, 21, 27, 26, 29, 24, 14]]
57: [[23, 28], [7, 16], [17, 9, 18], [10, 2, 1], [22, 19], [6, 5, 25, 4, 8, 11, 12, 3, 20, 15, 13, 21, 27, 26, 29, 24, 14]]
58: [[23, 28], [7, 16, 17], [9, 10, 18], [22, 2, 1], [19, 6], [5, 25, 4, 8, 12, 11, 3, 20, 15, 13, 21, 27, 26, 29, 24, 14]]
59: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19, 6, 5, 25, 4, 8, 11, 3, 12, 20, 15, 13, 21, 27, 26, 29, 24, 14]]
