0: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
11: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
12: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
13: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
14: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
15: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
16: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
17: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
18: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
19: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
20: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
21: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
22: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
23: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
24: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
25: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
26: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
27: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
28: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
29: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7, 13, 6], [4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
30: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7, 13, 6], [4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
31: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7, 13, 6], [4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
32: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
33: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
34: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24], [7, 13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
35: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 12], [8, 1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
36: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
37: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
38: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
39: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
40: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
41: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
42: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
43: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
44: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
45: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
46: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
47: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
48: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8], [1, 16, 9, 17, 10, 12], [23, 21, 18, 22, 29, 14]]
49: [[27, 25, 26, 3, 20, 5, 28], [19, 2, 24, 7, 13, 6], [4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
50: [[27, 25, 26, 3, 20, 5, 28], [19, 2, 24, 7, 13, 6], [4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
51: [[27, 25, 26, 3, 20, 5, 28], [19, 2, 24, 7, 13, 6], [4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
52: [[27, 25, 26, 3, 20, 5, 28], [19, 2, 24, 7, 13, 6], [4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
53: [[27, 25, 26, 3, 20, 5, 28], [19, 2, 24, 7, 13, 6], [4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
54: [[27, 25, 26, 3, 20, 5, 28], [19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
55: [[27, 25, 26, 3, 20, 5, 28], [19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
56: [[27, 25, 26, 3, 20, 5, 28], [19, 2, 24, 7, 13], [6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
57: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8], [1, 16, 9, 17, 10, 12], [23, 21, 18, 22, 29, 14]]
58: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8], [1, 16, 9, 17, 10, 12], [23, 21, 18, 22, 29, 14]]
59: [[27, 25, 26, 3, 20], [5, 28, 19, 2, 24, 7, 13], [6, 4, 11, 15, 8], [1, 16, 9, 17, 10, 12], [23, 21, 18, 22, 29, 14]]
