0: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 22, 20], [21, 26, 27, 29, 25]]
11: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
12: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
13: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
14: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
15: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 22, 16, 19, 20, 18], [21, 26, 27, 29, 25]]
16: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 22, 16, 19, 20, 18], [21, 26, 27, 29, 25]]
17: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
18: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
19: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
20: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
21: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 22, 16, 19, 20, 18], [21, 26, 27, 29, 25]]
22: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 22, 16, 19, 20, 18], [21, 26, 27, 29, 25]]
23: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 22, 16, 19, 20, 18], [21, 26, 27, 29, 25]]
24: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 22, 16, 19, 20, 18], [21, 26, 27, 29, 25]]
25: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
26: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
27: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
28: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
29: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
30: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
31: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
32: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
33: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 22, 16, 19, 20, 18], [21, 26, 27, 29, 25]]
34: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
35: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
36: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
37: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
38: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 22, 16, 19, 20, 18], [21, 26, 27, 29, 25]]
39: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
40: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 22, 16, 19, 20, 18], [21, 26, 27, 29, 25]]
41: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 22, 16, 19, 20, 18], [21, 26, 27, 29, 25]]
42: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
43: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 22, 16, 19, 20, 18], [21, 26, 27, 29, 25]]
44: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 22, 20], [21, 26, 27, 29, 25]]
45: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 22, 20], [21, 26, 27, 29, 25]]
46: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 22, 20], [21, 26, 27, 29, 25]]
47: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 22, 20], [21, 26, 27, 29, 25]]
48: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 22, 20], [21, 26, 27, 29, 25]]
49: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 22, 20], [21, 26, 27, 29, 25]]
50: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 22, 20], [21, 26, 27, 29, 25]]
51: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 22, 20], [21, 26, 27, 29, 25]]
52: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 22, 20], [21, 26, 27, 29, 25]]
53: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 22, 20], [21, 26, 27, 29, 25]]
54: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 22, 20], [21, 26, 27, 29, 25]]
55: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 22, 20], [21, 26, 27, 29, 25]]
56: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 22, 20], [21, 26, 27, 29, 25]]
57: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 18, 10], [13, 14, 16, 19, 20, 22, 23], [21, 26, 27, 29, 25]]
58: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 14], [13, 20, 18, 19, 16, 22, 23], [21, 26, 27, 29, 25]]
59: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 19, 20], [13, 10, 18, 16, 22, 23, 14], [21, 26, 27, 29, 25]]
