0: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
31: [[2, 1], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 11, 7], [18, 17, 19, 22, 20], [21, 23, 24]]
32: [[2, 1], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 11, 7], [18, 17, 19, 22, 20], [21, 23, 24]]
33: [[2, 1], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 11, 7], [18, 17, 19, 22, 20], [21, 23, 24]]
34: [[2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18, 17, 11, 7], [19, 22, 20, 1], [21, 23, 24]]
35: [[2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18, 17, 11, 7], [19, 22, 20, 1], [21, 23, 24]]
36: [[2, 5, 3, 4, 6, 9, 12, 13, 11, 1], [10, 14, 7], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
37: [[2, 5, 3, 4, 6, 9, 12, 13, 10], [14, 8, 7], [15, 16, 18, 17, 11], [19, 22, 20, 1], [21, 23, 24]]
38: [[2], [5, 3, 4, 6, 9, 12, 13, 10], [14, 8, 7], [15, 16, 18, 17, 11], [19, 22, 20, 1], [21, 23, 24]]
39: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12], [13, 10], [14, 8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
40: [[2, 5], [3, 4, 6, 9, 12, 13, 10, 11, 1], [14, 8, 7], [15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
41: [[2, 5], [3, 4, 6, 9, 12, 13, 10, 11, 1], [14, 8, 7], [15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
42: [[2, 5, 3, 4, 6, 9, 12], [13, 10], [14, 8, 15, 16, 18, 11, 7], [17, 19, 22, 20, 1], [21, 23, 24]]
43: [[2, 5, 3, 4, 6, 9, 12, 13, 11, 1], [10, 14, 7], [8, 15, 16, 18], [17, 19, 22, 20, 21], [23, 24]]
44: [[2], [5, 3, 4, 6, 9, 12], [13, 10], [14, 8, 15, 16, 11, 7], [18, 17, 19, 22, 20, 1], [21, 23, 24]]
45: [[2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18, 17, 11, 7], [19, 22, 20, 21, 1], [23, 24]]
46: [[2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18, 17, 11, 7], [19, 22, 20, 21, 1], [23, 24]]
47: [[2, 1], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 11, 7], [18, 17, 19, 22], [20, 21, 23, 24]]
48: [[2, 5], [3, 4, 6, 9, 12, 13, 10], [14, 8, 7], [15, 16, 18, 17, 11], [19, 22, 20, 21, 1], [23, 24]]
49: [[2, 5], [3, 4, 6, 9, 12, 13, 10], [14, 8, 7], [15, 16, 18, 17, 11], [19, 22, 20, 21, 1], [23, 24]]
