0: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 26, 14, 11], [28, 13, 21, 6], [15, 29, 16, 17, 18, 10], [22, 23, 31], [25, 24, 27], [58, 50, 30, 56, 46, 33, 32, 43, 36], [54, 34, 12, 44, 41, 38, 55, 39, 47, 42, 37, 45, 40, 52, 48, 51], [57, 49, 59, 53, 60]]
11: [[19, 20], [35, 2], [5, 1, 7], [9, 3, 4, 12, 26, 10, 11, 28, 6, 21, 13, 8, 25], [14, 15, 18, 17, 23, 24, 31, 16, 29, 22, 30, 51, 27, 33, 37, 32, 44, 40, 38, 42, 34, 36, 45, 43, 49, 39, 41, 46, 47, 53, 48, 50, 52, 55, 54, 59, 56, 57, 58, 60]]
12: [[19, 20], [35, 2, 5, 1, 7, 9], [3, 4], [8, 30, 14, 6, 10, 15, 11, 12, 22, 13, 18, 31, 16, 17, 21, 23, 24, 27, 25, 26, 56, 29, 28, 32, 48, 33, 42, 34, 52, 37, 50, 36, 39, 38, 43, 46, 44, 41, 57, 40, 51, 59, 49], [45, 47, 55, 60, 53, 54, 58]]
13: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 26, 14, 27, 6, 11, 12, 10, 13, 25, 15, 31, 17, 16, 18, 24, 21, 28, 23, 29, 22, 30, 54, 40, 32, 43, 50, 33, 36, 34, 37, 47, 41, 38, 39, 42, 44, 55, 46, 45, 56, 49, 48, 52, 51, 60, 53], [57, 59, 58]]
14: [[19, 20], [35, 2], [5, 1], [7, 9, 3, 4, 30, 14, 8], [26, 6, 11, 25, 10, 29, 28, 21, 13, 16], [15, 23, 12, 24, 17], [18, 22], [42, 31, 36], [57, 50, 34], [44, 32, 37, 52, 33, 46, 38, 45, 39], [47, 40], [43, 41, 60, 48, 49, 59, 54, 56, 51, 53, 55, 27, 58]]
15: [[19, 20], [35, 2, 5, 1, 7], [9, 3], [4, 12, 26, 10, 14, 6, 8, 15, 11, 13, 17, 21, 16], [27, 18, 22, 23, 24, 28, 25, 29, 30, 31, 40, 34, 46, 32, 38, 58, 39, 33, 37, 36, 42, 57], [43, 41, 45, 52, 44, 53, 55, 49, 47, 48, 50, 56, 51, 54, 59, 60]]
16: [[19, 20], [35, 2, 5, 1, 7, 9, 3], [4, 10, 30, 13, 6, 29, 11, 8, 12, 14, 17, 21, 15, 16], [22, 23, 18, 26, 28, 24, 25, 56, 27, 40, 33, 52, 32, 31, 42], [36, 39], [34, 46, 43, 37, 38, 44, 41, 45, 47], [48, 49, 54, 50, 53, 59], [55, 57, 51, 58, 60]]
17: [[19, 20], [35, 2, 5, 1, 7, 9], [3, 4, 8, 30, 14, 10, 11], [12, 13, 6, 15, 28], [17, 27, 16, 21, 22, 18], [23, 24, 25], [26, 50], [58, 31, 56], [42, 33], [29, 36, 32, 48, 41, 45], [43, 44, 38, 39, 47, 46, 40, 53], [34, 37], [52, 51, 59], [49, 57, 54, 55, 60]]
18: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 30, 12, 23, 14, 10, 11, 13, 15, 17, 29, 16, 18, 21, 22, 24, 26, 6, 27, 25, 28, 31], [50, 44, 32, 34, 36, 47, 45, 37, 33, 39, 41, 42, 38, 40, 43, 51, 46, 49, 48, 52, 60, 53, 54, 57, 55, 56, 58, 59]]
19: [[19, 20], [35, 2, 5, 1, 7, 9], [3, 4, 8, 30, 26, 6, 11, 10, 12, 13, 14, 15, 24, 16, 18, 17, 21, 22, 23, 28, 25, 31, 27, 29, 52, 60, 32, 36, 58, 34, 39, 38, 57, 37, 40, 43, 42, 41, 44, 45, 33, 59, 48, 47, 46, 55, 49, 53, 51, 50, 56, 54]]
20: [[19, 20], [35, 2], [5, 1, 7, 9, 3, 4, 8, 26, 30], [11, 6, 10, 14, 12], [25, 13, 18, 21, 17, 15, 16, 23, 24], [22, 27, 28, 60, 29, 38, 31, 49, 34, 42, 39, 32, 37, 40, 47, 44, 46, 33, 43, 41, 36, 45, 48, 50, 52, 53, 51, 57, 55, 56, 54, 59, 58]]
21: [[19, 20], [35, 2, 5, 1, 7], [9, 3], [4, 8], [26, 30, 10, 6, 15, 11], [12, 13, 22, 21, 14, 17, 16, 31, 25], [24, 23, 18, 28, 46, 27, 38, 29], [55, 40, 34, 36, 37, 45, 32], [33, 56], [39, 44, 43], [42, 41, 47, 50, 48, 57, 49, 54, 51], [53, 52], [59, 58, 60]]
22: [[19, 20], [35, 2], [5, 1], [7, 9, 3, 4, 24, 10, 14, 15], [6, 11, 25, 12, 8, 13, 21, 29, 18, 16, 23, 17, 26, 27, 28, 56, 30, 58, 22, 32, 46, 60, 31, 33, 38, 37, 34, 36, 39, 47, 40, 43, 50, 41, 57, 52, 44, 49], [45, 48, 51, 55, 54, 59, 53, 42]]
23: [[19, 20], [35, 2], [5, 1], [7, 9, 3, 4, 24, 10, 14, 15], [6, 11, 25, 12, 8, 13, 21, 29, 18, 16, 23, 17, 26, 27, 28, 56, 30, 58, 22, 32, 46, 60, 31, 33, 38, 37, 34, 36, 39, 47, 40, 43, 50, 41, 57, 52, 44, 49], [45, 48, 51, 55, 54, 59, 53, 42]]
24: [[19, 20], [35, 2, 5, 1, 7, 9, 3, 4], [8, 26, 30, 11, 6, 10, 15, 12, 14, 22, 13, 17, 18, 21, 16, 23, 24, 25, 27, 28, 29, 31, 33, 44, 38], [32, 50, 46, 36, 53, 34, 39, 45, 37, 42, 40, 41, 43, 47, 48, 52, 49, 51, 54, 57, 56, 59, 58, 55, 60]]
25: [[19, 20], [35, 2], [5, 1, 7, 9, 3], [4, 8, 30, 15, 14, 6, 10, 12], [13, 22, 24, 26, 11, 28, 23, 21, 17, 29, 31, 18, 58, 27, 41, 25, 32, 16, 39, 37, 38, 34, 36, 33, 40, 46, 42, 44, 43, 47, 45, 49, 52, 50, 60, 48, 56, 53, 51, 55, 59, 57, 54]]
26: [[19, 20], [35, 2, 5, 1, 7, 9, 3, 4], [10, 30, 14, 6, 29, 12, 18, 11, 25, 8, 17, 31, 13, 15, 23, 24, 27, 22, 21, 16, 50, 26, 33, 47, 36, 28, 32, 46, 34, 57, 38, 37, 45, 54, 39, 40, 42, 41, 43, 56, 44, 53], [49, 55, 52, 48, 51, 58, 59, 60]]
27: [[19, 20], [35, 2], [5, 1, 7, 9, 3, 4, 8, 30, 14], [6, 29, 11, 13, 10, 15, 12], [24, 18, 31, 16], [17, 21, 25, 26, 28, 22], [48, 23, 27, 34, 53, 54, 32, 42, 33, 40, 37, 38, 36], [39, 41, 47, 43, 52, 44, 46, 45], [50, 51, 55, 49, 56, 57, 59, 60, 58]]
28: [[19, 20], [35, 2, 5, 1, 7, 9], [3, 4, 10, 30, 6, 11, 8, 12], [24, 14, 13, 15, 21, 29, 16, 18, 23, 17, 27, 22, 25, 26, 54, 28, 31, 34, 44, 40, 32, 36, 38, 41, 33, 39, 43, 37, 46, 42, 47, 45, 59, 60, 48, 49], [50, 51, 55, 57, 56, 52, 53, 58]]
29: [[19, 20], [35, 2, 5], [1, 7, 9, 3, 4, 8, 30, 14, 10, 6, 31, 25, 15], [11, 13, 16, 23, 12, 21, 18, 29, 27, 17, 22, 24, 58, 43, 40, 56, 37, 33, 44, 26, 38, 41, 42, 36, 28, 39, 34, 45, 48, 46, 47, 53, 32, 51, 52, 54, 55, 49, 50, 59, 60, 57]]
30: [[19, 20], [35, 2, 5, 1, 7, 9, 3, 4, 8, 30, 14], [6, 10, 15, 11, 12, 25, 13, 16, 17, 18], [29, 26, 24, 28, 22, 23], [21, 27], [31, 50, 32, 40, 33, 36, 34, 45, 37, 58], [41, 38, 42, 44, 39, 43, 46, 47, 48, 53, 54], [49, 52, 51, 60, 55, 59, 56, 57]]
31: [[19, 20], [35, 2], [5, 1, 7, 9], [3, 4, 8, 30, 14, 6, 10, 12, 28, 11, 23, 17, 22, 13, 29, 15, 18, 31, 16, 26, 24, 27, 56, 21, 25, 44, 54, 33, 42, 38, 34, 37, 39, 36, 32, 45, 41, 46, 47, 40, 43, 59, 49, 51, 48, 50, 52, 57, 53, 55, 58, 60]]
32: [[19, 20], [35, 2], [5, 1, 7, 9, 3], [4, 8, 30, 14, 10, 26, 12, 22, 6, 23, 25, 17, 11, 13, 18, 15, 16, 24, 28, 27, 21, 44, 31, 56, 29, 33, 32, 37, 34, 42, 36, 41, 39, 46, 40, 43, 49, 47, 45, 50, 38, 51, 53, 55, 52, 48, 54, 57], [58, 60, 59]]
33: [[19, 20], [35, 2, 5, 1, 7], [9, 3], [4, 8, 30, 14, 13, 6, 11, 10, 12, 15, 24, 21, 17], [16, 29, 18, 23, 25, 22, 27, 26], [58, 46, 44, 48, 28, 32, 36, 39, 31, 40, 43, 33, 34, 41, 38, 37, 42, 52, 60, 45, 47, 51, 53, 49, 50, 54, 56, 55, 59, 57]]
34: [[19, 20], [35, 2, 5, 1, 7, 9], [3, 4, 8, 26, 30, 6, 10, 15, 11, 12, 25, 13, 14, 16], [18, 21, 29, 23, 17, 22, 24], [28, 27, 31, 52, 34, 40, 33, 36, 32, 47, 45], [56, 38, 39, 43, 41, 42, 44, 46, 37, 50], [48, 49, 53, 55, 51, 54, 59, 60, 58, 57]]
35: [[19, 20], [35, 2, 5, 1], [7, 9, 3, 8, 4, 26, 14, 15, 10, 6, 28, 11, 29, 17, 22, 12, 13, 21, 18, 23, 16, 27, 24, 25, 31, 30, 32, 45, 54, 33, 34, 38, 42, 37, 39, 46, 43, 40, 44, 36, 47, 41, 48, 57, 50, 49, 53, 52, 51, 56, 60, 58, 55, 59]]
36: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 30, 14, 10, 6, 23, 15], [8, 11, 28, 12, 16, 18, 13, 21], [17, 22], [24, 29, 26, 25, 27], [42, 45, 41, 38, 36, 31, 34, 32, 37, 43, 39, 40], [44, 48, 33, 46, 47, 52, 51, 53, 50, 54, 57, 49, 55, 56, 58, 59, 60]]
37: [[19, 20], [35, 2, 5, 1], [7, 9, 3, 8, 4, 26, 14, 15, 10, 6, 28, 11, 29, 17, 22, 12, 13, 21, 18, 23, 16, 27, 24, 25, 31, 30, 32, 45, 54, 33, 34, 38, 42, 37, 39, 46, 43, 40, 44, 36, 47, 41, 48, 57, 50, 49, 53, 52, 51, 56, 60, 58, 55, 59]]
38: [[19, 20], [35, 2, 5, 1, 7, 9], [3, 4, 8, 30, 14], [18, 11, 13, 10, 6, 12, 15], [16, 21, 24, 17], [22, 23, 25, 31, 26], [27, 58], [28, 48, 36, 29, 51, 42, 32, 40, 37, 34, 33, 47, 39, 43, 44, 38, 41, 45, 46, 49, 50, 55, 52, 57, 53, 60, 56, 54, 59]]
39: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 30, 12, 22], [29, 11, 14], [13, 15, 17, 16, 18, 10, 21], [24], [25, 27, 28, 26, 56, 57, 23, 40, 31, 54, 48, 41, 45, 52, 33, 36, 32, 37, 39, 42, 6], [34, 46, 38, 43, 59], [44, 47, 49, 50, 51, 53, 55, 58, 60]]
40: [[19, 20], [35, 2], [5, 1, 7, 9, 3, 4, 8, 26, 27], [14, 10, 15, 12, 13, 6, 11, 17], [30, 16, 18, 21, 22, 28, 31, 25, 29, 50, 23, 54, 24, 48, 32, 42, 44, 33, 34, 43, 39, 36, 47, 37, 40, 41, 45, 38, 46, 58, 53, 49, 52, 51, 55, 56, 57, 59, 60]]
41: [[19, 20], [35, 2, 5, 1, 7], [9, 3], [4, 8, 26], [14, 11, 6, 15, 18, 10, 12, 17, 23], [29, 16, 13, 21, 31, 24, 22, 28, 53], [25, 42, 41, 34, 44, 57, 30, 27], [32, 49, 33, 38, 37, 45, 36, 40, 39, 52, 43, 46, 51, 47, 48, 55, 50, 56, 59, 54, 58, 60]]
42: [[19, 20], [35, 5, 1, 6, 11, 2], [3, 4], [8, 26, 30, 22, 7], [15, 9, 13], [17, 12, 16, 10, 14, 21, 27, 18, 23, 24, 29, 28, 25, 31], [52, 40, 33, 36, 32, 34, 38], [37, 39, 41, 45, 43, 42, 44, 58, 47, 46, 50], [48, 51, 49, 55, 56, 53, 59, 54, 57, 60]]
43: [[19, 20, 35, 2, 5, 1, 7, 9], [3, 4], [12, 26, 11, 10, 6, 14, 15, 16, 8, 13, 21, 25, 17, 23, 18, 24, 22, 37, 28, 29, 27, 30, 46, 50, 31, 49, 36, 32, 38, 40, 33, 39, 42, 47, 34, 41, 45, 44, 43, 48, 53], [54, 51, 55, 57, 52, 59, 58, 56, 60]]
44: [[19, 20], [35, 2], [5, 1, 7, 9, 3], [4, 8], [30, 14, 18, 10, 15, 11, 6, 12, 13, 16, 23, 21, 17, 22, 26, 25, 29, 24, 27, 56, 28, 50, 44, 49, 51, 42, 52, 32, 37, 46, 33, 38, 31, 34, 36, 39, 45, 40, 41, 43, 47, 55, 53, 58, 48, 54, 57, 59, 60]]
45: [[19, 20], [35, 2, 5, 1, 7, 9], [3, 4], [10, 26, 11, 14, 6, 15], [13, 17, 12, 30, 21, 8, 22, 16, 24], [25, 23, 31], [27, 29, 18, 56, 44], [28, 38, 49, 34, 33, 32], [40, 41], [39, 42], [47, 37, 36, 43, 45, 46, 51, 50, 53], [48, 52, 59, 54, 55, 57, 60, 58]]
46: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 24, 14, 15, 10, 22, 6], [25, 8], [13, 28, 29, 11, 12, 18, 23, 21, 27, 17, 16, 26], [43, 31, 36, 41, 50, 32, 40, 30], [37, 46, 33, 34, 38, 39, 47, 45, 42, 44, 52, 53, 48, 49, 59, 54, 56, 51, 60, 55, 57, 58]]
47: [[19, 20], [35, 3, 1, 7, 9], [2, 6], [4, 12, 26, 14, 22], [8, 15, 10, 11], [21, 13, 16, 17, 5, 24, 23], [18, 27], [25, 28, 29, 59, 30, 46, 41, 36, 31, 33, 32, 34, 37, 38, 39], [42, 40, 51, 44, 58, 43], [45, 52, 50, 47], [49, 55, 48, 53, 56, 54, 57, 60]]
48: [[19, 20, 35, 2], [5, 1, 7, 9, 3, 4, 8, 26, 30, 12, 25, 13, 6, 10, 14, 15, 11, 21, 17, 28, 22, 23, 16, 24, 29, 31, 27, 18, 46, 48, 52, 32, 34, 38, 33, 36, 37, 45, 41, 39, 40, 44, 43, 42, 54, 53, 47, 55, 50, 51, 49, 59, 57], [56, 58, 60]]
49: [[19, 20], [35, 2, 5, 1, 7, 9, 3, 4], [24, 15], [27, 6, 22, 14, 8, 12, 28, 11, 10, 16, 25, 21, 13, 17, 18, 39, 23, 29, 31, 26, 47, 30, 54, 32, 38, 37, 40, 44, 41, 43, 42, 46, 36, 33, 34, 45, 58, 55, 49, 48, 50], [59, 51, 53, 56, 52, 60, 57]]
50: [[19, 20], [35, 2, 5, 1, 7], [9, 3], [4, 8], [26, 14, 15, 10, 30, 6, 11, 12, 25], [16, 13, 18, 21, 17, 22, 24], [29, 23, 27, 40], [28, 31, 34, 53, 50, 32], [42, 36, 49, 39, 37, 38, 33, 43, 41, 47], [45, 44, 46, 48], [52, 54, 51, 55], [56, 57, 59, 60, 58]]
51: [[19, 20], [35, 2], [5, 1], [7, 9, 3, 4, 14, 30, 8], [22, 6, 11, 15, 12, 29, 24, 17, 16, 10], [31, 21, 13, 28, 23], [18, 26], [25, 27, 37], [49, 48, 34], [38, 32, 39, 52, 41, 33, 42, 45, 36], [47, 40], [43, 44, 46, 51, 50, 53, 54, 55, 57, 56, 58, 59, 60]]
52: [[19, 20], [35, 2], [5, 1, 7, 9, 3], [8, 4, 26, 14, 6, 15, 31, 11, 12, 10, 17, 13, 21, 16, 23, 18, 24, 25, 22, 29, 27, 58, 57], [42, 41, 28, 34, 53, 30, 32, 33, 44, 37, 36, 39, 47, 43, 40, 45, 38, 46, 48, 51, 49, 54, 50, 52, 55, 59, 60, 56]]
53: [[19, 20], [35, 2], [5, 1, 7, 9, 3], [4, 8, 30, 14], [11, 10, 12], [28, 6, 26, 15, 17], [25, 13, 21, 16, 18], [29, 24, 31, 22, 60, 23, 48, 50, 32], [27, 36, 38, 46, 39, 33, 41, 42, 40, 43, 37, 47, 45], [34, 52, 44, 49, 51, 53, 55, 54, 57, 56, 58], [59]]
54: [[19, 20, 35, 2, 5, 1, 7, 9], [3, 4, 8, 26, 14, 22, 6, 10, 27, 12, 21, 17, 13, 11, 16, 25, 18, 24, 15, 30, 23, 28, 29, 31, 36, 32, 33, 34, 48, 42, 37, 49, 45, 39, 41, 38, 47, 43, 40, 54, 44, 55, 50, 46, 51, 52, 53, 59, 60, 57], [58, 56]]
55: [[19, 20, 35], [2, 5, 1], [7, 9, 3, 4, 8, 30, 14, 15, 6], [26, 24, 11, 12, 10], [13, 17, 28, 22, 31, 16, 56, 55, 18, 21], [40, 23], [53, 48, 60, 25, 27], [38, 34, 37, 43, 29, 32, 45, 36, 39], [42, 44, 47, 54, 58], [33, 52, 51, 41, 46, 59, 49, 57, 50]]
56: [[19, 20], [35, 2, 5, 1, 7], [9, 3], [4, 8], [30, 15, 6, 22, 12, 13, 10, 14, 24, 25], [18, 16, 21, 23, 17], [27, 29, 31, 28, 11, 42, 37, 33, 40, 32, 34, 38, 39, 46, 43, 45, 47, 48, 41, 50, 51, 53, 56, 36, 55, 49, 52, 54, 57, 60, 58, 26, 59, 44]]
57: [[19, 20, 35, 2, 5], [1, 7, 9, 3, 4, 8, 30, 14, 12, 23, 11, 6, 10, 13, 16, 17, 25, 21, 18, 15, 28, 24, 22, 26, 27, 56, 41, 31, 29, 36, 49, 37, 38, 32, 33, 34, 39, 42, 44, 43, 46, 40, 50, 45, 47, 54, 60, 51], [52, 55, 48, 57, 58, 53, 59]]
58: [[19, 20], [35, 2, 5, 1, 7, 9], [3, 4, 8, 26, 30, 14, 10, 12, 11, 13], [6, 15, 22, 17, 18, 16, 25, 21, 23, 24, 27], [29, 28, 31, 54, 36, 32, 33, 37], [46, 34, 39, 44, 41, 42, 38, 43, 40, 47, 45, 49], [50, 48, 58, 52, 55, 53, 57, 51, 60, 59, 56]]
59: [[19, 20, 35, 2, 5, 1], [7, 9, 3, 4, 8, 26, 14, 6, 11, 10, 15, 13, 21, 17, 12, 29, 22, 23, 16, 24, 18, 27, 28], [25, 57, 30, 31, 33, 36, 48, 54, 46, 40, 42, 32, 37, 47, 34, 39, 43, 44, 41, 49, 55, 45, 38, 50, 51, 52, 53, 60, 56, 58, 59]]
60: [[19, 20], [35, 2, 5, 1, 7], [9, 3], [4, 8, 26], [14, 11, 6, 15, 16, 10, 12, 21, 23], [13, 17, 18, 28, 29, 27, 22, 24, 31], [25, 34, 32, 40, 54], [57, 30, 42, 43, 33, 37, 38, 44, 39, 36, 48, 47, 51, 41, 46, 50, 45, 49, 53, 52, 56], [60, 58, 59, 55]]
61: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 26, 30, 6, 10, 15, 25, 11], [13, 14, 12], [17, 16, 18, 23, 21, 22, 24, 27, 28, 57, 29, 53, 40, 36], [31, 38], [32, 33, 37, 41], [34, 43, 39, 42, 44, 45, 47, 46, 52, 49, 51, 55, 56, 50, 48, 58, 54, 59, 60]]
62: [[19, 20, 35, 2, 5, 1, 7, 9, 3], [4, 8, 30, 14, 6, 24, 15, 10], [11, 31, 13, 16, 23, 22, 25, 21, 12, 18, 26, 28, 29, 27, 36, 51, 17, 37, 50, 32, 34, 55, 38, 39, 33], [42, 40, 43, 44, 41, 49, 59, 45, 48, 47, 53, 46, 54, 56, 52, 57, 58, 60]]
63: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 26], [30, 10], [11, 6, 21, 13, 28, 14, 12, 16, 15, 17, 18, 22, 25, 27, 24, 23, 29, 31, 53, 33, 48, 32, 34, 38, 37, 45, 40, 36, 39, 43, 41, 44, 42, 59, 49, 46, 51, 57, 47, 52, 50, 56, 58, 54, 55, 60]]
64: [[19, 20], [35, 2], [5, 1, 7, 9, 3, 4, 8, 31, 14], [6, 30, 11, 10, 12, 13], [15, 17, 16, 18, 23, 24, 22, 27, 26, 25, 29, 28, 45, 33, 21, 52, 34, 32, 44, 37, 36, 41, 39, 48, 46, 40, 42, 38, 47], [51, 53, 50, 49, 43, 55, 54], [58, 56, 57, 60, 59]]
65: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 30], [15, 26, 6, 12, 28, 10, 21], [13, 14, 17, 16], [11, 18, 29, 25, 22], [23, 24], [56, 31], [27, 33], [48, 32, 59, 38, 34, 36, 45, 41, 44], [37, 40], [42, 43, 39, 46, 53, 47, 50, 52, 49, 54, 55, 51, 58, 60, 57]]
66: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 30, 12, 26], [29, 11, 24, 13, 25, 15], [17, 14, 18, 22, 16, 28], [21, 6, 27, 31], [58, 23, 34, 47], [36, 10, 48, 33, 46, 40, 32, 39, 41, 57, 42, 43, 38, 44, 37, 60, 54, 51, 45, 50, 53, 52, 55, 49, 56, 59]]
67: [[19, 20], [35, 2, 5, 1, 7, 9, 3, 4, 8], [26, 14, 6], [27, 13, 24, 10, 15, 11, 12, 17, 30, 29, 16, 21, 22], [23, 28], [25, 18, 31, 58, 32, 48, 37, 38, 43], [34, 40, 36, 33, 41, 39, 42, 44, 45, 49, 46, 52, 51, 55], [50, 47, 54, 56, 53, 57, 59, 60]]
68: [[19, 20], [35, 2, 5, 1, 7, 9, 3], [4, 8, 30, 14, 11, 6, 29, 15, 10, 17, 12, 21], [23, 16, 25, 13, 18, 22, 26, 27, 31], [24, 60, 28, 40, 34, 38, 54, 32, 44, 36], [37, 46, 45, 43, 39, 41, 33, 49, 58, 42, 56, 59, 50, 47, 55, 51, 48, 52, 53, 57]]
69: [[19, 20], [35, 2, 5], [1, 7, 9, 3, 4, 8, 30, 14, 6, 11, 15, 16, 10, 12], [13, 17, 18, 26, 22, 27, 21], [23, 25, 24, 29, 31, 28, 49, 32, 33, 42, 60], [37, 34, 45, 59, 46, 36, 41, 38, 40, 43], [39, 44, 50, 47, 53, 48, 55, 51, 52, 54, 58, 57, 56]]
70: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 26, 14], [15, 21, 13, 16], [11, 10, 12, 18, 17, 6], [24, 22], [23, 28, 31, 30, 27, 56, 50], [25, 29, 38, 54, 32], [34, 40, 37, 39], [33, 36], [47, 42, 46], [41, 43, 44, 45, 58], [48, 49, 51, 52], [53, 57, 59, 55, 60]]
71: [[19, 20, 35, 2, 5, 1, 7, 9, 3, 4, 8], [30, 14, 6, 10, 11, 31, 12, 21, 29, 13], [25, 17, 15, 16, 24, 18, 26, 27], [23, 22, 34, 48, 28, 36, 41, 50, 33, 55, 37, 38, 47, 32, 39, 40, 44, 46, 42, 45], [49, 43, 51], [52, 58], [53, 54, 59, 57, 60, 56]]
72: [[19, 20], [35, 2, 5, 1, 7], [9, 3], [4, 14, 26, 10, 8], [6, 11, 15, 12, 13, 30, 21, 18, 17], [23, 22, 16, 27, 24, 28, 25, 29], [31, 36, 50, 52, 48, 32, 44, 38, 41, 33, 37, 43, 39, 34, 45, 46, 40, 42, 54, 51, 49, 55], [53, 47, 56, 60, 58, 57, 59]]
73: [[19, 20], [35, 2, 5, 1, 7, 9, 3, 8, 4, 26, 14, 15, 10], [6, 11, 12, 24, 13, 16, 31, 17, 21, 22, 18, 23, 29, 25, 27, 28, 30, 34, 41, 48, 33, 32, 39, 53, 37, 40, 42, 47, 43, 44, 36, 38, 45, 54, 50, 46, 49, 51, 52, 56, 57, 60, 58], [55, 59]]
