0: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
21: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
22: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
23: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
24: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
25: [[9, 10, 19, 1, 2], [14, 6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
26: [[9, 10, 19, 1, 2], [14, 6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
27: [[9, 10, 19, 1, 2], [14, 6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
28: [[9, 10, 19, 1, 2], [14, 6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
29: [[9, 10, 19, 1, 2], [14, 6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
30: [[9, 10, 19, 1, 2, 14, 6], [5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
31: [[9, 10, 19, 1, 2], [14, 6, 5, 3, 4], [13, 7], [11, 8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
32: [[9, 10, 19, 1, 2], [14, 6, 5, 3, 4], [13, 7], [11, 8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
33: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4], [13, 7], [11, 8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
34: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4], [13, 7], [11, 8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
35: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4], [13, 7], [11, 8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
36: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13, 7], [11, 8], [12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
37: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13, 7], [11, 8], [12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
38: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13, 7], [11, 8], [12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
39: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18], [20, 23, 21, 24]]
40: [[9, 10, 19, 1, 2, 14, 6], [5, 3, 4, 13, 7], [11, 8], [12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
41: [[9, 10, 19, 1, 2, 14, 6], [5, 3, 4, 13, 7], [11, 8], [12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
42: [[9, 10, 19, 1, 2, 14, 6], [5, 3, 4, 13, 7], [11, 8], [12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
43: [[9, 10, 19, 1, 2, 14, 6], [5, 3, 4, 13, 7], [11, 8], [12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
44: [[9, 10, 19, 1, 2, 14, 6], [5, 3, 4, 13, 7], [11, 8], [12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
45: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20, 23], [21, 24]]
46: [[9, 10, 19, 1, 2], [14, 6, 5, 3, 4], [13, 7], [11, 8, 12, 15, 16, 17, 22, 18], [20, 23, 21, 24]]
47: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4], [13, 7], [11, 8, 12, 15, 16, 17, 22, 18], [20, 23, 21, 24]]
48: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13, 7], [11, 8], [12, 15, 16, 17, 22, 18, 20, 23], [21, 24]]
49: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13, 7], [11, 8], [12, 15, 16, 17, 22, 18, 20, 23], [21, 24]]
