0: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7], [9, 8, 13, 15], [16, 17, 19, 20, 18, 22], [23, 21, 24]]
23: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
24: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
25: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
26: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
27: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
28: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
29: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
30: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
31: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7], [9, 8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
32: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16, 17], [19, 20, 18, 22], [23, 21, 24]]
33: [[6, 3], [2, 10, 5], [14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
34: [[6, 3, 2, 10], [5, 14, 4], [12, 11, 1, 7], [9, 8, 13, 15, 16, 17], [19, 20, 18], [22, 23, 21, 24]]
35: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7], [9, 8, 13, 15], [16, 17, 19, 20], [18, 22, 23, 21, 24]]
36: [[6, 3, 2, 10, 5], [14, 4, 12, 11], [1, 7, 9, 8], [13, 15, 16, 17], [19, 20, 18, 22], [23, 21, 24]]
37: [[6, 3, 2, 10, 5], [14, 4, 12, 11], [1, 7, 9, 8], [13, 15, 16, 17], [19, 20, 18, 22], [23, 21, 24]]
38: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21], [24]]
39: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15], [16, 17, 19, 20, 18, 22, 23, 21, 24]]
40: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18, 22, 23, 21, 24]]
41: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18, 22, 23, 21, 24]]
42: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16, 17, 19, 20, 18, 22, 23, 21, 24]]
43: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16, 17, 19, 20, 18, 22, 23, 21, 24]]
44: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16, 17, 19, 20, 18, 22, 23, 21, 24]]
45: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9, 8], [13, 15, 16, 17], [19, 20, 18, 22, 23, 21, 24]]
46: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9, 8, 13, 15, 16, 17, 19, 20, 18, 22, 23, 21, 24]]
47: [[6, 3, 2, 10], [5, 14, 4, 12, 11, 1, 7, 9, 8, 13], [15, 16, 17, 19, 20, 18, 22, 23, 21, 24]]
