0: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10], [15, 13, 19], [20, 17, 22, 16, 24], [21, 27, 23], [25, 26, 28], [31, 30, 32, 35, 33, 34], [36, 37]]
19: [[18, 29, 7], [3, 2, 11], [5, 1, 12], [6, 4, 8], [14, 9, 10, 15], [13, 19, 20, 17], [22, 16, 24], [21, 27, 23], [25, 26, 28], [31, 30, 32, 35], [33, 34, 36, 37]]
20: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9], [10, 15, 13], [19, 20, 17, 22], [16, 24, 21, 27, 23], [25, 26, 28, 31], [30, 32, 35], [33, 34, 36, 37]]
21: [[18, 29, 7], [3, 2, 11], [5, 1, 12], [6, 4, 8], [14, 9, 10], [15, 13, 19], [20, 17, 22], [16, 24], [21, 27, 23], [25, 26, 28, 31], [30, 32], [35, 33, 34], [36, 37]]
22: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9], [10, 15, 13, 19], [20, 17, 22, 16], [24, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
23: [[18, 29, 7], [3, 2, 11], [5, 1, 12, 6], [4, 8, 14], [9, 10], [15, 13, 19], [20, 17, 22], [16, 24, 21], [27, 23], [25, 26, 28], [31, 30, 32, 35, 33, 34, 36, 37]]
24: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10], [15, 13, 19], [20, 17, 22], [16], [24, 21, 27], [23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
25: [[18, 29, 7], [3, 2, 11], [5, 1, 12], [6, 4, 8], [14, 9, 10], [15, 13], [19, 20, 17], [22, 16, 24], [21, 27, 23, 25], [26, 28], [31, 30, 32], [35, 33], [34, 36, 37]]
26: [[18, 29, 7], [3, 2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10], [15, 13, 19, 20], [17, 22, 16, 24], [21, 27, 23, 25], [26, 28, 31], [30, 32, 35, 33], [34, 36, 37]]
27: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10], [15, 13, 19], [20, 17, 22], [16], [24, 21, 27], [23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
28: [[18, 29, 7, 3], [2, 11, 5, 1], [12, 6, 4], [8, 14, 9], [10, 15, 13], [19, 20, 17], [22, 16, 24], [21, 27, 23, 25], [26, 28], [31, 30], [32, 35], [33, 34, 36], [37]]
29: [[18, 29, 7], [3, 2], [11, 5], [1, 12, 6, 4], [8, 14, 9], [10, 15, 13], [19, 20, 17], [22, 16, 24], [21, 27], [23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
30: [[18, 29, 7], [3, 2, 11, 5, 1], [12, 6, 4], [8, 14, 9, 10], [15, 13, 19], [20, 17, 22, 16], [24, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
31: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10, 15, 13, 19], [20, 17, 22, 16, 24, 21, 27], [23, 25, 26, 28, 31, 30, 32], [35, 33, 34, 36, 37]]
32: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10, 15, 13, 19], [20, 17, 22, 16, 24, 21, 27], [23, 25, 26, 28, 31, 30, 32], [35, 33, 34, 36, 37]]
33: [[18, 29, 7], [3, 2, 11], [5, 1, 12], [6, 4, 8, 14], [9, 10, 15, 13], [19, 20, 17, 22], [16, 24], [21, 27, 23], [25, 26, 28], [31, 30], [32, 35], [33, 34, 36, 37]]
34: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10, 15, 13, 19, 20], [17, 22, 16], [24, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
35: [[18, 29, 7], [3, 2, 11], [5, 1, 12, 6], [4, 8], [14, 9], [10, 15, 13, 19, 20, 17, 22, 16, 24, 21, 27, 23], [25, 26, 28], [31, 30, 32, 35, 33, 34, 36, 37]]
36: [[18, 29, 7], [3, 2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10], [15, 13, 19], [20, 17, 22], [16, 24, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
37: [[18, 29, 7], [3, 2, 11], [5, 1, 12, 6], [4, 8, 14, 9], [10, 15, 13], [19, 20, 17], [22, 16], [24, 21, 27, 23], [25, 26, 28, 31], [30, 32, 35], [33, 34, 36, 37]]
38: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9], [10, 15, 13], [19, 20, 17, 22], [16, 24, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
39: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6], [4, 8, 14, 9], [10, 15, 13], [19, 20, 17, 22, 16], [24, 21, 27], [23, 25, 26, 28, 31, 30, 32, 35], [33, 34, 36], [37]]
40: [[18, 29, 7], [3, 2, 11], [5, 1], [12, 6, 4], [8, 14, 9], [10, 15, 13], [19, 20], [17, 22, 16], [24, 21], [27, 23], [25, 26, 28], [31, 30, 32, 35], [33, 34, 36, 37]]
41: [[18, 29, 7, 3], [2, 11, 5, 1], [12, 6, 4], [8, 14, 9], [10, 15, 13, 19, 20, 17, 22], [16, 24, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
42: [[18, 29, 7], [3, 2, 11], [5, 1, 12, 6], [4, 8], [14, 9, 10, 15], [13, 19, 20], [17, 22, 16, 24], [21, 27, 23], [25, 26, 28, 31], [30, 32], [35, 33], [34, 36, 37]]
43: [[18, 29, 7, 3], [2, 11, 5, 1, 12], [6, 4, 8], [14, 9, 10], [15, 13, 19, 20, 17, 22], [16, 24], [21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
44: [[18, 29, 7, 3], [2, 11, 5, 1], [12, 6, 4], [8, 14, 9, 10, 15, 13, 19, 20, 17, 22, 16, 24], [21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
45: [[18, 29, 7, 3], [2, 11, 5, 1], [12, 6, 4, 8], [14, 9, 10], [15, 13, 19, 20], [17, 22, 16, 24, 21, 27, 23], [25, 26, 28, 31, 30, 32, 35, 33], [34, 36, 37]]
46: [[18, 29, 7, 3], [2, 11], [5, 1], [12, 6, 4, 8, 14, 9, 10, 15, 13, 19, 20, 17], [22, 16, 24], [21, 27, 23, 25, 26, 28, 31, 30], [32, 35, 33, 34, 36, 37]]
47: [[18, 29, 7], [3, 2], [11, 5], [1, 12, 6, 4, 8], [14, 9, 10], [15, 13, 19], [20, 17, 22, 16, 24, 21], [27, 23], [25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
48: [[18, 29, 7], [3, 2, 11], [5, 1, 12], [6, 4, 8], [14, 9, 10], [15, 13, 19, 20], [17, 22, 16], [24, 21, 27], [23, 25, 26, 28], [31, 30, 32], [35, 33, 34, 36, 37]]
49: [[18, 29, 7], [3, 2, 11], [5, 1, 12, 6], [4, 8, 14], [9, 10, 15, 13, 19], [20, 17, 22], [16, 24, 21, 27, 23], [25, 26, 28, 31], [30, 32, 35], [33, 34, 36, 37]]
50: [[18, 29, 7, 3], [2, 11, 5, 1, 12, 6, 4], [8, 14, 9, 10, 15, 13, 19], [20, 17, 22, 16, 24, 21, 27], [23, 25, 26, 28, 31], [30, 32, 35, 33, 34, 36, 37]]
51: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4, 8], [14, 9, 10], [15, 13, 19, 20], [17, 22, 16], [24, 21, 27, 23], [25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
52: [[18, 29, 7, 3], [2, 11, 5], [1, 12], [6, 4], [8, 14], [9, 10], [15, 13, 19], [20, 17, 22, 16, 24, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
53: [[18, 29, 7], [3, 2, 11], [5, 1, 12], [6, 4, 8], [14, 9, 10], [15, 13], [19, 20, 17], [22, 16, 24], [21, 27, 23], [25, 26], [28, 31, 30], [32, 35, 33], [34, 36, 37]]
54: [[18, 29, 7], [3, 2, 11, 5], [1, 12, 6, 4], [8, 14, 9], [10, 15, 13, 19], [20, 17], [22, 16], [24, 21, 27], [23, 25, 26, 28], [31, 30, 32, 35, 33, 34, 36, 37]]
55: [[18, 29, 7], [3, 2, 11, 5, 1], [12, 6, 4], [8, 14, 9, 10, 15, 13, 19, 20], [17, 22, 16], [24, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
56: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6], [4, 8, 14, 9, 10], [15, 13, 19, 20], [17, 22, 16], [24, 21, 27, 23], [25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
57: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6], [4, 8, 14], [9, 10, 15, 13, 19, 20, 17, 22], [16, 24, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
58: [[18, 29, 7, 3], [2, 11, 5, 1, 12, 6, 4], [8, 14, 9, 10, 15, 13, 19, 20, 17, 22, 16, 24, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
59: [[18, 29, 7], [3, 2, 11, 5], [1, 12, 6], [4, 8, 14, 9], [10, 15, 13, 19, 20], [17, 22, 16], [24, 21, 27], [23, 25, 26, 28], [31, 30, 32, 35, 33, 34, 36, 37]]
60: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10, 15, 13, 19, 20, 17, 22, 16, 24, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
61: [[18, 29, 7], [3, 2, 11], [5, 1, 12, 6], [4, 8, 14, 9], [10, 15, 13], [19, 20, 17, 22], [16, 24, 21], [27, 23, 25, 26, 28], [31, 30, 32], [35, 33, 34], [36, 37]]
62: [[18, 29, 7, 3], [2, 11, 5, 1], [12, 6, 4], [8, 14, 9], [10, 15, 13], [19, 20, 17], [22, 16, 24, 21, 27, 23, 25], [26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
63: [[18, 29, 7], [3, 2, 11, 5], [1, 12, 6], [4, 8, 14, 9], [10, 15, 13], [19, 20, 17], [22, 16, 24, 21], [27, 23, 25], [26, 28], [31, 30, 32, 35], [33, 34, 36, 37]]
64: [[18, 29, 7, 3, 2, 11, 5, 1, 12, 6, 4], [8, 14, 9, 10, 15, 13, 19, 20, 17, 22, 16, 24, 21], [27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
65: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9], [10, 15, 13], [19, 20, 17, 22], [16, 24, 21], [27, 23, 25], [26, 28, 31, 30], [32, 35, 33], [34, 36, 37]]
66: [[18, 29, 7, 3], [2, 11, 5, 1], [12, 6, 4, 8], [14, 9, 10, 15], [13, 19, 20], [17, 22, 16, 24, 21], [27, 23, 25], [26, 28, 31], [30, 32, 35, 33], [34, 36, 37]]
67: [[18, 29, 7], [3, 2, 11, 5], [1, 12, 6], [4, 8, 14, 9, 10], [15, 13, 19], [20, 17, 22], [16, 24, 21], [27, 23, 25], [26, 28, 31, 30, 32, 35], [33, 34], [36, 37]]
68: [[18, 29, 7], [3, 2, 11], [5, 1, 12], [6, 4, 8], [14, 9, 10], [15, 13], [19, 20, 17], [22, 16, 24, 21], [27, 23, 25], [26, 28, 31], [30, 32, 35], [33, 34, 36, 37]]
69: [[18, 29, 7], [3, 2, 11], [5, 1, 12], [6, 4, 8, 14], [9, 10, 15, 13], [19, 20, 17, 22, 16, 24, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
70: [[18, 29, 7], [3, 2, 11], [5, 1, 12], [6, 4, 8], [14, 9, 10], [15, 13, 19], [20, 17, 22], [16, 24, 21], [27, 23, 25], [26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
71: [[18, 29, 7], [3, 2, 11], [5, 1, 12], [6, 4, 8, 14], [9, 10, 15], [13, 19, 20, 17], [22, 16, 24, 21, 27, 23, 25, 26, 28, 31, 30, 32, 35, 33, 34, 36, 37]]
72: [[18, 29, 7], [3, 2, 11], [5, 1, 12, 6], [4, 8, 14], [9, 10, 15, 13], [19, 20, 17, 22], [16, 24, 21], [27, 23, 25, 26, 28, 31, 30, 32], [35, 33, 34, 36, 37]]
73: [[18, 29, 7], [3, 2, 11, 5], [1, 12, 6], [4, 8, 14], [9, 10, 15, 13, 19], [20, 17, 22], [16, 24, 21, 27], [23, 25, 26], [28, 31, 30, 32], [35, 33, 34, 36, 37]]
