0: [[11, 36, 20, 3, 4, 12, 1, 2, 5], [6, 7, 22, 37], [9, 8, 10, 14, 29], [15, 21, 19], [24, 17, 18], [28, 25, 26], [13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
11: [[11, 36], [20, 3, 4, 12], [1, 2, 5, 6], [7, 22, 37, 9], [8, 10, 14, 29], [15, 21, 19], [24, 17, 18, 28], [25, 26, 13], [16, 23], [27, 31, 32, 30, 34, 33, 35]]
12: [[11, 36, 20, 3, 4], [12, 1, 2], [5, 6, 7, 22, 37], [9, 8, 10, 14], [29, 15, 21, 19], [24, 17, 18, 28, 25], [26, 13], [16, 23, 27, 31], [32, 30, 34], [33, 35]]
13: [[11, 36, 20, 3], [4, 12, 1, 2], [5, 6, 7, 22], [37, 9, 8, 10], [14, 29, 15, 21], [19, 24, 17, 18], [28, 25, 26, 13], [16, 23, 27], [31, 32, 30, 34, 33, 35]]
14: [[11, 36, 20, 3, 4, 12, 1, 2, 5], [6, 7, 22, 37, 9], [8, 10, 14, 29, 15], [21, 19, 24, 17, 18], [28], [25, 26, 13], [16, 23, 27, 31, 32, 30, 34], [33, 35]]
15: [[11, 36, 20, 3, 4], [12, 1, 2, 5, 6], [7, 22, 37, 9], [8, 10], [14, 29, 15, 21], [19, 24, 17, 18], [28, 25, 26, 13], [16, 23, 27, 31], [32, 30, 34, 33, 35]]
16: [[11, 36], [20, 3, 4, 12], [1, 2, 5, 6], [7, 22, 37, 9], [8, 10], [14, 29], [15, 21], [19, 24, 17, 18], [28, 25, 26, 13], [16, 23, 27, 31, 32], [30, 34, 33, 35]]
17: [[11, 36, 20, 3, 4], [12, 1, 2], [5, 6, 7], [22, 37, 9], [8, 10, 14, 29], [15, 21, 19, 24], [17, 18, 28, 25, 26], [13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
18: [[11, 36, 20, 3], [4, 12, 1, 2], [5, 6], [7, 22, 37, 9], [8, 10, 14], [29, 15, 21, 19], [24, 17, 18, 28], [25, 26, 13], [16, 23, 27, 31, 32], [30, 34, 33], [35]]
19: [[11, 36, 20, 3], [4, 12, 1, 2], [5, 6], [7, 22, 37, 9], [8, 10, 14], [29, 15, 21, 19], [24, 17, 18, 28], [25, 26, 13], [16, 23, 27, 31, 32], [30, 34, 33], [35]]
20: [[11, 36, 20, 3], [4, 12], [1, 2, 5, 6], [7, 22, 37, 9, 8], [10, 14], [29, 15, 21, 19], [24, 17, 18, 28, 25], [26, 13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
21: [[11, 36, 20, 3], [4, 12, 1, 2], [5, 6], [7, 22, 37, 9], [8, 10, 14], [29, 15, 21, 19], [24, 17, 18, 28], [25, 26, 13], [16, 23, 27, 31, 32], [30, 34, 33], [35]]
22: [[11, 36, 20, 3], [4, 12], [1, 2, 5, 6], [7, 22, 37, 9], [8, 10, 14, 29], [15, 21, 19], [24, 17, 18, 28], [25, 26], [13, 16, 23], [27, 31, 32, 30], [34, 33, 35]]
23: [[11, 36], [20, 3, 4, 12], [1, 2, 5, 6], [7, 22, 37, 9], [8, 10, 14, 29], [15, 21, 19, 24], [17, 18, 28, 25, 26], [13, 16, 23], [27, 31, 32, 30], [34, 33, 35]]
24: [[11, 36, 20, 3], [4, 12], [1, 2, 5], [6, 7, 22, 37], [9, 8, 10, 14], [29, 15, 21, 19, 24], [17, 18, 28, 25], [26, 13, 16, 23, 27], [31, 32, 30, 34], [33, 35]]
25: [[11, 36], [20, 3, 4, 12], [1, 2, 5, 6], [7, 22, 37, 9], [8, 10, 14, 29], [15, 21, 19, 24], [17, 18, 28, 25], [26, 13, 16], [23, 27, 31, 32], [30, 34, 33, 35]]
26: [[11, 36], [20, 3, 4, 12], [1, 2, 5, 6, 7], [22, 37, 9, 8], [10, 14, 29, 15], [21, 19, 24, 17, 18], [28, 25, 26, 13], [16, 23, 27, 31, 32], [30, 34, 33, 35]]
27: [[11, 36, 20, 3, 4], [12, 1, 2, 5], [6, 7, 22, 37], [9, 8], [10, 14, 29, 15], [21, 19, 24, 17], [18, 28, 25, 26, 13], [16, 23, 27, 31], [32, 30, 34, 33, 35]]
28: [[11, 36], [20, 3, 4, 12], [1, 2, 5], [6, 7, 22, 37], [9, 8, 10, 14], [29, 15], [21, 19, 24, 17], [18, 28, 25, 26], [13, 16, 23, 27, 31], [32, 30, 34, 33], [35]]
29: [[11, 36, 20], [3, 4, 12], [1, 2, 5, 6], [7, 22, 37, 9], [8, 10, 14, 29, 15], [21, 19, 24, 17, 18], [28, 25, 26, 13], [16, 23, 27, 31], [32, 30, 34, 33, 35]]
30: [[11, 36, 20, 3, 4, 12, 1, 2, 5, 6, 7, 22, 37, 9, 8, 10], [14, 29, 15, 21], [19, 24, 17, 18], [28, 25, 26, 13, 16, 23, 27, 31, 32, 30, 34], [33, 35]]
31: [[11, 36], [20, 3, 4, 12], [1, 2, 5, 6, 7, 22, 37, 9, 8], [10, 14, 29, 15], [21, 19, 24, 17], [18, 28, 25, 26], [13, 16, 23], [27, 31, 32, 30, 34, 33, 35]]
32: [[11, 36, 20], [3, 4, 12], [1, 2, 5, 6], [7, 22, 37, 9], [8, 10, 14], [29, 15, 21, 19], [24, 17, 18, 28], [25, 26, 13], [16, 23, 27], [31, 32, 30, 34, 33, 35]]
33: [[11, 36, 20, 3], [4, 12, 1, 2], [5, 6, 7, 22], [37, 9, 8, 10, 14], [29, 15, 21, 19, 24, 17, 18, 28, 25, 26, 13, 16], [23, 27, 31, 32, 30, 34, 33, 35]]
34: [[11, 36], [20, 3, 4], [12, 1, 2], [5, 6, 7, 22], [37, 9], [8, 10, 14, 29], [15, 21, 19], [24, 17, 18, 28], [25, 26, 13, 16], [23, 27, 31, 32], [30, 34, 33, 35]]
35: [[11, 36, 20, 3, 4], [12, 1, 2, 5, 6], [7, 22, 37, 9], [8, 10, 14, 29], [15, 21, 19, 24], [17, 18, 28], [25, 26, 13, 16], [23, 27, 31], [32, 30], [34, 33, 35]]
36: [[11, 36, 20, 3], [4, 12, 1, 2], [5, 6], [7, 22, 37, 9], [8, 10, 14], [29, 15, 21, 19], [24, 17, 18, 28], [25, 26, 13, 16], [23, 27, 31, 32], [30, 34, 33, 35]]
37: [[11, 36], [20, 3, 4, 12, 1, 2, 5, 6, 7], [22, 37, 9, 8], [10, 14, 29, 15, 21], [19, 24, 17], [18, 28, 25], [26, 13, 16], [23, 27, 31, 32, 30, 34, 33, 35]]
38: [[11, 36, 20, 3], [4, 12, 1, 2], [5, 6, 7, 22, 37, 9], [8, 10, 14], [29, 15, 21, 19], [24, 17, 18, 28, 25], [26, 13, 16, 23], [27, 31, 32, 30, 34, 33, 35]]
39: [[11, 36, 20, 3, 4, 12], [1, 2, 5, 6, 7, 22, 37, 9], [8, 10, 14, 29, 15, 21, 19, 24], [17, 18, 28, 25], [26, 13, 16, 23, 27, 31, 32], [30, 34], [33, 35]]
40: [[11, 36, 20, 3, 4, 12], [1, 2, 5, 6, 7, 22, 37, 9], [8, 10, 14, 29, 15, 21, 19, 24], [17, 18, 28, 25], [26, 13, 16, 23, 27, 31, 32], [30, 34], [33, 35]]
41: [[11, 36, 20], [3, 4, 12], [1, 2, 5, 6], [7, 22, 37, 9], [8, 10], [14, 29], [15, 21], [19, 24, 17, 18], [28, 25, 26, 13], [16, 23, 27, 31], [32, 30, 34, 33, 35]]
42: [[11, 36], [20, 3], [4, 12, 1], [2, 5, 6], [7, 22], [37, 9], [8, 10, 14], [29, 15, 21, 19], [24, 17, 18, 28], [25, 26, 13], [16, 23, 27, 31, 32], [30, 34, 33], [35]]
43: [[11, 36], [20], [3, 4, 12], [1, 2, 5, 6, 7, 22, 37], [9, 8, 10, 14, 29, 15, 21, 19, 24, 17, 18, 28, 25], [26, 13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
44: [[11, 36], [20, 3, 4, 12], [1, 2, 5], [6, 7, 22, 37, 9, 8, 10, 14, 29], [15, 21, 19, 24, 17, 18], [28, 25, 26, 13, 16, 23, 27, 31, 32], [30, 34, 33, 35]]
45: [[11, 36], [20, 3, 4, 12], [1, 2, 5], [6, 7, 22, 37], [9, 8, 10, 14, 29, 15, 21, 19, 24], [17, 18, 28, 25], [26, 13, 16, 23], [27, 31, 32, 30], [34, 33, 35]]
46: [[11, 36, 20, 3], [4, 12, 1], [2, 5, 6], [7, 22, 37, 9], [8, 10, 14, 29, 15], [21, 19, 24, 17], [18, 28, 25, 26], [13, 16, 23, 27, 31], [32, 30, 34, 33, 35]]
47: [[11, 36, 20, 3], [4, 12, 1, 2], [5, 6, 7, 22], [37, 9, 8, 10, 14], [29, 15], [21, 19, 24, 17, 18, 28], [25, 26], [13, 16, 23, 27, 31, 32], [30, 34, 33, 35]]
48: [[11, 36], [20, 3, 4, 12], [1, 2, 5, 6], [7, 22, 37, 9], [8, 10, 14, 29, 15], [21, 19, 24, 17, 18, 28, 25, 26, 13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
49: [[11, 36, 20, 3], [4, 12, 1, 2], [5, 6, 7, 22, 37, 9], [8, 10, 14], [29, 15, 21, 19, 24, 17], [18, 28, 25, 26, 13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
50: [[11, 36, 20], [3, 4, 12], [1, 2, 5, 6], [7, 22, 37, 9], [8, 10, 14], [29, 15, 21, 19], [24, 17, 18, 28], [25, 26, 13, 16], [23, 27], [31, 32, 30, 34, 33, 35]]
51: [[11, 36, 20, 3], [4, 12, 1], [2, 5, 6, 7, 22, 37], [9, 8, 10, 14, 29, 15, 21, 19, 24], [17, 18, 28, 25, 26, 13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
52: [[11, 36, 20, 3], [4, 12, 1], [2, 5, 6, 7], [22, 37, 9, 8], [10, 14, 29, 15, 21, 19, 24, 17, 18, 28], [25, 26, 13], [16, 23], [27, 31, 32, 30, 34], [33, 35]]
53: [[11, 36, 20, 3], [4, 12, 1], [2, 5, 6, 7, 22], [37, 9, 8, 10], [14, 29, 15, 21, 19, 24, 17, 18, 28, 25], [26, 13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
54: [[11, 36, 20, 3], [4, 12, 1, 2], [5, 6, 7, 22], [37, 9, 8, 10], [14, 29, 15, 21], [19, 24], [17, 18, 28, 25, 26], [13, 16, 23, 27, 31], [32, 30, 34, 33, 35]]
55: [[11, 36, 20], [3, 4, 12, 1], [2, 5, 6], [7, 22, 37, 9], [8, 10, 14], [29, 15, 21, 19], [24, 17, 18, 28], [25, 26, 13, 16], [23, 27, 31, 32], [30, 34, 33, 35]]
56: [[11, 36, 20], [3, 4, 12, 1], [2, 5, 6, 7, 22], [37, 9, 8], [10, 14, 29], [15, 21, 19], [24, 17, 18, 28, 25, 26, 13, 16, 23, 27], [31, 32, 30, 34, 33, 35]]
57: [[11, 36, 20, 3], [4, 12, 1, 2], [5, 6, 7], [22, 37, 9, 8], [10, 14, 29, 15], [21, 19, 24, 17], [18, 28, 25], [26, 13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
58: [[11, 36, 20, 3], [4, 12, 1, 2], [5, 6], [7, 22, 37, 9], [8, 10, 14], [29, 15, 21, 19, 24, 17, 18, 28, 25, 26, 13, 16, 23], [27, 31, 32, 30, 34, 33, 35]]
59: [[11, 36], [20, 3, 4, 12, 1, 2, 5, 6, 7, 22, 37, 9, 8, 10, 14, 29, 15, 21], [19, 24, 17, 18, 28, 25, 26, 13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
60: [[11, 36], [20, 3, 4, 12, 1], [2, 5, 6, 7], [22, 37, 9, 8], [10, 14, 29], [15, 21, 19, 24], [17, 18, 28, 25], [26, 13, 16, 23], [27, 31, 32], [30, 34, 33], [35]]
61: [[11, 36, 20], [3, 4, 12], [1, 2, 5, 6], [7, 22, 37, 9], [8, 10, 14, 29], [15, 21, 19, 24], [17, 18, 28, 25, 26], [13, 16], [23, 27], [31, 32], [30, 34, 33, 35]]
62: [[11, 36, 20, 3], [4, 12, 1, 2], [5, 6, 7], [22, 37, 9, 8], [10, 14, 29, 15], [21, 19], [24, 17, 18, 28, 25], [26, 13, 16, 23], [27], [31, 32, 30], [34, 33, 35]]
63: [[11, 36, 20, 3], [4, 12, 1, 2], [5, 6, 7, 22, 37, 9, 8, 10, 14], [29, 15, 21, 19, 24, 17, 18, 28, 25, 26, 13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
64: [[11, 36, 20], [3, 4, 12, 1], [2, 5, 6, 7], [22, 37], [9, 8], [10, 14, 29], [15, 21, 19], [24, 17, 18, 28, 25, 26, 13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
65: [[11, 36], [20, 3, 4, 12], [1, 2, 5, 6], [7, 22], [37, 9, 8, 10], [14, 29, 15, 21], [19, 24], [17, 18, 28, 25], [26, 13, 16, 23], [27, 31, 32, 30], [34, 33, 35]]
66: [[11, 36], [20, 3, 4], [12, 1, 2], [5, 6, 7, 22, 37, 9, 8, 10, 14], [29, 15, 21, 19, 24, 17, 18, 28, 25, 26, 13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
67: [[11, 36, 20, 3], [4, 12, 1, 2], [5, 6, 7, 22], [37, 9, 8, 10], [14, 29, 15], [21, 19, 24, 17], [18, 28, 25], [26, 13], [16, 23, 27, 31, 32], [30, 34], [33, 35]]
68: [[11, 36], [20, 3], [4, 12, 1, 2, 5, 6], [7, 22, 37], [9, 8, 10, 14, 29, 15, 21, 19, 24, 17, 18, 28, 25, 26, 13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
69: [[11, 36, 20], [3, 4, 12, 1], [2, 5, 6, 7], [22, 37, 9, 8], [10, 14, 29, 15], [21, 19, 24, 17], [18, 28, 25, 26, 13], [16, 23, 27, 31], [32, 30, 34, 33, 35]]
70: [[11, 36, 20], [3, 4, 12], [1, 2, 5, 6], [7, 22, 37, 9], [8, 10, 14, 29, 15], [21, 19, 24, 17, 18, 28, 25, 26, 13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
71: [[11, 36, 20, 3, 4], [12, 1, 2, 5], [6, 7], [22, 37, 9, 8, 10, 14, 29, 15, 21, 19, 24, 17, 18, 28, 25, 26, 13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
72: [[11, 36, 20, 3], [4, 12, 1], [2, 5, 6, 7], [22], [37, 9, 8, 10, 14, 29, 15], [21, 19, 24, 17, 18, 28, 25, 26, 13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
73: [[11, 36], [20, 3], [4, 12], [1, 2, 5], [6, 7, 22, 37, 9, 8, 10, 14, 29, 15, 21, 19, 24, 17, 18, 28, 25, 26, 13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
