0: [[9, 1, 6, 7, 19, 2, 5], [3, 8, 4, 12], [15, 11, 17, 13], [20, 23, 18, 16, 25, 10, 22, 14], [24, 28, 29], [26, 21, 27]]
20: [[9, 1, 6, 7, 19, 2], [5, 3, 8, 4, 12, 10, 27, 13], [14, 11, 15, 18, 24, 20, 22, 16], [17, 29, 21, 23, 28, 25, 26]]
21: [[9, 1, 6, 7, 19, 2], [5, 3, 8, 4, 15], [11, 14, 13, 26], [10, 29, 18, 20, 17, 21, 12, 16, 23, 22, 25, 27, 28, 24]]
22: [[9, 1, 6, 7], [19, 2, 5], [3, 8, 4, 11, 10, 12, 29], [13, 14, 15, 17, 20, 16, 21], [23, 22, 24, 28, 18, 26], [25, 27]]
23: [[9, 1], [6, 7, 19, 2, 5, 3], [8], [4, 12, 11, 10, 13, 15, 14, 18, 22, 17, 27, 16, 23], [20, 28, 21, 29, 24, 25, 26]]
24: [[9, 1, 6, 7, 19, 2, 5, 3], [8, 4, 12, 11, 10, 13, 29], [14, 15, 18], [17, 25, 16], [22, 20, 28, 21, 23, 24, 27, 26]]
25: [[9, 1, 6, 7], [19, 2, 5], [3, 8, 4, 11, 14, 12, 29], [18, 21, 15, 10, 25, 17, 13], [23, 16, 24, 20, 22, 26, 27, 28]]
26: [[9, 1, 6, 7, 19, 2], [5, 3, 8, 4, 13, 11, 26], [10, 15, 25, 29, 16, 20, 24, 23, 14, 17, 28], [12, 18, 21, 27, 22]]
27: [[9, 1, 6, 7, 19, 2], [5, 3, 8, 4, 14], [15, 11, 12, 10], [13, 17, 16, 21, 20, 18, 22, 23, 28, 24, 25, 27, 26, 29]]
28: [[9, 1, 6, 7, 12, 22], [19, 2, 5, 3], [8, 4, 11, 21, 15, 10], [13, 17, 20, 25], [16, 14], [23, 24, 28, 18, 26, 27, 29]]
29: [[9, 1, 6, 7, 19, 2], [5, 3, 8], [4, 12, 10, 27, 13, 14, 15, 11, 18, 28, 25, 22, 20, 16, 21, 17, 23, 26, 24, 29]]
30: [[9, 1, 6, 7, 19, 2], [5, 3, 8, 4, 13], [10, 12], [28, 14, 23, 20, 24, 29, 21], [11, 15, 17, 25, 16], [22, 18, 27], [26]]
31: [[9, 1, 6, 7, 19], [2, 5, 3, 8], [4, 15, 13, 11, 12, 14, 10, 17, 16, 22, 21, 18, 23, 20], [24, 29, 25, 27, 26, 28]]
32: [[9, 1, 6, 7], [19, 2, 5], [3, 8, 4, 11, 10, 13, 12], [26, 21, 20, 22, 29, 16], [27, 23, 18, 17, 14, 15, 24, 25, 28]]
33: [[9, 1, 6, 7, 19, 2], [5, 3, 8, 4, 15], [11, 10, 12, 14], [29, 13, 18, 17, 25, 20, 22], [21, 24], [23, 27, 16, 28, 26]]
34: [[9, 1, 6], [7, 19, 2], [5, 3, 8], [4, 12, 15], [11, 26, 13, 29, 10, 18, 17, 14, 25, 23, 16, 22, 20, 21, 27, 24, 28]]
35: [[9, 1], [6, 7, 19, 2, 5, 3, 8, 4, 12, 11, 10, 25, 28, 21, 13, 14, 15, 20, 18, 22, 23, 17, 16, 27, 26, 24], [29]]
36: [[9, 1, 6, 7], [19, 2, 5, 3], [8, 4], [11, 15, 10, 12, 29, 14, 20], [13, 17, 21, 22, 18, 16], [25, 28, 24, 23, 26, 27]]
37: [[9, 1, 6, 7, 19, 2, 5, 3, 8], [4], [13, 15, 14, 11, 28, 12, 22, 16, 17, 25, 10, 18, 20, 27, 21, 29, 23, 26, 24]]
38: [[9, 1, 6, 7, 19, 2], [5, 3, 8, 4, 13, 10], [11, 16, 12, 14, 15, 22, 21], [27, 17], [20, 18, 29, 23, 25, 24], [28, 26]]
39: [[9, 1, 6, 7, 19], [2, 5, 3, 8, 4, 14], [10, 11, 12, 28, 13, 15, 22, 23, 25, 17, 21, 26, 29, 16, 20, 18, 24, 27]]
40: [[9, 1, 6, 7, 19], [2, 5, 3, 8], [4, 12, 10, 11, 13], [15, 27, 14, 16, 21, 22], [20, 17, 18, 25, 26, 23], [28, 24, 29]]
41: [[9, 1, 6, 7], [19, 2, 5], [3, 8, 4], [13, 11], [15, 10, 12, 14, 22, 16, 25], [23, 24, 18, 17], [21, 26, 20], [27, 28, 29]]
42: [[9, 1, 6, 7, 19, 2, 5], [3, 8, 4, 11], [15, 10, 12], [13, 26, 14, 18], [25, 27, 16], [17, 20, 24], [21, 22, 23, 28, 29]]
43: [[9, 1, 6, 7, 19], [2, 5], [3, 8], [4, 12, 11, 10, 29, 28, 13, 15, 18, 25, 17, 14, 16], [22, 20, 21, 23, 27, 26, 24]]
44: [[9, 1, 6, 7, 19], [2, 5, 3], [8, 4, 12], [15, 11, 25, 28, 21, 10, 29, 13, 16, 14], [23, 24, 17, 20, 18, 26, 22, 27]]
45: [[9, 1, 6, 7], [19, 2, 5, 3, 8], [4, 13, 11, 10, 12], [14, 28, 25, 18, 16, 24, 22, 15, 17, 23, 27, 21, 20, 29, 26]]
46: [[9, 1, 6], [7, 19, 2], [5, 3, 8, 4, 12, 11, 15, 10, 13, 29], [14, 18, 25, 16, 22], [17, 23, 21, 20, 24, 27], [26, 28]]
47: [[9, 1, 6, 7], [19, 2, 5], [3, 8, 4, 14, 11, 10, 29], [12, 15, 16, 13, 21, 23, 25], [22, 17, 24, 20, 18, 26, 27, 28]]
48: [[9, 1, 6, 7], [19, 2, 5, 3], [8, 4, 13, 14, 12, 11, 10, 15, 17, 24, 21, 20, 18, 22, 16, 23, 25, 29, 26, 27, 28]]
49: [[9, 1, 6, 7, 19], [2, 5, 3, 8], [4, 13, 10, 11, 12, 14, 15, 16, 17, 21], [22, 20, 23, 24], [25, 18, 27, 28, 26, 29]]
50: [[9, 1, 6, 7], [19, 2, 5, 3], [8, 4, 15, 11, 10], [12, 13, 21, 14, 16], [17, 20, 18, 22, 25], [23, 26, 28], [24, 27, 29]]
51: [[9, 1, 6, 7, 19], [2, 5, 3, 8, 4, 12], [11, 10, 13, 14], [23, 28, 16, 21, 18, 20, 22, 15, 29, 24], [27, 17, 26, 25]]
52: [[9, 1, 6, 7], [19, 2, 5, 3, 8], [4, 12, 11, 14, 13, 15], [18, 22, 20, 16], [25, 10, 23, 28], [24, 29, 21], [27, 17, 26]]
53: [[9, 1, 6, 7], [19, 2, 5, 3, 8], [4, 15, 12, 13, 11], [10, 14, 17, 26], [18, 16, 20, 22], [23, 24, 25], [21, 28, 27, 29]]
54: [[9, 1, 6, 7, 19, 2], [5, 3, 8, 4], [15, 11, 14, 25, 13, 10], [12, 18, 28], [21, 17, 20], [22, 16, 23, 29, 26, 24, 27]]
55: [[9, 1, 6, 7, 19, 2], [5, 3, 8, 4, 15], [10, 12, 11], [26, 29, 13, 14, 20, 16, 17], [23, 21, 25, 18, 24], [22, 27, 28]]
56: [[9, 1, 6, 7], [19, 2, 5, 3, 8, 4, 12, 15], [11, 29, 10], [13, 20, 16], [14, 17, 18, 22, 23, 25, 21, 26, 24, 28, 27]]
57: [[9, 1, 6, 7], [19, 2, 5, 3, 8], [4, 15, 11, 14, 10], [12, 22, 13, 18, 17, 21, 16, 20, 24, 25, 23, 29, 26], [28, 27]]
58: [[9, 1], [6, 7, 19], [2, 5, 3], [8, 4, 15, 11, 10, 12], [13, 28, 29, 16], [21, 17, 18, 22, 20], [14, 23, 24, 26, 25, 27]]
59: [[9, 1, 6, 7, 19], [2, 5], [3, 8], [4, 14], [10, 26, 13, 11], [28, 12, 15, 20, 18], [17, 21, 16], [22, 23, 29, 24], [27, 25]]
