0: [[18, 15, 9, 8, 5, 17], [3, 6, 7, 2, 16, 11, 13, 1, 12], [4, 10, 14, 19, 20, 22], [21, 23, 24]]
25: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
26: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
27: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
28: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
29: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
30: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
31: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11], [13, 4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
32: [[18, 15, 9, 8, 17], [5, 3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
33: [[18, 15, 9, 8, 17], [5, 3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
34: [[18, 15, 9, 8, 5, 3, 17], [1, 6, 7, 2, 16, 11, 13, 12], [4, 10, 14, 19, 20, 22], [21, 23, 24]]
35: [[18, 15, 9, 8, 5, 3, 17], [1, 6, 7, 2, 16, 11, 13, 12], [4, 10, 14, 19, 20, 22], [21, 23, 24]]
36: [[18, 15, 9, 8, 5, 3, 17], [1, 6, 7, 2, 16, 11, 13, 12], [4, 10, 14, 19, 20, 22], [21, 23, 24]]
37: [[18, 15, 9, 8, 5, 3, 17], [1, 6, 7, 2, 16, 11, 13, 12], [4, 10, 14, 19, 20, 22], [21, 23, 24]]
38: [[18, 15, 9, 8, 17], [5, 3, 1, 6, 7, 2, 16, 11], [13, 4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
39: [[18, 15, 9, 8, 17], [5, 3, 1, 6, 7, 2, 16, 11], [13, 4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
40: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 12], [22, 21, 23, 24]]
41: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 12], [22, 21, 23, 24]]
42: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 12], [22, 21, 23, 24]]
43: [[18, 15, 9, 17], [8, 5, 3, 1, 6, 7, 2, 16, 11], [13, 4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
44: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11], [13, 4, 10, 14, 19, 20, 12], [22, 21, 23, 24]]
45: [[18, 15, 9, 8, 5, 3, 17], [1, 6, 7, 2, 16, 11, 13, 4, 12], [10, 14, 19, 20, 22], [21, 23, 24]]
46: [[18, 15, 9, 8, 17], [5, 3, 1, 6, 7, 2, 16, 11], [13, 4, 10, 14, 19, 20, 12], [22, 21, 23, 24]]
47: [[18, 15, 9, 8, 17], [5, 3, 1, 6, 7, 2, 16, 11], [13, 4, 10, 14, 19, 20, 12], [22, 21, 23, 24]]
48: [[18, 15, 17, 9, 8, 5], [3, 1, 6, 7, 2, 16, 11, 13, 12], [4, 10, 14, 19, 20, 22, 21], [23, 24]]
49: [[18, 15, 17, 9, 8, 5, 3], [1, 6, 7, 2, 16, 11, 13, 12], [4, 10, 14, 19, 20, 22, 21], [23, 24]]
