0: [[27, 35, 7, 1, 2], [3, 4, 12], [20, 19], [15, 11, 6, 10], [9, 24], [8, 16, 5, 18], [13, 14, 17, 29, 21], [23, 26, 22, 28], [31, 25], [30, 44], [36, 33], [38, 34, 32, 37], [39, 43, 45, 40, 47, 46], [42, 41, 50], [53], [52, 49, 48, 57, 54], [56, 51, 58], [60, 55, 59]]
14: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 17, 21, 18, 16, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 57, 52, 59, 56]]
15: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 23, 15, 16, 17, 18, 21, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 56, 58, 57, 60, 59, 52]]
16: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 15, 18, 17, 16, 30, 23, 28, 10, 21, 6], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 52, 59, 58, 57]]
17: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 17, 18, 16, 28, 23, 21, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 59, 52, 56, 57, 58]]
18: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 16, 18, 17, 21, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 52, 58, 59, 57]]
19: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 23, 21, 18, 16, 17, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 57, 59, 56]]
20: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 17, 18, 16, 21, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 56, 59, 57]]
21: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 21, 15, 28, 18, 16, 23, 17, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 57, 56, 59]]
22: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 21, 15, 28, 18, 16, 17, 23, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 56, 58, 52, 57, 60, 59]]
23: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 17, 18, 16, 21, 28, 23, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 52, 56, 58, 59, 57]]
24: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 16, 17, 18, 21, 28, 23, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 52, 58, 59, 57]]
25: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 17, 15, 18, 16, 23, 21, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 52, 56, 59, 58, 57]]
26: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 17, 16, 18, 23, 21, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 59, 57, 56]]
27: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 16, 23, 17, 18, 21, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 52, 59, 57, 58]]
28: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 15, 10, 16, 18, 23, 21, 17, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 52, 57, 59, 58]]
29: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 21, 16, 18, 17, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 56, 60, 59, 58, 52, 57]]
30: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 17, 18, 21, 16, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 52, 57, 58, 56, 59]]
31: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 23, 15, 17, 21, 16, 18, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 56, 58, 52, 59, 60, 57]]
32: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 15, 16, 10, 17, 18, 23, 21, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 59, 57, 56]]
33: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 16, 21, 18, 17, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 59, 52, 57, 56]]
34: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 17, 23, 16, 21, 18, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 52, 59, 58, 57]]
35: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 10, 6, 15, 16, 17, 18, 21, 28, 23, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 56, 57, 59]]
36: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 18, 17, 21, 16, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 52, 57, 59, 56, 58]]
37: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 15, 10, 18, 21, 16, 17, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 56, 59, 52, 57]]
38: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 16, 17, 21, 30, 18, 28, 23], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 52, 57, 59, 58]]
39: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 16, 23, 18, 17, 21, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 57, 56, 59]]
40: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 10, 16, 15, 17, 18, 21, 28, 23, 30, 6], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 59, 57, 56]]
41: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 18, 17, 16, 21, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 56, 58, 59, 57, 52, 60]]
42: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 10, 6, 15, 17, 23, 16, 21, 18, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 57, 56, 59]]
43: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 16, 21, 17, 18, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 57, 52, 56, 58, 59]]
44: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 10, 18, 15, 17, 16, 21, 30, 23, 28, 6], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 59, 57, 56]]
45: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 21, 16, 15, 18, 17, 28, 23, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 56, 57, 59, 52]]
46: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 10, 6, 15, 28, 23, 16, 21, 18, 17, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 57, 56, 59]]
47: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 21, 17, 28, 18, 15, 23, 16, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 57, 56, 59]]
48: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 15, 18, 16, 23, 17, 28, 30, 10, 21, 6], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 52, 59, 58, 57]]
49: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 16, 18, 21, 17, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 52, 57, 59, 58]]
50: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 16, 18, 21, 17, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 52, 57, 59, 58]]
51: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 15, 16, 10, 17, 28, 21, 18, 23, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 52, 59, 58, 57]]
52: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 18, 23, 21, 16, 17, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 52, 59, 57, 58]]
53: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 17, 16, 23, 18, 21, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 52, 58, 59, 56, 57]]
54: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 16, 18, 21, 17, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 56, 58, 52, 60, 57, 59]]
55: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 21, 16, 18, 17, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 56, 60, 58, 59, 52, 57]]
56: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 16, 23, 17, 18, 28, 21, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 59, 52, 57, 58, 56]]
57: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 10, 6, 15, 17, 23, 16, 21, 18, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 57, 56, 59]]
58: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 17, 16, 23, 18, 28, 21, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 56, 57, 59]]
59: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 23, 16, 17, 18, 21, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 52, 56, 58, 57, 59]]
60: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 17, 16, 18, 21, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 56, 60, 52, 59, 58, 57]]
61: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 23, 18, 15, 21, 17, 16, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 52, 58, 57, 59]]
62: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 15, 10, 16, 18, 17, 21, 23, 30, 28, 6], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 57, 59, 56]]
63: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 17, 16, 18, 21, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 57, 52, 59, 58, 56]]
64: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 21, 23, 16, 18, 17, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 57, 52, 56, 59, 58]]
65: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 21, 17, 18, 16, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 56, 58, 52, 60, 59, 57]]
66: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 15, 10, 6, 16, 17, 23, 18, 28, 21, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 52, 57, 58, 59]]
67: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 16, 17, 18, 21, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 57, 52, 58, 59, 56]]
68: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 23, 15, 17, 18, 16, 21, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 52, 56, 59, 58, 57]]
69: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 16, 18, 23, 21, 29, 28, 30], [25, 17, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 52, 58, 57, 59]]
70: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 15, 10, 18, 17, 23, 29, 16, 28, 21], [25, 30, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 56, 59, 52, 57]]
71: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 16, 17, 18, 29, 23, 28, 21], [25, 30, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 59, 57, 56]]
72: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 6, 10, 15, 16, 17, 23, 18, 21, 28, 29], [25, 30, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 57, 59, 58, 52]]
73: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24, 8, 26], [13, 31, 5, 22, 15, 10, 6, 17, 16, 28, 21, 23, 18, 29], [25, 30, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 57, 59, 56]]
