0: [[22], [1, 19], [2, 10], [5, 4, 13, 6], [7, 11], [14, 12, 16, 3], [8, 15, 18], [17, 20, 9], [21, 23, 24]]
26: [[22], [1, 19], [2, 10], [5, 4], [13, 7], [11, 14, 6], [12, 16, 3], [8, 15, 9], [18, 17, 20, 21], [23, 24]]
27: [[22], [19], [2, 10, 1], [5, 4], [13, 7, 6], [11, 14], [12, 16, 8, 3], [15, 18], [17, 20, 21, 9], [23, 24]]
28: [[22], [19], [2, 10, 1], [5, 4], [13, 7, 6], [11, 14], [12, 16, 3], [8, 15, 9], [18, 17, 20, 21], [23, 24]]
29: [[22], [19, 2, 1], [10, 5], [4, 13], [7, 11], [14, 12], [16, 8, 6, 9, 3], [15, 18, 17], [20, 21], [23, 24]]
30: [[22, 1], [19, 2], [10, 5], [4, 13, 7, 6], [11, 14], [12, 16, 3], [8, 15, 18], [17, 20, 9], [21, 23, 24]]
31: [[9], [22], [19, 1], [2, 10, 3], [5, 4], [13, 7, 6], [11, 14, 12, 16, 8, 15, 18, 17], [20, 21, 23, 24]]
32: [[22], [19, 2], [10, 5, 3], [4, 13, 6, 1], [7, 11], [14, 12, 16], [8, 15], [18, 17, 9], [20, 21], [23, 24]]
33: [[22, 19], [2, 10, 1], [5, 4], [13, 7, 6], [11, 14], [12, 16, 3], [8, 15], [18, 17, 9], [20, 21], [23, 24]]
34: [[22], [19], [2, 10, 1], [5, 4], [13, 7, 6], [11, 14], [12, 16, 3], [8, 15], [18, 17, 9], [20, 21], [23, 24]]
35: [[22], [19], [2, 10, 1], [5, 4], [13, 7, 6], [11, 14], [12, 16, 3], [8, 15], [18, 17, 9], [20, 21], [23, 24]]
36: [[22], [19], [2, 10, 1], [5, 4], [13, 7, 6], [11, 14], [12, 16, 3], [8, 15], [18, 17, 9], [20, 21, 23, 24]]
37: [[22], [1, 19], [2, 10, 3], [5, 4], [13, 7, 6, 9], [11, 14, 12], [16, 8, 15, 18], [17, 20, 21, 23, 24]]
38: [[6, 9], [3, 22], [1, 19, 2], [10, 5, 4], [13, 7], [11, 14], [12, 16], [8, 15, 18, 17], [20, 21], [23, 24]]
39: [[22], [19, 2, 1], [10, 5], [4, 13, 7, 6], [11, 14], [12, 16, 3], [8, 15, 18], [17, 20, 9], [21, 23], [24]]
40: [[9], [22], [19, 2, 1], [10, 5, 4, 3], [13, 7, 11, 6], [14, 12, 16, 8, 15, 18, 17, 20, 21, 23, 24]]
41: [[22], [1, 19], [2, 10], [5, 4], [13, 7], [11, 14, 6], [12, 16, 3], [8, 15, 9], [18, 17, 20, 21, 23, 24]]
42: [[22, 1], [19, 2], [10, 5], [4, 13, 7, 6], [11, 14, 12], [16, 8, 9, 3], [15, 18, 17], [20, 21], [23, 24]]
43: [[9, 22], [1, 19, 2], [10, 5, 4, 6, 3], [13, 7, 11, 14, 12, 16, 8, 15, 18, 17, 20, 21, 23, 24]]
44: [[9], [22], [19, 1], [2, 10, 3], [5, 4, 13, 6], [7, 11, 14, 12, 16, 8, 15, 18, 17, 20, 21, 23, 24]]
45: [[9], [22, 3], [1, 19, 2, 10], [5, 4, 13, 6], [7, 11, 14, 12, 16, 8, 15, 18, 17, 20, 21, 23, 24]]
46: [[22], [1, 19], [2, 10], [5, 4], [13, 7], [11, 14, 6, 9], [12, 16, 8, 3], [15, 18, 17, 20, 21, 23, 24]]
47: [[9], [22], [19, 2], [10, 5, 3], [4, 13, 6, 1], [7, 11], [14, 12, 16, 8, 15, 18, 17, 20, 21, 23, 24]]
48: [[9], [22], [19, 1], [2, 10], [5, 4], [13, 7], [11, 14, 6], [12, 16, 3], [8, 15, 18, 17, 20, 21, 23, 24]]
49: [[22, 1], [19, 2], [10, 5], [4, 13, 7, 6], [11, 14], [12, 16, 3], [8, 15, 9], [18, 17, 20, 21, 23, 24]]
