0: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5, 13], [14, 10, 12], [23, 16, 27, 20], [17, 18, 19, 24], [21, 26, 28, 25], [30, 33, 31, 34, 32], [35, 36]]
19: [[1, 2], [3, 4, 9, 37], [6, 15, 29], [22, 7, 11, 8], [5, 13], [14, 10, 12], [23, 16, 27], [20, 17, 18], [19, 24, 21], [26, 28, 25], [30, 33, 31], [34, 32, 35, 36]]
20: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17], [18, 19, 24], [21, 26, 28], [25, 30], [33, 31, 34], [32, 35, 36]]
21: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17], [18, 19, 24], [21, 26, 28], [25, 30], [33, 31, 34], [32, 35, 36]]
22: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7, 11], [8, 5], [13, 14, 10], [12, 23], [16, 27, 20], [17, 18, 19], [24, 21], [26, 28, 25], [30, 33, 31, 34], [32, 35], [36]]
23: [[1, 2], [3, 4, 9], [37, 6, 15], [29, 22], [7, 11, 8], [5, 13, 14], [10, 12, 23, 16], [27, 20, 17, 18], [19, 24, 21], [26, 28, 25], [30, 33, 31, 34], [32, 35, 36]]
24: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7, 11], [8, 5], [13, 14, 10], [12, 23], [16, 27, 20], [17, 18, 19], [24, 21], [26, 28, 25], [30, 33, 31, 34], [32, 35], [36]]
25: [[1, 2], [3, 4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14], [10, 12, 23], [16, 27, 20], [17, 18], [19, 24], [21, 26, 28], [25, 30, 33], [31, 34], [32, 35, 36]]
26: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17, 18], [19, 24, 21], [26, 28, 25, 30, 33], [31, 34], [32, 35, 36]]
27: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7, 11], [8, 5, 13], [14, 10, 12], [23, 16, 27], [20, 17], [18, 19, 24], [21, 26, 28], [25, 30, 33, 31], [34, 32, 35], [36]]
28: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8], [5, 13, 14, 10], [12, 23, 16], [27, 20, 17], [18, 19, 24], [21, 26, 28], [25, 30], [33, 31, 34], [32, 35, 36]]
29: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7, 11], [8, 5, 13], [14, 10, 12, 23], [16, 27, 20, 17], [18, 19, 24, 21], [26, 28, 25, 30, 33, 31, 34], [32, 35, 36]]
30: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5, 13], [14, 10, 12], [23, 16], [27, 20], [17, 18, 19, 24], [21, 26], [28, 25, 30], [33, 31, 34, 32, 35, 36]]
31: [[1, 2], [3, 4, 9], [37, 6, 15], [29, 22, 7], [11, 8], [5, 13, 14, 10], [12, 23, 16], [27, 20, 17], [18, 19, 24], [21, 26, 28], [25, 30], [33, 31, 34], [32, 35, 36]]
32: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7, 11], [8, 5], [13, 14], [10, 12, 23], [16, 27], [20, 17, 18], [19, 24, 21], [26, 28, 25], [30, 33], [31, 34], [32, 35, 36]]
33: [[1, 2], [3, 4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16, 27], [20, 17, 18, 19, 24], [21, 26], [28, 25, 30, 33, 31, 34, 32, 35, 36]]
34: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17], [18, 19], [24, 21], [26, 28, 25, 30], [33, 31, 34, 32], [35, 36]]
35: [[1, 2, 3, 4], [9, 37, 6], [15, 29], [22, 7, 11], [8, 5, 13], [14, 10, 12], [23, 16, 27], [20, 17, 18], [19, 24, 21], [26, 28, 25], [30, 33, 31], [34, 32, 35], [36]]
36: [[1, 2, 3, 4], [9, 37, 6], [15, 29], [22, 7, 11], [8, 5, 13], [14, 10, 12], [23, 16, 27], [20, 17, 18], [19, 24, 21], [26, 28, 25], [30, 33, 31], [34, 32, 35, 36]]
37: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20], [17, 18, 19], [24, 21, 26, 28], [25, 30, 33, 31], [34, 32, 35, 36]]
38: [[1, 2], [3, 4, 9], [37, 6, 15], [29, 22, 7, 11], [8, 5, 13, 14, 10, 12, 23, 16, 27, 20, 17, 18, 19, 24, 21, 26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
39: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7, 11], [8, 5, 13], [14, 10, 12], [23, 16, 27], [20, 17, 18], [19, 24, 21], [26, 28, 25], [30], [33, 31, 34, 32, 35, 36]]
40: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7, 11], [8, 5, 13], [14, 10, 12], [23, 16], [27, 20], [17, 18, 19, 24], [21, 26, 28], [25, 30], [33, 31, 34], [32, 35, 36]]
41: [[1, 2], [3, 4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10, 12], [23, 16, 27], [20, 17, 18], [19, 24, 21, 26], [28, 25, 30], [33, 31, 34], [32, 35], [36]]
42: [[1, 2, 3], [4, 9, 37], [6, 15], [29, 22, 7], [11, 8, 5, 13], [14, 10, 12], [23, 16, 27, 20, 17, 18, 19, 24, 21, 26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
43: [[1, 2], [3, 4, 9], [37, 6, 15], [29, 22, 7], [11, 8], [5, 13, 14], [10, 12, 23], [16, 27, 20], [17, 18, 19], [24, 21], [26, 28, 25, 30], [33, 31, 34], [32, 35, 36]]
44: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17], [18, 19, 24], [21, 26], [28, 25, 30], [33, 31], [34, 32], [35, 36]]
45: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8], [5, 13, 14], [10, 12], [23, 16, 27], [20, 17, 18], [19, 24], [21, 26, 28], [25, 30, 33, 31], [34, 32], [35], [36]]
46: [[1, 2], [3, 4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14], [10, 12, 23, 16], [27, 20, 17], [18, 19, 24], [21, 26], [28, 25, 30], [33, 31, 34, 32, 35, 36]]
47: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22], [7, 11], [8, 5], [13, 14, 10], [12, 23, 16, 27, 20, 17, 18], [19, 24, 21, 26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
48: [[1, 2], [3, 4, 9], [37, 6, 15, 29], [22, 7], [11], [8, 5, 13, 14, 10, 12, 23, 16, 27, 20, 17, 18, 19, 24, 21, 26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
49: [[1, 2, 3], [4, 9, 37], [6, 15], [29, 22], [7, 11, 8, 5], [13, 14, 10, 12], [23, 16, 27, 20, 17], [18, 19], [24, 21, 26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
50: [[1, 2, 3], [4, 9, 37], [6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20], [17, 18], [19, 24, 21, 26], [28, 25, 30, 33], [31, 34, 32, 35, 36]]
51: [[1, 2], [3, 4, 9], [37, 6, 15, 29], [22, 7, 11, 8, 5, 13, 14, 10, 12, 23, 16, 27, 20, 17, 18, 19, 24, 21, 26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
52: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7, 11], [8, 5], [13, 14, 10], [12, 23], [16, 27, 20, 17], [18, 19], [24, 21], [26, 28, 25, 30], [33, 31, 34, 32], [35, 36]]
53: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7, 11], [8, 5, 13, 14, 10, 12, 23, 16, 27, 20, 17], [18, 19, 24, 21, 26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
54: [[1, 2, 3], [4, 9, 37], [6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17, 18], [19, 24, 21, 26], [28, 25, 30, 33, 31, 34, 32, 35, 36]]
55: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7], [11, 8, 5], [13, 14, 10], [12, 23], [16, 27, 20], [17, 18, 19], [24, 21, 26], [28, 25, 30], [33, 31, 34], [32, 35, 36]]
56: [[1, 2, 3], [4, 9, 37], [6, 15, 29, 22], [7, 11], [8], [5, 13, 14, 10, 12, 23, 16, 27, 20, 17, 18, 19, 24, 21, 26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
57: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7, 11], [8, 5, 13, 14], [10, 12, 23], [16, 27], [20, 17, 18, 19, 24], [21, 26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
58: [[1, 2], [3, 4, 9], [37, 6, 15], [29, 22], [7, 11, 8], [5, 13, 14], [10, 12, 23], [16, 27, 20, 17], [18, 19, 24], [21, 26], [28, 25, 30], [33, 31], [34, 32, 35, 36]]
59: [[1, 2, 3, 4], [9, 37, 6, 15, 29], [22, 7], [11, 8, 5, 13, 14, 10, 12, 23, 16, 27, 20, 17, 18, 19, 24, 21, 26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
60: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7, 11], [8, 5, 13], [14, 10, 12, 23], [16, 27, 20], [17, 18, 19], [24, 21, 26], [28, 25, 30, 33, 31], [34, 32, 35, 36]]
61: [[1, 2], [3, 4, 9], [37, 6], [15, 29, 22], [7, 11, 8], [5, 13, 14], [10, 12, 23], [16, 27, 20], [17, 18, 19], [24, 21, 26, 28, 25, 30, 33], [31, 34, 32, 35, 36]]
62: [[1, 2, 3], [4, 9], [37, 6], [15, 29, 22], [7, 11, 8], [5, 13, 14, 10, 12, 23, 16, 27, 20, 17, 18, 19, 24, 21, 26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
63: [[1, 2, 3, 4], [9, 37, 6], [15, 29, 22, 7, 11, 8, 5, 13, 14, 10, 12], [23, 16, 27, 20, 17, 18, 19, 24, 21, 26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
64: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8], [5, 13, 14], [10, 12, 23], [16, 27, 20], [17, 18, 19], [24, 21], [26, 28], [25, 30], [33, 31, 34, 32, 35, 36]]
65: [[1, 2], [3, 4, 9, 37], [6, 15], [29, 22], [7, 11, 8], [5, 13, 14], [10, 12, 23], [16, 27, 20], [17, 18, 19], [24, 21, 26], [28, 25, 30], [33, 31, 34], [32, 35, 36]]
66: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7, 11], [8, 5, 13, 14], [10, 12, 23], [16, 27], [20, 17, 18], [19, 24], [21, 26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
67: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8], [5, 13, 14], [10, 12, 23], [16, 27, 20], [17, 18, 19], [24, 21, 26], [28, 25, 30], [33, 31], [34, 32], [35, 36]]
68: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7, 11], [8, 5, 13], [14, 10, 12, 23], [16, 27, 20, 17, 18, 19, 24, 21, 26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
69: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7, 11], [8, 5, 13, 14], [10, 12, 23, 16], [27, 20, 17, 18], [19, 24, 21], [26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
70: [[1, 2, 3, 4], [9, 37, 6], [15, 29, 22], [7, 11], [8, 5, 13, 14, 10, 12, 23, 16, 27, 20, 17, 18, 19, 24, 21, 26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
71: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7, 11], [8, 5], [13, 14, 10], [12, 23], [16, 27, 20, 17, 18, 19, 24, 21, 26, 28, 25, 30, 33, 31, 34, 32, 35, 36]]
72: [[1, 2], [3, 4, 9], [37, 6], [15, 29, 22], [7, 11, 8], [5, 13, 14, 10], [12, 23, 16, 27], [20, 17, 18, 19], [24, 21, 26], [28, 25, 30, 33, 31, 34, 32, 35, 36]]
73: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7], [11, 8, 5], [13, 14], [10, 12, 23], [16, 27, 20], [17, 18, 19], [24, 21, 26], [28, 25, 30], [33, 31], [34, 32, 35, 36]]
