0: [[2], [6, 3], [7, 11], [5, 8, 9], [14, 10], [12, 13, 20, 1], [15, 18], [16, 17, 19, 22, 4], [21, 23, 24]]
37: [[2], [6, 3], [7, 11], [5, 8, 9, 14], [10, 12, 4, 20, 1], [13, 15], [18, 16], [17, 19, 22, 21, 23, 24]]
38: [[2], [6, 3], [7, 11], [5, 8, 9, 14], [10, 12, 13, 20, 1], [15, 18, 16, 17, 19, 22, 21, 23, 24, 4]]
39: [[2, 4], [6, 3], [7, 11, 5], [8, 9, 14], [10, 12, 13, 20, 1], [15, 18, 16], [17, 19, 22, 21, 23, 24]]
40: [[4, 2], [20, 1], [6, 3], [7, 11], [5, 8], [9, 14, 10], [12, 13, 15, 18], [16, 17, 19, 22, 21, 23, 24]]
41: [[2], [6, 3], [7, 11], [5, 8, 9, 14], [10, 12, 13, 15, 4, 20, 1], [18, 16, 17, 19, 22, 21, 23, 24]]
42: [[2], [6, 3, 1], [7, 11], [5, 8, 9], [14, 10, 12, 4, 20], [13, 15, 18, 16, 17, 19, 22, 21, 23, 24]]
43: [[2], [6, 3, 1], [7, 11], [5, 8, 20], [9, 14, 10, 12, 4], [13, 15, 18], [16, 17, 19, 22, 21, 23, 24]]
44: [[2], [6, 3], [7, 11], [5, 8], [9, 14], [10, 12, 4, 20, 1], [13, 15, 18, 16], [17, 19, 22, 21, 23, 24]]
45: [[2], [6, 3, 1], [7, 11], [5, 8, 20], [9, 14, 10, 12, 13, 15, 4], [18, 16, 17, 19, 22, 21, 23, 24]]
46: [[4, 2], [20, 1], [6, 3], [7, 11], [5, 8], [9, 14, 10], [12, 13, 15], [18, 16, 17, 19, 22, 21, 23, 24]]
47: [[2], [20], [3, 4, 1, 6], [7, 11], [5, 8], [9, 14, 10, 12, 13, 15, 18, 16, 17, 19, 22, 21, 23, 24]]
48: [[2], [20], [3], [7, 11], [5, 8], [9, 14, 4, 1, 6], [10, 12, 13, 15, 18, 16, 17, 19, 22, 21, 23, 24]]
49: [[4, 2, 20, 1], [6, 3, 7], [11, 5, 8, 9, 14, 10, 12, 13, 15, 18, 16, 17, 19, 22, 21, 23, 24]]
