0: [[36, 19, 8, 17, 6, 1, 2, 15, 3, 4], [5, 13], [9, 7], [14, 12, 29, 10, 20], [27, 18, 24], [11, 16, 22], [21], [25, 26, 28], [30, 31, 23, 32, 34, 33], [35], [37]]
28: [[36, 19, 8, 17], [6, 1], [2, 15], [3, 4, 5, 13, 9], [7, 14, 12], [29, 10, 20], [27, 18, 24], [11], [16, 22, 21, 25, 26, 28], [30, 31, 23, 32, 34, 33, 35, 37]]
29: [[36, 19], [8, 17, 6, 1, 2], [15, 3, 4, 5], [13, 9, 7], [14, 12, 29], [10, 20], [27, 18, 24], [11, 16, 22], [21, 25, 26], [28, 30, 31], [23, 32, 34, 33, 35, 37]]
30: [[36, 19, 8, 17, 6, 1, 2, 15, 3, 4], [5, 13, 9, 7, 14, 12], [29, 10, 20, 27, 18, 24], [11], [16, 22, 21, 25, 26, 28], [30], [31], [23, 32, 34, 33, 35, 37]]
31: [[36, 19], [8, 17, 6], [1, 2, 15, 3], [4, 5, 13], [9, 7, 14], [12, 29, 10], [20, 27, 18, 24, 11], [16, 22, 21], [25, 26, 28], [30, 31], [23, 32], [34, 33, 35], [37]]
32: [[36, 19, 8], [17, 6, 1, 2, 15, 3, 4], [5, 13], [9, 7], [14, 12], [29, 10, 20, 27, 18, 24, 11, 16, 22, 21, 25, 26, 28, 30], [31, 23, 32, 34, 33, 35, 37]]
33: [[36, 19, 8, 17, 6, 1, 2, 15], [3, 4, 5, 13], [9, 7, 14, 12], [29, 10, 20], [27, 18, 24, 11], [16, 22, 21, 25], [26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
34: [[36, 19, 8], [17, 6, 1], [2], [15, 3, 4], [5, 13], [9, 7, 14, 12], [29, 10, 20], [27], [18, 24, 11], [16, 22, 21, 25, 26, 28], [30], [31], [23, 32, 34, 33, 35, 37]]
35: [[36, 19, 8], [17, 6, 1], [2, 15, 3, 4, 5, 13, 9, 7, 14, 12], [29, 10, 20, 27, 18, 24, 11, 16, 22, 21, 25, 26, 28], [30, 31, 23, 32, 34, 33, 35, 37]]
36: [[36], [19, 8, 17], [6, 1, 2], [15, 3, 4], [5, 13, 9], [7, 14, 12, 29], [10, 20], [27, 18, 24], [11, 16, 22], [21, 25, 26], [28, 30, 31], [23, 32, 34], [33, 35, 37]]
37: [[36, 19, 8, 17, 6, 1, 2, 15, 3, 4], [5, 13, 9, 7, 14, 12], [29, 10, 20, 27], [18, 24, 11, 16], [22, 21, 25], [26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
38: [[36, 19, 8, 17], [6, 1, 2], [15], [3, 4, 5, 13], [9, 7, 14, 12], [29, 10, 20], [27, 18, 24, 11], [16, 22], [21, 25, 26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
39: [[36, 19, 8, 17, 6, 1, 2, 15, 3, 4], [5, 13, 9, 7, 14, 12, 29, 10, 20], [27, 18, 24, 11, 16, 22, 21, 25, 26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
40: [[36, 19, 8, 17, 6, 1, 2, 15, 3, 4], [5, 13, 9, 7, 14, 12, 29, 10], [20, 27, 18, 24, 11, 16, 22, 21, 25, 26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
41: [[36, 19, 8], [17], [6, 1, 2], [15, 3, 4], [5, 13], [9, 7, 14], [12, 29], [10, 20, 27], [18], [24, 11, 16], [22, 21, 25, 26, 28], [30, 31, 23, 32], [34, 33, 35, 37]]
42: [[36, 19, 8, 17, 6, 1], [2, 15], [3, 4, 5, 13], [9, 7, 14, 12], [29], [10, 20, 27], [18, 24, 11, 16, 22], [21, 25, 26], [28, 30, 31, 23], [32], [34, 33, 35, 37]]
43: [[36, 19, 8], [17, 6], [1, 2, 15], [3, 4, 5], [13, 9, 7, 14, 12], [29, 10, 20, 27], [18, 24, 11, 16], [22, 21, 25], [26, 28], [30, 31, 23, 32, 34, 33], [35, 37]]
44: [[36, 19], [8, 17, 6], [1, 2, 15], [3], [4, 5], [13, 9, 7], [14, 12, 29], [10, 20, 27], [18, 24, 11], [16], [22, 21], [25, 26, 28], [30, 31, 23], [32, 34, 33], [35, 37]]
45: [[36, 19], [8, 17], [6, 1, 2, 15, 3], [4, 5, 13], [9, 7, 14], [12], [29, 10, 20, 27], [18, 24, 11, 16, 22, 21], [25], [26, 28], [30, 31], [23, 32, 34], [33], [35, 37]]
46: [[36, 19, 8, 17, 6], [1, 2, 15], [3, 4, 5], [13, 9, 7], [14, 12, 29, 10], [20], [27, 18, 24, 11], [16, 22, 21, 25, 26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
47: [[36, 19, 8, 17], [6, 1, 2, 15], [3, 4], [5, 13], [9, 7], [14, 12, 29], [10, 20, 27], [18, 24, 11, 16, 22, 21, 25], [26], [28], [30, 31, 23, 32, 34, 33, 35, 37]]
48: [[36, 19], [8, 17, 6, 1], [2, 15, 3, 4, 5], [13, 9, 7], [14, 12], [29, 10, 20, 27], [18, 24], [11], [16, 22, 21, 25, 26], [28, 30, 31, 23, 32], [34, 33, 35, 37]]
49: [[36, 19, 8], [17, 6, 1], [2], [15, 3, 4, 5, 13, 9, 7, 14, 12, 29, 10, 20, 27, 18, 24, 11, 16, 22, 21, 25, 26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
50: [[36, 19], [8, 17, 6], [1, 2, 15], [3], [4, 5], [13, 9, 7], [14, 12, 29], [10, 20, 27], [18, 24, 11], [16], [22, 21, 25], [26, 28], [30, 31, 23, 32, 34, 33, 35, 37]]
51: [[36, 19, 8, 17], [6, 1, 2], [15, 3, 4, 5], [13, 9, 7, 14], [12, 29, 10, 20], [27, 18, 24, 11, 16, 22, 21, 25, 26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
52: [[36, 19, 8, 17], [6, 1, 2, 15], [3, 4, 5], [13, 9, 7, 14], [12, 29, 10, 20, 27, 18], [24, 11, 16], [22, 21, 25], [26, 28], [30, 31, 23, 32], [34, 33, 35, 37]]
53: [[36, 19], [8, 17], [6, 1], [2], [15, 3, 4, 5], [13, 9, 7], [14, 12], [29, 10, 20, 27], [18, 24, 11, 16], [22, 21, 25], [26, 28], [30, 31, 23, 32], [34, 33, 35, 37]]
54: [[36], [19, 8, 17, 6], [1, 2], [15, 3, 4], [5, 13, 9], [7, 14, 12, 29], [10], [20, 27], [18, 24, 11], [16, 22, 21, 25], [26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
55: [[36, 19, 8], [17, 6, 1], [2, 15], [3, 4], [5, 13, 9], [7, 14, 12], [29, 10, 20], [27], [18, 24, 11], [16, 22, 21, 25, 26, 28], [30], [31], [23, 32, 34, 33, 35, 37]]
56: [[36, 19], [8, 17, 6, 1, 2], [15, 3, 4], [5, 13, 9], [7, 14, 12], [29, 10, 20, 27], [18], [24, 11, 16, 22], [21, 25, 26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
57: [[36, 19, 8, 17], [6, 1, 2, 15, 3], [4, 5, 13], [9, 7], [14, 12, 29, 10], [20, 27, 18, 24], [11, 16, 22, 21], [25], [26], [28, 30, 31, 23, 32], [34, 33, 35, 37]]
58: [[36, 19, 8], [17], [6, 1], [2, 15, 3], [4, 5], [13, 9, 7, 14, 12, 29, 10, 20, 27, 18], [24, 11, 16, 22, 21, 25, 26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
59: [[36, 19], [8, 17, 6], [1, 2, 15, 3], [4, 5, 13, 9, 7, 14], [12, 29, 10, 20, 27, 18], [24, 11, 16, 22, 21, 25, 26, 28, 30, 31], [23, 32, 34, 33, 35, 37]]
60: [[36, 19, 8], [17], [6, 1], [2, 15], [3, 4], [5, 13, 9, 7], [14, 12, 29, 10], [20, 27, 18], [24, 11, 16, 22, 21, 25, 26, 28, 30, 31], [23, 32, 34, 33, 35, 37]]
61: [[36, 19, 8, 17], [6, 1], [2, 15, 3], [4, 5, 13], [9, 7, 14], [12, 29, 10], [20, 27, 18], [24, 11], [16, 22, 21, 25, 26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
62: [[36, 19, 8], [17, 6, 1, 2, 15], [3, 4, 5], [13, 9, 7], [14, 12], [29, 10], [20, 27, 18], [24], [11, 16, 22, 21, 25, 26, 28, 30], [31, 23, 32, 34, 33, 35, 37]]
63: [[36, 19], [8, 17], [6, 1, 2], [15, 3, 4], [5], [13, 9, 7], [14, 12], [29, 10, 20, 27], [18, 24, 11, 16], [22, 21, 25, 26], [28, 30, 31, 23, 32], [34, 33, 35, 37]]
64: [[36, 19, 8], [17, 6, 1], [2, 15], [3, 4], [5, 13, 9, 7, 14], [12, 29, 10], [20, 27, 18], [24], [11, 16, 22], [21, 25, 26], [28], [30, 31, 23], [32, 34, 33], [35], [37]]
65: [[36, 19, 8, 17], [6, 1, 2, 15], [3, 4, 5], [13, 9], [7, 14, 12, 29], [10, 20, 27, 18], [24, 11, 16, 22, 21, 25, 26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
66: [[36, 19], [8, 17, 6], [1], [2, 15], [3, 4, 5], [13, 9, 7], [14, 12, 29], [10, 20, 27], [18], [24, 11], [16, 22, 21], [25, 26, 28], [30, 31, 23], [32, 34, 33], [35, 37]]
67: [[36, 19], [8, 17, 6], [1], [2, 15], [3, 4, 5], [13, 9, 7], [14, 12, 29], [10], [20, 27], [18, 24, 11], [16, 22, 21], [25, 26], [28, 30, 31], [23, 32, 34, 33], [35, 37]]
68: [[36, 19, 8, 17, 6, 1, 2, 15], [3, 4, 5, 13, 9], [7, 14, 12], [29, 10, 20], [27], [18], [24, 11, 16], [22, 21, 25, 26, 28, 30], [31], [23], [32, 34, 33, 35, 37]]
69: [[36, 19, 8], [17, 6, 1], [2, 15, 3], [4, 5], [13], [9, 7, 14], [12, 29], [10], [20, 27, 18, 24, 11, 16, 22, 21, 25, 26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
70: [[36, 19, 8], [17], [6, 1], [2, 15, 3], [4, 5], [13, 9, 7, 14, 12], [29, 10, 20, 27], [18, 24, 11, 16], [22, 21, 25, 26], [28, 30], [31, 23, 32], [34, 33, 35, 37]]
71: [[36, 19], [8, 17, 6], [1, 2, 15], [3, 4], [5, 13, 9], [7, 14, 12, 29, 10, 20, 27, 18, 24, 11, 16, 22, 21, 25, 26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
72: [[36, 19, 8], [17, 6, 1], [2, 15, 3], [4, 5], [13, 9, 7], [14, 12, 29], [10, 20], [27, 18], [24, 11, 16], [22, 21, 25], [26, 28, 30], [31], [23, 32, 34], [33], [35, 37]]
73: [[36, 19, 8], [17, 6, 1], [2, 15], [3, 4, 5], [13], [9, 7, 14], [12, 29], [10, 20, 27], [18, 24, 11, 16], [22, 21, 25], [26, 28, 30, 31], [23], [32, 34], [33, 35, 37]]
