0: [[8, 9, 15, 18], [11, 16], [1, 2], [14, 4, 7, 6, 19, 10, 3], [12, 13, 5], [20, 17], [23, 22, 21, 24]]
31: [[8, 9, 11, 16, 1], [2, 14], [4, 7, 5], [6, 19, 10, 3, 12, 13], [20, 17, 15, 18], [23, 22, 21, 24]]
32: [[8, 9, 11, 16, 1], [2, 14], [4, 7, 5], [6, 19, 10, 3, 12, 13], [20, 17, 15, 18], [23, 22, 21, 24]]
33: [[8, 9, 11, 16, 1], [2, 14], [4, 7, 5], [6, 19, 10, 3, 12, 13], [20, 17, 15, 18], [23, 22, 21, 24]]
34: [[18, 9, 11, 16, 1, 2], [14, 4, 15, 8], [7, 6, 5], [19, 10], [3, 12, 13, 20, 17], [23, 22, 21, 24]]
35: [[18, 9, 11, 16, 1, 2], [14, 4, 15, 8], [7, 6, 5], [19, 10], [3, 12, 13, 20, 17], [23, 22, 21, 24]]
36: [[8, 15, 5, 18], [9, 11], [16, 1], [2, 14, 4, 7], [6, 19, 10, 3, 12, 13, 20, 17], [23, 22, 21, 24]]
37: [[8, 9, 11, 16, 15, 18], [1, 2, 14, 4, 7], [6, 19, 5], [10, 3], [12, 13], [20, 17], [23, 22, 21, 24]]
38: [[18, 9, 11, 16, 1], [2, 14], [4, 7, 15], [6, 19, 5, 8], [10, 3, 12, 13, 20, 17], [23, 22, 21, 24]]
39: [[8, 15, 18], [9, 11, 16, 1, 2], [14, 4, 7, 6, 19, 10], [3, 12, 5], [13, 20], [17, 23, 22, 21, 24]]
40: [[8, 9, 11, 16, 1, 2], [14, 4], [7, 6], [19, 10, 3, 12, 13, 20], [17, 23, 15, 5, 18], [22, 21, 24]]
41: [[8, 15, 18], [9, 11, 16, 1], [2, 14, 4, 7, 6, 19, 10], [3, 12, 5], [13, 20], [17, 23, 22, 21, 24]]
42: [[8, 15, 18], [9, 11, 16, 1, 2, 14, 4, 7], [6, 19, 10, 3, 12], [13, 20], [17, 23, 5], [22, 21, 24]]
43: [[8, 15, 18], [9, 11, 16, 1, 2, 14, 4, 7], [6, 19, 10, 3, 12], [13, 20], [17, 23, 5], [22, 21, 24]]
44: [[8, 15, 18], [9, 11, 16, 1, 2, 14, 4], [7, 6, 19, 10, 3, 12], [13, 20], [17, 23, 5], [22, 21, 24]]
45: [[8, 9, 11, 16], [1, 2, 14, 4, 7, 6, 19, 10], [3, 12, 18], [13, 20], [17, 23, 15, 5], [22, 21, 24]]
46: [[8, 9, 11, 16, 1, 2, 15], [14, 4], [7, 6, 5], [19, 10], [3, 12, 13, 20, 18], [17, 23, 22, 21, 24]]
47: [[8, 9, 11, 15], [16, 1], [2, 14, 4, 7, 6, 19, 10], [3, 12, 5, 18], [13, 20], [17, 23, 22, 21, 24]]
48: [[8, 9, 11, 16, 1, 2, 15, 18], [14, 4], [7, 6, 5], [19, 10, 3, 12], [13, 20], [17, 23, 22, 21, 24]]
49: [[8, 9, 11, 15], [16, 1], [2, 14], [4, 7, 6, 19, 10], [3, 12, 5, 18], [13, 20], [17, 23, 22, 21, 24]]
