0: [[6, 16, 3, 9, 2, 13, 1, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
24: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
25: [[6, 16, 3, 1, 9, 2, 4], [13, 11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
26: [[6, 16, 3, 1, 9, 2, 4], [13, 11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
27: [[6, 16, 3, 1, 9, 2, 4], [13, 11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
28: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10, 5], [8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
29: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14], [10, 5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
30: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10, 5], [8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
31: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10, 5], [8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
32: [[6, 16, 3, 1, 9, 2, 4], [13, 11, 7, 14], [10, 5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
33: [[6, 16, 3, 1, 9, 2, 4], [13, 11, 7, 14], [10, 5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
34: [[6, 16, 3, 1, 9, 2, 4], [13, 11, 7, 14], [10, 5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
35: [[6, 16, 3, 1, 9, 2, 4], [13, 11, 7, 14], [10, 5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
36: [[6, 16, 3, 1, 9, 2, 4], [13, 11, 7, 14], [10, 5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
37: [[6, 16, 3, 1, 9, 2, 13, 11, 4], [7, 14, 10, 5], [8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
38: [[6, 16, 3, 1, 9, 2, 13, 11, 4], [7, 14, 10, 5], [8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
39: [[6, 16, 3, 1, 9, 2, 13, 11, 4], [7, 14, 10, 5], [8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
40: [[6, 16, 3, 1, 9, 2, 13, 11, 4], [7, 14, 10, 5], [8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
41: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 12, 15, 17, 19, 18, 20, 21], [22, 23, 24]]
42: [[6, 16, 3, 9, 2, 13, 1, 4], [11, 7, 14, 10], [5, 8, 12, 15, 17, 19, 18], [20, 21, 22, 23, 24]]
43: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10, 5], [8, 12, 15, 17, 19, 18, 20, 21], [22, 23, 24]]
44: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10, 5], [8, 12, 15, 17, 19, 18, 20, 21], [22, 23, 24]]
45: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10, 5], [8, 12, 15, 17, 19, 18, 20, 21], [22, 23, 24]]
46: [[6, 16, 3, 9, 2, 13, 11, 1, 4], [7, 14, 10], [5, 8, 12, 15, 17, 19, 18], [20, 21, 22, 23, 24]]
47: [[6, 16, 3, 9, 2, 13, 1, 4], [11, 7, 14], [10, 5, 8, 12, 15, 17, 19, 18], [20, 21, 22, 23, 24]]
48: [[6, 16, 3, 1, 9, 2, 13, 11, 4], [7, 14, 10, 5], [8, 12, 15, 17, 19, 18, 20, 21], [22, 23, 24]]
49: [[6, 16, 3, 1, 9, 2, 13, 11, 4], [7, 14, 10, 5, 8], [12, 15, 17, 19, 18, 20, 21], [22, 23, 24]]
