0: [[60], [56], [9], [15, 7, 47, 6, 10], [42, 53], [40, 32, 55, 17], [20, 19, 24, 12], [38, 44], [5, 23, 18], [22, 28], [52], [37, 26, 45, 29], [35, 57, 46, 2], [49], [59, 43], [41], [3, 30, 31, 51], [16, 54], [39], [14, 13, 58, 21], [36, 50], [48, 27, 11], [33, 34], [8, 4, 1, 25]]
13: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 6, 13, 15, 23, 17, 18, 16, 21, 25, 22, 28], [26, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
14: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 13, 10, 18, 22, 16, 25, 15, 23, 17, 21, 28], [26, 29, 31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
15: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 6, 10, 18, 23, 15, 16, 17, 21, 13, 25, 28], [31, 26, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
16: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 22, 6, 13, 15, 21, 17, 18, 16, 25, 23, 28], [26, 29, 31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
17: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 13, 23, 15, 18, 22, 25, 16, 17, 28, 10, 21, 6], [26, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
18: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 10, 6, 31, 15, 21, 13, 16, 22, 28, 17, 18, 23], [29, 26, 25, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
19: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 6, 13, 10, 23, 15, 16, 18, 21, 17, 22, 31, 28], [25, 26, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
20: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 6, 22, 13, 15, 10, 31, 16, 18, 28, 21, 23, 25], [17, 26, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
21: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 10, 18, 16, 15, 23, 17, 21, 26, 13, 31, 25, 6], [22, 28, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
22: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 18, 13, 31, 6, 17, 15, 26, 16, 25, 22, 23, 21, 28], [29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
23: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 10, 31, 6, 15, 13, 16, 17, 23, 25, 21, 18, 26, 28], [29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
24: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 22, 10, 13, 17, 23, 15, 16, 21, 18, 26, 25, 28, 31], [29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
25: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 6, 15, 13, 23, 16, 25, 18, 17, 22, 21, 26, 31, 28], [29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
26: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 6, 10, 31, 23, 16, 18, 21, 17, 13, 15, 28, 25, 26], [29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
27: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 18, 23, 15, 13, 6, 16, 22, 21, 26, 17, 28, 25, 31], [29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
28: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 18, 23, 15, 13, 17, 16, 26, 21, 22, 28, 31, 25, 6], [29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
29: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 13, 10, 21, 15, 25, 17, 22, 16, 18, 23, 28, 26, 31], [29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
30: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 6, 13, 15, 16, 18, 23, 17, 21, 26, 22, 25, 31, 28], [29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
31: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 6, 15, 23, 31, 13, 16, 17, 18, 22, 21, 28, 25, 26], [29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
32: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 18, 22, 6, 15, 10, 23, 13, 17, 21, 16, 26, 28, 25, 31], [29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
33: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 15, 6, 10, 13, 23, 18, 16, 26, 22, 21, 25, 17, 31, 28], [29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
34: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 26, 10, 6, 13, 15, 16, 17, 18, 22, 28, 21, 23, 25, 31], [29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
35: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 15, 21, 18, 6, 17, 25, 16, 23, 26, 13, 22, 28, 31], [29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
36: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 6, 13, 15, 18, 31, 16, 21, 17, 25, 23, 28, 26, 22], [29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
37: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 26, 10, 6, 15, 13, 23, 17, 18, 16, 21, 25, 22, 31, 28], [29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
38: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 18, 6, 13, 10, 17, 26, 16, 15, 22, 23, 21, 28], [25, 29, 31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
39: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 10, 6, 15, 13, 18, 23, 16, 21, 28, 22, 17, 26], [25, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
40: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 10, 22, 6, 13, 18, 17, 16, 15, 21, 23, 26, 28], [25, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
41: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 17, 23, 28, 15, 26, 10, 13, 16, 21, 18, 6, 22], [25, 29, 31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
42: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 13, 15, 16, 22, 17, 18, 23, 26, 28, 10, 21, 6], [25, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
43: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 13, 15, 16, 22, 17, 18, 23, 26, 28, 10, 21, 6], [25, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
44: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 22, 13, 18, 17, 16, 15, 23, 26, 28, 10, 21, 6], [25, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
45: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 6, 13, 15, 16, 22, 18, 17, 21, 23, 10, 26, 28], [25, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
46: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 6, 10, 13, 15, 16, 31, 17, 21, 18, 23, 26, 29], [25, 22, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
47: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 26, 10, 15, 13, 23, 16, 18, 29, 25, 21, 28], [17, 22, 31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
48: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 10, 6, 13, 21, 22, 28, 18, 15, 16, 17, 23, 25], [26, 29, 31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
49: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24, 8], [9, 18, 21, 6, 10, 13, 17, 15, 16, 25, 31, 23, 22, 28], [26, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
50: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 21, 10, 16, 13, 15, 18, 23, 28, 29, 26, 22], [17, 31, 25, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
51: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 6, 21, 15, 31, 13, 18, 17, 16, 23, 22, 26], [25, 28, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
52: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 22, 6, 13, 31, 17, 16, 18, 23, 15, 21, 26], [28, 25, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
53: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 31, 13, 10, 15, 26, 17, 16, 18, 21, 22, 23, 6], [25, 29, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
54: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 18, 6, 13, 21, 15, 31, 17, 26, 22, 23, 16], [25, 28, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
55: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 23, 10, 31, 15, 16, 26, 13, 17, 21, 18, 22], [25, 28, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
56: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 6, 31, 13, 18, 21, 16, 22, 15, 17, 26, 23], [25, 28, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
57: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 6, 10, 15, 13, 16, 31, 23, 17, 28, 25, 21, 26], [22, 18, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
58: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 13, 31, 28, 15, 17, 6, 16, 22, 25, 21, 18], [26, 29, 23, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
59: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 17, 22, 6, 15, 10, 31, 23, 13, 21, 25, 16, 28], [29, 18, 26, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
60: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 26, 10, 13, 25, 16, 18, 15, 22, 17, 21, 28], [23, 29, 31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
61: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 26, 22, 6, 13, 31, 25, 18, 10, 23, 17, 21, 15], [16, 29, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
62: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5], [30, 24, 8, 9, 10, 6, 21, 13, 23, 17, 18, 15, 16, 31, 22, 26], [25, 28, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
63: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 31, 6, 13, 15, 10, 16, 17, 21, 23, 25, 22, 18], [28, 26, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
64: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 10, 17, 13, 31, 15, 16, 22, 18, 21, 23, 25], [28, 29, 26, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
65: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 6, 13, 10, 31, 17, 15, 16, 29, 21, 18, 26, 23, 28], [25, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
66: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 10, 6, 28, 23, 13, 16, 15, 21, 17, 18, 26, 29, 31], [25, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
67: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 22, 23, 15, 13, 17, 10, 26, 28, 21, 18, 16, 29, 31], [25, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
68: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 26, 6, 15, 10, 13, 16, 18, 17, 21, 23, 25], [29, 31, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
69: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 10, 15, 13, 25, 17, 16, 18, 23, 6, 21, 26], [29, 28, 31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
70: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 21, 6, 10, 13, 25, 18, 15, 16, 26, 23, 17], [28, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
71: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 26, 15, 21, 10, 13, 25, 16, 17, 22, 18, 23], [28, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
72: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 22, 13, 15, 17, 26, 16, 18, 21, 23, 25, 6], [28, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
73: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 26, 6, 15, 10, 13, 16, 18, 17, 21, 23, 25], [29, 31, 28, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
