0: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
20: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
21: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
22: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
23: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
24: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
25: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
26: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
27: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
28: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
29: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
30: [[1, 6, 2, 3, 4, 5, 13, 9], [14, 10, 15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
31: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10, 15], [8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
32: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10, 15], [8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
33: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10, 15], [8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
34: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10, 15], [8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
35: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10, 15], [8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
36: [[1, 6, 2, 3, 4, 5, 13, 9, 14], [10, 15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
37: [[1, 6, 2, 3, 4, 5, 13, 9, 14], [10, 15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
38: [[1, 6, 2, 3, 4, 5, 13, 9, 14], [10, 15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
39: [[1, 6, 2, 3, 4, 5, 13, 9, 14], [10, 15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
40: [[1, 6, 2, 3, 4, 5, 13, 9, 14], [10, 15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
41: [[1, 6, 2, 3, 4, 5, 13, 9, 14], [10, 15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
42: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20, 21], [23, 24]]
43: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20, 21], [23, 24]]
44: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10, 15, 8], [7, 11, 12, 19, 18, 16, 17, 22, 20, 21], [23, 24]]
45: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10, 15], [8, 7, 11, 12, 19, 18, 16, 17, 22, 20, 21], [23, 24]]
46: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10, 15], [8, 7, 11, 12, 19, 18, 16, 17, 22, 20, 21], [23, 24]]
47: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10, 15], [8, 7, 11, 12, 19, 18, 16, 17, 22, 20, 21], [23, 24]]
48: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22], [20, 21, 23, 24]]
49: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22], [20, 21, 23, 24]]
