0: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
22: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
23: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
24: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
25: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
26: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
27: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
28: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
29: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
30: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
31: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
32: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
33: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
34: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
35: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
36: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
37: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
38: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
39: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
40: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
41: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
42: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
43: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
44: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
45: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
46: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
47: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
48: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
49: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
50: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
51: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
52: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
53: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
54: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
55: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
56: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
57: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
58: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
59: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
