0: [[18, 24], [22, 2, 7, 1], [37, 12, 5, 6], [4, 9, 11], [29, 3, 10], [14, 8], [15, 13, 19], [17], [16, 20, 23], [21, 25, 27, 26, 28], [31, 30, 32, 33, 34], [35, 36]]
46: [[18, 24], [22, 2], [7, 1, 37], [12, 5, 6], [4, 9, 11], [29, 3], [10, 14, 8], [15, 13, 19], [17, 16, 20], [23, 21], [25, 27, 26], [28, 31, 30], [32, 33, 34], [35, 36]]
47: [[18, 24], [22, 2, 7], [1, 37, 12], [5, 6, 4], [9, 11, 29], [3, 10, 14], [8, 15], [13, 19, 17], [16, 20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
48: [[18, 24], [22, 2, 7], [1, 37], [12, 5, 6], [4, 9, 11], [29, 3, 10, 14], [8, 15, 13], [19, 17, 16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
49: [[18, 24, 22], [2, 7, 1], [37, 12, 5, 6], [4, 9, 11], [29, 3, 10], [14, 8, 15, 13, 19, 17, 16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
50: [[18, 24], [22, 2], [7, 1, 37], [12], [5, 6, 4, 9], [11, 29, 3, 10], [14, 8, 15, 13, 19], [17, 16, 20, 23], [21, 25, 27], [26, 28, 31], [30], [32, 33, 34], [35, 36]]
51: [[18, 24], [22, 2], [7, 1, 37], [12, 5, 6], [4, 9, 11], [29, 3, 10], [14, 8, 15, 13, 19, 17, 16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
52: [[18, 24], [22, 2, 7], [1, 37, 12], [5, 6], [4, 9], [11, 29, 3], [10, 14, 8], [15, 13], [19, 17, 16, 20], [23, 21, 25], [27, 26, 28], [31, 30, 32], [33, 34, 35, 36]]
53: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6, 4, 9], [11], [29, 3, 10], [14, 8, 15], [13, 19, 17], [16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
54: [[18, 24], [22, 2], [7, 1, 37], [12, 5], [6, 4], [9, 11, 29], [3, 10], [14, 8, 15], [13, 19, 17], [16, 20, 23], [21, 25, 27], [26, 28, 31, 30], [32, 33], [34, 35, 36]]
55: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6], [4, 9, 11], [29, 3, 10, 14, 8, 15, 13, 19, 17], [16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
56: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6], [4, 9, 11], [29, 3, 10], [14, 8], [15, 13, 19], [17, 16, 20], [23, 21], [25, 27, 26], [28, 31, 30], [32, 33], [34, 35, 36]]
57: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6], [4, 9, 11], [29, 3], [10, 14, 8, 15, 13, 19, 17, 16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
58: [[18, 24], [22, 2, 7], [1, 37, 12], [5, 6], [4, 9, 11], [29, 3, 10], [14, 8], [15, 13, 19], [17, 16, 20], [23, 21, 25], [27, 26, 28, 31], [30, 32], [33, 34, 35, 36]]
59: [[18, 24, 22], [2, 7, 1], [37, 12, 5, 6], [4, 9], [11, 29, 3, 10, 14, 8, 15, 13, 19, 17, 16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
60: [[18, 24], [22, 2, 7, 1, 37, 12, 5, 6, 4, 9, 11, 29, 3, 10, 14], [8, 15, 13, 19, 17, 16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
61: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6, 4, 9], [11, 29, 3], [10, 14], [8, 15, 13], [19, 17, 16], [20, 23, 21, 25], [27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
62: [[18, 24], [22, 2, 7], [1, 37, 12], [5, 6], [4, 9, 11], [29, 3, 10, 14], [8, 15], [13], [19, 17, 16], [20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
63: [[18, 24, 22], [2, 7, 1], [37, 12, 5, 6], [4, 9, 11, 29], [3, 10, 14, 8], [15, 13, 19, 17, 16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
64: [[18, 24, 22], [2, 7], [1, 37, 12], [5, 6, 4], [9, 11, 29], [3, 10], [14, 8, 15], [13, 19, 17], [16, 20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
65: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6, 4, 9], [11, 29], [3, 10], [14, 8, 15], [13, 19, 17], [16, 20, 23], [21, 25], [27, 26], [28, 31], [30, 32, 33], [34, 35, 36]]
66: [[18, 24], [22, 2, 7, 1, 37, 12, 5, 6, 4, 9, 11, 29, 3, 10, 14, 8, 15, 13], [19, 17, 16], [20, 23, 21, 25, 27], [26, 28, 31, 30, 32], [33, 34], [35, 36]]
67: [[18, 24], [22, 2], [7, 1, 37], [12, 5, 6], [4, 9, 11, 29, 3, 10, 14, 8, 15, 13, 19, 17, 16, 20, 23, 21, 25, 27, 26], [28, 31, 30, 32, 33, 34, 35, 36]]
68: [[18, 24], [22, 2], [7, 1, 37, 12, 5, 6, 4, 9, 11, 29, 3, 10, 14, 8, 15, 13, 19, 17, 16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
69: [[18, 24, 22], [2, 7], [1, 37, 12], [5, 6, 4], [9, 11, 29, 3], [10, 14, 8, 15, 13, 19, 17, 16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
70: [[18, 24], [22, 2, 7], [1, 37, 12], [5, 6, 4], [9, 11, 29], [3, 10, 14], [8, 15, 13], [19, 17, 16], [20, 23], [21, 25, 27], [26, 28, 31], [30], [32, 33], [34, 35, 36]]
71: [[18, 24], [22, 2, 7], [1, 37, 12], [5, 6, 4], [9, 11, 29, 3, 10, 14, 8, 15, 13, 19, 17, 16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
72: [[18, 24], [22, 2, 7], [1, 37], [12, 5, 6, 4], [9, 11, 29], [3, 10, 14], [8, 15, 13], [19, 17, 16], [20, 23, 21], [25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
73: [[18, 24], [22, 2, 7], [1, 37], [12, 5, 6], [4, 9, 11, 29], [3, 10], [14, 8, 15, 13, 19, 17, 16, 20, 23, 21, 25, 27, 26, 28, 31], [30, 32, 33, 34, 35, 36]]
