0: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
23: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
24: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
25: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
26: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
27: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
28: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
29: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
30: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
31: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
32: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
33: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
34: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
35: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
36: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
37: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
38: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
39: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
40: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
41: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
42: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
43: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
44: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
45: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
46: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
47: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
48: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
49: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
50: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
51: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
52: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
53: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
54: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
55: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
56: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
57: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
58: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
59: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
