0: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 2, 15, 11, 6, 9, 7, 13, 14, 17, 19, 16, 22, 12], [23, 28, 24], [27, 21, 26], [29]]
36: [[25, 20, 5], [8, 3, 18], [4, 1, 10, 2, 15, 11], [6, 7], [9, 17, 12, 14, 13, 16, 21, 19, 22, 29, 23, 27, 26, 28, 24]]
37: [[25, 20, 5], [8, 3, 18, 4, 1], [2, 10, 15], [11, 7, 13, 14], [9, 12, 16], [17, 21, 19], [6, 23], [22, 28, 24], [27, 26, 29]]
38: [[25, 20, 5], [8, 3, 18], [4, 1, 10, 6], [15, 9, 2, 7, 13, 12, 11, 14], [16, 17, 23, 19, 27, 22, 21, 28, 24, 26, 29]]
39: [[25, 20, 5], [8, 3, 18, 4], [1, 2, 14, 15], [9, 6, 10], [13, 11, 12, 7, 17, 16, 21, 23], [19, 24, 22, 26, 27, 28, 29]]
40: [[25, 20, 5], [8, 3, 18], [4, 1, 10, 2], [15, 7, 6, 9], [12, 17, 13], [11, 14, 19, 21], [22, 23, 16, 26], [28, 27, 24, 29]]
41: [[25, 20, 5], [8, 3, 18], [4, 1, 10, 7, 2], [11, 14, 6, 13, 9], [15, 17, 22, 12, 21, 23, 26, 19, 16, 29, 27, 24, 28]]
42: [[25, 20, 5], [8, 3, 18], [4, 1], [2, 10, 15, 14], [6, 9, 13], [11, 7, 12, 17], [16, 22, 19], [29, 21, 23, 24], [28, 27, 26]]
43: [[25, 20, 5], [8, 3, 18], [4, 1, 2, 10], [15, 11, 6, 7], [12, 9, 13, 28], [14, 22, 16, 19], [23, 17, 21, 26, 24, 27, 29]]
44: [[25, 20, 5], [8, 3, 18], [4, 1, 10], [2, 15], [11, 7, 6], [14, 9, 13, 12], [17, 16, 24, 19], [23, 21, 22], [29, 26, 27, 28]]
45: [[25, 20, 5], [8, 3, 18], [4, 1, 2], [10, 15, 14], [7, 6, 11, 9], [13, 12, 16], [21, 24, 22, 23], [17, 19, 28], [27, 26, 29]]
46: [[25, 20, 5, 8, 3, 18, 4, 1, 10, 2, 15, 11, 6, 9, 14], [12, 13, 7], [17, 16, 22], [19], [23, 21, 28, 27, 24, 26, 29]]
47: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 2], [15, 6, 7, 13], [11, 9, 14, 12], [17, 16, 23], [21, 22, 24, 19, 27], [28, 26, 29]]
48: [[25, 20, 5, 8], [3, 18, 4, 1], [10, 2, 15, 14, 6, 9], [13, 11, 12], [7, 17, 16, 22], [19, 23, 28], [21, 27], [24, 26, 29]]
49: [[25, 20, 5, 8], [3], [18, 4, 1, 10, 2, 14, 11, 7, 6, 12, 9, 13, 15, 16, 21, 17, 23, 19, 26, 22, 24, 27, 28, 29]]
50: [[25, 20, 5], [8, 3, 18], [4, 1, 2, 15], [7, 11, 6, 9], [13, 10, 23, 12, 26], [16, 19, 14, 21, 22], [17, 24, 27, 28, 29]]
51: [[25, 20], [5, 8, 3], [18, 4, 1, 2, 10], [15, 14, 7], [6, 11, 9, 13, 12, 16, 21, 24, 22, 23, 17, 19, 28, 27, 26, 29]]
52: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 6], [11, 2, 7, 12], [14, 9, 13, 15, 28, 17, 29, 19], [23, 16, 21], [22, 27, 26, 24]]
53: [[25, 20, 5, 8], [3, 18, 4, 1, 10, 7, 9, 14, 2, 13, 6, 11, 24, 28], [15, 12, 16, 22, 23, 17, 21, 27, 19, 26, 29]]
54: [[25, 20, 5, 8, 3], [18, 4, 1, 2, 10, 15, 14], [6, 7, 12], [9, 29, 11, 13], [17, 28, 16, 23], [19, 26, 21], [22, 24, 27]]
55: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 7], [2, 11, 6, 13], [14, 9, 12], [15, 16], [21, 26, 22], [23, 17, 19, 27, 28, 24, 29]]
56: [[25, 20, 5], [8, 3], [18, 4, 1], [2, 10, 15], [11, 6, 7], [12, 9, 13], [22, 17, 19, 21], [14, 16, 23, 24], [26, 27, 28, 29]]
57: [[25, 20, 5, 8], [3, 18, 4, 1], [2, 10, 15, 11, 6], [7, 9, 13], [12, 14, 17], [16, 27, 22, 19], [28, 21, 23, 24, 26, 29]]
58: [[25, 20, 5], [8, 3, 18], [4, 1, 10, 2], [15, 7, 6, 14], [11, 12, 9, 13, 16], [19, 21, 23], [22, 17, 24, 28, 27, 26, 29]]
59: [[25, 20, 5, 8], [3, 18, 4, 1, 10, 2, 15, 7, 6, 9, 11, 13, 14, 17, 12], [24, 19, 22], [16, 21, 28], [27], [26, 23, 29]]
