0: [[35, 43, 7, 2], [1, 3, 4], [13, 5, 6, 21], [9, 11, 16, 15, 31, 8, 14, 10, 18], [17, 12, 19, 23, 26, 27, 20, 24], [22, 29, 28, 25, 39, 32, 30, 37], [33, 34, 36, 40], [47, 45], [46, 41, 38, 44], [42, 51], [55, 48, 53, 54], [49, 57], [50, 52, 58, 56], [59, 60]]
27: [[35, 43, 2, 7, 1, 3], [5, 4, 12, 6, 14, 20, 9, 24, 10, 8, 31, 13, 11, 17, 28, 27, 25, 19, 18, 15, 16, 23, 22, 26, 21, 29, 36, 47, 30, 34, 32, 39, 51, 41, 33, 38, 37, 40, 45, 42, 44, 46, 53, 49, 48, 55, 52, 50, 54, 56, 57, 59, 58], [60]]
28: [[35, 43, 2, 7], [1], [3, 5, 25, 4, 8, 6, 11, 30, 10, 13, 24, 19, 14, 12, 9, 15, 16, 20, 17, 21, 18, 23, 22, 27, 28, 29, 26, 44, 31, 33, 36, 34, 37, 42, 41, 32, 40], [38, 45, 39, 47, 46, 51, 53, 49, 48, 52, 55, 54, 50], [56, 57, 60, 59, 58]]
29: [[35, 43, 2, 7], [1, 5, 4, 27, 3], [6, 19, 15, 8, 12, 9, 11, 10], [14, 30, 17, 13, 20, 23, 18, 16, 21, 25, 22, 24], [26, 29, 31, 28, 45, 32, 34, 38, 33], [39, 36, 37, 44, 40], [41, 46, 50, 47, 42, 48, 51, 52, 49, 60, 57, 55, 53, 54, 58, 56, 59]]
30: [[35, 43, 2, 7, 1, 4, 5, 24], [11, 6, 19, 31, 3], [8, 12, 9, 10, 14, 21, 28, 16], [18, 13, 15, 30, 22, 25, 17, 20, 26, 27, 23, 46], [29, 33, 32, 41, 36, 58, 34, 37, 39], [44, 38, 47, 42, 40], [50, 48, 55, 52], [53, 45, 57, 49, 54], [51, 60, 56, 59]]
31: [[35, 43, 2], [7, 1], [4, 10, 12, 3, 22, 23, 9, 14, 5, 11, 8, 18, 30, 6, 17, 13, 16, 20, 15, 19, 26, 24, 21, 27, 25, 29, 28, 31, 34, 39, 36, 33, 32, 40, 41, 42, 44, 37, 46], [50, 38, 47, 51, 45, 53, 48, 52, 49, 54, 55, 56, 59, 58, 57, 60]]
32: [[35, 43, 2, 7, 1], [4, 3, 27, 9, 6, 15, 10, 12, 18, 8, 29, 11], [14, 19, 13, 21, 16], [24, 17, 22, 20, 26, 23, 25], [28, 31, 44, 47, 30, 34, 33, 32, 36, 40, 39, 38, 5], [37, 41, 46, 42, 45, 51, 50, 48, 56, 49, 60, 57, 59, 54], [53, 52, 55, 58]]
33: [[35, 43, 2, 7], [1], [3, 4, 25, 5, 11, 27, 13, 28, 8, 9, 24, 19, 6, 12, 14, 30, 10, 20, 15, 23, 16, 18, 17, 21, 26, 22, 31], [44, 29, 47, 33, 41, 38, 32, 40, 46], [34, 45, 39, 36, 37, 42, 51, 53, 60, 48, 49, 55, 59, 50], [52, 56, 54, 57, 58]]
34: [[35, 43, 2, 7], [1, 3, 12, 25, 13, 14, 11], [5, 6, 4, 8, 10, 9, 15, 18], [20, 16, 24, 22, 19, 17, 26, 21, 23, 30, 27, 28, 29, 44, 31, 39], [34, 40, 33, 32, 36, 38, 47, 42, 37, 41, 46], [45, 51, 52, 53, 48, 49, 55, 57, 50, 58, 56, 60, 54, 59]]
35: [[35, 43, 2, 7], [1], [3, 5, 11, 19, 4, 6, 10, 8], [28, 12, 9, 26, 30, 14, 13, 21], [20, 15, 23, 18, 16], [24, 27, 25, 17, 22, 31, 45, 29], [46, 32, 37, 38, 33, 34, 41], [36, 39, 40, 44, 42, 47, 48, 50, 54, 52], [49, 58, 57, 51, 53], [59, 60, 56, 55]]
36: [[35, 43, 2, 7], [1, 4, 5, 3, 11, 8, 6, 31, 9], [13, 12, 10, 15, 14, 20, 26, 16, 18, 17, 21, 23, 22, 28, 25, 19, 24, 30, 27, 44, 45, 29, 36, 50, 34, 42, 32, 46, 40, 33, 38, 41, 47, 37, 39, 48, 51, 52, 49, 53, 54, 55, 58, 57, 59, 56, 60]]
37: [[35, 43, 2, 7, 1, 4], [3, 11, 5, 9, 12, 13, 8, 21, 6], [15, 26, 30, 23, 16, 20, 18, 10], [17, 19, 25, 27, 28, 29, 24, 31, 22, 45, 14, 47], [34, 33, 32, 39, 37, 38, 42, 41, 36], [40, 44, 46, 50, 54], [49, 48, 56, 53], [55, 57, 51, 58, 52, 60, 59]]
38: [[35, 43, 2, 7, 1, 3, 10, 15, 4, 5, 6, 27, 14, 12, 9, 11, 8, 13, 18, 30, 16, 19, 17, 24, 20, 23, 22, 25, 26, 21, 31, 29, 28, 41, 33, 34, 37, 39, 38, 36, 42, 32, 40, 44, 45], [46, 53, 47, 52, 51, 54, 48], [58, 57, 49, 55, 59, 50, 56, 60]]
39: [[35, 43, 2, 7, 1, 4], [3, 11, 6, 9, 12, 13, 8, 21, 5], [10, 26, 30, 22, 29, 15, 19, 16], [17, 18, 25, 24, 28, 20, 23, 27, 31, 47, 14, 32], [34, 33, 39, 38, 37], [44, 42], [41], [36, 46, 40, 45, 50, 54, 49, 48, 57, 53, 55, 51, 58, 52, 60, 56, 59]]
40: [[35, 43, 2, 7], [1, 3, 5, 13, 4, 12], [19, 14, 6, 21], [10, 9, 8, 11, 30, 15, 17, 18, 22, 24, 31, 16, 27, 20, 25, 23, 28, 29, 39], [38, 26, 41, 32, 40, 56, 42, 33, 45, 44, 34, 36, 46, 37, 51, 47, 50, 49, 48, 52, 53, 54, 58, 60, 55, 57, 59]]
41: [[35, 43, 2, 7, 1, 11], [4, 15, 20, 5], [3, 10, 8, 13, 12, 9, 16, 19, 14, 21, 17, 18, 6, 24, 23, 22, 27, 25, 26], [31, 28, 29, 39, 30, 32, 33, 34, 40, 38, 42, 47, 41, 36, 37, 44, 46, 45, 51, 48, 50, 49, 55, 52, 56, 57, 53, 59, 54, 58, 60]]
42: [[35, 43, 2, 7], [1, 5, 12], [24, 30, 6, 3, 10, 11, 8, 4, 9, 13, 14, 16, 21, 15, 19, 22, 17, 18, 26, 25, 23, 20, 28, 27], [29, 45, 59, 31, 34, 32, 37], [33, 36, 38, 39, 44, 41], [40, 42, 47, 51, 49, 46, 48, 53, 55, 54, 50, 60, 58], [52, 56, 57]]
43: [[35, 43, 2, 7], [1, 3, 4, 11, 5, 20, 23, 9], [14, 8, 6, 22, 15, 30, 18, 10, 13, 12], [16, 17, 21, 24, 19, 27, 26, 25, 29, 47, 28, 44, 33, 38, 32], [40, 31], [41, 36, 34, 39, 42, 37, 45, 50], [51, 53, 46, 48, 49, 59, 52, 55, 56, 57, 58, 54, 60]]
44: [[35, 43, 2, 7, 1], [4, 5, 11, 6], [3, 13, 15, 8, 18, 9, 24, 23, 10, 14, 12, 17, 21, 19, 22, 16, 25], [27, 20, 28, 26, 30, 29, 46, 40, 31, 34, 41, 32, 33, 37, 36, 38, 39, 42, 49, 44, 47, 50, 48, 51, 58, 53, 54, 45, 55, 52, 57, 59, 56, 60]]
45: [[35, 43, 2, 7], [1, 4, 3, 25, 6], [16, 18], [15], [11, 14, 10, 13, 5, 8, 24, 12, 23, 22, 9, 17, 19, 20, 21, 27, 28, 31, 26, 29], [30, 60, 38, 32, 37, 33, 34, 44, 40, 36, 41, 39, 47, 42], [45, 50, 55, 53, 46, 49, 57, 51, 54, 52, 48, 58, 59, 56]]
46: [[35, 43, 3, 2], [1, 5], [4, 9, 7, 6, 27, 10, 29, 16, 13, 31, 18, 8, 12, 14, 30, 11, 19, 23, 22, 15, 17, 20, 21, 25, 28, 26, 47, 24, 38, 37, 41, 36, 34, 32, 33, 39, 46, 40, 45, 44, 42, 51, 53, 48, 49, 54, 55, 57, 50, 56, 52, 60, 59, 58]]
47: [[35, 43, 2, 7], [1, 5, 3], [29, 9, 6, 12, 27, 13, 8, 4, 15, 11, 31, 14, 10, 20, 16, 17, 30, 18, 19, 26], [22, 23, 21, 25, 28, 47, 24], [39, 34, 41, 32, 33, 45, 37, 44, 36], [38, 46, 40, 42, 51, 48, 52, 50, 55, 59, 49, 54, 53, 58, 56, 60, 57]]
48: [[35, 43, 2, 7, 1, 3, 4, 27, 8], [12, 5, 14, 10, 6, 9, 11, 13, 29, 26, 15, 18, 17, 22, 16, 19, 25, 24, 20, 23, 21, 31, 30], [28, 44, 32, 40, 45, 33, 38, 34, 41], [39, 42, 58, 37, 47, 36, 46, 49, 51, 53, 52, 50, 55, 56, 48, 59, 54, 57, 60]]
49: [[35, 43, 2, 7, 1, 3], [4, 6, 9, 5, 10, 25, 12], [14], [13, 15, 17, 8, 18, 11, 16, 20, 23, 21, 19, 27, 22, 26, 28, 24, 30, 29, 45, 53, 31, 33, 41, 42, 58, 40, 36, 34, 47, 32, 37, 46, 38, 51, 44, 55, 39, 48, 50, 52, 54, 49, 57, 56, 59, 60]]
50: [[35, 43, 2, 7, 1, 3, 4, 25, 5, 22], [10, 6, 8, 12, 15, 24, 9], [14, 20, 26, 19], [28, 11, 23, 29, 13, 21, 18], [16, 17, 27, 30, 46, 31], [39, 32, 33, 34, 36, 41, 37, 38, 42, 49, 45, 40, 44], [47, 48, 50, 54, 52, 51, 53, 57, 56, 59, 60, 55, 58]]
51: [[35, 43, 2, 7], [1, 5, 3, 9, 8, 22, 4, 13, 12], [6, 10, 11, 30, 15, 31, 18, 19, 16, 14, 24, 20, 27, 21, 23, 26, 17, 29, 25, 28, 32, 39, 36, 41, 40, 34, 45, 33, 44, 37, 38, 46, 42, 47, 51, 48, 49, 52, 50, 53, 55, 54, 57, 59, 58, 56, 60]]
52: [[35, 43, 2, 7], [1, 4, 5, 10, 8, 6, 3, 23, 11, 26, 16, 21, 25, 12, 9, 20, 14, 27], [24, 17, 19, 29, 18, 13, 22, 15, 30, 28, 47, 31, 38, 36, 34, 37, 49, 41, 33, 39, 42, 32, 40, 46, 44, 51, 45, 48, 52, 53, 57, 54, 55, 50, 56, 59, 60, 58]]
53: [[35, 43, 2, 7, 1, 3, 4, 11, 9], [22, 5, 12, 8, 6, 10, 13, 21, 29, 20, 30, 19, 16, 14, 24, 23, 26], [25], [15, 31, 17, 18, 27, 28, 33, 34, 41, 40, 32], [38, 37, 44, 39, 47, 57, 36, 46, 51, 49, 42, 48, 45, 52, 58, 55, 53, 50], [59, 54, 56, 60]]
54: [[35, 43, 2, 7], [1, 5, 12], [25, 30, 6, 11, 24, 3, 8, 4, 15, 9, 10, 14, 13, 16, 19, 22, 18, 17, 26, 21, 23, 28, 20, 27], [29, 45, 31, 39, 34, 40, 33], [32, 44, 38, 47, 36, 37], [41, 42, 46, 51, 53, 49, 50, 52, 59, 54, 55, 58, 56], [60, 48, 57]]
55: [[35, 43, 2, 7, 1, 3, 10, 15, 4], [5, 31, 8, 6, 9], [13, 11, 21, 14], [19, 29, 16, 18, 17, 20, 22, 23, 27, 12, 26, 28, 24, 25, 40, 30, 34, 37, 41, 39, 56, 32], [33, 38, 45, 36, 44, 42, 46, 47, 55, 54, 51, 53, 48, 57, 59, 52, 49, 50, 58, 60]]
56: [[35, 43, 2], [7, 1], [3, 4], [13, 5, 20, 23, 10, 9, 14], [12, 11, 19, 30, 6, 17, 16, 15, 29, 8, 18, 26, 25, 21, 24, 28, 27, 31, 22, 46, 38, 36, 42, 32, 40, 44, 33, 34, 37, 39, 41, 45], [47, 51, 60, 48, 49, 52, 55, 59, 58, 50, 56, 53, 54, 57]]
57: [[35, 43, 2, 7, 1, 3], [5, 15, 4, 8, 11, 31, 10], [18, 12, 6, 9, 14, 22, 19], [16, 13, 23, 25], [21, 17, 28, 30], [27, 24, 29, 20], [38, 26, 32, 36, 34], [37], [59, 33, 39, 40, 42, 41, 44, 45], [47, 51], [46, 49, 48, 57], [52, 54, 50, 55, 53, 56, 58, 60]]
58: [[35, 43, 2, 7, 1, 4, 3, 13, 5, 21, 6, 24, 14, 9, 26, 27, 8, 12, 20, 15, 11, 16, 17, 18, 10, 23, 25, 19, 29, 22, 28, 31, 47, 32, 30, 33, 34, 38], [42, 37, 36, 44, 46], [39, 55, 41, 40], [49, 45, 50, 48, 54, 60, 51, 53, 52, 57, 59, 56, 58]]
59: [[35, 43, 2, 7], [1, 3, 4, 9, 5, 22, 12, 11, 14, 6, 26, 8, 23, 10, 20, 17, 19], [29, 13, 18, 15, 21, 24, 31, 25, 41, 56, 27, 44, 28], [46, 36, 42, 16, 30, 34, 32, 38, 47, 33, 37, 39, 40, 45, 51, 48, 49, 54, 58, 50, 52, 53, 57, 59, 55, 60]]
60: [[35, 43, 2, 7], [1, 3, 12], [13, 30, 5, 4, 27, 14, 8], [10, 6, 9, 15, 11, 22, 19, 17], [16, 20, 18, 31, 21, 23], [26, 28, 25, 29, 47], [24, 46, 34, 41, 39, 54, 45, 38], [44, 32, 36, 33, 37, 40, 51, 50, 42], [48, 53, 56, 49, 52, 55, 57, 58, 59, 60]]
61: [[35, 43, 2, 7, 1, 3], [4, 9, 12, 8, 5], [10, 11, 6], [13, 18, 22, 15, 28, 14, 19, 31, 30, 17, 20, 16, 23, 27, 21, 25, 24, 26, 36, 29, 33, 32, 42, 34, 58, 40, 45, 41, 37, 38, 44, 39, 46, 47, 54, 48, 49, 52, 55, 51, 50, 57, 53, 56, 59, 60]]
62: [[35, 43, 2, 7], [1, 5, 3, 25, 4], [20, 8, 14, 12, 9, 13, 11, 15, 6], [10, 18], [16], [21, 22, 17, 23, 24, 27, 28, 26, 29, 30, 19], [40, 39, 34, 32, 31, 33, 53, 41, 36, 37, 46, 47, 38], [42], [51, 48, 49, 52, 44, 60, 57, 50, 54, 45, 58, 55, 59, 56]]
63: [[35, 43, 2, 7], [1, 3, 4, 9, 5, 21, 12], [27, 14, 6, 30], [11, 18, 8, 20, 13, 15, 17, 19, 10, 23, 16, 25, 24, 31, 28, 22, 29, 45, 46, 26, 32, 33, 39, 34, 40, 36, 37, 38, 41, 57, 42, 44, 48, 55, 47, 49, 50, 54, 51, 52, 53, 56, 58, 59, 60]]
64: [[35, 43, 2, 7], [1, 3, 4, 13, 10, 21, 5], [27, 14, 8, 26, 29, 9, 19, 22], [6, 11], [17, 12, 16, 23, 15, 25, 28], [18, 20, 24, 31, 47, 42, 30, 36], [33, 39, 34, 37, 32, 44, 41, 38, 40, 45, 53, 48, 46, 51], [49, 55, 56, 50, 52, 54, 57, 58, 59, 60]]
65: [[35, 43, 2, 7, 1], [3, 4, 5, 17, 6], [11, 9, 18, 10, 24, 8], [21, 14, 12, 13, 22, 25, 29], [15, 20, 16, 19, 23, 27, 28, 31, 26, 30, 47, 46, 36, 34, 39, 38, 33, 37, 41, 40, 44, 42, 45], [49, 51, 53, 32, 48, 55, 50, 56, 54, 52, 59, 57, 58, 60]]
66: [[35, 43, 2, 7], [1, 3, 4, 9, 30, 12, 8, 5, 26, 6, 10, 11, 13, 22, 14], [16, 29, 15, 18, 31], [17, 23, 25, 27, 19, 52, 45, 21], [36, 39, 38, 34, 24, 40, 20, 28, 32, 37], [42, 51, 33], [46, 47, 44, 49, 48, 41], [53, 57, 50, 54, 55, 58, 56, 59, 60]]
67: [[35, 43, 2, 7], [1, 5, 12, 31, 4], [6, 19, 15, 8, 9, 10, 11, 14], [3, 30, 13, 21, 20, 29, 22, 16, 18, 23, 25, 17], [24, 26, 28, 27, 46, 33], [34, 39, 32, 40, 36, 37, 44, 45, 41, 38, 42, 47, 50, 48, 51, 55, 49, 52, 56, 54, 53, 57, 59, 60, 58]]
68: [[35, 43, 2, 7], [1, 5, 12, 4, 8, 14, 27, 3, 11, 9, 13, 10, 6], [15, 30, 26, 18, 16, 20, 21, 19, 22, 17, 28, 23, 24, 29, 25, 45, 34, 31, 36, 53, 33], [42, 37, 44, 32, 41, 38, 47, 39, 40, 48, 46, 51, 49, 50, 52, 59, 55, 54, 57, 58, 56, 60]]
69: [[35, 43, 2, 7, 1, 3], [5, 11, 4, 8, 22, 10, 30], [6, 14, 19, 15, 9, 12, 17, 13, 27, 16, 29, 18, 20, 21, 23, 26, 28, 24, 25, 45, 42, 31, 34, 40, 39, 57, 37, 33, 32, 38, 36, 47, 41, 44, 49, 52, 46, 48], [50, 51, 54, 53, 55, 59, 56, 60, 58]]
70: [[35, 43, 2, 7, 1], [3, 4, 25, 6, 5, 9, 21, 11], [19, 12, 14, 29, 8, 13, 28, 18, 15], [10, 17, 30, 16, 23, 26, 27, 20, 22, 24, 41], [33, 31, 34, 42, 32, 37, 39], [45, 36, 40, 38, 44, 46, 51, 50, 49, 53, 47, 48, 52, 54, 59, 56, 55, 57, 58, 60]]
71: [[35, 43, 2, 7, 1, 3, 12, 24, 8, 6, 5, 11, 27, 10, 9, 13, 20, 4, 18, 14, 15, 16, 26, 23, 17], [22, 19, 25, 28, 30, 21, 29, 31, 32, 47, 33, 34, 37, 59, 38, 40, 39, 36, 41, 42, 45, 46], [51, 49, 48, 56, 44, 57, 55, 50, 53, 54, 52, 60, 58]]
72: [[35, 43, 2, 7], [1, 5, 13, 11, 8, 20], [3, 10, 28, 4, 9, 29, 27, 6, 14, 18, 12], [15, 16, 17, 22, 19], [21, 23], [25, 24, 30, 26, 46, 32, 31], [33, 34, 36, 38, 41, 37, 40, 45, 39], [54, 42, 44, 50, 53, 47, 48, 52, 55, 56, 51, 49, 57], [60, 59, 58]]
73: [[35, 43, 2, 7], [1, 3, 13], [15, 4, 8, 11, 30, 9, 6], [12, 5, 17, 14, 10, 18, 23, 21], [20, 22, 16, 24, 19, 28], [31, 29, 25, 27, 47, 26, 41, 32, 34, 39, 55, 44], [38, 33, 37, 36], [40, 42, 45, 51, 50, 48, 46, 52, 60, 53], [49], [54, 56, 58, 57, 59]]
