0: [[25, 20], [19, 7, 9, 2], [4, 1, 15, 3, 12], [5, 6], [8, 11, 16, 13, 14], [17, 23, 18, 22], [24, 28, 29, 10], [21, 26, 27]]
46: [[25, 20, 19, 7, 9, 2], [4, 1, 15, 3, 12, 5, 6], [8, 11, 17, 14, 10, 13, 23, 18, 22, 21, 29, 26, 16, 28, 24, 27]]
47: [[25, 20, 19], [7, 9, 2], [4, 1, 15, 3, 12, 5, 6], [8, 10, 11, 13, 14, 17, 23, 18, 16, 22, 27, 29, 26, 21, 28, 24]]
48: [[25, 20], [19, 7, 9], [2, 4, 1, 15], [3, 14], [5, 6, 8, 11, 16], [28, 18, 13, 26, 10, 12], [17, 21, 23, 24, 22], [27, 29]]
49: [[25, 20], [19, 7, 9, 2], [4, 1], [15, 3], [12, 5], [6, 8, 11], [16, 14, 13, 17], [23, 10], [28, 24, 29], [18, 21], [27, 22, 26]]
50: [[25, 20, 19], [7, 9, 2, 4], [1, 15], [3, 12], [6, 8], [5, 11, 16, 13], [14, 17], [23, 22, 18, 24, 28, 26, 10], [21, 27, 29]]
51: [[25, 20], [19, 7], [9, 2], [4, 1, 15], [3, 14, 6, 5], [10, 8, 27], [11, 12], [13, 23, 21, 17], [16, 28, 18, 24], [22, 26, 29]]
52: [[25, 20], [19, 7, 9], [2, 4, 1], [15, 3, 14, 5], [6, 8], [11, 18, 10], [12, 17, 21, 13], [23, 24, 28, 16], [22, 26, 27, 29]]
53: [[25, 20], [19, 7, 9, 2], [4, 1], [15, 3], [14, 5], [6, 8], [11, 10], [13, 12, 17, 22], [18, 21, 24, 28], [23, 26, 29], [16], [27]]
54: [[25, 20, 19], [7, 9, 2], [4, 1], [15, 3, 14, 5], [6, 8, 11], [17, 12, 10, 13], [23, 18, 22, 16], [28, 21, 26, 24], [29, 27]]
55: [[25, 20, 19, 7], [9, 2, 4], [1, 15, 3], [12, 5, 8, 11, 10, 6, 26, 17, 18, 13, 21, 24, 16, 22, 23, 27, 28, 29, 14]]
56: [[25, 20], [19, 7, 9], [2, 4, 1, 15], [3, 5], [6, 14], [8, 11, 17, 13], [16, 21, 23, 10], [12, 18, 28, 22, 26], [24, 29, 27]]
57: [[25, 20, 19, 7], [9, 2, 4, 1, 15], [3, 14], [5, 6, 8, 10], [17, 13], [12, 22, 23], [18, 16, 24, 29, 26, 11, 21], [27, 28]]
58: [[25, 20, 19, 7, 9, 2, 4, 1, 15, 3, 14], [5, 6, 8, 11, 18], [10, 12], [17, 13, 21, 22, 28, 16, 23, 26, 24], [27, 29]]
59: [[25, 20, 19, 7], [9, 2, 4, 1, 15], [3, 8], [5, 6, 10, 12], [11, 27], [16, 21, 13], [18, 17, 22, 29, 23, 24, 26], [28, 14]]
