0: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
35: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
36: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
37: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
38: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
39: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
40: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
41: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
42: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
43: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
44: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
45: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
46: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
47: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
