0: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 10, 12], [13, 28, 16, 24, 18, 22, 23, 17, 14], [15, 25, 29, 20, 21, 27, 26]]
38: [[19, 7, 9, 1, 2, 3, 5], [4, 6, 12, 11, 14], [26, 13, 8, 10, 22, 15, 16, 20, 17, 18], [25, 21, 29, 24, 23, 27, 28]]
39: [[19, 7, 9, 1, 2, 3, 5, 4], [6, 8, 11, 14, 12], [13, 10, 20, 24, 18, 16, 23, 22, 29], [15, 26, 25, 17, 21, 27, 28]]
40: [[19, 7, 9, 1, 2, 3, 5, 4, 6], [8, 11, 10, 12, 15, 13, 21, 26], [14, 16, 22, 17, 18], [20, 23, 24, 25, 28, 27, 29]]
41: [[19, 7, 9, 1, 2, 3, 5, 4, 6], [8, 11, 10, 12, 13, 29, 14, 24], [18, 22, 21, 17, 16], [15, 20, 23, 27, 28, 25, 26]]
42: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 10, 28, 13], [12, 21, 14, 17, 20, 15, 18, 22], [27, 23, 26, 24, 25, 16, 29]]
43: [[19, 7, 9, 1, 2, 3, 5, 4, 6], [8, 11, 10, 13, 12, 24, 16, 20], [18, 22, 14, 25, 15], [23, 17, 21, 26, 27, 29, 28]]
44: [[19, 7, 9, 1, 2, 3, 5, 4, 12], [6, 8, 11, 14], [13, 28, 22, 15, 20, 16, 18, 17, 10], [21, 29, 23, 24, 27, 26, 25]]
45: [[19, 7, 9, 1, 2, 3, 5, 4], [6, 8, 11, 12, 10, 15, 13, 14, 18], [17, 20, 21, 22, 23], [29, 25, 24, 26, 27, 16, 28]]
46: [[19, 7, 9, 1, 2, 3, 5, 4], [6, 8, 11, 10, 12], [14, 13, 16, 18, 15, 22, 23, 28, 20], [24, 21, 17, 25, 26, 27, 29]]
47: [[19, 7, 9, 1, 2, 3, 5, 4, 6], [8, 11, 10, 28, 14, 12, 13, 24], [21, 15, 22, 18, 23], [16, 17, 20, 25, 26, 27, 29]]
48: [[19, 7, 9, 1, 2, 3, 5, 4, 6], [8, 11, 14, 12, 15, 10, 13, 16], [18, 20, 23, 22, 21], [26, 24, 17, 25, 27, 28, 29]]
49: [[19, 7, 9, 1, 2, 3, 5, 4, 6], [8, 11, 10, 12, 13, 15, 22, 14], [17, 20, 21, 25, 23], [18, 27, 26, 24, 28, 16, 29]]
50: [[19, 7, 9, 1, 2, 3, 5, 4, 6, 8], [11, 10, 12, 13, 18], [14, 15, 16, 20, 23, 17, 21], [22, 24, 26, 25, 27, 28, 29]]
51: [[19, 7, 9, 1, 2, 3, 5, 4], [6, 8, 11, 14, 12], [15, 24, 29, 21, 22, 17, 10, 18, 13], [16, 25, 20, 23, 26, 27, 28]]
52: [[19, 7, 9, 1, 2, 3, 5], [4, 6, 8, 11, 14, 12, 15, 10, 13, 18], [17, 21, 24, 22, 20], [23, 29, 26, 25, 27, 16, 28]]
53: [[19, 7, 9, 1, 2, 3, 5, 4, 6], [8, 11, 10, 12, 14], [13, 25, 24, 23, 22, 18, 15, 16], [26, 21, 17, 20, 28, 27, 29]]
54: [[19, 7, 9, 1, 2, 3, 5, 4, 6], [8, 11, 14, 12, 15], [10, 18, 16, 13, 21, 23, 17, 20], [22, 26, 24, 25, 27, 28, 29]]
55: [[19, 7, 9, 1, 2, 3, 5, 4, 6], [8, 11, 14, 12, 15], [13, 10, 18, 17, 20, 21, 16, 23], [22, 28, 25, 26, 27, 24, 29]]
56: [[19, 7, 9, 1, 2, 3, 5, 4, 6], [8, 11, 10, 28, 14], [13, 21, 26, 12, 23, 18, 15, 16], [22, 17, 20, 24, 29, 27, 25]]
57: [[19, 7, 9, 1, 2, 3, 5, 4], [6, 8, 11, 14, 26], [13, 10, 12, 18, 15, 23, 20, 17, 21], [16, 25, 28, 22, 24, 27, 29]]
58: [[19, 7, 9, 1, 2, 3, 5, 4, 6], [8, 11, 14, 28, 15], [29, 10, 12, 20, 13, 21, 17, 22], [27, 26, 16, 24, 18, 23, 25]]
59: [[19, 7, 9, 1, 2, 3, 5, 4], [6, 8, 11, 14, 28], [10, 12, 13, 27, 17, 25, 20, 18, 23], [22, 29, 15, 16, 21, 24, 26]]
