0: [[35, 34, 7, 2], [5, 1], [19, 20, 4, 11, 3, 12], [13, 8, 9, 21, 6], [29, 15, 30, 17, 16, 24, 23, 31, 10], [22, 27, 25, 26, 14, 44], [36, 55, 56, 37, 46], [33, 38, 40, 28, 32, 43, 41, 39, 18], [42, 45, 60, 47, 48], [51, 50, 53, 54, 52, 58, 59], [57, 49]]
11: [[35, 34, 7, 2, 5], [1, 19, 20, 3], [11, 4, 12, 6, 8, 10, 14, 18, 30, 9, 26, 15, 21, 16, 13, 17, 25, 22, 24, 23, 28], [29, 27, 31, 45], [48, 53, 42], [36, 38, 44, 33], [43, 41, 32, 46], [37, 50, 39, 58], [51, 40, 55], [49, 47, 52, 54, 56, 59, 60, 57]]
12: [[35, 34, 7, 2, 5, 1], [19, 20, 3, 11], [4, 12, 10, 14], [6, 18, 8, 15, 13, 17, 21, 9, 16, 24, 23, 30, 27], [22, 31], [25, 28, 26, 42, 53], [29, 41, 32, 50, 33, 36, 37, 38, 46, 39, 43, 44, 45, 40], [57, 47, 60, 49, 48, 51, 54, 55, 52, 56, 58, 59]]
13: [[35, 34, 7, 2], [5, 1], [19, 20, 3, 11, 4], [12, 6, 9, 24, 8], [10, 15, 13, 30, 28, 18], [16, 29, 17, 21, 22], [23, 55, 27, 14], [25, 26], [31, 40, 37], [44, 32, 54, 36], [46, 33, 43, 38, 47, 39, 41, 56], [42, 45, 48, 50, 51, 53], [49, 52, 58, 57, 59, 60]]
14: [[35, 34, 7, 2], [5, 1, 19, 20], [3, 11], [4, 12, 6, 9, 8, 28, 10, 13, 27, 29, 15, 16, 24, 31, 14, 17, 23, 18, 21, 22, 25, 36, 30, 45, 26, 37, 44, 33], [41, 32, 47, 40, 39, 42, 43], [38, 52, 46, 51, 50], [49, 48, 54, 53, 56, 57, 58, 59], [55, 60]]
15: [[35, 34, 7, 2], [5, 1, 19, 20, 3, 11], [4, 12, 8, 6, 28], [13, 10, 14, 9, 26, 18, 25, 21, 17, 15, 24, 23, 16], [22, 27, 30, 31, 29, 36, 55, 40, 33, 48, 32, 42, 37, 38, 44, 41], [47, 60, 46, 51, 39, 43], [45, 52, 49, 53, 54, 50, 58, 56, 59, 57]]
16: [[35, 34, 7, 2], [5, 1], [19, 20, 3, 11], [4, 12, 10, 6, 14, 21, 13, 9], [15, 28, 8, 25, 24, 18, 23, 16, 17, 22, 30, 26, 31, 60, 29, 45, 32, 44, 43, 33, 38, 39, 36, 27, 40, 42, 46, 41, 56, 47, 58], [51, 52, 48, 53, 50, 37, 55, 49, 59, 57, 54]]
17: [[35, 34, 7, 2, 5], [1, 19, 20, 3, 11, 4], [8, 14, 22, 12, 9, 13, 15, 10, 21, 6], [23, 17, 16, 28, 27, 26, 24, 25, 29, 30, 31], [36, 44, 33, 39, 56, 32, 43, 40, 37, 38, 48, 18], [46, 45, 42], [49, 54, 41, 47, 50, 51, 58, 52, 53, 55, 59, 57, 60]]
18: [[35, 34, 7, 2], [5, 1], [19, 20, 3, 11, 4], [12, 10, 6, 8, 15, 9], [16, 14, 13, 17, 18, 22, 23, 26, 24, 28, 21, 29, 27, 25, 30, 31, 46, 40, 41, 32, 33, 39, 43, 44, 36, 37, 38, 47, 49, 42], [45, 60], [52, 48, 53, 51, 55, 54, 50, 56, 57, 58, 59]]
19: [[35, 34, 7, 2], [5, 1], [19, 20], [3, 11, 4], [12, 10, 6, 8, 9, 31, 17, 14, 13, 22, 26, 15, 18, 24, 16, 21, 23, 30, 27, 25, 28, 29, 54, 36, 48, 39, 33, 32, 44, 41, 38, 40, 46, 43, 42, 47, 45, 49, 50, 60, 51, 52, 37, 55, 57, 53, 59, 56, 58]]
20: [[35, 34, 7, 2], [5, 1, 19, 20, 3, 11, 4], [12, 9], [6, 8, 14, 30, 10, 15, 13, 17, 25, 21, 22, 24, 16, 18, 27, 28, 23, 26, 31, 29, 53, 48, 33, 32, 36, 39, 37, 40, 42, 41, 43], [47, 56], [44, 51, 45], [55, 46, 38, 52, 59, 49, 54, 60, 57, 50, 58]]
21: [[35, 34, 7, 2], [5, 1], [19, 20, 3], [11, 4, 12, 10, 6, 25, 28, 8, 15, 9, 13, 14, 31, 21, 16, 18, 22, 26, 17, 27, 30, 29, 23, 36, 40, 37, 24, 32, 39, 33, 46, 47, 48, 38, 42, 41, 58], [54, 44, 43, 49, 52, 53, 45, 50, 55, 51, 56, 60], [57, 59]]
22: [[35, 34, 7, 2, 5, 1, 19, 20, 3, 11, 4, 8, 14, 10, 24, 12], [9, 15, 21, 25, 6, 27, 13, 16, 22, 17, 18, 23, 31, 26, 28, 29, 30, 39, 36, 40, 32, 54, 33, 44, 37, 42, 45, 41, 46, 58, 48, 43, 51, 47, 38, 50, 59, 52], [53, 49, 56, 55, 57, 60]]
23: [[35, 34, 7, 2], [5, 1], [19, 20, 3], [11, 4, 12, 10, 8, 13, 28, 9, 21, 6, 14, 15, 16, 25, 24, 22, 17, 18, 27], [23, 29, 52, 30, 55, 36, 26, 31, 33, 38], [37, 44, 40, 43, 32, 46, 56, 54, 41, 42], [45, 47, 48, 39, 53, 60, 57, 49, 50, 51, 58, 59]]
24: [[35, 34, 7, 2], [5, 1], [19, 20, 3, 11, 4, 12], [9, 8, 6, 17, 10], [27, 15, 30, 21, 16, 13], [18, 29, 14, 22, 23, 24, 25, 26, 28, 36, 45, 52, 37, 31, 33], [39, 43, 38], [32, 40, 41, 46, 47, 42, 44, 48, 50, 53, 55], [54, 56, 51, 60, 58, 59, 57, 49]]
25: [[35, 34, 7, 2], [5, 1], [19, 20, 3, 11, 4, 12], [8, 6, 24, 14, 15], [25, 9, 18, 13, 10, 16, 17, 21, 22, 23, 26, 30, 31], [27, 28, 29, 37, 43, 41, 33, 32, 36, 46, 39, 38, 40, 44], [47, 45, 42, 59, 51, 50, 55, 48, 52, 53, 49, 58, 54, 56, 57, 60]]
26: [[35, 34, 7, 2], [5, 1], [19, 20], [3, 11], [6, 12, 8, 4, 26, 15, 10, 13, 16, 9, 27, 28, 18, 21, 17, 24, 22, 25, 30, 29, 23, 49, 31, 14, 32, 37, 39, 36, 44, 43, 46, 47, 40, 33, 41, 53, 50, 45, 54, 38, 51, 52, 57, 55, 42, 48, 59, 56, 60, 58]]
27: [[35, 34, 7, 2, 5, 1], [19, 20], [3, 11, 6, 12, 10, 9, 24, 15, 4, 8, 13, 28, 14, 31, 16, 21, 30], [18, 22, 25, 26, 17, 23, 27, 60, 45, 44, 48, 29, 36, 38, 33, 32, 41, 47, 37, 39, 51, 46, 43, 56, 53, 40, 42, 50, 49, 52, 55, 54, 58], [57, 59]]
28: [[35, 34, 7, 2, 5, 1], [19, 20, 3, 11], [4, 12, 13, 6, 9, 8, 10, 14, 25, 15, 30, 29, 27, 17, 18, 16, 23, 24, 22, 26, 21, 52, 28, 53, 54, 31, 36, 32, 39, 44, 33, 37, 42, 41, 47, 38, 40, 43, 48, 45, 51, 49, 56, 46, 50, 55, 59, 57, 60, 58]]
29: [[35, 34, 7, 2], [5, 1], [19, 20, 3, 11], [4, 12, 10, 6, 15, 25], [9, 13, 14], [28, 26, 16, 8, 22, 23, 18, 17, 21, 24, 27, 30, 60, 29, 44, 48, 56, 47, 33, 46, 37, 36, 31, 32, 39, 38], [41, 40, 42, 50, 51, 52, 43, 53, 59, 45, 54, 49, 55, 57, 58]]
30: [[35, 34, 7, 2], [5, 1], [19, 20, 4, 11, 3], [12, 10, 6, 14, 8, 25], [9, 13, 15, 26, 27, 17, 16, 30, 18, 21, 22, 29, 24, 31, 23, 44, 33, 40, 28, 32, 37, 41, 38, 36, 43, 39, 42, 46, 45, 47, 49, 51, 52, 57], [48, 50, 60, 53, 55, 59, 58], [56, 54]]
31: [[35, 34, 7, 2], [5, 1, 19, 20, 3, 11], [4, 12, 8, 6, 26], [9, 13, 29, 14, 24, 22], [10, 15, 21, 16, 17, 23, 25, 18, 30, 28, 44, 27, 39, 33, 31, 38, 32], [37, 36, 41, 45, 40, 42, 43, 46, 47, 51, 56], [54, 57, 48, 49, 52, 50, 55, 58, 53, 60, 59]]
32: [[35, 34, 7, 2], [5, 1, 19, 20], [3, 11, 4, 12, 6, 10, 9, 13, 23, 8, 27, 25, 30, 28, 18, 22, 14, 17, 16, 24, 21, 15, 31], [26, 29, 45, 37, 44, 46, 36, 32, 39, 33, 43, 40, 50, 41, 47, 51, 42, 49, 38, 52, 57, 48, 53, 55, 58], [54, 56, 60, 59]]
33: [[35, 34, 7, 2], [5, 1], [19, 20, 3, 11, 4, 8], [22, 10], [15, 6, 9, 29, 18], [14, 13, 17, 21, 26, 16], [25, 28, 23, 27, 52, 30, 31, 51, 37, 12, 58, 32, 40, 33, 41, 36], [44, 45, 47, 46, 38, 42, 24, 43, 49, 59, 39, 50, 53, 56, 48, 54, 55, 60, 57]]
34: [[35, 34, 7, 2, 5], [1, 19, 20, 3], [11, 4, 12, 13, 6, 9, 8, 10, 14, 27, 18, 15, 16, 17, 25, 26, 21, 22, 29, 23, 24, 28], [30, 53, 37, 56, 31, 46, 32, 38, 40, 33, 44, 41, 42, 36, 54, 43, 58, 51, 45, 47, 39, 49, 50, 52, 48, 55, 59, 60, 57]]
35: [[35, 34, 7, 2, 5, 1], [19, 20, 3, 11, 6, 12], [4, 8, 9, 29, 10, 13, 27], [31, 22, 21, 16, 26], [15, 18], [23, 17, 24, 25, 28, 14, 36], [38, 53, 30, 32, 33], [37, 40, 44, 42, 43, 45], [39, 58, 46, 48, 52], [47, 41, 50, 54, 56], [51, 59, 60, 55], [57, 49]]
36: [[35, 34, 7, 2], [5, 1], [19, 20, 3], [11, 4, 12, 10, 14, 8], [28, 9, 13, 6, 18, 15, 16, 24, 22, 26, 17, 31, 21, 23, 25, 29, 27, 57], [52, 44, 56, 37, 30, 36, 32, 40, 45, 46, 33, 38, 39, 47, 43, 48, 41, 42, 50, 49, 53, 54, 51, 55, 59, 58, 60]]
37: [[35, 34, 7, 2], [5, 1, 19, 20, 3], [11, 4, 12, 10], [6, 9, 15, 28], [13, 18, 22, 14, 8, 21, 27, 16, 24, 25, 17, 30, 29, 26, 23, 31, 47, 32, 38, 42, 37, 36, 41, 46, 45, 33, 44, 39, 60, 43, 49, 52, 48, 40, 51], [53, 50, 56, 55, 58, 57, 54, 59]]
38: [[35, 34, 7, 2], [5, 1, 19, 20, 3, 11], [4, 12, 6, 10, 18, 14, 13, 15, 8, 9, 21, 17], [16, 23, 24, 22, 28, 25, 29, 26, 27, 30, 31], [39, 37, 44, 33, 32, 36, 38, 40, 47, 41, 42, 43, 46, 45, 50, 48, 54, 56, 49, 57, 51, 52, 55, 60, 53, 58, 59]]
39: [[35, 34, 7, 2, 5], [1, 19, 20, 3, 11, 4], [12, 6, 10, 9, 8, 15], [22, 28, 14, 25, 30, 17, 16, 23], [13, 31, 24, 18, 21], [27, 58], [26, 37, 32, 29, 36, 46], [40, 33, 38, 43], [45, 44, 39, 42, 47], [53, 50, 41, 57, 60], [49, 48, 56, 52, 51, 55], [59, 54]]
40: [[35, 34, 7, 2], [5, 1], [19, 20, 3, 11], [6, 12, 8, 4, 24, 9], [29, 10, 16], [17, 31, 13, 14, 30, 25, 15, 18, 23, 21, 37, 26, 60, 28, 52, 49, 48, 27, 36, 38, 44, 22, 32, 43, 39, 40, 45, 33, 41, 42, 51, 46, 55, 47, 53, 50, 58, 57, 56, 54, 59]]
41: [[35, 34, 7, 2, 5, 1], [19, 20, 3, 11, 4, 8, 14], [10, 18, 13, 12, 15, 26], [9, 23, 6, 16], [21, 17, 28, 22, 24, 27, 29, 25, 31], [30, 51, 33, 40, 36, 38], [32, 44, 37, 45, 43], [39, 41, 42, 47, 59, 48], [50, 46, 52, 53], [54, 55], [56, 49, 57, 58], [60]]
42: [[35, 34, 7, 2], [5, 1, 19, 20], [3, 11, 4, 12, 6, 8, 10], [24, 9, 15, 29, 14], [13, 17, 16, 22, 21, 18, 23, 26], [27, 28, 31, 36, 30, 37, 25, 41, 46, 33, 32, 39, 40, 42, 38, 44, 43, 45, 60, 48, 55, 47, 50, 49, 54, 51, 52, 57, 59, 53, 56, 58]]
43: [[35, 34, 7, 2], [5, 1, 19, 20], [3, 11, 4, 12, 10, 6, 9, 28, 8, 15, 27, 23, 14, 13, 16, 17], [18, 25, 26, 21, 22, 31, 29, 24, 30, 44, 40, 33, 46, 32, 37, 36, 47, 56, 39, 50], [38, 42, 60, 45], [52, 41, 49, 43, 48, 55, 54, 51, 58, 57, 59, 53]]
44: [[35, 34, 7, 2, 5], [1, 19, 20, 3, 11, 4, 12, 6, 8, 9, 14, 29, 15, 10], [16, 17, 25, 24, 31, 13, 23, 18, 21, 26, 27, 22, 28, 30, 55, 32, 44, 47, 36, 33, 37, 45, 39, 43, 41, 38, 40, 46, 42, 51, 48, 56, 50, 49, 52, 53, 54, 59, 57, 58, 60]]
45: [[35, 34, 7, 2], [5, 1, 19, 20, 3], [11, 4, 12, 10, 6, 9], [8, 28, 26, 15, 14, 13, 16, 23, 30, 18, 17, 22, 29, 27, 25, 24, 31, 21, 53, 48, 45, 36, 32, 39, 42, 33, 44, 43, 37, 38], [59, 40, 41, 56], [51, 46, 49, 55, 47, 54], [50, 58, 60], [52, 57]]
46: [[35, 34, 7, 2, 5, 1, 19, 20, 3, 11, 4, 8, 14], [10, 6, 13, 21, 9, 28], [12, 22, 18, 15, 16, 24, 17, 25, 23, 27, 26, 30], [29, 45, 47, 38, 36, 31, 32, 37, 33, 42, 39, 41], [40, 43, 44, 46, 59, 50, 48, 51, 49, 53, 52, 54, 55, 56, 60, 58, 57]]
47: [[35, 34, 7, 2, 5, 1, 19], [20, 3], [11, 4, 12, 10, 8, 24, 15, 13, 6, 9, 26, 16, 31, 17, 21, 14, 18], [30, 22, 25, 49, 23, 27, 29, 45, 44, 48, 41, 28, 32, 40, 46], [42, 33, 37, 47, 36, 38], [39, 43, 53], [52, 55, 50, 56, 57, 51, 54, 58, 60, 59]]
48: [[35, 34, 7, 2], [5, 1], [19, 20, 3, 11, 6, 12, 10, 9, 24, 15, 4, 8, 13, 28, 14, 30, 16, 21, 25, 18, 26, 17, 22, 27, 23, 31, 60, 36, 52, 29, 40, 43, 38, 33, 32, 41, 47, 37, 39, 50, 44, 45, 58, 53, 46, 48, 49, 57, 42, 55, 54, 51, 56, 59]]
49: [[35, 34, 7, 2, 5, 1, 19, 20, 3, 11, 4, 12], [10, 6, 14, 25, 8, 13, 15, 30, 17, 9, 21, 22, 26, 16, 18], [23, 28, 31], [29, 42, 24, 37, 36, 32, 47, 27, 44, 56, 39, 45, 43, 33], [38, 49, 46, 50, 40, 48, 41, 55, 53, 52, 54, 57, 51, 58, 59, 60]]
50: [[35, 34, 7, 2], [5, 1], [19, 20, 3, 11, 4, 12, 6, 8, 26, 14, 9, 28, 10, 25, 24, 13, 16, 29, 15, 17, 23, 22, 27, 53, 18, 56, 21, 31, 45, 40, 30, 39, 36, 37, 33, 32, 46, 38, 44, 41, 43, 47, 42, 48, 54, 50, 49, 55, 52, 51, 57, 59], [58, 60]]
51: [[35, 34, 7, 2, 5], [1, 19, 20, 3, 11, 4], [12, 8, 25, 9, 14, 13, 15, 16, 17, 22, 23, 28, 24, 18, 10, 21, 6], [26, 27, 31], [29, 44], [55, 30, 37, 32, 33, 41, 38, 36, 40, 46, 42, 47, 56, 45, 59, 49, 51, 39, 48, 50, 54, 43, 52, 57, 53, 58, 60]]
52: [[35, 34, 7, 2], [5, 1], [19, 20, 3], [11, 4, 8, 23, 6, 14], [25, 9, 29, 12, 10, 21, 18, 16, 13, 15], [30, 27, 26, 17, 55, 28, 22, 24, 37, 52, 49, 39], [36, 31, 32, 43, 33, 44, 38, 40, 45, 41, 50, 42, 46, 57, 47, 53, 51, 56, 48, 58, 54, 59, 60]]
53: [[35, 34, 7, 2], [5, 1, 19, 20, 3, 11], [4, 12, 10], [8, 24, 15, 14, 28, 9, 18, 29, 6, 17, 21, 26, 13, 27, 16, 22], [23, 25, 31, 30, 37, 36, 41, 33, 42, 32, 40, 44, 38, 45, 39, 47, 43, 46, 48, 55, 53, 50, 54, 49, 52, 51, 59, 58, 57, 56, 60]]
54: [[35, 34, 7, 2], [5, 1, 19, 20, 3, 11, 4, 12, 10, 8, 6, 13, 25, 27, 9, 14, 17, 15, 16, 26, 18, 24, 28, 22, 23, 30, 31, 29, 21, 33, 37, 45, 42, 32, 36, 38, 39, 43, 41, 46], [44, 40, 48, 60, 58, 47, 52, 54, 55, 50, 51, 53, 57, 49, 56, 59]]
55: [[35, 34, 7, 2], [5, 1], [19, 20, 3, 11, 4, 12, 10, 6, 9, 14, 8, 13, 15, 26, 27, 17], [18, 16, 21, 22, 24, 25, 23, 30, 29, 28, 31, 45, 44, 40, 33, 36, 32, 37, 38, 41, 46, 43, 39, 42, 57, 58, 47, 49, 51, 54, 48, 50, 55, 52, 53, 56, 60, 59]]
56: [[35, 34, 7, 2, 5], [1, 19, 20, 3, 11, 4, 12], [8, 13, 24, 6, 28, 10, 31, 26, 9, 21, 15], [17, 18, 14, 22, 25, 27, 16, 23, 43, 30, 39], [52, 29, 46, 32], [37, 38], [33, 36, 41], [44, 42, 40, 45, 59, 54], [55, 56, 48, 47, 49, 51], [60, 50], [53, 57, 58]]
57: [[35, 34, 7, 2, 5, 1], [19, 20], [3, 11, 6, 12, 10], [9, 24, 4, 8, 15, 13, 18, 14, 26, 17, 21, 16, 22, 23], [25, 30, 28, 29, 27, 31, 45, 36, 48, 37, 40, 38], [32, 41, 42, 43, 44, 39, 46, 47, 33, 50, 49, 59, 51, 54, 53, 52, 55, 57, 56, 58, 60]]
58: [[35, 34, 7, 2], [5, 1], [19, 20, 3], [11, 4, 12, 9, 8, 10], [14, 21, 30, 6, 22], [16, 15], [17, 18, 13, 23], [24, 25, 27, 28], [26, 29, 44, 45], [33, 31, 32], [46, 40, 43, 38, 37, 42, 47, 39], [48, 50, 36, 59, 54, 49, 53, 41, 58, 51, 52, 57, 55, 56, 60]]
59: [[35, 34, 7, 2, 5], [1, 19], [20, 3, 11], [4, 12, 15, 10, 8], [9, 29, 13, 6], [17, 21, 18, 16, 27, 22], [25, 23, 28, 24, 30, 14], [59, 33, 39, 42, 32, 37], [26, 44, 47, 41, 31, 38, 45], [40, 36, 43], [56, 46, 50, 48, 55, 51], [49, 52, 53, 54, 57, 60, 58]]
60: [[35, 34, 7, 2], [5, 1, 19], [20, 3, 11, 4, 12, 10, 9, 8], [6, 13, 26, 14, 29, 21, 15, 16, 24, 25, 28, 17, 22, 31, 23, 18, 57, 27, 38, 48, 37, 43, 53, 32, 30, 47, 42, 33, 39, 45, 40, 44, 41, 46, 50, 49, 36, 51, 54, 52, 56], [55, 58, 59, 60]]
61: [[35, 34, 7, 2, 5, 1], [19, 20, 3, 11], [4, 12], [10, 6, 9], [28, 13, 14, 8, 15, 21, 22, 24, 18, 31, 16, 25, 26, 17, 30, 27, 29, 23, 36, 41, 56, 37, 38, 32, 55, 40, 39, 42, 46, 43, 44], [45, 47, 49, 52, 48, 51, 33, 50, 53, 54], [59, 60, 58, 57]]
62: [[35, 34, 7, 2, 5], [1, 19, 20, 3], [11, 4, 12, 10, 6, 8, 14, 15, 9, 29, 17, 26, 13, 16], [18, 23, 22, 21, 25, 27, 24, 30, 40, 60, 39, 28, 32, 31, 33, 38, 41, 37, 36, 42, 44, 46, 45, 43, 59, 48, 51, 50, 52, 53, 47, 49, 56, 54, 55, 57, 58]]
63: [[35, 34, 7, 2], [5, 1], [19, 20], [3, 11, 6, 12, 4], [10, 9, 15, 8, 13], [24, 17, 14], [16, 18, 21, 29, 23, 22, 25, 28, 26, 27, 60, 30, 46, 56, 33, 45, 31, 32, 42, 37], [38, 40, 39, 36, 44], [41, 47, 52, 53, 48, 50, 49, 43, 57, 54, 55, 59, 58, 51]]
64: [[35, 34, 7, 2, 5, 1], [19, 20], [3, 11], [4, 12, 10, 6, 24], [8, 29, 13, 9, 15, 23], [14, 16, 22, 30, 18, 25, 17, 21, 27, 28, 26, 56, 52, 32, 31, 33, 49, 38, 40, 36, 44, 43, 37, 45, 39, 42], [41, 46, 58, 50], [47, 48, 53, 55, 54, 57], [60, 51, 59]]
65: [[35, 34, 7, 2, 5], [1, 19, 20, 3, 11], [4, 12, 10, 9], [6, 14, 8, 13], [27, 16, 17, 18, 24, 23, 21, 15, 22, 25, 29, 26], [30, 31, 32, 39, 37, 40], [38, 33, 36, 28, 43, 41, 45, 46, 47, 60, 44, 59], [48, 42, 50, 54, 49, 53, 51, 55, 57, 52, 56], [58]]
66: [[35, 34, 7, 2], [5, 1, 19, 20, 3, 11, 4, 12, 6, 9], [24, 8, 10, 14, 30, 26, 15, 21, 25, 13, 22, 16, 17, 18, 23, 27, 29, 53, 28, 31, 38, 41, 36, 32, 33, 40, 37, 39, 44, 43, 42, 46, 49, 45, 52, 54, 51, 47, 48, 50, 55, 56, 58, 57, 59, 60]]
67: [[35, 34, 7, 2], [5, 1], [19, 20, 3, 11], [6, 12], [8, 4, 26], [30, 9, 13, 16, 25, 10, 24, 15, 18, 27, 17, 22, 21, 23, 50, 28, 60, 14, 36, 53, 40, 52, 38, 32, 47, 58, 29, 31, 33, 44, 42], [43, 37, 39, 45, 46, 54, 49, 48, 41, 55], [51, 56, 57, 59]]
68: [[35, 34, 7, 2], [5, 1], [19, 20, 3, 11, 4], [12, 6, 8, 9, 25, 15], [30, 10, 13, 16], [24, 18, 14, 17, 21], [23, 26, 28, 31, 27, 29], [60, 39, 40, 22], [33, 36, 49, 44], [32, 38], [37, 57, 41, 46, 43, 52], [47, 45, 50], [42, 51, 54, 53, 48, 55, 59, 56, 58]]
69: [[35, 34, 7, 2], [5, 1], [19, 20, 3, 11, 4], [12, 6, 8, 9, 25, 15], [30, 10, 13, 16], [24, 18, 14, 17, 21], [23, 26, 28, 31, 27, 29], [60, 39, 40, 22], [33, 36, 49, 44], [32, 38], [37, 57, 41, 46, 43, 52], [47, 45, 50], [42, 51, 54, 53, 48, 55, 59, 56, 58]]
70: [[35, 34, 7, 2, 5, 1], [19, 20, 3, 11], [4, 12, 8, 6, 9, 24, 10, 15, 14, 23, 13, 25, 18, 22, 29], [30, 17, 16, 26, 27, 21, 28, 31, 36, 57, 33, 46, 32, 37, 44, 47, 40, 38], [50, 41, 42, 43], [39, 52, 55, 45, 48, 49, 51, 54, 56, 58, 53, 60, 59]]
71: [[35, 34, 7, 2, 5, 1, 19, 20, 3, 11, 4, 8, 14], [10, 9, 12, 6, 13, 30, 15, 18, 25, 21, 31, 23, 22, 16, 17, 24, 27, 26, 28, 29, 39, 36, 41, 32, 38, 37, 33, 44, 45, 43, 40, 46, 47, 49, 42, 54, 48, 50, 52, 51, 55], [53, 57, 59, 56, 58, 60]]
72: [[35, 34, 7, 2], [5, 1, 19, 20, 3], [11, 4, 12, 10, 8, 25, 21, 15, 29], [9, 30, 17, 28, 18], [22, 14, 23, 31, 27, 26, 24], [6, 13], [37, 36, 52, 38, 33, 39, 42, 40, 46, 32, 45, 41, 47, 16, 43, 44, 48, 49, 53, 51, 50, 54, 55, 57, 58, 59, 56, 60]]
73: [[35, 34, 7, 2, 5, 1, 19, 20, 3], [11, 4, 12, 10, 13, 9, 28, 21, 14, 16, 22, 17, 18, 15, 24, 29, 8, 23, 25, 26, 27, 30, 31, 38, 36, 32, 57, 37, 33, 39, 46, 40, 43, 41, 47, 44, 6], [45, 50, 48, 52, 53, 42, 49, 60, 55, 51], [54, 56, 59, 58]]
