0: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
30: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
31: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
32: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
33: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
34: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
35: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
36: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
37: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
38: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
39: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
40: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
41: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
42: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
43: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
44: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
45: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
46: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
47: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
48: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
49: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
50: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
51: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
52: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
53: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
54: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
55: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
56: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
57: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
58: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
59: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
