0: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15, 18], [17, 20], [21, 23, 24]]
24: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
25: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
26: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13], [15, 18, 17, 20], [21, 23, 24]]
27: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5, 14], [6, 10, 8], [13, 15, 18], [17, 20], [21, 23, 24]]
28: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10, 8], [13, 15], [18, 17, 20], [21, 23, 24]]
29: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5, 14], [6, 10, 8], [13, 15], [18, 17, 20], [21, 23, 24]]
30: [[7, 11, 22], [3, 19, 16], [9, 1, 2, 4], [12, 5, 14], [6, 10, 8], [13, 15, 18], [17, 20], [21, 23, 24]]
31: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17], [20, 21, 23, 24]]
32: [[7, 11, 22, 3], [19, 16, 9], [1, 2, 4], [12, 5, 14], [6, 10, 8], [13, 15, 18], [17, 20], [21, 23, 24]]
33: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20, 21, 23, 24]]
34: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20, 21, 23, 24]]
35: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20, 21, 23, 24]]
36: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20, 21, 23, 24]]
37: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5, 14, 6, 10, 8, 13, 15], [18, 17, 20, 21, 23, 24]]
38: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15, 18, 17, 20, 21, 23, 24]]
39: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15, 18, 17, 20, 21, 23, 24]]
40: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15, 18, 17, 20, 21, 23, 24]]
41: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15, 18, 17, 20, 21, 23, 24]]
42: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15, 18, 17, 20, 21, 23, 24]]
43: [[7, 11, 22], [3, 19, 16], [9, 1, 2, 4], [12, 5], [14, 6, 10], [8, 13, 15, 18, 17, 20, 21, 23, 24]]
44: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10, 8, 13, 15, 18, 17, 20, 21, 23, 24]]
45: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10, 8, 13, 15, 18, 17, 20, 21, 23, 24]]
46: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12], [5, 14, 6], [10, 8, 13, 15, 18, 17, 20, 21, 23, 24]]
47: [[7, 11, 22], [3, 19, 16], [9, 1, 2, 4, 12, 5, 14, 6, 10, 8, 13, 15, 18, 17, 20, 21, 23, 24]]
