0: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
19: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
20: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
21: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3, 2], [10, 6], [11, 7], [17, 5, 14], [21, 24, 23]]
22: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3, 2], [10, 6], [11, 7], [17, 5, 14], [21, 24, 23]]
23: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1, 18], [16, 3, 2], [10, 6], [11, 7], [17, 5, 14], [21, 24, 23]]
24: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1, 18], [16, 3, 2], [10, 6], [11, 7], [17, 5, 14], [21, 24, 23]]
25: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1, 18], [16, 3, 2], [10, 6], [11, 7], [17, 5, 14], [21, 24, 23]]
26: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1, 18], [16, 3, 2], [10, 6], [11, 7], [17, 5, 14], [21, 24, 23]]
27: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1, 18], [16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
28: [[15, 4], [9, 8], [20, 12, 22, 13, 19], [1, 18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
29: [[15, 4], [9, 8], [20, 12, 22, 13, 19], [1, 18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
30: [[15, 4], [9, 8], [20, 12, 22, 13, 19], [1, 18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
31: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16], [3, 2], [10, 6], [11, 7, 17, 5, 14], [21, 24, 23]]
32: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16], [3, 2], [10, 6], [11, 7, 17, 5, 14], [21, 24, 23]]
33: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16], [3, 2], [10, 6], [11, 7, 17, 5, 14], [21, 24, 23]]
34: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16], [3, 2], [10, 6], [11, 7, 17, 5, 14], [21, 24, 23]]
35: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16], [3, 2], [10, 6], [11, 7, 17, 5, 14], [21, 24, 23]]
36: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16], [3, 2], [10, 6], [11, 7, 17, 5, 14], [21, 24, 23]]
37: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3, 2], [10, 6], [11, 7], [17, 5, 14, 21], [24, 23]]
38: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14, 21], [24, 23]]
39: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14, 21], [24, 23]]
40: [[15, 4], [9, 8], [20, 12, 22, 13, 19], [1, 18, 16, 3, 2], [10, 6], [11, 7], [17, 5, 14, 21], [24, 23]]
41: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1, 18], [16, 3, 2], [10, 6], [11, 7], [17, 5, 14, 21], [24, 23]]
42: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1, 18], [16, 3, 2], [10, 6], [11, 7], [17, 5, 14, 21], [24, 23]]
43: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1, 18], [16, 3, 2], [10, 6], [11, 7], [17, 5, 14, 21], [24, 23]]
44: [[15, 4], [9, 8], [20, 12, 22, 13, 19], [1, 18, 16], [3, 2], [10, 6], [11, 7, 17, 5, 14], [21, 24, 23]]
45: [[15, 4], [9, 8], [20, 12, 22, 13, 19], [1, 18, 16], [3, 2], [10, 6], [11, 7, 17, 5, 14], [21, 24, 23]]
46: [[15, 4], [9, 8], [20, 12, 22, 13, 19], [1, 18], [16, 3], [2, 10], [6, 11, 7, 17, 5, 14, 21], [24, 23]]
47: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16], [3, 2], [10, 6], [11, 7, 17, 5, 14, 21], [24, 23]]
48: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5], [14, 21, 24, 23]]
49: [[15, 4], [9, 8], [20, 12, 22, 13, 19], [1, 18, 16], [3, 2], [10, 6], [11, 7, 17, 5], [14, 21, 24, 23]]
