0: [[2, 10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4], [12, 13, 19], [16, 17, 18, 22, 3], [21, 23, 24]]
31: [[2, 10, 20], [7, 11, 6], [14, 8, 9], [15, 5], [4, 12], [13, 19, 1], [16, 17, 18, 22, 3], [21, 23, 24]]
32: [[2, 10, 20, 7, 11], [6, 14], [8, 15], [5, 4], [12, 13], [19, 16, 1, 3], [17, 18, 9], [22, 21, 23, 24]]
33: [[2], [10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4, 12, 13, 19], [16, 17, 18, 22, 21, 3], [23, 24]]
34: [[9], [2], [20, 10], [7, 11], [6, 14, 8, 15, 5], [4, 12], [13, 19, 16, 1, 3], [17, 18, 22], [21, 23, 24]]
35: [[9], [2], [20, 10], [7, 11, 6, 14, 8, 15], [5, 4], [12, 13], [19, 16, 1, 3], [17, 18, 22], [21, 23, 24]]
36: [[9, 2, 20, 1], [7, 11], [6, 14, 8, 10], [15, 5], [4, 12], [13, 19], [16, 17, 3], [18, 22], [21, 23, 24]]
37: [[2], [10, 20, 7], [11, 6], [14, 8, 9], [15, 5], [4, 12, 13, 19, 1], [16, 17, 18, 22, 3], [21, 23, 24]]
38: [[2], [10, 20], [7, 11, 6, 14], [8, 15, 9], [5, 4], [12, 13, 1], [19, 16, 17, 18, 22, 21, 3], [23, 24]]
39: [[2, 10], [20, 7], [11, 6], [14, 8, 9], [15, 5], [4, 12, 13, 19, 1], [16, 17, 18, 22, 3], [21, 23, 24]]
40: [[9], [2], [20, 10], [7, 11], [6, 14, 8, 15, 5], [4, 12], [13, 19, 1], [16, 17, 18, 22, 21, 3], [23, 24]]
41: [[9], [2], [20, 10], [7, 11], [6, 14, 8, 15, 5], [4, 12], [13, 19, 1], [16, 17, 18, 22, 21, 3], [23, 24]]
42: [[2, 10], [20, 7], [11, 6, 14], [8, 15], [5, 4], [12, 13], [19, 16, 1, 3], [17, 18, 9], [22, 21, 23, 24]]
43: [[2, 10], [20, 7, 11, 6], [14, 8, 9], [15, 5], [4, 12], [13, 19, 1], [16, 17, 3], [18, 22], [21, 23, 24]]
44: [[2, 10], [20, 7, 11, 6, 14], [8, 15], [5, 4], [12, 13], [19, 16, 1, 3], [17, 18, 9], [22, 21], [23, 24]]
45: [[2], [10, 20, 7, 11, 6], [14, 8, 9], [15, 5], [4, 12], [13, 19, 1], [16, 17, 3], [18, 22], [21, 23, 24]]
46: [[2, 10], [20, 7], [11, 6], [14, 8, 9], [15, 5, 4, 12], [13, 19, 1], [16, 17, 18, 22, 21, 3], [23, 24]]
47: [[2, 10], [20, 7], [11, 6], [14, 8, 9], [15, 5], [4, 12, 13, 1], [19, 16, 17, 18, 3], [22, 21, 23, 24]]
48: [[9, 2], [20], [7, 11, 6, 14, 8, 10], [15, 5, 4], [12, 13], [19, 16, 1, 3], [17, 18], [22, 21], [23, 24]]
49: [[2, 10], [20, 7], [11, 6, 9], [14, 8], [15, 5], [4, 12], [13, 19, 16, 17, 18, 1, 3], [22, 21, 23, 24]]
