0: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
41: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
42: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
43: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
44: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
45: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
46: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
47: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
48: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
49: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
50: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
51: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
52: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
53: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
54: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
55: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
56: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
57: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
58: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
59: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
