0: [[17, 2, 1], [6, 5], [3, 11], [15, 7], [4, 8], [12, 22, 10, 13, 9, 14, 18, 16, 23, 19], [20, 29, 25], [21, 26, 27], [24, 28]]
14: [[17, 2, 1], [6, 5], [3, 11, 15], [7, 4, 8, 12, 22, 10], [9, 13], [16, 14, 19, 18, 21], [20, 25, 27, 23, 24, 29, 26, 28]]
15: [[17, 2, 1], [6, 5], [3, 11, 15, 7], [4, 8], [9, 21, 10, 14], [13, 16, 23, 20, 19, 25, 12, 22], [18, 24, 27, 28, 26, 29]]
16: [[17, 2, 1], [6, 5], [3, 11], [15, 7], [4, 8], [12, 22, 10], [13, 9, 14, 19], [16, 23, 18], [21, 27], [24, 20], [26, 25, 28, 29]]
17: [[17, 2, 1], [6, 5], [3, 11], [15, 7], [4, 8, 12, 22, 10, 13, 9, 14, 18, 16, 21, 19, 20, 29, 25, 23, 26, 27, 24, 28]]
18: [[17, 2, 1], [6, 5], [3, 11], [15, 7], [4, 8, 9], [22, 10, 13, 12, 14, 16, 18, 23, 19, 20, 24, 25, 21, 26, 27, 29], [28]]
19: [[17, 2, 1], [6, 5], [3, 11], [15, 7, 4, 8], [12, 22, 10], [13, 9], [18, 14, 16, 19, 20], [23, 27], [26, 21, 24, 28, 25, 29]]
20: [[17, 2, 1], [6, 5], [3, 11], [15, 7, 4], [8, 12], [22, 10, 13, 14, 18, 9, 16, 23, 21, 19, 25, 27, 20, 26, 29, 24, 28]]
21: [[17, 2, 1], [6, 5, 3], [11, 15], [7, 4, 8], [12, 22], [10, 13], [14, 18, 9, 16, 19], [20, 21, 25, 26, 23, 24, 28, 27, 29]]
22: [[17, 2, 1], [6, 5, 3, 11, 15], [7, 4, 8], [12, 22], [9, 13], [14, 10, 18, 16, 23, 21], [19, 29, 20], [25, 27, 26], [28, 24]]
23: [[17, 2, 1], [6, 5, 3], [11, 15, 7], [4, 8, 12], [22, 10], [13, 9, 14, 18], [16, 20, 19, 23], [25, 24, 21, 27, 26, 29, 28]]
24: [[17, 2, 1], [6, 5], [3, 11], [15, 7], [4, 9], [13, 18, 12], [8, 10], [14, 21, 19, 22, 16, 20, 25, 23, 29, 26, 24, 28, 27]]
25: [[17, 2, 1, 6], [5, 3, 11, 15, 7, 4, 8, 12, 22, 10, 9, 13, 14, 18, 16, 19, 20, 21, 27, 23, 26], [25, 24, 29, 28]]
26: [[17, 2, 1], [6, 5], [3, 11], [15, 7, 4, 8], [12, 22, 10], [13, 14, 18], [9, 16, 19, 21], [20, 27], [26, 23, 25, 28], [24, 29]]
27: [[17, 2, 1], [6, 5], [3, 11], [15, 7, 4], [8, 12], [9, 13, 19], [10, 20, 18], [29, 26], [21, 16, 22, 27, 25, 28, 23, 24, 14]]
28: [[17, 2, 1], [6, 5], [3, 11, 15], [7, 4, 12, 8], [14], [10, 21, 9, 13], [19, 23, 16, 18, 29, 25], [22, 20, 26], [28, 24, 27]]
29: [[17, 2, 1], [6, 5, 3], [11, 15], [7, 4], [8, 12], [22, 10, 13, 9], [14, 18, 16], [20, 19, 23], [29, 25], [21, 26], [27, 24, 28]]
30: [[17, 2, 1], [6, 5, 3], [11, 15], [7, 4, 8, 9, 12, 13, 21, 19], [20, 18, 29, 24, 16, 23, 25, 27, 22, 28, 10, 26, 14]]
31: [[17, 2, 1], [6, 5], [3, 11, 15], [7, 4, 8], [12], [22, 9, 10, 13, 18, 14], [19, 16, 23, 21, 24, 27], [20, 25, 28, 26, 29]]
32: [[17, 2, 1], [6, 5, 3], [11, 15, 7], [4, 8], [12, 22, 10, 13, 9, 14, 18, 16, 23, 20, 19, 25, 28, 21, 26, 27, 24, 29]]
33: [[17, 2, 1], [6, 5, 3, 11], [15, 7, 4, 8, 12, 22, 10, 13, 9, 14, 18, 16, 20, 19, 23, 25, 26, 21, 29, 27, 24, 28]]
34: [[17, 2, 1], [6, 5], [3, 11, 15], [7, 4, 8, 12], [22, 10], [13, 9, 14], [25, 16], [19, 20], [18, 29, 21, 23], [26, 27, 24, 28]]
35: [[17, 2, 1], [6, 5, 3], [11, 15, 7], [4, 8, 12], [13, 9, 10, 22], [25, 16, 21], [19, 18, 29, 27, 20, 23, 26, 24, 28, 14]]
36: [[17, 2], [1, 6], [5, 3, 11], [15, 7], [4, 9], [13, 20, 18, 10], [23, 19, 21, 12, 22], [24, 25, 16, 8], [26, 27], [28, 29], [14]]
37: [[17, 2], [1, 6], [5, 3, 11], [15, 7], [4, 9], [13, 20, 18, 10], [23, 19, 21, 12, 22], [24, 25, 16, 8], [26, 27], [28, 29], [14]]
38: [[17, 2, 1], [6, 5], [3, 11], [15, 7], [4, 9], [13, 22], [10, 12, 8], [14, 21], [19, 23, 16, 20, 29, 18, 25, 26, 24, 28, 27]]
39: [[17, 2, 1, 6], [5, 3], [11, 15], [7, 4, 8], [12, 22], [13, 10, 9, 14, 18, 16, 23], [19, 21, 29, 25, 20, 26], [27, 24, 28]]
40: [[17, 2, 1], [6, 5], [3, 11], [15, 7, 4], [8, 12, 22], [10, 13], [14, 9, 18, 16], [19, 21, 20, 25, 24, 23, 26], [27, 28], [29]]
41: [[17, 2, 1], [6, 5], [3, 11, 15], [7, 4, 8], [12, 22, 14], [13, 9, 16], [10, 19], [21, 20, 23], [25, 18, 27], [26, 28, 24, 29]]
42: [[17, 2, 1], [6, 5, 3, 11, 15, 7, 4, 8, 12, 22, 10, 13, 9, 14, 18, 16, 23, 20, 21, 27, 26, 19, 25, 24], [28, 29]]
43: [[17, 2, 1], [6, 5, 3, 11, 15], [7, 4, 8, 12], [22, 9, 13, 14, 10, 26, 19, 21], [20, 16, 29, 18, 24, 23, 25, 28], [27]]
44: [[17, 2, 1], [6, 5, 3, 11, 15, 7, 4, 8, 12, 21, 9, 10, 13, 18, 14, 19, 16, 20, 23, 24, 26, 22, 25, 28], [27, 29]]
45: [[17, 2, 1], [6, 5, 3, 11, 15, 7, 4, 8, 12, 22, 10, 9, 13, 18, 14, 16, 19, 21, 20, 25, 26, 23, 24, 28], [27, 29]]
46: [[17, 2, 1, 6, 5, 3, 11, 15], [7, 4, 12, 8, 13, 10, 18], [21, 9, 14, 23, 16, 22, 28], [27, 19, 20, 26, 29, 25, 24]]
47: [[17, 2, 1, 6], [5, 3], [11, 15], [7, 4, 8], [12, 22], [10, 13, 9, 14, 18, 16, 23, 19, 20, 29, 25, 21, 26, 27, 24, 28]]
48: [[17, 2, 1], [6, 5, 3, 11, 15, 7, 4, 8], [12, 22, 10, 13, 9, 18, 14, 19, 16, 21, 23, 25, 27, 20, 26, 28], [24, 29]]
49: [[17, 2, 1], [6, 5, 3, 11, 15, 7, 4, 8, 12], [22, 14, 13], [9, 18, 10], [16, 23], [19, 20, 29, 21, 25, 26, 24, 27, 28]]
50: [[17, 2, 1], [6, 5, 3, 11, 15, 7, 4, 8, 12, 22], [10, 9, 13], [18, 14, 19], [20, 21], [23, 25], [28, 16, 24, 26, 27, 29]]
51: [[17, 2], [1, 6], [5, 3], [11, 15], [7, 4, 8], [12, 20, 10, 13, 14, 18, 9, 16, 19, 21, 22, 29, 25, 23, 26], [24, 27, 28]]
52: [[17, 2, 1, 6], [5, 3], [11, 15, 7], [4, 8], [12, 22], [10, 13, 9], [14, 25, 16, 19], [18, 20, 23], [24, 21], [27, 26, 29, 28]]
53: [[17, 2], [1, 6, 5, 3, 11, 15], [7, 4, 9, 13], [18, 10, 12], [8, 14], [16, 19, 22], [20, 21, 24, 23], [29, 26, 27], [25, 28]]
54: [[17, 2], [1, 6], [5, 3, 11, 15, 7], [4, 8, 12, 20], [10, 13, 14, 18, 9], [16, 19, 21, 23, 25, 24, 22, 26, 28, 27, 29]]
55: [[17, 2, 1, 6], [5, 3], [11, 15], [7, 4, 8], [12, 24], [9, 14, 10], [18, 13, 22], [16], [19, 21, 23, 26], [20, 25, 27, 28, 29]]
56: [[17, 2], [1, 6], [5, 3, 11], [15, 7, 4], [8, 13, 22, 9, 10, 14, 18, 12, 19, 16, 21, 23, 24, 27, 25, 26], [28, 20, 29]]
57: [[17, 2, 1], [6, 5, 3], [11, 15, 7], [4, 8, 12], [22, 10, 9], [13, 14, 18], [16, 21, 20, 19], [27, 24], [23, 29, 26], [28, 25]]
58: [[17, 2, 1, 6], [5, 3], [11, 15], [7, 4], [8, 12], [22, 10, 13, 9], [14, 18, 16], [21, 19, 20], [29, 27, 23, 25, 26, 24, 28]]
59: [[17, 2, 1], [6, 5, 3, 11, 15, 7], [4, 8, 12, 24], [10, 9, 13], [16, 14, 18], [19, 20, 21], [25, 23], [22, 27, 26, 29], [28]]
