0: [[16, 4, 5, 6, 3], [1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
29: [[16, 4, 5, 6, 3], [1, 9], [13, 2, 11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18], [22, 23, 21, 24]]
30: [[16, 4, 5, 6, 3, 1], [9, 13, 2], [11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18], [22, 23, 21, 24]]
31: [[16, 4, 5, 6, 3, 1], [9, 13, 2], [11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18], [22, 23, 21, 24]]
32: [[16, 4, 5, 6, 3, 1], [9, 13, 2, 11, 7, 8, 14, 10, 15], [12, 20], [19, 17, 18, 22], [23, 21, 24]]
33: [[16, 4], [5, 6, 3, 1, 9], [13, 2, 11, 7, 8, 14, 10, 15, 12], [20, 19, 17, 18, 22], [23, 21, 24]]
34: [[16, 4], [5, 6, 3, 1, 9], [13, 2, 11, 7, 8, 14], [10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
35: [[16, 4], [5, 6, 3, 1, 9], [13, 2, 11, 7, 8, 14], [10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
36: [[16, 4], [5, 6, 3, 1, 9, 13], [2, 11], [7, 8, 14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
37: [[16, 4], [5, 6, 3, 1, 9, 13], [2, 11, 7, 8], [14, 10, 15, 12, 20, 19, 17, 18], [22, 23, 21, 24]]
38: [[16, 4], [5, 6, 3, 1], [9, 13, 2, 11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
39: [[16, 4, 5, 6, 3, 1, 9, 13, 2, 11], [7, 8], [14, 10, 15, 12, 20], [19, 17, 18, 22], [23, 21, 24]]
40: [[16, 4, 5, 6, 3, 1, 9, 13, 2, 11], [7, 8], [14, 10, 15], [12, 20, 19, 17, 18, 22], [23, 21, 24]]
41: [[16, 4, 5, 6, 3, 1, 9, 13], [2, 11], [7, 8, 14, 10, 15], [12, 20, 19, 17, 18], [22, 23, 21, 24]]
42: [[16, 4, 5, 6, 3, 1, 9, 13, 2, 11], [7, 8], [14, 10, 15, 12], [20, 19, 17, 18, 22], [23, 21, 24]]
43: [[16, 4, 5, 6], [3, 1, 9, 13, 2, 11], [7, 8, 14, 10, 15, 12, 20, 19], [17, 18], [22, 23, 21, 24]]
44: [[16, 4, 5, 6, 3, 1], [9, 13, 2, 11], [7, 8], [14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
45: [[16, 4, 5, 6], [3, 1, 9, 13, 2, 11, 7, 8, 14], [10, 15], [12, 20, 19, 17, 18], [22, 23, 21, 24]]
46: [[16, 4, 5, 6, 3], [1, 9], [13, 2, 11, 7, 8, 14, 10, 15, 12], [20, 19, 17, 18, 22, 23], [21, 24]]
47: [[16, 4, 5], [6, 3], [1, 9, 13, 2, 11, 7, 8, 14, 10], [15, 12, 20, 19, 17], [18, 22, 23, 21, 24]]
48: [[16, 4, 5, 6, 3], [1, 9, 13, 2, 11], [7, 8], [14, 10, 15, 12, 20, 19, 17, 18, 22, 23], [21, 24]]
49: [[16, 4], [5, 6, 3, 1, 9, 13, 2, 11, 7, 8], [14, 10, 15, 12, 20], [19, 17, 18, 22, 23], [21, 24]]
