0: [[20, 3, 22, 4, 9, 1, 2], [12, 7, 5], [10, 6, 14, 37], [29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17], [28, 25], [21, 27], [23, 31, 30, 34, 33, 32], [35, 36]]
11: [[20, 3, 22], [4, 9, 1], [2, 12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17], [28, 25, 21], [27, 23, 31], [30, 34, 33, 32, 35, 36]]
12: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17], [28, 25, 21], [27, 23, 31], [30, 34, 33], [32, 35, 36]]
13: [[20, 3, 22], [4, 9], [1, 2, 12], [7, 5, 10], [6, 14, 37], [29, 8, 11], [15, 19], [13, 26, 16], [24, 18, 17], [28, 25, 21], [27, 23, 31], [30, 34, 33], [32, 35, 36]]
14: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10], [6, 14, 37, 29], [8, 11, 15], [19, 13, 26], [16, 24, 18], [17, 28, 25], [21, 27, 23], [31, 30, 34, 33], [32, 35, 36]]
15: [[20, 3, 22], [4, 9, 1, 2], [12, 7], [5, 10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26], [16, 24, 18], [17, 28, 25], [21, 27], [23, 31, 30], [34, 33, 32, 35, 36]]
16: [[20, 3], [22, 4, 9], [1, 2, 12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17], [28, 25, 21], [27, 23, 31], [30, 34, 33, 32, 35, 36]]
17: [[20, 3, 22], [4, 9, 1, 2], [12, 7, 5], [10, 6], [14, 37, 29], [8, 11, 15], [19, 13, 26], [16, 24, 18], [17, 28, 25], [21, 27, 23], [31, 30, 34], [33, 32, 35, 36]]
18: [[20, 3, 22], [4, 9, 1], [2, 12], [7, 5, 10], [6, 14, 37], [29, 8, 11], [15, 19, 13, 26], [16, 24, 18], [17, 28, 25], [21, 27, 23, 31], [30, 34, 33], [32, 35, 36]]
19: [[20, 3], [22, 4, 9], [1, 2, 12], [7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17], [28, 25, 21], [27, 23, 31], [30, 34, 33], [32, 35, 36]]
20: [[20, 3, 22], [4, 9], [1, 2, 12], [7, 5, 10], [6, 14, 37], [29, 8, 11], [15, 19, 13], [26, 16], [24, 18, 17], [28, 25, 21], [27, 23, 31], [30, 34, 33], [32, 35, 36]]
21: [[20, 3, 22], [4, 9], [1, 2, 12], [7, 5, 10], [6, 14, 37], [29, 8, 11], [15, 19, 13], [26, 16], [24, 18, 17], [28, 25, 21], [27, 23, 31], [30, 34, 33], [32, 35, 36]]
22: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6], [14, 37, 29], [8, 11, 15, 19], [13, 26, 16], [24, 18, 17], [28, 25, 21], [27, 23], [31, 30, 34], [33, 32, 35], [36]]
23: [[20, 3], [22, 4, 9], [1, 2], [12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26], [16, 24, 18], [17, 28, 25], [21, 27, 23], [31, 30], [34, 33], [32, 35, 36]]
24: [[20, 3], [22, 4, 9], [1, 2, 12], [7, 5, 10], [6, 14, 37], [29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17], [28, 25, 21], [27, 23, 31], [30, 34, 33], [32, 35, 36]]
25: [[20, 3], [22, 4], [9, 1, 2], [12, 7], [5, 10, 6], [14, 37], [29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17], [28, 25, 21], [27, 23, 31], [30, 34, 33], [32, 35, 36]]
26: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6], [14, 37, 29], [8, 11, 15], [19, 13, 26], [16, 24, 18], [17, 28, 25], [21, 27], [23, 31, 30, 34], [33, 32, 35], [36]]
27: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26], [16, 24, 18], [17, 28, 25], [21, 27, 23], [31, 30], [34, 33], [32, 35, 36]]
28: [[20, 3], [22, 4, 9], [1, 2, 12], [7, 5, 10, 6], [14, 37, 29], [8, 11, 15], [19, 13, 26], [16, 24, 18, 17], [28, 25, 21, 27], [23, 31, 30, 34, 33, 32, 35, 36]]
29: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6], [14, 37, 29], [8, 11, 15, 19], [13, 26], [16, 24, 18, 17], [28, 25], [21, 27, 23], [31, 30], [34, 33, 32, 35, 36]]
30: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6], [14, 37, 29], [8, 11, 15], [19, 13, 26], [16, 24, 18], [17, 28, 25], [21, 27, 23], [31, 30, 34], [33, 32], [35, 36]]
31: [[20, 3, 22, 4, 9, 1], [2, 12, 7], [5, 10, 6, 14], [37, 29], [8, 11, 15], [19, 13, 26], [16, 24, 18], [17, 28, 25], [21, 27], [23, 31], [30, 34, 33], [32, 35, 36]]
32: [[20, 3, 22], [4, 9], [1, 2, 12], [7, 5, 10], [6, 14, 37], [29, 8, 11], [15, 19, 13, 26], [16, 24, 18], [17, 28], [25, 21], [27, 23, 31, 30, 34, 33], [32, 35], [36]]
33: [[20, 3], [22, 4, 9], [1, 2, 12], [7, 5, 10], [6, 14, 37], [29, 8, 11], [15, 19], [13, 26, 16], [24, 18, 17], [28, 25, 21], [27, 23, 31, 30], [34, 33, 32], [35, 36]]
34: [[20, 3], [22, 4, 9], [1, 2, 12], [7, 5, 10], [6, 14, 37], [29, 8, 11], [15, 19], [13, 26, 16], [24, 18, 17], [28, 25, 21], [27, 23, 31, 30], [34, 33, 32], [35, 36]]
35: [[20, 3, 22, 4], [9, 1, 2], [12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19, 13], [26, 16, 24], [18, 17], [28, 25, 21], [27, 23, 31], [30, 34, 33], [32, 35, 36]]
36: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6], [14, 37, 29], [8, 11, 15], [19, 13, 26], [16, 24, 18], [17, 28, 25], [21, 27, 23, 31], [30, 34, 33], [32, 35, 36]]
37: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6], [14, 37, 29], [8, 11, 15], [19, 13, 26], [16, 24, 18], [17, 28, 25], [21, 27], [23, 31, 30], [34, 33], [32, 35, 36]]
38: [[20, 3, 22], [4, 9], [1, 2, 12], [7, 5, 10], [6, 14], [37, 29], [8, 11, 15], [19, 13, 26], [16, 24, 18], [17, 28, 25], [21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
39: [[20, 3], [22, 4], [9, 1], [2, 12, 7], [5, 10], [6, 14], [37, 29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17], [28, 25, 21], [27, 23, 31], [30, 34, 33], [32, 35, 36]]
40: [[20, 3, 22, 4, 9, 1, 2], [12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19, 13], [26, 16, 24], [18, 17, 28], [25, 21, 27, 23], [31, 30, 34, 33], [32, 35, 36]]
41: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17, 28], [25, 21, 27], [23, 31, 30], [34, 33, 32], [35, 36]]
42: [[20, 3], [22, 4, 9], [1, 2], [12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26], [16, 24, 18, 17], [28, 25, 21, 27, 23, 31, 30], [34, 33, 32, 35, 36]]
43: [[20, 3], [22, 4, 9, 1], [2, 12], [7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17], [28], [25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
44: [[20, 3, 22, 4], [9, 1, 2], [12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26], [16, 24], [18, 17, 28, 25, 21, 27, 23, 31, 30, 34, 33], [32, 35, 36]]
45: [[20, 3], [22, 4, 9], [1, 2], [12, 7, 5], [10, 6, 14, 37], [29, 8, 11], [15, 19, 13], [26, 16, 24], [18, 17, 28], [25, 21, 27], [23, 31, 30], [34, 33, 32, 35], [36]]
46: [[20, 3, 22, 4, 9, 1, 2], [12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19, 13, 26, 16, 24, 18, 17, 28, 25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
47: [[20, 3, 22, 4], [9, 1, 2], [12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26, 16, 24], [18, 17, 28], [25], [21, 27, 23, 31, 30, 34, 33], [32, 35, 36]]
48: [[20, 3, 22, 4], [9, 1, 2], [12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26, 16, 24], [18, 17, 28, 25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
49: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6], [14, 37, 29], [8, 11, 15], [19, 13, 26], [16, 24, 18], [17, 28, 25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
50: [[20, 3, 22], [4, 9, 1], [2, 12], [7, 5, 10, 6, 14, 37, 29, 8], [11, 15, 19, 13, 26, 16, 24, 18, 17, 28, 25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
51: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6], [14, 37, 29], [8, 11, 15], [19, 13, 26], [16, 24, 18], [17, 28], [25, 21, 27], [23, 31, 30], [34, 33, 32], [35, 36]]
52: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6], [14, 37, 29], [8, 11, 15], [19, 13, 26], [16, 24], [18, 17, 28, 25], [21, 27, 23, 31, 30, 34, 33], [32, 35, 36]]
53: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6, 14, 37, 29, 8, 11, 15, 19, 13, 26, 16, 24, 18, 17, 28, 25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
54: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6, 14], [37, 29, 8, 11], [15, 19, 13, 26, 16, 24, 18, 17], [28, 25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
55: [[20, 3], [22, 4], [9, 1, 2], [12, 7, 5], [10, 6], [14, 37, 29], [8, 11, 15], [19, 13], [26, 16, 24], [18, 17], [28, 25, 21], [27, 23, 31], [30, 34, 33], [32, 35, 36]]
56: [[20, 3, 22], [4, 9], [1, 2, 12], [7, 5, 10], [6, 14], [37, 29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17], [28, 25, 21, 27, 23, 31, 30], [34, 33], [32, 35, 36]]
57: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6], [14, 37, 29], [8, 11, 15], [19, 13, 26], [16, 24], [18, 17, 28], [25, 21, 27], [23, 31, 30, 34], [33, 32, 35], [36]]
58: [[20, 3, 22], [4, 9, 1, 2], [12, 7, 5], [10, 6], [14, 37, 29], [8, 11, 15], [19, 13, 26], [16, 24, 18, 17, 28, 25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
59: [[20, 3], [22, 4, 9], [1, 2, 12, 7], [5, 10, 6], [14, 37, 29, 8], [11, 15, 19], [13, 26, 16, 24, 18, 17, 28, 25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
60: [[20, 3], [22, 4], [9, 1, 2], [12], [7, 5, 10, 6, 14, 37, 29, 8, 11, 15, 19, 13, 26, 16, 24, 18, 17, 28, 25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
61: [[20, 3, 22, 4], [9, 1, 2], [12, 7, 5], [10, 6, 14], [37, 29, 8, 11, 15, 19, 13, 26, 16, 24, 18, 17, 28, 25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
62: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6], [14, 37, 29], [8, 11, 15], [19, 13, 26], [16, 24], [18, 17, 28], [25, 21, 27, 23], [31, 30, 34, 33], [32, 35, 36]]
63: [[20, 3], [22, 4], [9, 1, 2], [12, 7, 5], [10, 6], [14, 37], [29, 8, 11], [15, 19, 13], [26, 16, 24], [18, 17, 28], [25, 21, 27], [23, 31, 30], [34, 33, 32], [35, 36]]
64: [[20, 3, 22], [4, 9, 1, 2], [12, 7], [5, 10], [6, 14, 37, 29, 8, 11, 15, 19, 13, 26, 16, 24, 18, 17, 28, 25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
65: [[20, 3], [22, 4, 9], [1, 2, 12], [7, 5, 10], [6, 14], [37, 29], [8, 11, 15], [19, 13, 26], [16, 24, 18], [17, 28], [25, 21], [27, 23, 31], [30, 34, 33], [32, 35, 36]]
66: [[20, 3], [22, 4, 9], [1, 2, 12], [7, 5, 10], [6, 14, 37, 29, 8, 11, 15, 19, 13, 26], [16, 24, 18, 17, 28, 25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
67: [[20, 3], [22, 4, 9], [1, 2, 12, 7, 5, 10], [6, 14, 37, 29, 8, 11, 15, 19, 13, 26, 16, 24, 18, 17, 28, 25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
68: [[20, 3], [22, 4], [9, 1], [2, 12, 7], [5, 10, 6], [14, 37, 29], [8, 11, 15], [19, 13], [26, 16, 24], [18, 17], [28, 25, 21], [27, 23, 31], [30, 34, 33], [32, 35, 36]]
69: [[20, 3, 22, 4], [9], [1, 2, 12, 7, 5, 10, 6, 14, 37, 29, 8, 11, 15, 19, 13, 26, 16, 24, 18, 17, 28, 25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
70: [[20, 3], [22, 4, 9, 1], [2, 12, 7], [5, 10, 6], [14, 37, 29], [8, 11, 15], [19, 13, 26], [16, 24, 18, 17, 28, 25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
71: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6], [14, 37, 29], [8, 11], [15, 19, 13], [26, 16, 24], [18, 17, 28], [25, 21, 27], [23, 31, 30], [34, 33, 32], [35, 36]]
72: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6], [14, 37, 29], [8, 11], [15, 19, 13], [26, 16, 24], [18, 17, 28], [25, 21, 27], [23, 31, 30], [34, 33, 32], [35, 36]]
73: [[20, 3, 22], [4, 9, 1], [2, 12, 7], [5, 10, 6], [14, 37, 29], [8, 11, 15, 19, 13, 26, 16, 24, 18, 17, 28, 25, 21, 27, 23, 31, 30, 34, 33, 32, 35, 36]]
