0: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 12], [5, 6, 11, 13, 17, 20, 22, 23, 14], [18, 28, 24, 10], [21, 27, 25, 26, 29]]
13: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 13], [5, 6, 10, 11, 29, 12, 14, 20, 17], [23, 22, 18, 26], [21, 24, 28, 25, 27]]
14: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 13], [5, 10, 11, 14, 6, 22, 12, 18, 23], [17, 20, 25, 21], [27, 26, 24, 29, 28]]
15: [[9, 16, 19, 7, 2], [1, 3, 15, 4], [8, 12, 5, 6, 10, 11], [28, 13, 14, 29, 23, 22, 17, 25, 18], [24, 20, 21, 26, 27]]
16: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 12], [5, 6, 10, 29], [13, 21, 14, 22, 11, 20, 23, 17, 24], [27, 18, 25, 26, 28]]
17: [[9, 16, 19, 7, 2], [1, 3, 15, 4, 8, 13], [5, 6, 11, 10, 29, 14, 12, 24, 21], [18, 17, 20, 22], [27, 25, 26, 23, 28]]
18: [[9, 16, 19, 7, 2], [1, 3, 15, 4, 8, 12, 5, 14, 10], [11, 6, 13, 17], [29, 21, 20, 18, 23, 22], [26, 25, 28, 27, 24]]
19: [[9, 16, 19, 7], [2, 1, 3, 15, 4, 8, 12, 6, 11], [10, 13, 5, 22, 20, 23], [21, 14, 18, 17, 25], [27, 24, 29, 26, 28]]
20: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 13], [5, 6, 11, 10, 12, 14, 23, 20, 17], [18, 22, 21, 24], [26, 25, 28, 27, 29]]
21: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 13, 5, 6, 10, 11], [12, 14, 21, 20, 17], [18, 22, 23, 24], [27, 25, 29, 26, 28]]
22: [[9, 16, 19, 7, 2, 1, 3, 15, 4], [8, 12, 5, 6, 10, 11], [22, 13, 14, 29, 17], [18, 25, 23, 24], [20, 27, 21, 26, 28]]
23: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8], [13, 5, 14, 10, 6, 26, 11, 12, 21], [23, 20, 22, 17, 28], [18, 25, 24, 27, 29]]
24: [[9, 16, 19, 7, 2], [1, 3, 15, 4, 8, 12], [5, 6, 10, 13], [11, 14, 17, 25, 18, 23, 20, 24, 21], [28, 22, 26, 27, 29]]
25: [[9, 16, 19, 7, 2, 1, 3, 15, 4], [8, 12, 5, 6, 10, 11], [28, 13, 14, 29], [23, 22, 17, 25, 18], [24, 20, 21, 26, 27]]
26: [[9, 16, 19, 7], [2, 1, 3, 15, 4, 8, 12, 6, 13], [11, 10, 14, 5, 17], [29, 21, 22, 18, 20, 25], [23, 26, 24, 27, 28]]
27: [[9, 16, 19, 7], [2, 1, 3, 15, 4, 8, 12, 5, 6], [10, 11, 13, 14, 17, 20], [18, 22, 23, 25, 21], [26, 27, 28, 29, 24]]
28: [[9, 16, 19, 7, 2, 1, 3, 15, 4], [8, 12, 5, 6, 10, 11], [13, 14, 17, 21, 23], [20, 18, 22, 25], [24, 27, 28, 29, 26]]
29: [[9, 16, 19, 7], [2, 1, 3, 15, 4, 8, 12, 5, 6], [10, 11, 29, 13, 14], [21, 20, 17, 23, 18, 22], [27, 24, 25, 26, 28]]
30: [[9, 16, 19, 7], [2, 1, 3, 15, 4, 8, 12, 5, 6], [10, 11, 29, 14, 13], [21, 17, 18, 23, 22, 20], [25, 27, 24, 26, 28]]
31: [[9, 16, 19, 7], [2, 1, 3, 15, 4, 8], [12, 5, 6, 10, 11], [14, 13, 17, 25, 20, 21, 22, 18, 26], [24, 23, 27, 28, 29]]
32: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 12], [5, 6, 11, 10, 28, 13, 14, 25, 17], [18, 22, 20, 26], [21, 23, 24, 27, 29]]
33: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 12], [5, 10, 11, 14, 13, 6, 17, 21, 18], [22, 20, 26, 24], [23, 27, 25, 28, 29]]
34: [[9, 16, 19, 7, 2], [1, 3, 15, 4, 8, 12, 5, 6, 10], [11, 14, 22, 20], [13, 17, 23, 21, 18, 26], [27, 24, 25, 29, 28]]
35: [[9, 16, 19, 7, 2], [1, 3, 15, 4, 8, 13], [5, 6, 11, 10], [27, 22, 26, 28, 14, 21, 12, 18, 17], [23, 20, 25, 24, 29]]
36: [[9, 16, 19, 7], [2, 1, 3, 15, 4, 8, 12, 5, 6], [10, 25, 11, 13, 14, 17], [27, 21, 20, 23, 22], [18, 26, 28, 29, 24]]
37: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 12], [5, 6, 10, 11, 13, 14, 17, 20, 22], [18, 28, 21, 26], [23, 24, 25, 27, 29]]
38: [[9, 16, 19, 7, 2, 1, 3, 15, 4], [8, 13, 5, 6, 10], [14, 11, 12, 25, 17, 20], [18, 21, 22, 23], [26, 27, 24, 28, 29]]
39: [[9, 16, 19, 7, 2], [1, 3, 15, 4, 8, 5, 6, 13, 10], [11, 17, 20, 12], [21, 18, 22, 27, 24, 14], [25, 28, 23, 26, 29]]
40: [[9, 16, 19, 7, 2], [1, 3, 15, 4, 8, 5], [6, 10, 11, 14, 26, 13, 12, 23, 21], [17, 18, 22, 20], [24, 25, 27, 29, 28]]
41: [[9, 16, 19, 7], [2, 1, 3, 15, 4, 8, 13, 5, 14], [10, 11, 6, 12, 17], [28, 20, 21, 18, 22, 23], [26, 25, 27, 24, 29]]
42: [[9, 16, 19, 7], [2, 1, 3, 15, 4, 8], [12, 5, 6, 27, 10], [11, 13, 17, 20, 14, 23, 29, 22, 24], [18, 21, 25, 26, 28]]
43: [[9, 16, 19, 7], [2, 1, 3, 15, 4, 8, 13, 5, 6], [10, 11, 12, 22, 14], [29, 17, 20, 18, 21, 25], [23, 26, 27, 24, 28]]
44: [[9, 16, 19, 7, 2, 1, 3, 15, 4], [8, 5, 6, 11, 10, 12], [14, 13, 18, 29, 23], [22, 17, 20, 21], [24, 26, 25, 27, 28]]
45: [[9, 16, 19, 7, 2, 1, 3, 15, 4], [8, 5, 6, 11], [10, 14, 12, 13, 17, 29], [21, 22, 18, 20, 23], [25, 26, 27, 24, 28]]
46: [[9, 16, 19, 7], [2, 1, 3, 15, 4, 8], [11, 5, 13, 10, 14], [12, 21, 6, 24, 25, 23, 28, 17, 29], [18, 20, 26, 27, 22]]
47: [[9, 16, 19, 7], [2, 1, 3, 15, 4, 8], [12, 5, 10, 6, 11], [13, 18, 29, 20, 28, 21, 14, 22, 26], [17, 24, 27, 23, 25]]
48: [[9, 16, 19, 7, 2, 1, 3, 15, 4], [8, 12, 5, 11], [10, 14, 13, 6, 20, 17], [18, 25, 27, 22, 21], [23, 24, 26, 29, 28]]
49: [[9, 16, 19, 7], [2, 1, 3, 15, 4, 8, 12, 5, 14], [6, 27, 26, 11, 10, 21], [13, 17, 23, 18, 20], [22, 24, 25, 29, 28]]
50: [[9, 16, 19, 7, 2, 1, 3, 15, 4], [8, 12, 5, 10, 6], [11, 13, 20, 22, 14, 18], [17, 23, 24, 27], [21, 25, 28, 26, 29]]
51: [[9, 16, 19, 7, 2, 1, 3, 15, 4], [8, 13, 5, 10, 6], [14, 12, 11, 28, 21, 20], [17, 22, 24, 18], [27, 26, 25, 23, 29]]
52: [[9, 16, 19, 7, 2, 1, 3, 15, 4], [8, 13, 5, 6, 10], [11, 12, 14, 23, 20, 18], [17, 22, 21, 26], [27, 24, 28, 25, 29]]
53: [[9, 16, 19, 7, 2, 1, 3, 15, 4], [8, 12, 5, 6, 10, 11], [14, 13, 29, 25, 21], [17, 23, 18, 26], [20, 22, 24, 28, 27]]
54: [[9, 16, 19, 7], [2, 1, 3, 15, 4], [8, 12, 6, 10, 5, 11], [21, 13, 20, 29, 14, 23, 26, 17, 18], [27, 24, 22, 25, 28]]
55: [[9, 16, 19, 7, 2, 1, 3, 15, 4], [8, 12, 5, 6], [10, 11, 13, 29, 18, 14], [17, 20, 25, 23, 21], [22, 26, 24, 27, 28]]
56: [[9, 16, 19, 7], [2, 1, 3, 15, 4], [8, 13, 5, 6, 10, 14, 26, 11, 25], [21, 12, 18, 17, 23, 20], [22, 24, 28, 27, 29]]
57: [[9, 16, 19, 7, 2, 1, 3, 15, 4], [8, 13, 5, 6], [10, 11, 14, 12, 24, 25], [21, 20, 18, 22, 23], [26, 17, 27, 29, 28]]
58: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 13, 5, 6, 10, 11], [14, 12, 21, 28, 17], [18, 20, 23, 26], [22, 24, 29, 25, 27]]
59: [[9, 16, 19, 7, 2, 1, 3, 15, 4], [8, 12, 5, 14], [10, 6, 13, 23, 11, 25], [20, 21, 22, 24, 17], [18, 26, 27, 28, 29]]
