0: [[33], [20, 35, 3, 1, 2], [9, 5, 7], [24, 12], [8, 14, 15, 13, 4, 6, 10, 21], [11, 25, 27, 17], [31], [26, 22, 23], [28], [30], [19], [50, 37, 16, 29], [40, 32, 18], [46], [34, 36], [47, 44, 39, 42], [49, 57], [38], [41, 52], [43, 54], [45, 58], [48, 51], [53, 56, 55], [59], [60]]
17: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 6, 10, 23, 15, 13, 17, 22, 16, 28, 18, 25, 21, 26], [30, 29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 57, 58, 60]]
18: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 13, 6, 10, 18, 15, 16, 22, 25, 17, 28, 23, 21, 26], [29, 31, 30, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 51, 57, 58, 59, 60]]
19: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 6, 10, 15, 13, 16, 17, 18, 25, 23, 21, 26, 22, 28], [30, 31, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 59, 58, 60]]
20: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 26, 15, 16, 13, 23, 25, 17, 18, 22, 28, 10, 21, 6], [30, 29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 58, 59, 60]]
21: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 10, 6, 15, 13, 18, 25, 16, 17, 23, 21, 26, 28, 22], [30, 31, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 51, 57, 59, 58, 60]]
22: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 10, 15, 13, 6, 18, 25, 17, 16, 30, 21, 28, 23, 22, 26], [29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 58, 51, 59, 57, 60]]
23: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 10, 6, 17, 13, 15, 16, 21, 18, 23, 22, 25, 28, 26, 30], [31, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 59, 58, 60]]
24: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 13, 15, 17, 18, 16, 30, 22, 23, 25, 26, 28, 10, 21, 6], [29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 58, 57, 60]]
25: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 26, 15, 13, 23, 18, 17, 16, 25, 30, 22, 28, 10, 21, 6], [29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 58, 57, 60]]
26: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 10, 6, 15, 13, 21, 16, 23, 18, 17, 28, 25, 30, 26, 22], [29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 58, 57, 60]]
27: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 6, 10, 15, 13, 16, 23, 18, 17, 25, 21, 26, 22, 28, 30], [29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 57, 58, 60]]
28: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 13, 15, 17, 18, 16, 30, 22, 23, 25, 26, 28, 10, 21, 6], [29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 58, 57, 60]]
29: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 10, 6, 31, 13, 17, 16, 23, 15, 18, 21, 26, 30, 29], [22, 25, 28, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 59, 58, 60]]
30: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 18, 15, 10, 6, 17, 25, 16, 13, 21, 30, 23, 28], [22, 31, 29, 26, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 59, 58, 60]]
31: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 10, 6, 15, 21, 22, 16, 13, 23, 17, 26, 18, 25, 28], [30, 29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 57, 58, 60]]
32: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 13, 26, 17, 23, 16, 15, 18, 25, 22, 28, 10, 21, 6], [30, 29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 57, 58, 60]]
33: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 15, 26, 13, 25, 16, 6, 23, 17, 18, 10, 21, 22, 28], [31, 30, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 58, 57, 60]]
34: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 10, 6, 15, 13, 22, 16, 23, 18, 17, 21, 28, 26], [29, 25, 30, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 58, 57, 60]]
35: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 18, 15, 6, 10, 13, 16, 22, 17, 21, 26, 23, 28], [30, 25, 31, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 51, 57, 59, 58, 60]]
36: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 10, 6, 13, 15, 16, 17, 22, 18, 23, 21, 26, 28], [30, 29, 25, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 59, 58, 60]]
37: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 6, 10, 21, 13, 31, 17, 23, 16, 15, 18, 25, 22, 28, 30], [26, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 58, 57, 59, 51, 60]]
38: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 10, 6, 31, 13, 23, 16, 21, 29, 15, 28, 26, 25], [17, 18, 22, 30, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 58, 57, 60]]
39: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 15, 13, 18, 10, 23, 31, 17, 16, 30, 26, 21, 6, 22], [25, 29, 28, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 58, 51, 59, 57, 60]]
40: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 10, 6, 31, 13, 18, 25, 17, 15, 16, 23, 30, 29, 28, 21], [22, 26, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 57, 58, 60]]
41: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 6, 10, 23, 13, 15, 17, 22, 28, 16, 18, 25, 21, 26, 30], [29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 57, 58, 60]]
42: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 6, 10, 13, 15, 17, 21, 16, 25, 23, 22, 26, 18, 30, 28], [31, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 59, 58, 60]]
43: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 10, 15, 6, 22, 18, 17, 28, 13, 21, 16, 26, 25, 30, 23], [31, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 57, 55, 58, 60]]
44: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 26, 6, 10, 13, 23, 17, 18, 30, 15, 21, 16, 22, 25, 28], [31, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 51, 57, 59, 58, 60]]
45: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 10, 6, 13, 22, 15, 17, 28, 16, 18, 23, 21, 25, 30, 26], [31, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 58, 59, 60]]
46: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 6, 10, 26, 29, 18, 16, 21, 17, 23, 13, 30, 15], [28, 22, 25, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 57, 58, 60]]
47: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 13, 10, 29, 15, 17, 23, 18, 16, 31, 26, 21, 6], [22, 25, 28, 30, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 58, 51, 59, 57, 60]]
48: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 10, 6, 15, 13, 18, 17, 21, 16, 22, 23, 31, 26], [29, 28, 25, 30, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 57, 58, 60]]
49: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 13, 15, 6, 10, 18, 25, 22, 17, 16, 31, 21, 28], [23, 26, 29, 30, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 51, 59, 57, 58, 60]]
50: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 6, 10, 13, 15, 18, 17, 21, 26, 16, 30, 23, 22], [28, 29, 25, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 57, 55, 58, 60]]
51: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 10, 6, 28, 13, 29, 15, 21, 25, 23, 22, 18, 16], [30, 17, 31, 26, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 58, 59, 60]]
52: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 18, 15, 10, 6, 29, 17, 13, 23, 21, 16, 22, 30, 31, 28], [26, 25, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 59, 58, 60]]
53: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 6, 10, 13, 29, 23, 16, 28, 17, 18, 15, 22, 21, 30], [25, 26, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 58, 51, 57, 59, 60]]
54: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 10, 6, 15, 13, 17, 16, 21, 31, 22, 18, 23, 30, 25], [28, 26, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 51, 58, 59, 57, 60]]
55: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 28, 6, 13, 10, 15, 18, 30, 17, 22, 26, 21, 16], [29, 23, 25, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 51, 57, 59, 58, 60]]
56: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 6, 22, 10, 23, 13, 16, 15, 17, 18, 28, 29, 26, 21, 31], [25, 30, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 58, 57, 60]]
57: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 6, 10, 13, 29, 15, 16, 28, 17, 18, 23, 21, 30, 22, 26], [25, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 58, 51, 57, 59, 60]]
58: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 6, 22, 10, 23, 13, 16, 30, 17, 18, 28, 29, 26, 21, 15], [31, 25, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 58, 57, 60]]
59: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 6, 10, 13, 17, 31, 16, 18, 22, 25, 15, 23, 21, 26], [28, 29, 30, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 59, 51, 57, 58, 60]]
60: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 6, 10, 26, 17, 31, 13, 16, 25, 15, 18, 21, 22, 23], [29, 28, 30, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 51, 58, 59, 57, 60]]
61: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 6, 15, 13, 10, 17, 21, 16, 18, 25, 22, 30, 23], [26, 28, 29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 58, 57, 60]]
62: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 21, 15, 6, 10, 25, 16, 13, 17, 18, 23, 22, 30], [26, 28, 31, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 59, 58, 60]]
63: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 6, 10, 31, 13, 15, 17, 16, 18, 22, 21, 23, 26], [25, 30, 28, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 59, 58, 60]]
64: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 6, 10, 13, 30, 22, 17, 16, 21, 15, 23, 18, 25, 26], [28, 29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 57, 55, 58, 60]]
65: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 10, 15, 6, 18, 26, 16, 13, 21, 17, 23, 22, 30, 25], [28, 31, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 51, 59, 57, 58, 60]]
66: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 10, 6, 15, 13, 18, 23, 16, 17, 21, 22, 26, 25, 30], [28, 31, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 59, 58, 60]]
67: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 6, 15, 13, 10, 18, 17, 16, 30, 22, 23, 25, 26, 21], [28, 29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 57, 58, 60]]
68: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 6, 15, 13, 10, 18, 25, 16, 21, 17, 31, 22, 28], [26, 23, 29, 30, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 51, 59, 57, 58, 60]]
69: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 26, 10, 15, 29, 16, 6, 18, 13, 17, 28, 25, 21], [30, 22, 23, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 58, 57, 60]]
70: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8], [19, 11, 6, 10, 13, 15, 18, 17, 21, 26, 16, 30, 23, 22], [28, 29, 25, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 57, 55, 58, 60]]
71: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 10, 6, 15, 13, 21, 16, 31, 17, 18, 22, 23, 25, 26], [30, 28, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 58, 59, 60]]
72: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 6, 10, 13, 21, 15, 16, 17, 23, 31, 22, 18, 25, 26], [29, 28, 30, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 57, 55, 58, 60]]
73: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 6, 22, 13, 15, 21, 17, 23, 18, 16, 10, 25, 26], [30, 28, 29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 58, 57, 60]]
