0: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 6, 21], [9, 14, 12, 17, 29, 10], [15, 16, 11, 18], [20, 19, 31, 24, 30], [28, 23, 22], [25, 26, 36, 58, 44, 41, 37], [34, 32, 33, 43], [38, 39, 47, 42], [40, 45, 46], [51, 50, 52, 53], [48, 55, 56], [49, 54, 57], [59, 60]]
11: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6, 11], [26, 9, 12, 30, 18, 23, 10, 14, 17, 31, 16, 22], [25, 15, 19, 20, 29, 24, 28, 33], [43, 36, 54, 37, 34, 32, 46, 45, 47, 38, 41], [40, 42, 44, 48, 51, 50], [52, 59, 53, 56, 55, 39, 58, 49, 57, 60]]
12: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 21, 6], [11, 9, 12, 28, 14, 10], [23, 25, 17, 22, 15, 16, 19, 20, 24], [30, 26, 29, 31, 32, 42, 36], [33, 39, 37, 38, 40, 43, 44, 18], [34, 46, 45, 41, 54, 56, 55, 53], [50, 52, 47], [48, 51, 57, 58, 60, 49, 59]]
13: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11, 10], [9, 12, 14], [19, 18, 26, 15, 17, 23, 16, 20, 24, 28, 30, 22, 29, 25, 31, 40], [43, 41, 54, 33, 34, 32, 46, 36, 39, 38, 37], [56, 42, 44, 45, 51, 55], [48, 53, 49, 58, 50, 47, 60, 52, 57, 59]]
14: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11], [14, 9, 30], [15, 10, 23, 22, 16, 18, 12, 17, 19, 24, 20, 26, 25, 28], [29, 31, 32, 43, 45, 37, 39, 34, 36, 47, 38], [44, 42, 40, 41, 46, 33], [51, 50, 49, 52, 55, 56, 54, 48, 60, 53, 59, 57, 58]]
15: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 21, 6], [11, 9, 31, 14, 28, 12], [15, 24, 19, 22, 16, 23, 20, 18, 10], [17, 25, 26, 29, 30, 58, 34], [40, 37], [36, 33, 32, 44, 46, 43], [39, 38, 42, 45, 41, 51, 53, 47], [60, 48, 54, 49, 50, 52, 56, 55, 59, 57]]
16: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5], [10, 11, 9, 6], [14, 12, 15], [19, 26, 17, 23, 18, 28, 20, 16, 22, 30, 29, 31, 24, 25, 40, 41], [33, 38, 37, 34, 46, 39, 42, 32, 36, 43, 45, 47, 44, 52, 51, 54, 59, 50, 48], [53, 49, 57, 55, 56, 58, 60]]
17: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 6, 20, 11, 26], [9, 12, 31], [18, 5, 10, 14, 17, 15, 16, 22, 29, 24, 19, 23, 25, 28, 30, 40], [41, 33, 38, 32, 34, 36, 47], [37, 39, 43, 45, 56], [42, 46, 44], [51, 55, 50, 48, 49, 57, 53, 52, 54, 58, 59], [60]]
18: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 21, 6], [11, 9, 12, 30, 14, 26, 22, 16, 18, 10], [20, 15, 17, 23, 24, 19], [25, 31, 28, 60, 36, 29, 33, 37], [32, 34, 45], [41, 42, 38, 39, 46, 40, 43], [58, 56, 55, 52, 50, 48, 44, 47, 51, 53, 54, 57, 49, 59]]
19: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6], [9, 11, 10, 12, 30, 14], [20, 17, 26, 24, 15, 22, 23], [16, 29, 19, 25, 18, 31, 28, 34, 41, 36, 37, 33, 38, 47, 32], [46, 45], [44, 39, 42, 43, 40, 48], [51, 53, 49, 52, 50, 55, 56, 54, 59, 58, 57, 60]]
20: [[35, 27, 8, 1, 7, 2, 3, 4, 13, 21, 5, 6, 15, 9], [11, 10, 28, 14, 12, 17, 16, 18, 19, 22, 25, 23], [26, 24, 20, 29, 30, 31, 42, 45, 37, 38, 32, 34, 33, 36, 39, 44, 43, 41, 47, 40, 46, 53, 50, 55, 48, 59, 51, 52], [60, 54, 57, 49, 58, 56]]
21: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6], [9, 14, 10, 12, 15, 11], [16, 17, 20, 18], [22, 23, 31, 19, 26, 28, 24], [25, 29, 30, 36, 46, 44, 37, 33, 38, 32, 41, 39, 43, 34, 45, 42, 40, 47, 51, 50, 48, 52, 53, 49, 55, 56, 58, 54, 57, 59, 60]]
22: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11], [10, 9, 15], [28, 24, 12, 14, 16, 20], [18, 22, 23, 17, 19, 26, 29], [25, 31, 30, 42, 33, 40], [37, 39, 44, 32, 46, 34, 36], [38, 43, 45, 41, 47, 50, 55], [48, 52, 53, 49, 51, 54, 60, 56, 58, 59, 57]]
23: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 14], [11, 6, 9, 12, 30, 10, 17, 15], [24], [18, 19], [22, 16, 20, 23, 26, 25, 29], [28, 31], [56, 40], [37, 33, 34, 39, 32, 45, 46, 43, 41, 36, 54], [44, 38, 58, 51, 42, 59], [55, 48, 50, 49, 52, 60, 47, 53, 57]]
24: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11, 9], [14, 20, 12, 24, 10, 15, 19, 17, 18], [16, 25, 22, 26, 23, 28, 30], [31, 29, 40, 44, 41, 32, 37], [34, 33, 39, 46, 38, 36, 43, 47, 42], [50, 49, 55, 45, 51, 53, 52], [54, 58, 48, 60, 59, 56, 57]]
25: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11, 9], [15, 12, 10, 24, 26, 14], [18, 20, 16, 17, 19, 22, 25, 23, 28, 30, 29, 31, 32, 39, 37, 43, 33], [38, 34, 45, 36, 46, 40, 42, 41, 47, 44, 48, 50, 49, 53, 51, 52, 55, 60, 56, 58, 54, 57, 59]]
26: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6], [11, 9, 15, 12, 14, 10, 20, 23], [24], [26, 18, 30, 16, 22, 17, 19, 25, 28, 29, 31], [48, 42, 37, 32, 36, 39, 34], [33, 38], [41, 43], [45, 40, 46, 44, 57, 49], [55, 47, 50, 54, 51, 52], [53, 59, 56, 58, 60]]
27: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 22, 5, 9], [30, 10, 28, 12], [6], [31, 11, 18, 26, 14, 16, 15, 23, 24, 17, 25, 19, 20, 29, 42, 46, 44, 37, 32, 36, 34, 41, 33, 39, 38, 40, 45, 43, 47, 51, 50, 48, 53, 52], [49, 54, 55, 57, 56, 59, 58], [60]]
28: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6], [11, 10, 9, 12, 30, 14, 20, 23], [24], [26, 18, 15, 16, 22, 17, 19, 25, 29, 28, 31], [48, 46, 37, 32, 36, 39, 34], [33, 38], [40, 41], [42, 43, 44, 45, 57, 49, 55, 47, 51, 52, 50, 53, 54, 59, 58, 56, 60]]
29: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11, 10], [9, 12, 28, 25, 18, 26, 14], [17, 23, 19], [20, 15, 29, 16, 22, 24, 30, 31, 41], [47, 33, 52, 37, 34, 32, 44, 36, 42, 38, 39], [40, 43, 45, 46, 51, 55], [48, 53, 49, 54, 50, 56, 60, 58, 57, 59]]
30: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 14, 9], [15, 11, 6, 12, 10, 17, 20, 18, 19, 23, 22, 29, 28, 16, 24, 26], [25, 31, 30, 32, 42, 33, 36, 34, 37, 38, 47], [39, 44, 40, 41, 43, 45], [46, 52, 57, 53, 56, 50, 48, 54, 55, 51, 60, 49, 59, 58]]
31: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6], [9, 11, 10, 25, 12, 18], [31, 22, 17, 16], [14, 15, 26, 19, 30, 20], [23, 24, 59, 28, 42, 58, 45, 33], [37, 38, 29, 34, 39, 46, 32, 47, 36, 44, 40, 41, 51], [50, 48, 49, 43, 55, 53, 56, 52], [54, 60, 57]]
32: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 5, 11, 21, 6], [9, 14, 12, 15, 17, 19, 18, 22, 16, 30, 25, 20, 28, 26, 23, 31, 24, 29, 10], [40, 44, 33, 32, 37, 34, 47, 39, 46, 36, 38, 41, 42, 43, 45, 53, 48, 60, 49, 51, 52, 54, 57, 50, 55, 58, 59, 56]]
33: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 6, 5, 11, 14], [9, 31, 10, 16, 12, 17, 26, 23, 22], [18, 15, 20, 19, 28, 24, 25, 29, 30, 50, 40, 41, 37, 34, 36, 32, 47, 46, 33], [38, 39, 44, 42, 45, 51, 48, 43, 57, 49, 52, 53, 54, 55, 56], [60, 59, 58]]
34: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 21, 6, 11], [10, 9, 30, 12, 14, 17], [16, 24, 19, 15, 18, 20, 22], [23, 28, 25], [31, 26, 56, 36, 40, 33], [29, 37, 38, 32, 41, 39], [42, 34, 43, 45, 44, 50, 58], [46, 48, 54, 49, 47, 52, 51], [53, 55], [60, 57, 59]]
35: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11], [15, 10, 12, 9, 26, 17], [14, 16, 18, 23, 19, 29], [24, 22, 20, 31, 25, 30, 28], [34, 42, 32, 36, 40, 33, 38], [47, 37, 39, 41, 58, 43, 44, 46, 53], [57, 49, 45, 51, 50, 54, 52, 55, 48, 56, 59, 60]]
36: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 6, 21], [9, 14, 10, 11, 29, 12], [15, 16, 17, 18], [19, 22, 31, 24, 30], [23, 20, 26], [25, 28, 38, 58, 44, 32, 33, 34, 39, 37, 47, 36, 43, 41, 42], [40, 45, 46, 51, 50, 52, 55, 48, 53, 56, 49, 54, 57, 59, 60]]
37: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6], [9, 11, 10, 12, 14, 15], [19, 17, 18, 22], [16, 23, 31, 20, 25], [26, 29, 28], [24, 30, 48, 46, 45, 32, 37, 39, 40], [33, 34, 36, 41, 44, 42, 38, 43, 47, 50, 52, 54, 53], [55, 51, 58, 60, 49, 59, 57, 56]]
38: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 22, 11, 10, 14, 6], [9, 12, 31, 18, 15, 19, 17, 23, 20, 26, 25, 16, 28, 24, 29, 30, 34, 42, 32, 43, 33, 38, 36, 37, 44, 41, 39, 46, 45, 40, 47, 48, 49, 52, 55, 51, 50, 54, 53, 60], [58, 59, 57, 56]]
39: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5], [6, 11, 9, 10, 14, 28, 12], [20, 30, 17, 16, 15, 19, 18], [22, 24, 23, 29, 26], [31, 25, 42, 34, 45, 33, 36], [32, 44, 38, 37, 47, 39, 40, 43, 41, 46], [59, 54, 52, 57, 49, 55, 48, 50, 51, 53, 58, 56, 60]]
40: [[35, 27, 8, 1, 7, 2, 3, 4, 13, 21, 5, 6, 11, 9, 14], [26, 10, 12, 22, 29, 17, 18, 15, 16, 19, 20, 24, 23, 30, 25, 28, 31, 58, 32, 33, 39, 37, 38, 42, 34, 40, 36, 43, 44, 47], [41, 46, 56, 49, 53, 52, 45, 50, 48, 55, 51, 54, 57, 59, 60]]
41: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6], [11, 14, 9, 10, 30, 18, 12, 15], [16, 20, 23, 19, 22, 17, 25, 26, 24, 29], [28, 31, 34, 41, 32, 37, 36, 44], [33, 46, 38, 40, 42, 39, 45, 43, 47, 50, 55, 51, 52, 49, 48, 53, 54, 60, 56, 58, 59, 57]]
42: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 14, 11, 9, 6, 12, 28, 10, 23, 15], [26, 16, 22, 18, 19], [17, 20, 30, 24], [25, 29, 31], [41, 43], [33, 38, 36, 34, 37, 47, 40, 39, 42, 44, 52], [32, 45, 46, 51, 50, 58], [49, 55, 59, 54, 53, 56, 60, 48, 57]]
43: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 12, 15, 9, 5, 11, 14, 6, 16, 18, 31, 26, 19], [17, 10, 23, 20, 22, 25, 28, 24, 30, 29, 32, 42, 33, 37], [34, 54], [38, 43, 36, 40, 39, 56, 45, 46, 47, 55], [49, 48, 44, 50, 41, 52, 60, 53, 51, 57, 58, 59]]
44: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 22, 21, 6], [11, 14, 12, 15, 26, 10], [9, 16, 17, 23, 19, 18], [30, 24, 20, 29, 28, 31], [25, 41, 43, 32, 33, 37, 34, 36, 46, 38, 45, 42], [39, 40, 44, 47, 48, 50, 51, 53, 52, 54, 49, 55, 56, 58, 57, 59, 60]]
45: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 6, 9], [10, 14, 15, 11, 28, 12, 19, 17], [16, 5, 18, 20, 25, 22, 23, 24, 26], [29, 30, 31, 32, 41, 44, 36, 33, 34, 37, 39, 42, 38, 40, 43, 52, 45, 47, 50, 55, 46, 54, 48, 51, 53, 49, 57, 56, 59, 60, 58]]
46: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 11, 21, 6], [14, 9, 15, 12, 24, 10], [17, 19, 20, 22, 23, 16, 25, 18], [26, 31, 30, 28, 29, 42, 47, 44, 37, 33, 36, 34, 45], [32, 38, 39, 46, 43, 40, 55, 51, 49], [41, 52, 50, 48, 53, 54, 57, 59, 58, 56, 60]]
47: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 5, 11, 9, 14, 12, 16, 15, 31, 10, 21, 6], [17, 19, 18, 20, 22, 23, 25, 24, 26, 28, 30, 29], [34, 43, 36, 32, 33, 38, 40, 37, 46, 39, 47, 41, 42], [44, 45, 49, 48, 51, 54, 52, 55, 50, 53, 60, 58, 57, 59, 56]]
48: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21], [5, 6, 11, 9, 10, 24, 15], [14, 12, 18, 16, 17, 22], [19, 23, 25, 28, 30, 20], [31, 29, 26, 56, 40, 41, 60, 37, 32, 33, 38, 43, 36, 46], [47, 34, 39, 42, 48, 51, 49, 50, 44, 53, 45, 58, 52, 54, 55, 59, 57]]
49: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6], [11, 9, 10, 12, 30, 26, 22, 23], [24], [31, 18, 14, 16, 15, 17, 19, 25, 28, 29, 20], [56, 43, 37, 32, 36, 39, 34], [33, 38], [41, 40], [45, 47, 46, 44, 57], [49, 50, 42, 48, 54, 55, 51, 52, 59, 53, 58, 60]]
50: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 21, 6], [15, 11, 9, 18, 10], [12, 30, 14], [19, 26, 16, 17, 22, 20, 24, 23, 25, 31, 28, 29, 48, 43], [37, 33, 32, 38, 34, 45, 39, 40, 41, 46, 44, 47, 36, 42, 49, 54, 50], [51, 52, 59, 53, 55, 60, 58, 56, 57]]
51: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 12, 10], [9, 11, 28, 14, 31, 17, 18, 15], [22, 16], [25], [19, 20, 26, 29, 23, 30, 24, 32, 41, 40, 37, 33, 34], [38, 47, 42, 39, 43, 46, 52], [44, 60, 45, 58, 36, 54, 48, 50, 49], [51, 53, 55, 56, 59, 57]]
52: [[35, 27, 8, 1, 7, 2, 3, 4, 13, 21, 5, 6, 11, 12], [9, 10, 30, 14, 17, 15, 24, 16, 18, 20, 22, 23, 26, 19, 29, 25, 28, 31, 48, 46, 44, 33, 32, 36, 39, 34, 37, 40, 41, 38, 43, 42, 45], [57, 51, 53, 47, 49, 50, 52, 55, 54, 59, 58, 56, 60]]
53: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 14, 9], [15, 11, 10, 12, 6, 17, 22, 18, 23, 19, 16, 20, 25, 24, 28, 26, 29, 30, 31, 34], [42, 40, 36, 37, 32, 33, 47, 39, 44], [41, 38, 45, 46, 43, 50, 57, 49, 60, 48, 51, 54], [53, 59, 52, 56, 55, 58]]
54: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 9, 14], [10, 11, 12, 23, 16, 31, 18], [24, 28, 15, 19, 22, 20, 17, 25, 26, 29], [30, 38, 46, 33, 39, 34, 36, 32, 45, 42, 47, 37, 43], [40, 41, 44, 48, 51, 49], [53, 50, 54, 55, 52, 56, 59, 60, 57, 58]]
55: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6], [11, 14, 9, 31, 26, 12, 10, 28], [15], [18, 16, 22, 23, 19, 20, 24], [17, 25, 29, 30, 32, 41, 44, 37, 38, 33, 40, 39, 34, 36, 42, 46, 43, 45, 47, 49, 48, 51], [50, 55, 53, 52, 58, 60, 54, 59, 57, 56]]
56: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6], [11, 10, 12, 9, 30, 14, 20, 15], [16], [18, 17, 26, 25, 23, 29, 19, 28, 22, 24, 31], [50, 41, 37, 36, 32, 39, 40], [33, 38], [42, 34, 44], [47, 45, 43, 57], [49, 59, 58, 46, 52, 54, 48, 53, 51, 55, 56, 60]]
57: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6, 11], [9, 10, 31, 14, 15, 16, 29], [12, 20, 17, 18, 19, 22, 24], [25, 23, 30, 26, 28, 34, 43, 37, 39, 38], [44, 40, 32, 33, 36, 45, 46, 41, 42, 47, 48, 55, 49], [52, 51, 53, 57, 50, 54], [56, 60, 58, 59]]
58: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11, 15, 9], [12, 10, 29, 14, 25, 18, 16], [19, 20, 17, 22, 23, 24, 31, 30], [26, 28, 42, 37, 36, 33, 32], [34, 39, 44, 43, 38, 40, 41, 45, 47], [46, 48, 50, 49, 52, 51, 54], [53, 56, 58, 55, 57, 59, 60]]
59: [[35, 27, 8, 1, 7, 2, 3, 4, 13, 21, 5, 6], [9, 15, 11, 29, 26, 12, 28, 20, 18, 10], [22, 14, 19, 16, 17, 23, 25, 30, 24, 31, 32, 41, 36, 37, 33, 34, 40, 45, 38, 39, 43, 46], [42, 44, 47, 50, 53, 48, 49, 52, 54, 57, 51, 58, 55, 59, 60, 56]]
60: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 22, 11, 14], [10, 12, 9, 15, 6, 17], [16, 18, 19, 20, 23, 25, 28, 26, 30, 29, 24, 31, 34, 46, 40, 54, 33, 37, 32, 47, 36, 39, 38, 41, 42, 43, 44, 48, 50, 49, 51, 55, 53], [59, 52, 45, 60, 56, 57, 58]]
61: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6, 11, 10, 14, 9, 30, 12, 28, 15, 16, 18, 23, 26, 25, 17, 29, 19, 22, 20, 24, 31, 42, 41, 37, 32, 36, 39, 40, 33, 38, 34, 45, 46, 43, 47, 52, 53, 49, 51, 50, 44, 57], [54, 48, 58, 59, 55, 56], [60]]
62: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6], [11, 12, 9, 15, 31, 14], [10, 18, 16, 17], [20, 19, 22, 24, 25], [28, 23, 26], [29, 30, 38, 59, 32, 33, 36], [34, 37, 45, 39], [40, 41, 47, 42, 44, 46], [43, 51, 50, 52, 49, 53], [55, 54, 48, 56, 57, 58, 60]]
63: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6], [11, 9, 14, 10, 28, 20, 16, 22], [26, 17, 31, 12, 15, 19, 24, 18, 25, 23, 29, 30, 36, 40, 45, 37, 39, 32, 34, 33, 38, 44, 46, 42, 43, 41, 60, 59, 47, 50, 58, 57, 48, 51, 54, 49, 53, 56, 52, 55]]
64: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 15, 6], [9, 14, 10, 28, 11, 19, 12], [16, 17, 22], [20, 18, 23, 26, 30, 24], [31, 29, 25, 41, 43, 32, 38, 36, 34, 37, 45], [40, 33, 47, 44, 52, 39], [42, 46, 49, 55, 51, 54, 50, 48, 57, 53, 60, 59, 58, 56]]
65: [[35, 27, 8, 1, 7, 2, 3], [4, 13, 21, 5, 6, 11], [9, 10, 12, 14, 26, 25], [15, 16, 17, 19, 22, 31, 18, 20], [28, 23, 24, 30, 29, 43, 40, 45, 36, 32, 33, 34, 38, 37, 39, 41, 47, 59, 42, 46, 53, 57, 48, 51, 55, 44, 54], [52], [56, 50, 49, 58, 60]]
66: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21], [5, 6, 11, 14, 10, 12, 9, 15], [25, 22, 18, 16, 20, 23, 29], [17, 28, 24], [19, 31, 26, 30, 32, 41, 37], [36, 33, 34, 42, 47, 46], [38, 39, 45, 40, 43, 44, 52, 51, 59, 49, 53, 48, 54, 56, 58, 50, 55, 57, 60]]
67: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6, 11], [9, 15, 14, 12, 10, 20], [17, 18, 22, 16, 30, 25], [19, 28, 26, 23, 29, 24, 31], [42, 45, 33, 32, 37, 34], [43, 39, 47, 36, 38, 40, 41, 46, 44, 53, 48, 54, 49, 51, 59, 50, 57, 52, 55], [56, 58, 60]]
68: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6, 15, 9, 11, 10, 29, 12, 30, 14], [16, 19, 20, 18, 17, 22, 26, 24, 25, 23, 31, 28], [42, 41, 36, 38, 34, 32, 33, 47, 39, 44, 46, 40, 37, 43, 45, 53, 51, 48, 49, 59, 50, 52, 54, 55, 60, 57, 58, 56]]
69: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 22], [11, 6, 10, 12, 9, 14], [15, 20, 17, 16, 25, 19, 23, 31, 18, 24, 26, 30, 28], [29, 32, 33, 40, 34, 37, 36, 44, 39, 42, 47, 46, 45, 48, 41, 38, 58, 43, 54, 50, 49, 51, 55, 52, 53, 57, 60, 56, 59]]
70: [[35, 27, 8, 1, 7, 2, 3, 4], [13, 21, 5, 6, 15, 12], [10, 14, 28, 9, 24, 11, 20, 18, 23, 16, 17, 19, 26, 22], [25, 29, 31, 30, 58, 41, 32, 38, 34, 36, 37, 47], [33, 45, 42, 40, 43, 44, 39, 53, 55, 54, 49, 46, 51, 48, 60, 50, 52, 57, 59, 56]]
71: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 14, 9, 10, 6, 11], [30, 28, 12, 24, 16, 17, 22], [19, 23, 15, 31, 25, 18, 20], [26, 29, 42, 41, 44, 33, 46, 36, 38, 47], [40, 43, 45, 32, 39, 34, 49, 51, 53, 52, 48, 56, 54, 55, 37, 50, 57, 60, 59, 58]]
72: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6, 9, 14, 10, 11, 15, 12, 25, 22, 18, 23, 19, 17, 20, 16], [24, 28, 26, 31, 29, 30, 32, 41, 45, 36, 33, 39, 34, 37, 42, 38, 43, 46, 40, 44, 47, 48, 51, 49, 52, 55, 50, 54, 53, 57, 60, 56, 58, 59]]
73: [[35, 27, 8, 1, 7, 2, 3, 4, 13, 21, 5, 6, 9, 11, 10, 12, 14, 15, 18], [19, 16, 22, 17, 20, 23, 25, 26, 24, 29, 30, 28, 31, 34, 42, 32, 39, 37, 46, 38, 36, 33, 40, 41, 43, 45, 44, 47], [52, 55, 49, 51, 50, 53, 59, 56, 58, 54, 60, 48, 57]]
